                  20250417 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   19.99	       0	0	
09:16	   19.99	       0	0	
09:17	   19.99	       0	0	
09:18	   19.99	       0	0	
09:18	   19.99	       0	0	
09:18	   19.99	       0	0	
09:18	   19.99	       0	0	
09:18	   19.99	       0	0	
09:19	   19.99	       0	0	
09:21	   19.95	       0	0	
09:22	   19.95	       0	0	
09:22	   19.90	       0	0	
09:23	   19.90	       0	0	
09:23	   19.88	       0	0	
09:23	   19.88	       0	0	
09:23	   19.80	       0	0	
09:24	   19.80	       0	0	
09:24	   19.80	       0	0	
09:24	   19.80	       0	0	
09:24	   19.80	       0	0	
09:24	   19.80	       0	0	
09:24	   19.70	       0	0	
09:24	   19.48	       0	0	
09:24	   19.20	       0	0	
09:25	   19.00	     159	0	
09:30	   19.00	      77	0	S	
09:30	   19.35	      71	0	B	
09:30	   19.01	     120	0	S	
09:30	   19.12	      31	0	B	
09:30	   19.12	       2	0	S	
09:30	   19.17	     122	0	B	
09:30	   19.12	      44	0	B	
09:30	   19.12	      48	0	B	
09:30	   19.02	      24	0	S	
09:30	   19.01	      21	0	S	
09:30	   19.02	       3	0	B	
09:30	   19.02	      15	0	B	
09:30	   19.01	      33	0	S	
09:30	   19.02	       3	0	S	
09:30	   18.98	     107	0	S	
09:30	   19.02	      71	0	B	
09:30	   19.02	       5	0	B	
09:31	   19.02	       9	0	B	
09:31	   19.02	      11	0	B	
09:31	   19.02	      29	0	B	
09:31	   19.10	       1	0	B	
09:31	   19.02	      15	0	S	
09:31	   19.13	       4	0	B	
09:31	   19.02	      14	0	S	
09:31	   19.07	       3	0	S	
09:31	   19.07	       9	0	S	
09:31	   19.07	      34	0	S	
09:31	   19.10	       5	0	B	
09:31	   19.07	       7	0	B	
09:31	   19.10	      67	0	B	
09:31	   19.05	      53	0	S	
09:31	   19.05	      18	0	B	
09:31	   19.03	      23	0	S	
09:32	   19.05	      88	0	B	
09:32	   19.07	       8	0	B	
09:32	   19.02	     102	0	S	
09:32	   19.05	      34	0	B	
09:32	   19.02	      25	0	S	
09:32	   19.04	     106	0	S	
09:32	   19.07	      11	0	B	
09:32	   19.05	      79	0	S	
09:32	   19.05	      22	0	S	
09:32	   19.07	      13	0	S	
09:32	   19.07	       9	0	S	
09:32	   19.11	       7	0	B	
09:32	   19.07	      17	0	S	
09:32	   19.11	      10	0	B	
09:32	   19.08	       9	0	S	
09:33	   19.11	       1	0	B	
09:33	   19.11	       1	0	B	
09:33	   19.11	      11	0	S	
09:33	   19.11	      11	0	S	
09:33	   19.12	      36	0	B	
09:33	   19.12	      10	0	S	
09:33	   19.17	       4	0	B	
09:33	   19.17	       1	0	B	
09:33	   19.36	      66	0	B	
09:33	   19.19	       1	0	S	
09:33	   19.18	       8	0	B	
09:33	   19.28	       1	0	B	
09:33	   19.28	      86	0	S	
09:33	   19.17	      15	0	S	
09:33	   19.17	      14	0	S	
09:33	   19.17	      12	0	B	
09:33	   19.13	       5	0	S	
09:33	   19.11	     276	0	S	
09:34	   19.11	      44	0	B	
09:34	   19.08	     138	0	S	
09:34	   19.07	      80	0	S	
09:34	   19.06	      79	0	S	
09:34	   19.05	      60	0	S	
09:34	   19.02	      33	0	S	
09:34	   19.00	     402	0	S	
09:34	   18.98	     138	0	S	
09:34	   18.98	      56	0	S	
09:34	   18.96	      63	0	S	
09:34	   18.93	      73	0	S	
09:34	   18.95	      48	0	B	
09:34	   19.00	     143	0	B	
09:34	   18.96	      77	0	B	
09:34	   18.97	      19	0	S	
09:34	   18.96	     194	0	S	
09:34	   18.96	      58	0	B	
09:34	   19.00	     147	0	B	
09:34	   19.01	      65	0	B	
09:34	   19.05	      14	0	B	
09:35	   19.01	      31	0	S	
09:35	   19.00	      13	0	B	
09:35	   19.10	     101	0	B	
09:35	   19.10	      12	0	S	
09:35	   19.10	      15	0	S	
09:35	   19.10	       3	0	B	
09:35	   19.05	      39	0	S	
09:35	   19.29	      20	0	B	
09:36	   19.11	      14	0	S	
09:36	   19.25	      64	0	B	
09:36	   19.25	      18	0	S	
09:36	   19.25	      57	0	B	
09:36	   19.24	      20	0	B	
