                  20250418 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   19.00	       0	0	
09:15	   19.02	       0	0	
09:15	   19.02	       0	0	
09:15	   19.16	       0	0	
09:16	   20.00	       0	0	
09:17	   20.00	       0	0	
09:17	   20.00	       0	0	
09:17	   20.00	       0	0	
09:17	   20.00	       0	0	
09:18	   20.00	       0	0	
09:18	   20.00	       0	0	
09:18	   19.65	       0	0	
09:19	   19.16	       0	0	
09:20	   19.16	       0	0	
09:20	   19.16	       0	0	
09:21	   19.16	       0	0	
09:21	   19.17	       0	0	
09:21	   19.17	       0	0	
09:21	   19.17	       0	0	
09:21	   19.17	       0	0	
09:21	   19.17	       0	0	
09:22	   19.17	       0	0	
09:22	   19.17	       0	0	
09:22	   19.17	       0	0	
09:23	   19.17	       0	0	
09:23	   19.17	       0	0	
09:23	   19.17	       0	0	
09:23	   19.17	       0	0	
09:23	   19.20	       0	0	
09:24	   19.21	       0	0	
09:24	   19.21	       0	0	
09:24	   19.21	       0	0	
09:24	   19.25	       0	0	
09:24	   19.25	       0	0	
09:24	   19.25	       0	0	
09:24	   19.25	       0	0	
09:25	   19.28	      69	0	
09:30	   19.48	      29	0	B	
09:30	   19.57	      67	0	B	
09:30	   19.48	      63	0	B	
09:30	   19.43	       1	0	S	
09:30	   19.52	      16	0	S	
09:30	   19.48	      53	0	S	
09:30	   19.49	      10	0	S	
09:30	   19.49	      22	0	S	
09:30	   19.44	       1	0	B	
09:30	   19.49	      11	0	B	
09:30	   19.57	      49	0	B	
09:30	   19.57	       3	0	B	
09:30	   19.58	      10	0	B	
09:30	   19.58	      41	0	B	
09:30	   19.58	      10	0	S	
09:30	   19.59	      13	0	B	
09:30	   19.58	      51	0	S	
09:31	   19.60	      87	0	B	
09:31	   19.61	     102	0	B	
09:31	   19.60	      59	0	S	
09:31	   19.65	      40	0	B	
09:31	   19.70	      34	0	B	
09:31	   19.70	       1	0	B	
09:31	   19.75	      29	0	B	
09:31	   19.75	       7	0	B	
09:31	   19.75	      34	0	B	
09:31	   19.75	      27	0	B	
09:31	   19.74	      83	0	S	
09:31	   19.75	      40	0	B	
09:31	   19.72	      32	0	S	
09:31	   19.72	      50	0	B	
09:31	   19.75	     109	0	B	
09:31	   19.71	      49	0	S	
09:31	   19.75	      10	0	
09:31	   19.78	      28	0	B	
09:31	   19.78	      66	0	B	
09:31	   19.78	       4	0	B	
09:32	   19.75	      15	0	S	
09:32	   19.78	       6	0	B	
09:32	   19.80	      68	0	B	
09:32	   19.82	      36	0	B	
09:32	   19.78	      12	0	B	
09:32	   19.78	      30	0	B	
09:32	   19.74	      34	0	S	
09:32	   19.78	      39	0	S	
09:32	   19.78	      12	0	B	
09:32	   19.78	      10	0	B	
09:32	   19.78	     226	0	B	
09:32	   19.79	      28	0	B	
09:32	   19.82	     100	0	B	
09:32	   19.83	      72	0	B	
09:32	   19.83	     149	0	B	
09:32	   19.83	      65	0	B	
09:32	   19.85	     119	0	B	
09:32	   19.88	      44	0	B	
09:32	   19.90	      45	0	B	
09:33	   19.90	      47	0	B	
09:33	   19.96	      37	0	B	
09:33	   19.97	      57	0	B	
09:33	   19.97	      51	0	B	
09:33	   20.00	      37	0	B	
09:33	   19.98	      53	0	S	
09:33	   20.05	      35	0	S	
09:33	   20.11	      22	0	B	
09:33	   20.11	      10	0	S	
09:33	   20.18	      20	0	B	
09:33	   20.20	      49	0	B	
09:33	   20.18	     157	0	B	
09:33	   20.24	      27	0	B	
09:33	   20.20	     214	0	S	
09:33	   20.26	      18	0	S	
09:33	   20.39	     133	0	B	
09:33	   20.45	     313	0	B	
09:33	   20.38	      73	0	S	
09:33	   20.38	      42	0	B	
09:33	   20.39	      69	0	B	
09:34	   20.38	      90	0	S	
09:34	   20.18	     108	0	S	
09:34	   20.14	      55	0	S	
09:34	   20.24	      69	0	B	
09:34	   20.20	      14	0	S	
09:34	   20.18	      13	0	S	
09:34	   20.18	       3	0	S	
09:34	   20.14	      40	0	S	
09:34	   20.14	       7	0	S	
09:34	   20.12	       7	0	S	
09:34	   20.10	      58	0	S	
09:34	   20.10	      33	0	B	
09:34	   20.11	      91	0	B	
09:34	   20.09	      93	0	B	
09:34	   20.07	      60	0	S	
09:34	   20.09	      33	0	B	
09:34	   20.00	      42	0	S	
09:34	   20.06	     215	0	B	
09:34	   20.01	      15	0	S	
09:34	   20.00	      32	0	S	
09:35	   20.00	       3	0	S	
09:35	   20.01	      47	0	S	
09:35	   20.02	      28	0	S	
09:35	   20.02	      25	0	S	
09:35	   20.02	      61	0	S	
09:35	   20.02	      60	0	S	
09:35	   20.01	       2	0	S	
09:35	   20.03	     125	0	B	
09:35	   20.02	      94	0	S	
09:35	   20.05	      16	0	B	
09:35	   20.04	      12	0	S	
09:35	   20.09	      30	0	B	
09:35	   20.04	      74	0	S	
09:35	   20.20	     156	0	B	
09:35	   20.10	      48	0	S	
09:35	   20.10	      11	0	S	
09:35	   20.20	      22	0	B	
09:35	   20.20	       3	0	B	
09:35	   20.20	      93	0	B	
09:35	   20.20	      11	0	B	
09:36	   20.03	      11	0	S	
09:36	   20.19	      86	0	B	
09:36	   20.05	      12	0	S	
09:36	   20.18	      56	0	B	
09:36	   20.02	      20	0	S	
09:36	   20.18	      24	0	B	
09:36	   20.03	      69	0	S	
09:36	   20.10	      17	0	B	
09:36	   20.02	      74	0	S	
09:36	   20.02	      94	0	S	
09:36	   20.00	      52	0	S	
09:36	   19.99	      45	0	S	
09:36	   19.80	       7	0	S	
09:36	   19.89	       2	0	B	
09:36	   19.89	       3	0	S	
09:36	   19.90	       2	0	B	
09:36	   19.80	      16	0	S	
09:36	   19.80	       6	0	S	
09:36	   19.80	      46	0	B	
09:37	   19.80	      73	0	B	
09:37	   19.80	      12	0	S	
09:37	   19.77	      43	0	S	
09:37	   19.80	       5	0	S	
09:37	   19.80	      20	0	S	
09:37	   19.81	      19	0	S	
09:37	   19.81	       6	0	S	
09:37	   20.00	      20	0	B	
09:37	   19.99	       3	0	B	
09:37	   19.83	      79	0	S	
09:37	   19.93	      15	0	B	
09:37	   20.00	      96	0	B	
09:37	   19.93	       6	0	B	
09:37	   19.93	       6	0	S	
09:37	   19.93	      57	0	S	
09:38	   20.00	      22	0	B	
09:38	   20.00	       3	0	B	
09:38	   20.00	     189	0	B	
09:38	   20.00	     110	0	B	
09:38	   20.00	      27	0	B	
09:38	   20.03	      35	0	B	
09:38	   19.93	     100	0	S	
09:38	   19.93	       4	0	B	
09:38	   20.03	      30	0	B	
09:38	   20.00	       7	0	S	
09:38	   20.03	      20	0	B	
09:38	   20.00	       1	0	B	
09:38	   20.03	      13	0	B	
09:38	   20.00	      13	0	B	
09:38	   20.00	       3	0	B	
09:38	   19.94	      22	0	S	
09:38	   19.94	      76	0	S	
09:39	   19.99	     106	0	B	
09:39	   19.93	      16	0	S	
09:39	   19.94	     110	0	B	
09:39	   19.94	     112	0	S	
09:39	   19.99	      16	0	B	
09:39	   19.99	      61	0	S	
09:39	   20.03	      42	0	B	
09:39	   20.03	      10	0	B	
09:39	   20.02	      21	0	B	
09:39	   20.00	       2	0	S	
09:39	   20.02	       5	0	B	
09:39	   20.02	      10	0	B	
09:39	   20.02	      61	0	B	
09:39	   20.02	      58	0	S	
09:39	   20.02	      18	0	S	
09:39	   20.02	      86	0	B	
09:40	   20.02	      57	0	B	
09:40	   20.02	     109	0	S	
09:40	   20.05	      49	0	B	
09:40	   20.05	      21	0	B	
09:40	   20.10	      13	0	B	
09:40	   20.10	      47	0	B	
09:40	   20.10	      10	0	B	
09:40	   20.07	      10	0	S	
09:40	   20.10	       8	0	B	
09:40	   20.10	      19	0	B	
09:40	   20.15	      10	0	B	
09:40	   20.15	       9	0	S	
09:40	   20.10	      59	0	S	
09:40	   20.11	       0	0	S	
09:40	   20.15	       1	0	S	
09:40	   20.15	      87	0	B	
09:40	   20.14	      44	0	B	
09:40	   20.11	      69	0	S	
09:40	   20.11	     164	0	S	
09:41	   20.11	     164	0	S	
09:41	   20.10	      43	0	S	
09:41	   20.10	     106	0	B	
09:41	   20.00	      11	0	S	
09:41	   20.00	     185	0	S	
09:41	   20.00	       1	0	B	
09:41	   19.93	       2	0	S	
09:41	   19.93	       1	0	S	
09:41	   19.93	      36	0	B	
09:41	   19.92	      31	0	S	
09:41	   19.90	      13	0	S	
09:41	   19.89	       5	0	B	
09:41	   19.86	      25	0	S	
09:41	   19.86	       3	0	B	
09:41	   19.82	      23	0	S	
09:41	   19.82	       4	0	S	
09:42	   19.81	      47	0	S	
09:42	   19.80	      29	0	S	
09:42	   19.82	      27	0	B	
09:42	   19.82	      24	0	S	
09:42	   19.86	       4	0	B	
09:42	   19.86	       9	0	B	
09:42	   19.92	      10	0	B	
09:42	   19.90	       9	0	S	
09:42	   19.90	      25	0	S	
09:42	   19.92	      30	0	S	
09:42	   19.90	      42	0	S	
09:42	   19.87	       7	0	S	
09:43	   19.88	      85	0	S	
09:43	   19.86	      64	0	S	
09:43	   19.86	     213	0	S	
09:43	   19.87	      37	0	S	
09:43	   19.90	      39	0	B	
09:43	   19.86	       2	0	S	
09:43	   19.87	      62	0	B	
09:43	   19.86	      23	0	S	
09:43	   19.82	      46	0	S	
09:43	   19.80	      68	0	S	
09:43	   19.80	       4	0	S	
09:43	   19.78	       3	0	S	
09:43	   19.80	      30	0	B	
09:43	   19.77	      23	0	S	
09:43	   19.76	      12	0	S	
09:43	   19.76	       4	0	B	
09:43	   19.73	      11	0	S	
09:43	   19.73	       4	0	S	
09:44	   19.74	      13	0	S	
09:44	   19.73	      17	0	S	
09:44	   19.77	      50	0	B	
09:44	   19.78	      16	0	B	
09:44	   19.77	      25	0	S	
09:44	   19.78	       0	0	S	
09:44	   19.78	       3	0	S	
09:44	   19.79	      12	0	
09:44	   19.79	       5	0	S	
09:44	   19.80	       3	0	S	
09:44	   19.80	       9	0	S	
09:44	   19.78	      79	0	S	
09:44	   19.78	       1	0	S	
09:44	   19.77	       5	0	S	
09:44	   19.77	      25	0	B	
09:45	   19.73	       4	0	S	
09:45	   19.72	     129	0	S	
09:45	   19.73	      67	0	B	
09:45	   19.69	       5	0	B	
09:45	   19.59	      63	0	S	
09:45	   19.59	      32	0	S	
09:45	   19.59	      25	0	S	
09:45	   19.59	       5	0	S	
09:45	   19.59	      17	0	B	
09:45	   19.58	       4	0	S	
09:45	   19.59	      29	0	B	
09:45	   19.55	      19	0	S	
09:45	   19.58	      75	0	B	
09:45	   19.58	      15	0	S	
09:46	   19.56	       7	0	S	
09:46	   19.58	      27	0	B	
09:46	   19.58	      11	0	B	
09:46	   19.58	       5	0	B	
09:46	   19.58	      20	0	B	
09:46	   19.58	       1	0	B	
09:46	   19.55	       1	0	S	
09:46	   19.55	      31	0	S	
09:46	   19.55	      13	0	B	
09:46	   19.52	      60	0	S	
09:46	   19.52	       9	0	B	
09:46	   19.52	       2	0	B	
09:46	   19.52	       6	0	B	
09:47	   19.52	      16	0	S	
09:47	   19.57	      10	0	B	
09:47	   19.54	      15	0	S	
09:47	   19.53	      71	0	S	
09:47	   19.53	       2	0	S	
09:47	   19.54	      72	0	B	
09:47	   19.52	      55	0	S	
09:47	   19.52	      26	0	B	
09:47	   19.50	      76	0	S	
09:47	   19.48	      25	0	S	
09:47	   19.48	      29	0	S	
09:47	   19.45	       3	0	S	
09:48	   19.45	      10	0	S	
09:48	   19.43	      24	0	S	
09:48	   19.43	       7	0	B	
09:48	   19.42	      90	0	S	
09:48	   19.38	       9	0	S	
09:48	   19.38	      28	0	S	
09:48	   19.38	      30	0	S	
09:48	   19.37	      82	0	B	
09:48	   19.37	       7	0	B	
09:48	   19.38	       1	0	B	
09:48	   19.33	      55	0	S	
09:48	   19.33	      22	0	B	
09:48	   19.40	      24	0	B	
09:48	   19.42	      18	0	B	
09:49	   19.42	      30	0	S	
09:49	   19.42	      21	0	S	
09:49	   19.42	      10	0	S	
09:49	   19.40	      43	0	S	
09:49	   19.40	       4	0	B	
09:49	   19.39	      13	0	S	
09:49	   19.35	       8	0	S	
09:49	   19.35	      20	0	B	
09:49	   19.34	       5	0	
09:49	   19.35	     118	0	B	
09:49	   19.33	     100	0	S	
09:49	   19.33	       7	0	B	
09:49	   19.32	       1	0	S	
09:49	   19.33	       3	0	B	
09:50	   19.33	      52	0	S	
09:50	   19.33	      15	0	B	
09:50	   19.33	     133	0	B	
09:50	   19.29	     464	0	S	
09:50	   19.29	      21	0	B	
09:50	   19.29	      50	0	B	
09:50	   19.29	      25	0	B	
09:50	   19.29	       3	0	B	
09:50	   19.29	      10	0	B	
09:50	   19.29	       5	0	S	
09:50	   19.33	      64	0	B	
09:51	   19.33	      30	0	B	
09:51	   19.33	       1	0	B	
09:51	   19.42	      11	0	B	
09:51	   19.41	      10	0	B	
09:51	   19.34	      29	0	S	
09:51	   19.34	      17	0	S	
09:51	   19.33	       9	0	S	
09:51	   19.31	      50	0	S	
09:51	   19.30	      85	0	S	
09:52	   19.29	      41	0	S	
09:52	   19.27	     199	0	S	
09:52	   19.27	      65	0	B	
09:52	   19.26	       9	0	S	
09:52	   19.25	       6	0	S	
09:52	   19.26	       1	0	B	
09:52	   19.25	      14	0	S	
09:52	   19.21	      17	0	S	
09:52	   19.25	       4	0	S	
09:52	   19.25	       5	0	S	
09:52	   19.31	      30	0	B	
09:52	   19.25	       5	0	S	
09:52	   19.25	      27	0	S	
09:52	   19.33	     500	0	B	
09:53	   19.25	      53	0	S	
09:53	   19.33	      10	0	B	
09:53	   19.31	      10	0	S	
09:53	   19.31	      10	0	B	
09:53	   19.30	       4	0	S	
09:53	   19.30	       6	0	S	
09:53	   19.30	      18	0	S	
09:53	   19.30	      35	0	B	
09:53	   19.25	      74	0	S	
09:54	   19.28	       5	0	S	
09:54	   19.25	      10	0	S	
09:54	   19.23	       9	0	S	
09:54	   19.22	      30	0	S	
09:54	   19.21	      36	0	S	
09:54	   19.22	      18	0	B	
09:54	   19.22	       4	0	S	
09:54	   19.23	       1	0	B	
09:54	   19.25	      16	0	B	
09:54	   19.22	      41	0	S	
09:54	   19.22	       1	0	B	
09:54	   19.22	      16	0	B	
09:54	   19.22	       6	0	B	
09:54	   19.22	      10	0	B	
09:54	   19.21	      38	0	S	
09:54	   19.20	     115	0	S	
09:54	   19.20	       6	0	B	
09:54	   19.20	      39	0	B	
09:55	   19.19	      20	0	S	
09:55	   19.19	       8	0	S	
09:55	   19.19	       2	0	B	
09:55	   19.21	       6	0	B	
09:55	   19.22	      15	0	B	
09:55	   19.23	       1	0	B	
09:55	   19.23	      22	0	B	
09:56	   19.34	       2	0	S	
09:56	   19.50	       3	0	B	
09:56	   19.49	      46	0	S	
09:56	   19.48	      10	0	B	
09:56	   19.56	      32	0	B	
09:57	   19.56	      27	0	S	
09:57	   19.55	       2	0	B	
09:57	   19.55	      46	0	B	
09:57	   19.55	      13	0	S	
09:57	   19.55	      10	0	B	
09:57	   19.55	       2	0	S	
09:57	   19.55	      38	0	S	
