                  20250421 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:16	   18.88	       0	0	
09:17	   18.88	       0	0	
09:17	   18.99	       0	0	
09:17	   19.02	       0	0	
09:18	   18.99	       0	0	
09:18	   18.99	       0	0	
09:19	   19.52	       0	0	
09:20	   19.54	       0	0	
09:20	   19.86	       0	0	
09:21	   19.86	       0	0	
09:21	   19.54	       0	0	
09:21	   19.54	       0	0	
09:21	   19.54	       0	0	
09:21	   19.54	       0	0	
09:22	   19.55	       0	0	
09:22	   19.86	       0	0	
09:22	   19.86	       0	0	
09:23	   19.86	       0	0	
09:23	   19.86	       0	0	
09:23	   19.86	       0	0	
09:23	   19.86	       0	0	
09:23	   19.57	       0	0	
09:23	   19.56	       0	0	
09:23	   19.37	       0	0	
09:23	   19.38	       0	0	
09:24	   19.38	       0	0	
09:24	   19.38	       0	0	
09:24	   19.38	       0	0	
09:24	   19.38	       0	0	
09:24	   19.38	       0	0	
09:24	   19.39	       0	0	
09:24	   19.39	       0	0	
09:24	   19.39	       0	0	
09:24	   19.50	       0	0	
09:24	   19.45	       0	0	
09:24	   19.49	       0	0	
09:24	   19.55	       0	0	
09:24	   19.55	       0	0	
09:24	   19.39	       0	0	
09:25	   19.39	     374	0	
09:30	   19.30	     449	0	S	
09:30	   19.70	     147	0	B	
09:30	   19.62	      93	0	S	
09:30	   19.51	      11	0	B	
09:30	   19.40	       8	0	S	
09:30	   19.50	      10	0	B	
09:30	   19.40	     115	0	S	
09:30	   19.40	     357	0	B	
09:30	   19.40	      20	0	S	
09:30	   19.39	      26	0	S	
09:30	   19.50	      10	0	B	
09:30	   19.40	      11	0	S	
09:30	   19.57	      97	0	B	
09:30	   19.40	       6	0	S	
09:30	   19.62	      50	0	B	
09:30	   19.49	     513	0	B	
09:31	   19.50	      20	0	B	
09:31	   19.49	      12	0	S	
09:31	   19.40	       1	0	S	
09:31	   19.23	      10	0	S	
09:31	   19.23	      80	0	B	
09:31	   19.21	      54	0	S	
09:31	   19.22	      35	0	B	
09:31	   19.23	      17	0	B	
09:31	   19.20	      37	0	S	
09:31	   19.22	      56	0	B	
09:31	   19.25	      51	0	B	
09:31	   19.23	      43	0	S	
09:31	   19.39	      22	0	B	
09:31	   19.30	      23	0	B	
09:31	   19.30	      13	0	S	
09:31	   19.39	      23	0	B	
09:31	   19.25	      12	0	S	
09:32	   19.25	      40	0	B	
09:32	   19.27	      28	0	B	
09:32	   19.27	      45	0	S	
09:32	   19.24	      34	0	S	
09:32	   19.39	      10	0	B	
09:32	   19.39	      16	0	B	
09:32	   19.39	      10	0	B	
09:32	   19.39	      10	0	S	
09:32	   19.46	       2	0	B	
09:32	   19.39	      25	0	S	
09:32	   19.39	       1	0	S	
09:32	   19.38	      51	0	S	
09:32	   19.39	      58	0	B	
09:32	   19.37	       5	0	B	
09:32	   19.37	       2	0	B	
09:33	   19.36	       9	0	B	
09:33	   19.37	      34	0	B	
09:33	   19.30	      63	0	S	
09:33	   19.46	      26	0	B	
09:33	   19.50	      48	0	B	
09:33	   19.47	      21	0	S	
09:33	   19.46	       3	0	B	
09:33	   19.46	       1	0	B	
09:33	   19.46	       6	0	B	
09:33	   19.57	       5	0	B	
09:33	   19.48	       8	0	S	
09:33	   19.57	      73	0	B	
09:33	   19.55	       2	0	B	
09:34	   19.46	     148	0	S	
09:34	   19.46	       8	0	B	
09:34	   19.46	       3	0	B	
09:34	   19.46	      10	0	B	
09:34	   19.46	      31	0	B	
09:34	   19.55	      21	0	B	
09:34	   19.46	       3	0	S	
09:34	   19.47	       2	0	S	
09:34	   19.55	      50	0	B	
09:34	   19.47	      16	0	S	
09:34	   19.47	      20	0	S	
09:34	   19.47	       7	0	S	
09:34	   19.53	       2	0	B	
09:34	   19.53	      37	0	B	
09:34	   19.55	      18	0	B	
09:35	   19.55	      31	0	S	
09:35	   19.58	      10	0	B	
09:35	   19.58	       8	0	S	
09:35	   19.59	      50	0	B	
09:35	   19.60	      92	0	B	
09:35	   19.59	      62	0	S	
09:35	   19.68	      10	0	B	
09:35	   19.68	      10	0	B	
09:35	   19.68	      31	0	B	
09:35	   19.69	      54	0	B	
09:35	   19.70	      78	0	B	
09:35	   19.80	      72	0	B	
09:35	   19.80	      10	0	B	
09:35	   19.70	       3	0	S	
09:35	   19.69	      38	0	S	
09:35	   19.70	      28	0	S	
09:36	   19.79	      32	0	B	
09:36	   19.70	      12	0	S	
09:36	   19.70	      47	0	S	
09:36	   19.70	      38	0	B	
09:36	   19.59	      13	0	S	
09:36	   19.59	      19	0	S	
09:36	   19.59	       9	0	S	
09:36	   19.59	       2	0	B	
09:36	   19.69	     102	0	B	
09:36	   19.69	      68	0	S	
09:36	   19.70	     147	0	B	
09:37	   19.70	      30	0	S	
09:37	   19.69	      18	0	B	
09:37	   19.68	      35	0	B	
09:37	   19.67	       3	0	S	
09:37	   19.67	       2	0	S	
09:37	   19.69	      10	0	B	
09:37	   19.59	       1	0	S	
09:38	   19.59	      34	0	S	
09:38	   19.69	      42	0	B	
09:38	   19.59	      40	0	S	
09:38	   19.59	      18	0	B	
09:38	   19.59	      21	0	B	
09:38	   19.55	       5	0	S	
09:38	   19.50	      31	0	S	
09:38	   19.69	      90	0	B	
09:38	   19.50	       7	0	S	
09:38	   19.69	      40	0	B	
09:38	   19.69	      45	0	B	
09:39	   19.69	      35	0	B	
09:39	   19.69	      49	0	B	
09:39	   19.68	      46	0	B	
09:39	   19.68	      13	0	B	
09:39	   19.68	       4	0	B	
09:39	   19.68	      10	0	B	
09:39	   19.68	      26	0	B	
09:39	   19.68	       6	0	B	
09:39	   19.68	      18	0	B	
09:39	   19.67	      25	0	B	
09:39	   19.67	       3	0	B	
09:40	   19.67	       5	0	B	
09:40	   19.67	      28	0	S	
09:40	   19.69	      27	0	B	
09:40	   19.67	       4	0	B	
09:40	   19.69	       9	0	B	
09:40	   19.69	       5	0	B	
09:40	   19.69	       3	0	B	
09:40	   19.80	     131	0	B	
09:40	   19.69	     108	0	S	
09:40	   19.84	       5	0	B	
09:40	   19.84	      29	0	S	
09:40	   19.84	      21	0	S	
09:41	   19.83	       3	0	B	
09:41	   19.84	      30	0	B	
09:41	   19.80	       5	0	S	
09:41	   19.90	     183	0	B	
09:41	   19.90	      30	0	S	
09:41	   19.98	      15	0	B	
09:41	   19.92	     109	0	B	
09:41	   19.98	      31	0	B	
09:41	   19.98	      38	0	S	
09:41	   19.98	       2	0	B	
09:41	   19.97	      12	0	B	
09:41	   19.98	      20	0	B	
09:42	   19.98	       3	0	B	
09:42	   19.98	      65	0	S	
09:42	   19.98	      20	0	S	
09:42	   19.94	      25	0	S	
09:42	   19.98	      78	0	B	
09:42	   19.90	     280	0	S	
09:42	   19.97	       9	0	B	
09:42	   19.98	      57	0	B	
09:42	   19.99	      25	0	B	
09:42	   20.09	       8	0	B	
09:42	   19.99	      12	0	S	
09:42	   20.09	      66	0	B	
09:42	   20.08	      11	0	B	
09:42	   20.09	     111	0	B	
09:42	   19.99	      34	0	S	
09:42	   19.99	      34	0	S	
09:42	   20.20	     141	0	B	
09:43	   20.14	      43	0	S	
09:43	   20.14	       8	0	S	
09:43	   20.20	      21	0	B	
09:43	   20.13	       2	0	B	
09:43	   20.20	      55	0	B	
09:43	   19.99	      10	0	S	
09:43	   19.99	      22	0	S	
09:43	   20.08	      17	0	B	
09:43	   20.08	       0	0	B	
09:43	   20.08	      10	0	B	
09:43	   20.08	      20	0	B	
09:43	   20.07	      14	0	S	
09:43	   20.07	      13	0	B	
