                  20250422 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   20.24	       0	0	
09:15	   20.24	       0	0	
09:16	   21.66	       0	0	
09:16	   21.66	       0	0	
09:17	   20.24	       0	0	
09:17	   20.24	       0	0	
09:20	   20.24	       0	0	
09:21	   20.24	       0	0	
09:21	   20.24	       0	0	
09:22	   20.24	       0	0	
09:22	   20.24	       0	0	
09:22	   20.24	       0	0	
09:23	   20.24	       0	0	
09:23	   20.24	       0	0	
09:24	   20.24	       0	0	
09:24	   20.20	       0	0	
09:24	   20.20	       0	0	
09:24	   20.19	       0	0	
09:24	   20.19	       0	0	
09:24	   20.10	       0	0	
09:24	   20.10	       0	0	
09:25	   20.10	     115	0	
09:30	   20.09	      75	0	B	
09:30	   20.07	      63	0	B	
09:30	   20.10	      30	0	B	
09:30	   19.98	      32	0	S	
09:30	   19.97	      13	0	B	
09:30	   19.90	       3	0	B	
09:30	   20.01	      19	0	B	
09:30	   20.10	      10	0	B	
09:30	   20.02	      24	0	S	
09:30	   20.02	       2	0	B	
09:30	   20.01	      42	0	S	
09:31	   20.01	      46	0	S	
09:31	   20.08	      32	0	B	
09:31	   20.02	      45	0	S	
09:31	   20.01	      54	0	S	
09:31	   20.02	       5	0	B	
09:31	   20.02	       3	0	B	
09:31	   20.02	     124	0	B	
09:31	   20.01	     653	0	S	
09:31	   20.01	      53	0	S	
09:31	   20.10	       6	0	S	
09:31	   20.14	      14	0	B	
09:31	   20.14	       1	0	B	
09:31	   20.02	      44	0	S	
09:31	   20.17	      24	0	B	
09:31	   20.18	     306	0	B	
09:32	   20.18	       3	0	S	
09:32	   20.19	      20	0	B	
09:32	   20.19	       8	0	B	
09:32	   20.18	      76	0	S	
09:32	   20.19	      88	0	B	
09:32	   20.19	       5	0	S	
09:32	   20.19	      47	0	S	
09:32	   20.14	       2	0	B	
09:32	   20.15	       3	0	S	
09:32	   20.15	       2	0	S	
09:32	   20.15	       2	0	S	
09:32	   20.17	      24	0	B	
09:32	   20.17	       9	0	B	
09:32	   20.17	      24	0	B	
09:32	   20.16	       6	0	S	
09:32	   20.15	       2	0	S	
09:32	   20.16	       1	0	B	
09:33	   20.15	      47	0	S	
09:33	   20.15	       9	0	S	
09:33	   20.15	      15	0	B	
09:33	   20.12	      79	0	S	
09:33	   20.15	      10	0	B	
09:33	   20.12	      20	0	S	
09:33	   20.13	       3	0	S	
09:33	   20.03	      44	0	S	
09:33	   20.14	       9	0	B	
09:33	   20.14	       1	0	S	
09:33	   20.05	      12	0	S	
09:33	   20.05	       2	0	B	
09:33	   20.05	      31	0	B	
09:33	   20.05	      12	0	S	
09:33	   20.05	       7	0	S	
09:33	   20.05	       4	0	S	
09:34	   20.12	       6	0	B	
09:34	   20.05	       9	0	S	
09:34	   20.12	      20	0	B	
09:34	   20.06	       1	0	S	
09:34	   20.06	      11	0	S	
09:34	   20.06	      53	0	B	
09:34	   20.06	       9	0	B	
09:34	   20.06	       8	0	B	
09:34	   20.06	      22	0	S	
09:34	   20.06	       5	0	S	
09:34	   20.11	       6	0	B	
09:34	   20.11	       8	0	S	
09:35	   20.11	      10	0	B	
09:35	   20.12	      28	0	B	
09:35	   20.12	      40	0	B	
09:35	   20.13	       1	0	B	
09:35	   20.13	       3	0	B	
09:35	   20.16	      29	0	B	
09:35	   20.17	       2	0	B	
09:35	   20.16	       3	0	S	
09:35	   20.17	       4	0	B	
09:35	   20.18	       6	0	B	
09:35	   20.17	      19	0	S	
09:35	   20.17	      41	0	S	
09:35	   20.17	     109	0	B	
09:35	   20.17	      62	0	B	
09:36	   20.17	      42	0	B	
09:36	   20.16	     101	0	B	
09:36	   20.13	      19	0	B	
09:36	   20.13	      21	0	B	
09:36	   20.15	      25	0	B	
09:36	   20.13	      16	0	S	
09:36	   20.16	       5	0	B	
09:36	   20.17	       2	0	B	
09:36	   20.16	      10	0	S	
09:36	   20.17	       4	0	B	
09:36	   20.16	      10	0	S	
09:36	   20.17	       2	0	B	
09:36	   20.16	      22	0	S	
09:36	   20.16	      20	0	S	
09:36	   20.16	       3	0	B	
09:36	   20.16	      14	0	B	
09:37	   20.16	       1	0	B	
09:37	   20.16	       2	0	B	
09:37	   20.16	      23	0	B	
09:37	   20.16	       1	0	B	
09:37	   20.16	      47	0	B	
09:37	   20.16	       1	0	S	
09:37	   20.17	      33	0	B	
09:37	   20.17	      10	0	B	
09:37	   20.17	     143	0	B	
09:37	   20.18	       3	0	B	
09:37	   20.18	      84	0	B	
09:37	   20.19	       5	0	B	
09:37	   20.20	      75	0	B	
09:37	   20.24	      20	0	B	
09:37	   20.27	       8	0	B	
09:38	   20.28	      18	0	B	
09:38	   20.37	     100	0	B	
09:38	   20.29	       5	0	S	
09:38	   20.37	       9	0	B	
09:38	   20.38	       3	0	B	
09:38	   20.38	      20	0	B	
09:38	   20.46	     106	0	B	
09:38	   20.46	      68	0	S	
09:38	   20.46	      20	0	S	
09:38	   20.46	     177	0	S	
09:38	   20.46	       1	0	B	
09:38	   20.45	      71	0	B	
09:38	   20.44	       8	0	B	
09:38	   20.43	      16	0	B	
09:38	   20.37	      96	0	S	
09:38	   20.36	      18	0	
09:38	   20.37	      62	0	B	
09:39	   20.37	      60	0	S	
09:39	   20.36	      79	0	B	
09:39	   20.34	      35	0	S	
09:39	   20.40	     114	0	B	
09:39	   20.38	      56	0	S	
09:39	   20.38	       3	0	B	
09:39	   20.39	      52	0	S	
09:39	   20.38	      33	0	B	
09:39	   20.40	      18	0	B	
09:39	   20.38	      10	0	B	
09:39	   20.39	       5	0	B	
09:39	   20.39	       4	0	B	
09:39	   20.39	      20	0	B	
09:39	   20.39	       8	0	B	
09:39	   20.42	     180	0	B	
09:39	   20.43	     116	0	S	
09:40	   20.50	     366	0	B	
09:40	   20.50	      10	0	S	
09:40	   20.51	      41	0	B	
09:40	   20.51	      35	0	B	
09:40	   20.50	     118	0	S	
09:40	   20.52	      16	0	B	
09:40	   20.53	      28	0	B	
09:40	   20.53	       7	0	B	
09:40	   20.52	       9	0	S	
09:40	   20.53	      36	0	B	
09:40	   20.53	     114	0	S	
09:40	   20.55	     227	0	B	
09:40	   20.60	      41	0	B	
09:40	   20.55	      88	0	S	
09:40	   20.57	      13	0	B	
09:40	   20.64	      37	0	B	
09:40	   20.61	      19	0	S	
09:40	   20.61	      35	0	S	
09:40	   20.61	      74	0	S	
09:40	   20.57	     101	0	S	
09:41	   20.57	      80	0	S	
09:41	   20.56	      43	0	S	
09:41	   20.55	     136	0	S	
09:41	   20.55	      53	0	B	
09:41	   20.49	      19	0	S	
09:41	   20.45	      14	0	S	
09:41	   20.44	      68	0	S	
09:41	   20.45	      41	0	B	
09:41	   20.38	      11	0	S	
09:41	   20.41	      58	0	B	
09:41	   20.38	      85	0	S	
09:41	   20.39	      37	0	B	
09:41	   20.38	      29	0	B	
09:41	   20.39	      18	0	B	
09:41	   20.38	      10	0	S	
09:41	   20.39	       8	0	B	
09:41	   20.38	       5	0	S	
09:42	   20.36	      42	0	S	
09:42	   20.36	      34	0	B	
09:42	   20.36	      10	0	B	
09:42	   20.36	       9	0	B	
09:42	   20.36	       6	0	B	
09:42	   20.36	      60	0	S	
09:42	   20.45	      17	0	B	
09:42	   20.45	      21	0	S	
09:42	   20.44	      16	0	B	
09:42	   20.44	      34	0	B	
09:42	   20.44	       5	0	B	
09:42	   20.44	       4	0	B	
09:42	   20.44	      13	0	B	
09:42	   20.44	      51	0	B	
09:42	   20.44	       7	0	B	
09:43	   20.44	      15	0	B	
09:43	   20.44	     188	0	B	
09:43	   20.43	      13	0	B	
09:43	   20.38	      50	0	S	
09:43	   20.38	      66	0	S	
09:43	   20.38	      13	0	S	
09:43	   20.37	      23	0	S	
09:43	   20.36	       6	0	S	
09:43	   20.36	      10	0	S	
09:43	   20.37	     110	0	B	
09:43	   20.35	      33	0	S	
09:43	   20.37	       5	0	B	
09:43	   20.37	      20	0	S	
09:43	   20.37	      11	0	S	
09:43	   20.35	      90	0	S	
09:43	   20.35	      95	0	S	
09:44	   20.35	      63	0	S	
09:44	   20.35	      38	0	S	
09:44	   20.34	      89	0	S	
09:44	   20.32	      38	0	S	
09:44	   20.32	      10	0	S	
09:44	   20.31	     104	0	S	
09:44	   20.31	      51	0	S	
09:44	   20.30	      29	0	S	
09:44	   20.28	      25	0	S	
09:44	   20.32	     214	0	B	
09:44	   20.26	      34	0	S	
09:44	   20.26	      16	0	B	
09:44	   20.26	      44	0	S	
09:44	   20.25	      37	0	S	
09:45	   20.25	      27	0	S	
09:45	   20.25	      27	0	S	
09:45	   20.25	      46	0	S	
09:45	   20.22	      20	0	S	
09:45	   20.20	      59	0	S	
09:45	   20.20	      23	0	S	
09:45	   20.19	      39	0	S	
09:45	   20.17	      26	0	S	
09:45	   20.16	      20	0	S	
09:45	   20.15	      15	0	S	
09:45	   20.17	      36	0	B	
09:45	   20.13	       7	0	S	
09:45	   20.15	      45	0	B	
09:45	   20.11	      50	0	S	
09:45	   20.13	       2	0	S	
09:45	   20.15	       7	0	B	
09:46	   20.19	       6	0	B	
09:46	   20.18	      21	0	S	
09:46	   20.19	      22	0	
09:46	   20.19	      15	0	B	
09:46	   20.19	       2	0	B	
09:46	   20.20	       1	0	S	
09:46	   20.26	      10	0	B	
09:46	   20.26	      43	0	B	
09:46	   20.26	      24	0	S	
09:46	   20.26	      29	0	S	
09:46	   20.20	      55	0	S	
09:46	   20.20	       1	0	S	
09:46	   20.20	      34	0	B	
09:46	   20.20	      66	0	B	
09:46	   20.20	      24	0	S	
09:46	   20.20	      24	0	S	
09:46	   20.20	      12	0	S	
09:46	   20.20	       1	0	B	
09:47	   20.20	      15	0	B	
09:47	   20.18	     125	0	S	
09:47	   20.17	      38	0	S	
09:47	   20.15	      17	0	S	
09:47	   20.15	      14	0	S	
09:47	   20.14	       3	0	S	
09:47	   20.13	      40	0	S	
09:47	   20.11	      77	0	S	
09:47	   20.12	       5	0	B	
09:47	   20.11	      49	0	S	
09:47	   20.11	      15	0	B	
09:47	   20.11	      37	0	B	
09:47	   20.12	      20	0	B	
09:47	   20.12	      17	0	B	
09:48	   20.12	      10	0	S	
09:48	   20.15	       6	0	B	
09:48	   20.12	      33	0	S	
09:48	   20.27	       2	0	B	
09:49	   20.13	      48	0	S	
09:49	   20.13	      10	0	B	
09:49	   20.10	     128	0	S	
09:49	   20.12	      12	0	B	
09:49	   20.10	      10	0	S	
09:49	   20.14	       3	0	B	
09:50	   20.14	      42	0	S	
09:50	   20.10	      26	0	S	
09:50	   20.10	      51	0	S	
09:50	   20.12	      17	0	B	
09:50	   20.12	      11	0	S	
09:50	   20.12	       8	0	B	
09:50	   20.11	      21	0	S	
09:50	   20.11	       5	0	B	
09:50	   20.11	      20	0	B	
09:50	   20.11	       2	0	B	
09:51	   20.10	     149	0	S	
09:51	   20.08	      20	0	S	
09:51	   20.08	      17	0	S	
09:51	   20.08	      62	0	B	
09:51	   20.08	      67	0	B	
09:51	   20.07	      39	0	S	
09:51	   20.06	     103	0	S	
09:51	   20.06	      27	0	S	
09:51	   20.06	       5	0	S	
09:51	   20.06	       2	0	S	
09:51	   20.08	       5	0	B	
09:51	   20.06	      20	0	S	
09:51	   20.08	       6	0	B	
09:51	   20.06	      55	0	S	
09:51	   20.08	       9	0	B	
09:52	   20.09	       4	0	B	
09:52	   20.11	      17	0	B	
09:52	   20.11	       5	0	B	
09:52	   20.11	      17	0	B	
09:52	   20.11	      23	0	B	
09:52	   20.10	      27	0	S	
09:52	   20.11	       1	0	B	
09:52	   20.10	      22	0	S	
09:53	   20.10	      26	0	B	
09:53	   20.11	      10	0	B	
09:53	   20.10	      33	0	S	
09:53	   20.11	      12	0	B	
09:53	   20.10	       2	0	S	
09:53	   20.11	       9	0	B	
09:53	   20.11	       2	0	B	
09:53	   20.11	       1	0	B	
09:54	   20.12	      17	0	B	
09:54	   20.12	      24	0	S	
09:54	   20.20	      25	0	B	
09:54	   20.22	      54	0	B	
09:54	   20.12	       5	0	S	
09:54	   20.20	      14	0	S	
09:54	   20.12	      25	0	S	
09:54	   20.11	      20	0	S	
09:54	   20.11	       3	0	B	
09:54	   20.10	      76	0	S	
09:54	   20.12	      25	0	S	
09:54	   20.12	      24	0	S	
09:54	   20.12	      24	0	S	
09:54	   20.12	       9	0	S	
09:55	   20.09	      61	0	S	
09:55	   20.08	      24	0	S	
09:55	   20.09	      40	0	B	
09:55	   20.09	      25	0	B	
09:55	   20.09	      96	0	B	
09:55	   20.09	       6	0	S	
09:56	   20.09	       1	0	B	
09:56	   20.08	      48	0	S	
09:56	   20.07	      25	0	S	
09:56	   20.08	       4	0	B	
09:56	   20.09	      10	0	B	
09:56	   20.09	       2	0	B	
09:56	   20.09	      32	0	S	
09:57	   20.09	      34	0	S	
09:57	   20.09	       1	0	B	
09:57	   20.08	      11	0	S	
09:57	   20.07	       1	0	S	
09:57	   20.08	      20	0	B	
09:57	   20.07	      15	0	S	
09:57	   20.07	       6	0	S	
09:57	   20.07	       1	0	S	
09:58	   20.07	      43	0	S	
09:58	   20.07	       5	0	S	
09:58	   20.07	      11	0	S	
09:58	   20.07	      15	0	B	
09:58	   20.07	      16	0	B	
09:58	   20.06	      10	0	S	
09:58	   20.06	       6	0	S	
09:58	   20.07	      16	0	B	
09:58	   20.06	       9	0	S	
09:58	   20.06	      10	0	B	
09:59	   20.06	       1	0	B	
09:59	   20.06	      30	0	S	
09:59	   20.06	      28	0	S	
09:59	   20.07	      21	0	B	
09:59	   20.07	       6	0	S	
09:59	   20.14	      18	0	B	
10:00	   20.14	       0	0	B	
10:00	   20.14	      30	0	S	
10:00	   20.14	      34	0	S	
10:00	   20.12	     200	0	B	
10:00	   20.12	       5	0	B	
10:00	   20.12	      30	0	B	
10:00	   20.12	     124	0	B	
10:00	   20.11	      24	0	S	
10:00	   20.11	       9	0	S	
10:00	   20.09	      14	0	S	
10:01	   20.11	      50	0	B	
10:01	   20.11	       5	0	B	
10:01	   20.12	      58	0	B	
10:02	   20.20	       6	0	B	
10:02	   20.13	       4	0	S	
10:02	   20.13	      26	0	S	
10:02	   20.13	      32	0	B	
10:02	   20.12	      60	0	S	
10:02	   20.13	      24	0	B	
10:02	   20.13	      24	0	S	
10:02	   20.13	      24	0	S	
