                  20250424 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   20.16	       0	0	
09:16	   20.16	       0	0	
09:17	   20.53	       0	0	
09:18	   20.53	       0	0	
09:18	   20.61	       0	0	
09:18	   20.61	       0	0	
09:18	   20.60	       0	0	
09:19	   20.53	       0	0	
09:20	   20.53	       0	0	
09:21	   20.52	       0	0	
09:21	   20.53	       0	0	
09:22	   20.53	       0	0	
09:22	   20.53	       0	0	
09:22	   20.53	       0	0	
09:22	   20.53	       0	0	
09:23	   20.53	       0	0	
09:23	   20.53	       0	0	
09:23	   20.53	       0	0	
09:24	   20.32	       0	0	
09:24	   20.18	       0	0	
09:24	   20.17	       0	0	
09:24	   20.18	       0	0	
09:24	   20.18	       0	0	
09:24	   20.16	       0	0	
09:24	   20.18	       0	0	
09:24	   20.21	       0	0	
09:24	   20.21	       0	0	
09:24	   20.30	       0	0	
09:25	   20.32	     218	0	
09:30	   20.32	     184	0	S	
09:30	   20.30	      26	0	S	
09:30	   20.39	      10	0	B	
09:30	   20.32	      39	0	S	
09:30	   20.27	       3	0	S	
09:30	   20.31	      12	0	B	
09:30	   20.22	     157	0	S	
09:30	   20.27	      12	0	B	
09:30	   20.32	      16	0	B	
09:30	   20.22	      58	0	S	
09:30	   20.26	      10	0	B	
09:30	   20.26	       7	0	B	
09:30	   20.22	      12	0	S	
09:30	   20.26	       0	0	S	
09:30	   20.22	      15	0	S	
09:31	   20.25	       4	0	B	
09:31	   20.25	       3	0	B	
09:31	   20.25	       0	0	B	
09:31	   20.23	      10	0	S	
09:31	   20.21	      98	0	S	
09:31	   20.20	      76	0	S	
09:31	   20.19	     184	0	S	
09:31	   20.11	      11	0	S	
09:31	   20.19	     155	0	B	
09:31	   20.19	      40	0	B	
09:31	   20.19	      19	0	B	
09:31	   20.05	      98	0	S	
09:31	   20.11	      29	0	S	
09:31	   20.07	       8	0	S	
09:32	   20.09	     105	0	S	
09:32	   20.07	      80	0	S	
09:32	   20.07	      59	0	B	
09:32	   20.06	      40	0	S	
09:32	   20.06	       9	0	B	
09:32	   20.00	     442	0	S	
09:32	   20.00	     337	0	B	
09:32	   20.00	      24	0	B	
09:32	   19.99	      61	0	S	
09:32	   20.00	     478	0	B	
09:32	   19.99	      91	0	S	
09:32	   20.02	      42	0	B	
09:32	   20.06	      23	0	B	
09:32	   20.11	       5	0	B	
09:32	   20.19	      24	0	B	
09:32	   20.11	      22	0	S	
09:32	   20.19	       5	0	S	
09:32	   20.19	      24	0	B	
09:33	   20.19	      10	0	B	
09:33	   20.19	      22	0	B	
09:33	   20.14	      25	0	S	
09:33	   20.14	       9	0	S	
09:33	   20.06	     103	0	S	
09:33	   20.06	      26	0	S	
09:33	   20.09	       1	0	B	
09:33	   20.09	       8	0	B	
09:33	   20.19	       3	0	B	
09:33	   20.09	      10	0	S	
09:33	   20.06	      90	0	S	
09:33	   20.05	      10	0	B	
09:33	   20.05	       5	0	B	
09:33	   20.05	       3	0	B	
09:33	   20.01	      25	0	S	
09:33	   19.98	      77	0	S	
09:34	   20.05	      16	0	B	
09:34	   19.96	     147	0	S	
09:34	   20.01	      10	0	S	
09:34	   19.99	      11	0	S	
09:34	   19.99	      15	0	S	
09:34	   20.01	      52	0	B	
09:34	   20.01	       9	0	B	
09:34	   20.01	      16	0	B	
09:34	   20.05	      32	0	B	
09:34	   20.05	      20	0	S	
