                  20250430 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:24	   18.63	       0	0	
09:24	   18.63	       0	0	
09:24	   18.58	       0	0	
09:24	   18.50	       0	0	
09:24	   18.50	       0	0	
09:24	   18.50	       0	0	
09:25	   18.50	      11	0	
09:30	   18.32	      42	0	S	
09:30	   18.32	       2	0	B	
09:30	   18.32	      15	0	B	
09:30	   18.32	      13	0	S	
09:30	   18.32	       1	0	B	
09:30	   18.32	       4	0	B	
09:30	   18.45	       2	0	B	
09:31	   18.44	       1	0	B	
09:31	   18.44	       5	0	B	
09:31	   18.45	       8	0	B	
09:31	   18.44	     130	0	S	
09:31	   18.48	       4	0	B	
09:31	   18.44	      34	0	S	
09:31	   18.48	       1	0	S	
09:31	   18.47	       2	0	B	
09:31	   18.45	       2	0	S	
09:31	   18.47	       2	0	B	
09:31	   18.47	       7	0	B	
09:31	   18.47	       4	0	B	
09:31	   18.48	      13	0	B	
09:31	   18.49	      40	0	B	
09:31	   18.50	      37	0	B	
09:31	   18.55	     102	0	B	
09:32	   18.57	      14	0	B	
09:32	   18.58	      63	0	B	
09:32	   18.60	      59	0	B	
09:32	   18.70	      43	0	B	
09:32	   18.70	      36	0	S	
09:32	   18.62	      26	0	S	
09:32	   18.68	      22	0	B	
09:32	   18.68	      17	0	B	
09:32	   18.68	      45	0	S	
09:32	   18.68	       2	0	B	
09:32	   18.68	      18	0	S	
09:32	   18.62	      98	0	S	
09:32	   18.62	      14	0	S	
09:32	   18.60	       8	0	B	
09:32	   18.62	       0	0	B	
09:32	   18.62	       5	0	B	
09:32	   18.62	      24	0	B	
09:32	   18.62	       6	0	B	
09:33	   18.64	       2	0	B	
09:33	   18.62	      10	0	S	
09:33	   18.61	       6	0	S	
09:33	   18.60	      21	0	S	
09:33	   18.60	      10	0	S	
09:33	   18.60	       7	0	S	
09:33	   18.60	      55	0	S	
09:33	   18.60	       5	0	S	
09:33	   18.60	      10	0	S	
09:33	   18.60	      58	0	S	
09:33	   18.59	      61	0	S	
09:34	   18.56	      28	0	B	
09:34	   18.58	      20	0	B	
09:34	   18.58	      19	0	B	
09:34	   18.59	      19	0	B	
09:34	   18.59	      40	0	B	
09:34	   18.60	      43	0	B	
09:34	   18.62	     246	0	B	
09:34	   18.66	      43	0	B	
09:34	   18.67	      58	0	B	
09:34	   18.68	      21	0	B	
09:34	   18.71	      72	0	B	
09:34	   18.74	      20	0	B	
09:35	   18.74	       6	0	S	
09:35	   18.74	      79	0	S	
09:35	   18.74	       6	0	B	
09:35	   18.69	      35	0	S	
09:35	   18.69	       6	0	B	
09:35	   18.68	      16	0	B	
09:35	   18.68	     163	0	B	
09:35	   18.60	      14	0	S	
09:35	   18.60	       8	0	B	
09:35	   18.60	      20	0	B	
09:35	   18.60	     134	0	B	
09:35	   18.60	       3	0	B	
09:35	   18.60	      40	0	S	
09:35	   18.60	      10	0	S	
09:35	   18.68	       2	0	B	
09:35	   18.68	       1	0	B	
09:36	   18.65	       1	0	B	
09:36	   18.55	      35	0	S	
09:36	   18.55	      11	0	B	
09:36	   18.53	       4	0	S	
09:36	   18.59	       6	0	S	
09:36	   18.59	       5	0	S	
09:36	   18.59	       4	0	B	
09:36	   18.59	       4	0	B	
09:36	   18.59	      42	0	B	
09:36	   18.59	      14	0	S	
09:36	   18.59	      30	0	S	
09:37	   18.60	       2	0	S	
09:37	   18.61	       1	0	S	
09:37	   18.65	      21	0	B	
09:37	   18.66	      19	0	B	
09:37	   18.65	      16	0	S	
09:37	   18.66	      18	0	B	
09:37	   18.60	     100	0	S	
09:37	   18.65	      14	0	B	
09:37	   18.60	      50	0	S	
09:37	   18.60	       3	0	S	
09:37	   18.59	      23	0	S	
09:38	   18.59	      37	0	B	
09:38	   18.56	      12	0	S	
09:38	   18.56	      15	0	S	
09:38	   18.56	      35	0	S	
09:38	   18.56	      30	0	B	
09:38	   18.56	      70	0	B	
09:38	   18.56	       4	0	B	
