                  20250507 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   21.00	       0	0	
09:16	   14.09	       0	0	
09:16	   14.09	       0	0	
09:16	   14.09	       0	0	
09:16	   14.09	       0	0	
09:16	   14.09	       0	0	
09:16	   14.09	       0	0	
09:16	   16.00	       0	0	
09:17	   16.00	       0	0	
09:17	   21.00	       0	0	
09:17	   21.11	       0	0	
09:17	   21.00	       0	0	
09:17	   21.00	       0	0	
09:17	   21.00	       0	0	
09:18	   21.00	       0	0	
09:18	   20.98	       0	0	
09:19	   20.98	       0	0	
09:19	   20.98	       0	0	
09:20	   20.97	       0	0	
09:20	   20.97	       0	0	
09:21	   20.89	       0	0	
09:21	   20.89	       0	0	
09:22	   20.00	       0	0	
09:22	   20.01	       0	0	
09:23	   20.04	       0	0	
09:23	   20.04	       0	0	
09:23	   20.04	       0	0	
09:23	   20.04	       0	0	
09:24	   20.01	       0	0	
09:24	   20.04	       0	0	
09:24	   20.04	       0	0	
09:24	   20.06	       0	0	
09:24	   20.06	       0	0	
09:24	   20.08	       0	0	
09:24	   20.06	       0	0	
09:24	   20.08	       0	0	
09:24	   20.08	       0	0	
09:24	   20.08	       0	0	
09:24	   20.08	       0	0	
09:24	   20.13	       0	0	
09:24	   20.15	       0	0	
09:25	   20.15	     220	0	
09:30	   20.55	     175	0	B	
09:30	   20.60	     124	0	S	
09:30	   20.55	     125	0	S	
09:30	   20.60	      43	0	B	
09:30	   20.55	     124	0	S	
09:30	   20.50	      61	0	S	
09:30	   20.30	      73	0	S	
09:30	   20.50	       1	0	B	
09:30	   20.32	      15	0	S	
09:30	   20.50	       6	0	B	
09:30	   20.32	      41	0	S	
09:30	   20.49	       1	0	B	
09:30	   20.32	      42	0	S	
09:30	   20.32	      29	0	B	
09:30	   20.33	      78	0	B	
09:30	   20.33	      57	0	S	
09:30	   20.38	       9	0	S	
09:31	   20.40	       1	0	S	
09:31	   20.38	      21	0	S	
09:31	   20.38	      10	0	S	
09:31	   20.38	      23	0	B	
09:31	   20.36	       4	0	S	
09:31	   20.38	      74	0	B	
09:31	   20.40	       9	0	B	
09:31	   20.40	      14	0	B	
09:31	   20.40	       3	0	B	
09:31	   20.40	      50	0	S	
09:31	   20.40	      17	0	B	
09:31	   20.40	      29	0	B	
09:31	   20.40	     104	0	B	
09:31	   20.38	      25	0	S	
09:31	   20.40	       2	0	B	
09:31	   20.40	     154	0	B	
09:31	   20.40	       7	0	B	
09:32	   20.40	       2	0	B	
09:32	   20.40	       5	0	S	
09:32	   20.43	       2	0	B	
09:32	   20.34	      11	0	S	
09:32	   20.33	       4	0	S	
09:32	   20.30	       6	0	S	
09:32	   20.34	      99	0	B	
09:32	   20.33	       1	0	S	
09:32	   20.33	      33	0	S	
09:32	   20.30	      12	0	S	
09:32	   20.31	      86	0	B	
09:32	   20.33	       9	0	B	
09:32	   20.31	      10	0	S	
09:32	   20.33	      15	0	B	
09:33	   20.31	      61	0	S	
09:33	   20.31	       2	0	B	
09:33	   20.33	      18	0	B	
09:33	   20.34	       2	0	B	
09:33	   20.34	       2	0	B	
09:33	   20.34	       2	0	B	
09:33	   20.36	       1	0	S	
09:33	   20.40	      50	0	B	
09:33	   20.39	      62	0	S	
09:33	   20.40	      58	0	B	
09:33	   20.40	      14	0	B	
09:33	   20.40	      31	0	B	
09:33	   20.43	      32	0	B	
09:33	   20.43	      36	0	B	
09:33	   20.39	       4	0	S	
09:33	   20.38	       2	0	B	
09:33	   20.38	       4	0	B	
09:34	   20.40	      10	0	B	
09:34	   20.40	      71	0	B	
09:34	   20.42	      19	0	B	
09:34	   20.43	       4	0	B	
09:34	   20.47	      19	0	B	
09:34	   20.47	      34	0	B	
09:34	   20.48	       5	0	B	
09:34	   20.49	       5	0	B	
09:34	   20.47	      91	0	S	
09:34	   20.50	      41	0	B	
09:34	   20.50	      15	0	B	
09:34	   20.56	      25	0	B	
09:34	   20.50	      10	0	S	
09:34	   20.54	       4	0	B	
09:34	   20.50	      19	0	S	
09:34	   20.50	       2	0	B	
09:34	   20.54	       9	0	B	
09:34	   20.48	       4	0	S	
09:34	   20.48	      23	0	B	
09:35	   20.48	       2	0	B	
09:35	   20.35	       7	0	S	
09:35	   20.48	       2	0	B	
09:35	   20.48	      57	0	B	
09:35	   20.49	       2	0	B	
09:35	   20.48	      82	0	S	
09:35	   20.48	       2	0	B	
09:35	   20.47	       2	0	B	
09:35	   20.39	       5	0	S	
09:35	   20.39	      25	0	B	
09:35	   20.38	     125	0	S	
09:35	   20.39	      19	0	B	
09:35	   20.38	       6	0	S	
09:36	   20.40	       1	0	S	
09:36	   20.40	       5	0	B	
09:36	   20.40	      27	0	B	
09:36	   20.40	      19	0	B	
09:36	   20.38	       2	0	
09:36	   20.38	       2	0	B	
09:36	   20.36	      11	0	S	
09:36	   20.36	       2	0	B	
09:36	   20.36	       2	0	B	
09:36	   20.35	      49	0	S	
09:36	   20.35	       2	0	B	
