                  20250508 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   19.70	       0	0	
09:15	   19.70	       0	0	
09:16	   20.50	       0	0	
09:16	   20.50	       0	0	
09:16	   20.80	       0	0	
09:16	   21.00	       0	0	
09:17	   21.43	       0	0	
09:17	   21.00	       0	0	
09:17	   20.80	       0	0	
09:17	   21.43	       0	0	
09:17	   21.43	       0	0	
09:17	   21.43	       0	0	
09:17	   21.00	       0	0	
09:17	   21.43	       0	0	
09:18	   21.43	       0	0	
09:18	   21.43	       0	0	
09:18	   21.39	       0	0	
09:18	   21.43	       0	0	
09:18	   21.55	       0	0	
09:18	   21.55	       0	0	
09:18	   21.43	       0	0	
09:19	   22.75	       0	0	
09:19	   21.00	       0	0	
09:19	   20.80	       0	0	
09:19	   20.80	       0	0	
09:19	   20.80	       0	0	
09:19	   19.70	       0	0	
09:21	   19.70	       0	0	
09:23	   19.70	       0	0	
09:23	   19.70	       0	0	
09:23	   19.70	       0	0	
09:24	   19.70	       0	0	
09:24	   19.69	       0	0	
09:24	   19.70	       0	0	
09:24	   19.70	       0	0	
09:25	   19.70	      27	0	
09:30	   19.63	     236	0	S	
09:30	   19.63	     126	0	B	
09:30	   19.60	       4	0	B	
09:30	   19.48	       4	0	S	
09:30	   19.59	       5	0	B	
09:30	   19.50	      96	0	S	
09:30	   19.50	      35	0	B	
09:30	   19.56	      15	0	B	
09:30	   19.60	      14	0	B	
09:31	   19.51	       5	0	S	
09:31	   19.52	       2	0	S	
09:31	   19.60	       9	0	B	
09:31	   19.52	      53	0	S	
09:31	   19.60	       3	0	S	
09:31	   19.63	      50	0	B	
09:31	   19.59	      10	0	B	
09:31	   19.63	     249	0	B	
09:31	   19.70	       8	0	B	
09:32	   19.63	      50	0	S	
09:32	   19.61	      50	0	B	
09:32	   19.61	      29	0	B	
09:32	   19.61	       3	0	S	
09:32	   19.53	      50	0	S	
09:32	   19.69	      18	0	B	
09:32	   19.68	       5	0	B	
09:32	   19.70	      25	0	B	
09:32	   19.68	       2	0	S	
09:33	   19.68	      24	0	S	
09:33	   19.70	      25	0	B	
09:33	   19.70	      36	0	B	
09:33	   19.70	      57	0	B	
09:33	   19.68	      60	0	S	
09:33	   19.68	      20	0	B	
09:33	   19.68	       7	0	B	
09:33	   19.67	      11	0	B	
09:33	   19.67	      10	0	B	
09:33	   19.68	      84	0	B	
09:33	   19.70	      26	0	B	
09:33	   19.68	     114	0	S	
09:33	   19.68	       0	0	S	
09:33	   19.68	      19	0	S	
09:33	   19.70	       1	0	S	
09:33	   19.68	      16	0	S	
09:33	   19.75	      49	0	S	
09:34	   19.75	      30	0	B	
09:34	   19.75	      53	0	B	
09:34	   19.75	       3	0	S	
09:34	   19.79	      25	0	B	
09:34	   19.75	      80	0	S	
09:34	   19.79	       5	0	B	
09:34	   19.79	       3	0	S	
09:34	   19.79	      19	0	S	
09:34	   19.82	       3	0	B	
09:34	   19.79	      25	0	S	
09:34	   19.75	       2	0	S	
09:34	   19.75	      38	0	S	
09:34	   19.65	      13	0	S	
09:34	   19.75	       8	0	B	
09:34	   19.75	       2	0	S	
09:34	   19.75	       2	0	S	
09:34	   19.75	      19	0	S	
09:35	   19.75	      15	0	B	
09:35	   19.79	      28	0	B	
09:35	   19.80	      30	0	B	
09:35	   19.74	      20	0	B	
09:35	   19.80	       8	0	B	
09:35	   19.78	       3	0	S	
09:35	   19.78	       2	0	S	
09:35	   19.81	      10	0	B	
09:35	   19.81	      40	0	B	
09:35	   19.82	      20	0	B	
09:35	   19.82	      69	0	B	
09:35	   19.82	      32	0	S	
09:36	   19.84	      82	0	B	
09:36	   19.88	      54	0	B	
09:36	   19.90	       5	0	B	
09:36	   19.85	       5	0	S	
09:36	   19.88	      44	0	B	
09:36	   19.85	       5	0	S	
09:36	   19.88	      15	0	B	
09:36	   19.85	       7	0	S	
09:36	   19.88	       2	0	B	
09:36	   19.88	       2	0	S	
09:36	   19.88	       1	0	S	
09:36	   19.85	      12	0	S	
09:36	   19.85	       2	0	S	
09:36	   19.92	      40	0	B	
09:36	   19.88	      14	0	S	
09:36	   19.88	       2	0	S	
09:37	   19.88	       2	0	S	
09:37	   19.93	      64	0	B	
09:37	   19.92	       5	0	S	
09:37	   19.91	      10	0	S	
09:37	   19.86	       2	0	S	
09:37	   19.91	      22	0	B	
09:37	   19.91	       8	0	B	
09:37	   19.87	       2	0	S	
09:37	   19.87	       2	0	S	
09:37	   19.87	      21	0	S	
09:37	   19.87	       2	0	S	
09:37	   19.88	       6	0	B	
09:37	   19.90	      42	0	B	
09:37	   19.90	       2	0	S	
09:37	   19.90	      21	0	S	
09:37	   19.90	      35	0	B	
09:37	   19.90	       8	0	S	
09:37	   19.90	      15	0	S	
09:37	   19.87	      13	0	S	
09:38	   19.91	      78	0	B	
09:38	   19.91	       3	0	B	
09:38	   19.91	       1	0	B	
09:38	   19.91	      16	0	B	
09:38	   19.90	       6	0	B	
09:38	   19.92	      59	0	B	
09:38	   19.87	      34	0	S	
09:38	   19.87	       5	0	B	
09:38	   19.86	       2	0	S	
09:38	   19.93	      10	0	B	
09:38	   19.93	       1	0	B	
09:38	   19.91	      67	0	B	
09:38	   19.88	      30	0	S	
09:38	   19.92	      42	0	B	
09:38	   19.93	       8	0	B	
09:39	   19.93	      62	0	B	
09:39	   19.97	     213	0	B	
09:39	   19.97	      98	0	B	
09:39	   19.98	      30	0	B	
09:39	   19.99	      37	0	B	
09:39	   20.03	      20	0	B	
09:39	   20.10	      17	0	B	
09:39	   20.10	      29	0	B	
09:39	   20.10	      90	0	S	
09:39	   20.10	      26	0	S	
09:39	   20.09	      40	0	S	
09:39	   20.06	       4	0	B	
09:39	   20.04	       5	0	B	
09:39	   20.06	     179	0	B	
09:39	   20.07	      63	0	S	
09:39	   20.07	     207	0	S	
09:40	   20.07	     125	0	S	
09:40	   20.04	       9	0	S	
09:40	   20.06	      14	0	B	
09:40	   19.98	      12	0	S	
09:40	   20.04	       2	0	B	
09:40	   20.04	      23	0	B	
09:40	   20.04	      30	0	S	
09:40	   20.04	      19	0	S	
09:40	   20.01	       2	0	S	
09:40	   20.05	      30	0	B	
09:40	   20.05	       2	0	B	
09:40	   20.05	      42	0	B	
09:40	   19.98	      45	0	S	
09:40	   19.98	      91	0	S	
09:40	   19.98	      13	0	S	
09:41	   20.00	      50	0	S	
09:41	   20.00	       5	0	S	
09:41	   20.00	      43	0	B	
09:41	   20.03	       5	0	B	
09:41	   20.04	       2	0	B	
09:41	   20.04	       4	0	B	
09:41	   20.04	       1	0	B	
09:41	   20.04	      30	0	S	
09:41	   20.05	      10	0	B	
09:41	   20.05	      14	0	B	
09:41	   20.06	      60	0	B	
09:41	   20.06	       2	0	B	
09:41	   20.05	       7	0	S	
09:41	   20.05	      12	0	S	
09:41	   20.05	      12	0	B	
09:41	   20.05	      20	0	B	
09:41	   20.05	      20	0	B	
09:42	   20.05	      25	0	B	
09:42	   20.04	       7	0	B	
09:42	   20.03	       1	0	S	
09:42	   20.03	      14	0	S	
09:42	   20.00	       1	0	S	
09:42	   20.00	      52	0	S	
09:42	   19.99	       5	0	
09:42	   19.98	      24	0	S	
09:42	   19.98	       5	0	B	
09:42	   19.98	      10	0	B	
09:42	   19.97	      10	0	S	
09:42	   19.98	      23	0	B	
09:43	   19.98	      10	0	S	
09:43	   19.98	      21	0	S	
09:43	   19.99	       2	0	B	
09:43	   20.03	      50	0	B	
09:43	   20.00	       5	0	S	
09:43	   19.99	      10	0	S	
