                  20250509 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   20.88	       0	0	
09:16	   22.65	       0	0	
09:16	   22.65	       0	0	
09:16	   22.65	       0	0	
09:17	   22.65	       0	0	
09:17	   22.65	       0	0	
09:17	   22.65	       0	0	
09:17	   22.65	       0	0	
09:17	   22.65	       0	0	
09:17	   22.65	       0	0	
09:17	   22.65	       0	0	
09:18	   22.65	       0	0	
09:18	   22.65	       0	0	
09:18	   22.65	       0	0	
09:18	   22.65	       0	0	
09:18	   22.65	       0	0	
09:18	   22.65	       0	0	
09:19	   22.65	       0	0	
09:19	   20.89	       0	0	
09:20	   20.80	       0	0	
09:20	   21.50	       0	0	
09:20	   21.50	       0	0	
09:20	   21.50	       0	0	
09:20	   21.50	       0	0	
09:21	   21.48	       0	0	
09:21	   21.40	       0	0	
09:21	   21.38	       0	0	
09:21	   21.30	       0	0	
09:21	   21.30	       0	0	
09:21	   21.30	       0	0	
09:21	   21.28	       0	0	
09:22	   21.28	       0	0	
09:22	   21.25	       0	0	
09:22	   21.28	       0	0	
09:22	   21.28	       0	0	
09:22	   21.28	       0	0	
09:22	   21.28	       0	0	
09:22	   21.28	       0	0	
09:23	   21.28	       0	0	
09:23	   21.28	       0	0	
09:23	   21.28	       0	0	
09:23	   21.28	       0	0	
09:23	   21.25	       0	0	
09:23	   21.25	       0	0	
09:23	   21.08	       0	0	
09:23	   21.00	       0	0	
09:23	   21.00	       0	0	
09:23	   21.00	       0	0	
09:24	   21.00	       0	0	
09:24	   21.00	       0	0	
09:24	   21.00	       0	0	
09:24	   20.80	       0	0	
09:24	   20.80	       0	0	
09:24	   20.50	       0	0	
09:24	   20.50	       0	0	
09:24	   20.30	       0	0	
09:24	   20.30	       0	0	
09:24	   20.30	       0	0	
09:24	   20.35	       0	0	
09:25	   20.30	     214	0	
09:30	   20.30	     139	0	S	
09:30	   20.30	     122	0	B	
09:30	   20.34	      31	0	B	
09:30	   20.30	       1	0	B	
09:30	   20.35	      59	0	B	
09:30	   20.35	       9	0	B	
09:30	   20.49	      32	0	B	
09:30	   20.50	      45	0	B	
09:30	   20.50	      25	0	S	
09:30	   20.53	      82	0	B	
09:30	   20.53	      87	0	S	
09:30	   20.53	     115	0	B	
09:30	   20.50	     267	0	S	
09:30	   20.50	      73	0	B	
09:30	   20.45	      59	0	B	
09:30	   20.50	      74	0	B	
09:30	   20.45	      46	0	S	
09:31	   20.45	       8	0	B	
09:31	   20.45	      46	0	S	
09:31	   20.43	       1	0	B	
09:31	   20.43	      28	0	S	
09:31	   20.50	      23	0	B	
09:31	   20.49	       4	0	B	
09:31	   20.50	      37	0	B	
09:31	   20.49	      87	0	S	
09:31	   20.51	      40	0	B	
09:31	   20.49	     115	0	B	
09:31	   20.49	      26	0	S	
09:31	   20.47	      20	0	B	
09:31	   20.41	     104	0	S	
09:31	   20.49	     109	0	B	
09:31	   20.36	       1	0	S	
09:31	   20.49	      19	0	B	
09:31	   20.45	      98	0	S	
09:32	   20.36	      74	0	S	
09:32	   20.36	      19	0	B	
09:32	   20.36	      12	0	B	
09:32	   20.35	      55	0	S	
09:32	   20.35	      27	0	S	
09:32	   20.30	      11	0	S	
09:32	   20.31	       5	0	S	
09:32	   20.31	       6	0	S	
09:32	   20.31	      10	0	S	
09:32	   20.31	       1	0	S	
09:32	   20.31	      33	0	S	
09:32	   20.31	      78	0	B	
09:32	   20.32	       8	0	S	
09:32	   20.23	      35	0	S	
09:33	   20.21	       1	0	S	
09:33	   20.21	      50	0	S	
09:33	   20.18	      29	0	S	
09:33	   20.21	       3	0	B	
09:33	   20.30	      15	0	B	
09:33	   20.23	      27	0	S	
09:33	   20.35	      96	0	B	
09:33	   20.35	      25	0	S	
09:33	   20.35	      30	0	S	
09:33	   20.36	      41	0	S	
09:33	   20.35	      41	0	S	
09:33	   20.42	      10	0	B	
09:33	   20.34	       2	0	B	
09:34	   20.34	       8	0	B	
09:34	   20.35	      51	0	B	
09:34	   20.30	     227	0	S	
09:34	   20.27	      55	0	B	
09:34	   20.27	      12	0	B	
09:34	   20.27	      85	0	B	
09:34	   20.27	     177	0	B	
09:34	   20.38	      10	0	B	
09:34	   20.40	       2	0	S	
09:34	   20.42	       5	0	B	
09:34	   20.38	      20	0	
09:34	   20.38	       8	0	B	
09:34	   20.38	      17	0	B	
09:34	   20.40	       9	0	B	
09:34	   20.39	       1	0	B	
09:35	   20.39	       1	0	B	
09:35	   20.38	      29	0	S	
09:35	   20.38	       1	0	S	
09:35	   20.37	       2	0	B	
09:35	   20.37	       5	0	S	
09:35	   20.37	      17	0	S	
09:35	   20.36	       7	0	S	
09:35	   20.36	      14	0	S	
09:35	   20.35	       6	0	S	
09:35	   20.35	       4	0	S	
09:35	   20.34	       2	0	S	
09:35	   20.27	      12	0	S	
09:36	   20.30	       2	0	S	
09:36	   20.25	      22	0	S	
09:36	   20.25	      11	0	B	
09:36	   20.21	      63	0	S	
09:36	   20.20	      18	0	S	
09:36	   20.20	      22	0	B	
09:36	   20.17	      95	0	S	
09:36	   20.18	      20	0	B	
09:36	   20.15	      14	0	S	
09:36	   20.15	      10	0	S	
09:36	   20.13	       6	0	S	
09:36	   20.10	      44	0	S	
09:37	   20.10	       2	0	S	
09:37	   20.10	      10	0	S	
09:37	   20.05	      34	0	S	
09:37	   20.05	      18	0	B	
09:37	   20.05	       2	0	B	
09:37	   20.05	      37	0	B	
