                  20250512 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   13.90	       0	0	
09:15	   13.90	       0	0	
09:15	   18.85	       0	0	
09:15	   18.85	       0	0	
09:15	   18.88	       0	0	
09:16	   18.88	       0	0	
09:16	   18.88	       0	0	
09:17	   20.86	       0	0	
09:17	   21.00	       0	0	
09:17	   21.00	       0	0	
09:18	   21.00	       0	0	
09:18	   21.00	       0	0	
09:18	   22.65	       0	0	
09:18	   22.65	       0	0	
09:18	   22.65	       0	0	
09:18	   22.65	       0	0	
09:19	   21.00	       0	0	
09:21	   19.97	       0	0	
09:22	   19.97	       0	0	
09:23	   19.97	       0	0	
09:23	   19.85	       0	0	
09:24	   19.97	       0	0	
09:24	   19.95	       0	0	
09:25	   20.10	      29	0	
09:30	   20.12	      21	0	
09:30	   20.12	      31	0	B	
09:30	   20.12	      68	0	B	
09:30	   20.12	      14	0	B	
09:30	   20.14	      36	0	B	
09:30	   20.18	      15	0	B	
09:30	   20.20	       1	0	B	
09:30	   20.19	      44	0	
09:30	   20.19	      14	0	B	
09:30	   20.19	      13	0	S	
09:30	   20.19	      10	0	S	
09:30	   20.18	      35	0	S	
09:30	   20.18	       3	0	S	
09:30	   20.16	      23	0	S	
09:30	   20.16	      14	0	S	
09:30	   20.16	      27	0	B	
09:30	   20.18	      13	0	B	
09:30	   20.18	      22	0	S	
09:31	   20.17	      56	0	S	
09:31	   20.18	      39	0	B	
09:31	   20.18	      39	0	B	
09:31	   20.17	      40	0	S	
09:31	   20.17	      18	0	B	
09:31	   20.17	     117	0	S	
09:31	   20.17	      50	0	B	
09:31	   20.16	      24	0	B	
09:31	   20.16	      24	0	B	
09:31	   20.16	      33	0	B	
09:31	   20.16	      19	0	B	
09:31	   20.17	      91	0	B	
09:31	   20.16	      47	0	S	
09:31	   20.15	      70	0	B	
09:31	   20.16	      18	0	B	
09:31	   20.16	       7	0	B	
09:31	   20.17	     105	0	B	
09:31	   20.17	       4	0	B	
09:31	   20.10	     112	0	S	
09:31	   20.18	      10	0	B	
09:32	   20.17	      46	0	S	
09:32	   20.18	      22	0	B	
09:32	   20.10	       9	0	S	
09:32	   20.10	      37	0	S	
09:32	   20.16	      24	0	B	
09:32	   20.16	      19	0	B	
09:32	   20.17	      43	0	B	
09:32	   20.16	       8	0	S	
09:32	   20.06	      97	0	S	
09:32	   20.16	      22	0	B	
09:33	   20.21	      76	0	B	
09:33	   20.21	      28	0	S	
09:33	   20.21	      37	0	S	
09:33	   20.21	       4	0	S	
09:33	   20.22	       7	0	B	
09:33	   20.24	       2	0	B	
09:33	   20.25	      13	0	B	
09:33	   20.26	      43	0	B	
09:33	   20.26	      44	0	B	
09:33	   20.26	      15	0	S	
09:33	   20.28	      26	0	B	
09:33	   20.28	     102	0	S	
09:33	   20.29	      44	0	B	
09:33	   20.28	      68	0	B	
09:34	   20.26	      33	0	S	
09:34	   20.26	     127	0	B	
09:34	   20.24	      40	0	S	
09:34	   20.22	      18	0	S	
09:34	   20.19	      93	0	S	
09:34	   20.19	      21	0	B	
09:34	   20.19	      19	0	B	
09:34	   20.19	      28	0	B	
09:35	   20.20	      29	0	B	
09:35	   20.20	       1	0	B	
09:35	   20.22	      15	0	B	
09:35	   20.18	      44	0	S	
09:35	   20.18	      46	0	B	
09:35	   20.18	       7	0	B	
09:35	   20.18	      15	0	S	
09:35	   20.20	      33	0	B	
09:35	   20.20	       5	0	B	
09:35	   20.18	      50	0	S	
09:35	   20.20	      11	0	B	
09:35	   20.22	       2	0	B	
09:36	   20.22	      11	0	S	
09:36	   20.22	      26	0	S	
09:36	   20.23	       3	0	B	
09:36	   20.23	       2	0	B	
09:36	   20.24	      10	0	B	
09:36	   20.26	      32	0	B	
09:36	   20.28	      25	0	B	
09:36	   20.29	      78	0	B	
09:36	   20.29	      56	0	B	
09:36	   20.30	     136	0	B	
09:36	   20.36	      34	0	B	
09:36	   20.38	       8	0	B	
09:36	   20.40	      77	0	B	
09:36	   20.38	     152	0	S	
09:36	   20.48	      18	0	B	
09:36	   20.50	      24	0	B	
09:36	   20.48	     146	0	S	
09:37	   20.50	      17	0	B	
09:37	   20.48	      80	0	S	
09:37	   20.47	      16	0	S	
09:37	   20.47	      14	0	S	
09:37	   20.47	      37	0	B	
09:37	   20.41	       1	0	S	
09:37	   20.41	       8	0	B	
09:37	   20.38	      10	0	S	
09:37	   20.38	       5	0	B	
09:37	   20.38	       1	0	B	
09:37	   20.31	       1	0	S	
09:37	   20.32	      11	0	S	
09:37	   20.31	      16	0	S	
09:37	   20.31	     101	0	S	
09:37	   20.32	       5	0	S	
09:37	   20.32	      10	0	S	
09:37	   20.33	       9	0	S	
09:38	   20.33	       4	0	S	
09:38	   20.33	      60	0	S	
09:38	   20.33	      34	0	S	
09:38	   20.31	      81	0	S	
09:38	   20.31	     171	0	S	
09:38	   20.29	      97	0	S	
09:38	   20.29	      99	0	S	
09:38	   20.23	       3	0	S	
09:38	   20.29	      81	0	B	
09:39	   20.24	      23	0	S	
09:39	   20.24	      23	0	B	
09:39	   20.24	     105	0	S	
09:39	   20.25	      20	0	S	
09:39	   20.24	     152	0	S	
09:39	   20.24	      10	0	S	
09:39	   20.23	     126	0	S	
09:39	   20.23	      22	0	S	
09:39	   20.25	       9	0	B	
09:39	   20.25	       4	0	S	
09:39	   20.24	       9	0	S	
09:40	   20.24	      15	0	S	
09:40	   20.25	      24	0	B	
09:40	   20.24	       3	0	S	
09:40	   20.23	      27	0	S	
09:40	   20.24	       3	0	
09:40	   20.23	      10	0	S	
09:40	   20.23	      10	0	S	
09:40	   20.23	      62	0	S	
09:40	   20.22	      66	0	S	
09:40	   20.22	       6	0	S	
09:40	   20.21	      24	0	S	
09:40	   20.20	      15	0	S	
09:40	   20.21	      13	0	B	
09:41	   20.20	      32	0	S	
09:41	   20.20	      36	0	B	
09:41	   20.18	       5	0	S	
09:41	   20.11	      67	0	S	
09:41	   20.10	      30	0	S	
09:41	   20.18	      64	0	B	
09:41	   20.11	      20	0	B	
09:42	   20.11	      20	0	B	
09:42	   20.11	       5	0	S	
09:42	   20.11	      34	0	S	
09:42	   20.18	       6	0	B	
09:42	   20.12	      20	0	S	
09:43	   20.13	      14	0	S	
09:43	   20.13	      39	0	S	
09:43	   20.18	       7	0	B	
09:43	   20.13	      37	0	S	
09:43	   20.18	      10	0	B	
09:44	   20.17	       2	0	B	
09:44	   20.15	      20	0	S	
09:44	   20.13	      18	0	S	
09:44	   20.12	       4	0	S	
09:44	   20.12	      33	0	S	
09:45	   20.12	      33	0	S	
09:45	   20.12	      33	0	S	
09:45	   20.10	      34	0	S	
09:45	   20.12	      67	0	B	
09:45	   20.11	       1	0	S	
09:46	   20.12	      18	0	S	
09:46	   20.12	       2	0	S	
09:46	   20.12	       5	0	S	
09:46	   20.10	      78	0	S	
09:46	   20.10	      83	0	S	
09:46	   20.10	      37	0	S	
09:46	   20.09	      44	0	S	
09:46	   20.08	      15	0	S	
09:46	   20.05	      78	0	S	
09:46	   20.04	      23	0	S	
09:46	   20.03	      42	0	S	
09:46	   20.03	      13	0	S	
09:46	   20.02	     200	0	S	
09:46	   20.01	      10	0	S	
09:46	   20.00	     116	0	S	
09:46	   19.98	       2	0	S	
09:47	   19.98	       0	0	S	
09:47	   19.98	      25	0	B	
09:47	   19.97	       2	0	S	
09:47	   19.91	       5	0	S	
09:47	   19.91	      14	0	S	
09:47	   19.91	       5	0	S	
09:47	   19.91	       3	0	S	
09:47	   19.91	      43	0	S	
09:47	   19.91	       8	0	S	
09:47	   19.90	       5	0	S	
09:48	   19.91	       7	0	B	
09:48	   19.92	      19	0	S	
09:48	   19.85	     112	0	S	
09:48	   19.85	      58	0	B	
09:48	   19.85	      12	0	B	
09:48	   19.85	       3	0	B	
09:48	   19.86	      13	0	S	
09:48	   19.92	      12	0	B	
09:49	   19.92	       7	0	B	
09:49	   19.92	       5	0	S	
09:49	   19.95	       5	0	B	
09:49	   19.92	      14	0	S	
09:49	   19.92	       7	0	B	
09:49	   19.97	       0	0	B	
09:49	   19.93	      19	0	S	
09:49	   19.93	       6	0	B	
09:49	   19.93	       6	0	B	
09:49	   19.93	       3	0	B	
09:49	   19.87	      54	0	S	
09:49	   19.90	      60	0	
09:49	   19.90	       3	0	B	
09:49	   19.90	       7	0	B	
09:49	   19.93	       0	0	B	
09:50	   19.99	       3	0	B	
09:50	   20.00	      35	0	B	
09:50	   19.98	      12	0	B	
09:50	   19.98	      76	0	B	
09:50	   19.98	       9	0	S	
09:50	   20.00	       1	0	B	
09:50	   20.00	      22	0	B	
09:51	   20.00	       4	0	B	
09:51	   19.92	       5	0	S	
09:51	   20.00	      25	0	B	
09:51	   20.00	       0	0	B	
09:51	   20.04	      25	0	S	
09:52	   19.94	       5	0	S	
09:52	   20.03	       1	0	B	
09:52	   20.12	      20	0	B	
09:52	   19.94	       0	0	B	
