                  20250520 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   19.27	       0	0	
09:15	   19.19	       0	0	
09:15	   19.19	       0	0	
09:15	   19.19	       0	0	
09:15	   19.19	       0	0	
09:15	   19.19	       0	0	
09:15	   19.19	       0	0	
09:16	   26.00	       0	0	
09:16	   26.00	       0	0	
09:16	   26.50	       0	0	
09:16	   26.50	       0	0	
09:16	   26.00	       0	0	
09:16	   26.00	       0	0	
09:17	   26.00	       0	0	
09:17	   26.00	       0	0	
09:17	   26.00	       0	0	
09:17	   26.00	       0	0	
09:17	   26.00	       0	0	
09:17	   26.00	       0	0	
09:17	   26.00	       0	0	
09:17	   26.00	       0	0	
09:17	   26.50	       0	0	
09:17	   26.50	       0	0	
09:17	   26.50	       0	0	
09:17	   26.00	       0	0	
09:18	   20.78	       0	0	
09:19	   20.78	       0	0	
09:20	   20.78	       0	0	
09:20	   20.78	       0	0	
09:21	   20.78	       0	0	
09:21	   20.78	       0	0	
09:22	   20.78	       0	0	
09:22	   20.78	       0	0	
09:22	   20.78	       0	0	
09:22	   20.78	       0	0	
09:22	   20.78	       0	0	
09:22	   20.78	       0	0	
09:22	   20.78	       0	0	
09:23	   20.78	       0	0	
09:23	   20.75	       0	0	
09:23	   20.75	       0	0	
09:23	   20.75	       0	0	
09:23	   20.75	       0	0	
09:24	   20.75	       0	0	
09:24	   20.70	       0	0	
09:24	   20.70	       0	0	
09:24	   20.68	       0	0	
09:24	   20.68	       0	0	
09:24	   20.68	       0	0	
09:24	   20.68	       0	0	
09:24	   20.68	       0	0	
09:24	   20.68	       0	0	
09:24	   20.63	       0	0	
09:24	   20.63	       0	0	
09:25	   20.65	     160	0	
09:30	   20.65	     382	0	B	
09:30	   20.61	     100	0	S	
09:30	   20.61	      32	0	B	
09:30	   20.59	      13	0	B	
09:30	   20.58	      27	0	B	
09:30	   20.58	       4	0	B	
09:30	   20.58	      19	0	B	
09:30	   20.60	       3	0	B	
09:30	   20.60	      30	0	S	
09:30	   20.57	      26	0	B	
09:30	   20.62	      66	0	B	
09:30	   20.55	      35	0	S	
09:30	   20.55	       3	0	B	
09:30	   20.57	       7	0	B	
09:30	   20.57	      20	0	B	
09:30	   20.57	       4	0	S	
09:30	   20.57	       2	0	S	
09:30	   20.64	       1	0	B	
09:31	   20.64	      19	0	B	
09:31	   20.54	      41	0	B	
09:31	   20.52	      23	0	S	
09:31	   20.58	       6	0	B	
09:31	   20.51	      65	0	S	
09:31	   20.59	       8	0	B	
09:31	   20.59	       9	0	B	
09:31	   20.52	      19	0	S	
09:31	   20.52	      20	0	B	
09:32	   20.52	      10	0	S	
09:32	   20.52	       0	0	S	
09:32	   20.52	      15	0	B	
09:32	   20.52	      10	0	S	
09:32	   20.52	      50	0	S	
09:32	   20.57	       5	0	B	
09:32	   20.52	      38	0	S	
09:32	   20.52	      12	0	S	
09:32	   20.52	       3	0	B	
09:33	   20.51	      14	0	S	
09:33	   20.50	       2	0	S	
09:33	   20.50	       2	0	S	
09:33	   20.45	      28	0	S	
09:33	   20.44	      14	0	S	
09:33	   20.43	      10	0	B	
09:34	   20.45	      66	0	B	
09:34	   20.45	       6	0	S	
09:34	   20.45	      10	0	S	
09:34	   20.52	      14	0	B	
09:34	   20.50	      21	0	B	
09:34	   20.52	       8	0	B	
09:34	   20.59	       2	0	B	
09:34	   20.60	       2	0	B	
09:34	   20.60	       7	0	B	
09:34	   20.60	       1	0	B	
09:35	   20.59	      10	0	B	
09:35	   20.60	     100	0	B	
09:35	   20.60	      25	0	B	
09:35	   20.60	       2	0	B	
09:35	   20.60	       4	0	B	
09:35	   20.60	      50	0	B	
09:35	   20.60	      21	0	B	
09:35	   20.63	      13	0	B	
09:35	   20.59	     142	0	S	
09:35	   20.59	      86	0	B	
09:35	   20.59	      17	0	B	
09:35	   20.63	       4	0	B	
09:35	   20.67	      60	0	B	
09:35	   20.68	      10	0	B	
09:36	   20.70	      20	0	B	
09:36	   20.75	       9	0	B	
09:36	   20.75	      10	0	B	
09:36	   20.75	       5	0	B	
09:36	   20.70	       6	0	S	
09:36	   20.75	     149	0	B	
09:36	   20.78	      41	0	B	
09:36	   20.75	      59	0	S	
09:36	   20.80	     210	0	B	
09:36	   20.88	      24	0	B	
09:36	   20.91	       1	0	B	
09:36	   20.97	       8	0	B	
09:36	   20.98	      61	0	B	
09:36	   20.98	      57	0	S	
09:36	   21.00	      73	0	B	
09:36	   20.99	      68	0	S	
09:36	   21.20	     139	0	B	
09:36	   21.27	      43	0	B	
09:37	   21.30	     136	0	B	
09:37	   21.20	      10	0	B	
09:37	   21.26	     103	0	B	
09:37	   21.00	     126	0	S	
09:37	   21.26	      51	0	B	
09:37	   21.20	      85	0	S	
09:37	   20.98	     134	0	S	
09:37	   21.18	      62	0	B	
09:37	   21.18	      80	0	S	
09:37	   21.07	      17	0	B	
09:37	   21.01	      30	0	S	
09:37	   21.02	     143	0	S	
09:37	   21.01	      22	0	S	
09:37	   21.08	      75	0	B	
09:37	   21.08	      11	0	S	
09:37	   21.08	      10	0	S	
09:37	   21.08	       2	0	S	
09:37	   21.09	      41	0	S	
09:37	   21.08	      17	0	B	
09:38	   21.03	      28	0	S	
09:38	   21.07	      55	0	B	
09:38	   21.03	       6	0	B	
09:38	   21.08	      17	0	B	
09:38	   21.03	       2	0	S	
09:38	   21.03	       6	0	S	
09:38	   21.08	      44	0	B	
09:38	   21.02	      93	0	S	
09:38	   21.02	      34	0	B	
09:38	   21.02	       4	0	S	
09:38	   21.02	      65	0	S	
09:38	   21.01	     117	0	S	
09:38	   20.98	     195	0	S	
09:38	   20.98	       5	0	B	
09:38	   20.91	       3	0	S	
09:39	   20.91	      68	0	B	
09:39	   20.91	       9	0	B	
09:39	   20.91	      47	0	S	
09:39	   21.00	       4	0	B	
09:39	   21.00	       1	0	B	
09:39	   21.15	      49	0	B	
09:39	   21.15	       6	0	B	
09:39	   21.15	       6	0	B	
09:39	   21.16	      47	0	B	
09:39	   21.15	      43	0	S	
09:39	   21.15	      54	0	B	
09:39	   21.15	      62	0	B	
09:39	   21.09	      57	0	S	
09:39	   21.09	     105	0	S	
09:40	   21.08	      36	0	S	
09:40	   21.00	      32	0	S	
09:40	   21.08	       7	0	B	
09:40	   21.08	      61	0	S	
09:40	   21.06	      33	0	S	
09:40	   21.07	      50	0	B	
09:40	   21.05	       3	0	B	
09:40	   21.00	      36	0	S	
09:40	   21.00	       3	0	B	
09:40	   20.99	      17	0	S	
09:40	   21.00	      78	0	B	
09:40	   20.98	      10	0	S	
09:40	   20.99	      22	0	B	
09:41	   21.00	      10	0	S	
09:41	   20.99	      47	0	S	
09:41	   20.98	      62	0	S	
09:41	   20.93	      15	0	S	
09:41	   20.95	     128	0	B	
09:41	   20.99	       1	0	S	
09:41	   20.99	       5	0	B	
09:41	   20.99	       0	0	B	
09:41	   20.98	     100	0	S	
09:41	   21.03	      30	0	B	
09:41	   21.03	       3	0	S	
09:41	   20.99	       1	0	S	
09:41	   21.00	      30	0	S	
09:41	   21.02	       3	0	B	
09:41	   20.99	      14	0	S	
09:42	   20.99	      18	0	B	
09:42	   20.98	      59	0	S	
09:42	   20.98	       9	0	S	
09:42	   20.92	      94	0	S	
09:42	   20.95	      95	0	S	
09:42	   20.95	      32	0	S	
09:42	   20.99	      42	0	B	
09:42	   20.99	      75	0	S	
09:42	   20.95	     108	0	S	
09:42	   20.95	      26	0	S	
09:42	   20.94	       5	0	S	
09:42	   20.92	      21	0	S	
09:42	   20.92	      36	0	B	
09:42	   20.94	      32	0	S	
09:42	   20.90	      89	0	S	
09:43	   20.87	      50	0	S	
09:43	   20.87	       3	0	B	
09:43	   20.92	      29	0	B	
09:43	   20.83	      36	0	S	
09:43	   20.88	       2	0	S	
09:43	   20.94	       5	0	B	
09:43	   20.96	      25	0	S	
09:43	   20.96	      20	0	S	
09:43	   20.99	      19	0	B	
09:44	   21.00	      29	0	B	
09:44	   21.00	     102	0	S	
09:44	   20.99	     109	0	S	
09:44	   21.00	       3	0	B	
09:44	   21.00	      20	0	B	
09:44	   20.99	     129	0	B	
09:44	   20.90	      10	0	S	
09:44	   20.90	      47	0	S	
09:44	   20.90	      13	0	S	
09:44	   20.90	      26	0	S	
09:44	   20.90	      12	0	S	
09:44	   20.90	      11	0	S	
09:45	   20.82	     238	0	S	
09:45	   20.81	     123	0	S	
09:45	   20.80	     152	0	S	
09:45	   20.82	      16	0	S	
09:45	   20.85	      13	0	B	
09:45	   20.80	     134	0	S	
09:45	   20.80	      52	0	B	
09:45	   20.80	      74	0	B	
09:45	   20.89	       2	0	B	
09:45	   20.84	      19	0	S	
09:45	   20.89	       3	0	B	
09:45	   20.90	      15	0	B	
09:46	   20.89	      25	0	S	
09:46	   20.89	       9	0	S	
09:46	   20.90	      32	0	B	
09:46	   20.93	      20	0	B	
09:46	   20.87	       6	0	S	
09:46	   20.90	       5	0	B	
09:46	   20.90	      86	0	B	
09:46	   20.90	      12	0	S	
09:46	   20.93	      10	0	S	
09:46	   20.97	      16	0	B	
09:46	   20.97	       3	0	B	
09:47	   20.97	     113	0	S	
09:47	   20.96	      30	0	S	
09:47	   20.97	      24	0	B	
09:47	   20.97	       1	0	B	
09:47	   20.92	       5	0	S	
09:47	   20.87	     274	0	S	
09:47	   20.87	      27	0	B	
09:47	   20.94	      11	0	B	
09:47	   20.92	       1	0	S	
09:47	   20.95	       2	0	B	
09:47	   20.92	      14	0	S	
09:47	   20.96	      45	0	B	
09:47	   20.90	      52	0	S	
09:47	   20.88	      12	0	S	
09:47	   20.90	      20	0	B	
09:47	   20.90	      20	0	B	
09:48	   20.96	       5	0	B	
09:48	   20.90	       7	0	B	
09:48	   20.90	      13	0	B	
09:48	   20.96	      10	0	B	
09:48	   20.96	       3	0	B	
09:48	   20.93	      86	0	B	
09:48	   20.90	      23	0	B	
09:48	   20.93	      36	0	B	
09:48	   20.93	      21	0	B	
09:48	   20.96	       4	0	B	
09:48	   20.96	      36	0	B	
09:48	   20.97	       3	0	B	
09:48	   21.00	     149	0	B	
09:48	   21.03	      26	0	B	
09:48	   21.05	      32	0	B	
09:48	   21.07	     110	0	B	
09:48	   21.07	     131	0	B	
