                  20250521 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   21.70	       0	0	
09:15	   21.78	       0	0	
09:16	   21.80	       0	0	
09:16	   22.11	       0	0	
09:16	   22.11	       0	0	
09:18	   22.11	       0	0	
09:18	   22.11	       0	0	
09:19	   22.11	       0	0	
09:19	   21.97	       0	0	
09:20	   21.97	       0	0	
09:20	   21.97	       0	0	
09:21	   21.97	       0	0	
09:21	   21.78	       0	0	
09:21	   21.78	       0	0	
09:22	   21.78	       0	0	
09:22	   21.88	       0	0	
09:22	   21.88	       0	0	
09:22	   21.88	       0	0	
09:23	   21.88	       0	0	
09:23	   21.88	       0	0	
09:23	   21.88	       0	0	
09:24	   21.97	       0	0	
09:24	   21.88	       0	0	
09:24	   21.88	       0	0	
09:24	   21.85	       0	0	
09:24	   21.85	       0	0	
09:24	   21.88	       0	0	
09:24	   21.88	       0	0	
09:24	   21.78	       0	0	
09:24	   21.80	       0	0	
09:24	   21.80	       0	0	
09:24	   21.80	       0	0	
09:24	   21.80	       0	0	
09:24	   21.80	       0	0	
09:25	   21.75	     263	0	
09:30	   21.48	     201	0	S	
09:30	   21.45	      90	0	S	
09:30	   21.50	      13	0	S	
09:30	   21.48	       6	0	B	
09:30	   21.48	      12	0	B	
09:30	   21.48	      16	0	S	
09:30	   21.51	       6	0	B	
09:30	   21.51	      14	0	S	
09:30	   21.51	      10	0	S	
09:30	   21.50	       6	0	S	
09:30	   21.51	      10	0	B	
09:30	   21.59	      10	0	B	
09:30	   21.51	      41	0	S	
09:30	   21.51	      15	0	S	
09:30	   21.51	      30	0	S	
09:30	   21.51	      41	0	S	
09:30	   21.50	       6	0	S	
09:30	   21.50	       2	0	S	
09:31	   21.51	      40	0	B	
09:31	   21.50	      33	0	S	
09:31	   21.50	      25	0	B	
09:31	   21.48	      28	0	S	
09:31	   21.48	      55	0	S	
09:31	   21.50	     189	0	B	
09:31	   21.50	       8	0	B	
09:31	   21.48	      83	0	S	
09:31	   21.50	       5	0	B	
09:31	   21.47	      78	0	S	
09:31	   21.48	      47	0	B	
09:31	   21.50	      16	0	B	
09:31	   21.48	      24	0	S	
09:31	   21.50	      23	0	S	
09:31	   21.51	      10	0	S	
09:32	   21.51	      10	0	S	
09:32	   21.57	      11	0	B	
09:32	   21.52	      10	0	S	
09:32	   21.57	      19	0	B	
09:32	   21.57	       6	0	S	
09:32	   21.57	      43	0	B	
09:32	   21.61	      47	0	B	
09:32	   21.63	      44	0	B	
09:32	   21.62	      75	0	S	
09:32	   21.62	      30	0	S	
09:32	   21.62	       1	0	B	
09:32	   21.62	      10	0	B	
09:32	   21.59	       8	0	S	
09:32	   21.62	      52	0	B	
09:32	   21.57	     115	0	S	
09:32	   21.56	      40	0	S	
09:32	   21.56	       1	0	B	
09:33	   21.53	     220	0	S	
09:33	   21.56	      51	0	B	
09:33	   21.53	      39	0	S	
09:33	   21.56	       4	0	S	
09:33	   21.52	      35	0	S	
09:33	   21.52	      10	0	S	
09:33	   21.53	      51	0	S	
09:33	   21.53	      34	0	S	
09:33	   21.53	      54	0	S	
09:33	   21.59	       9	0	B	
09:33	   21.52	      84	0	S	
09:33	   21.52	      18	0	B	
09:33	   21.52	      14	0	B	
09:34	   21.51	      10	0	S	
09:34	   21.52	       7	0	B	
09:34	   21.52	      47	0	S	
09:34	   21.51	      15	0	S	
09:34	   21.56	      10	0	S	
09:34	   21.52	      25	0	B	
09:34	   21.52	       5	0	S	
09:34	   21.52	     102	0	S	
09:34	   21.52	      98	0	S	
09:34	   21.52	       5	0	B	
09:34	   21.51	      10	0	S	
09:34	   21.50	      54	0	S	
09:34	   21.48	      30	0	S	
09:34	   21.47	      62	0	S	
09:34	   21.45	      68	0	S	
09:34	   21.46	       1	0	B	
09:35	   21.41	      82	0	S	
09:35	   21.40	      26	0	S	
09:35	   21.40	      35	0	S	
09:35	   21.36	      73	0	S	
09:35	   21.34	      22	0	S	
09:35	   21.34	      89	0	S	
09:35	   21.32	       4	0	S	
09:35	   21.32	      33	0	S	
09:35	   21.32	       8	0	S	
09:35	   21.30	     127	0	S	
09:35	   21.30	      41	0	B	
09:35	   21.30	      20	0	B	
09:35	   21.21	     182	0	S	
09:35	   21.21	     141	0	B	
09:35	   21.28	      76	0	B	
09:35	   21.28	      25	0	B	
09:36	   21.31	     114	0	B	
09:36	   21.33	      63	0	B	
