                  20250528 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   20.51	       0	0	
09:15	   22.49	       0	0	
09:15	   22.49	       0	0	
09:15	   22.44	       0	0	
09:15	   22.44	       0	0	
09:15	   22.44	       0	0	
09:15	   22.44	       0	0	
09:15	   22.44	       0	0	
09:16	   22.44	       0	0	
09:16	   22.44	       0	0	
09:16	   21.24	       0	0	
09:16	   21.24	       0	0	
09:17	   21.00	       0	0	
09:18	   22.00	       0	0	
09:18	   22.00	       0	0	
09:18	   21.94	       0	0	
09:18	   21.94	       0	0	
09:18	   22.68	       0	0	
09:19	   21.94	       0	0	
09:19	   20.33	       0	0	
09:19	   20.21	       0	0	
09:19	   20.21	       0	0	
09:19	   20.63	       0	0	
09:20	   20.64	       0	0	
09:20	   20.64	       0	0	
09:20	   20.64	       0	0	
09:20	   20.64	       0	0	
09:21	   20.64	       0	0	
09:21	   20.70	       0	0	
09:22	   20.64	       0	0	
09:22	   20.64	       0	0	
09:22	   20.70	       0	0	
09:23	   20.70	       0	0	
09:23	   20.70	       0	0	
09:23	   20.72	       0	0	
09:23	   20.70	       0	0	
09:23	   20.72	       0	0	
09:23	   20.70	       0	0	
09:23	   20.63	       0	0	
09:23	   20.63	       0	0	
09:23	   20.59	       0	0	
09:23	   20.63	       0	0	
09:23	   20.63	       0	0	
09:23	   20.63	       0	0	
09:24	   20.58	       0	0	
09:24	   20.50	       0	0	
09:24	   20.50	       0	0	
09:24	   20.50	       0	0	
09:24	   20.50	       0	0	
09:24	   20.50	       0	0	
09:24	   20.37	       0	0	
09:24	   20.40	       0	0	
09:24	   20.40	       0	0	
09:24	   20.37	       0	0	
09:24	   20.37	       0	0	
09:24	   20.37	       0	0	
09:24	   20.37	       0	0	
09:24	   20.37	       0	0	
09:24	   20.37	       0	0	
09:24	   20.37	       0	0	
09:24	   20.37	       0	0	
09:25	   20.37	     680	0	
09:30	   20.35	    1072	0	
09:30	   20.37	     222	0	B	
09:30	   20.39	     386	0	B	
09:30	   20.40	     313	0	B	
09:30	   20.48	      20	0	B	
09:30	   20.50	      73	0	B	
09:30	   20.50	     184	0	B	
09:30	   20.49	     301	0	S	
09:30	   20.50	     223	0	B	
09:30	   20.50	      76	0	B	
09:30	   20.50	      10	0	S	
09:30	   20.52	      14	0	B	
09:30	   20.52	      69	0	B	
09:30	   20.57	     193	0	B	
09:30	   20.58	      13	0	B	
09:30	   20.58	      16	0	B	
09:30	   20.59	      64	0	B	
09:30	   20.59	      23	0	B	
09:30	   20.62	      14	0	B	
09:31	   20.63	      45	0	B	
09:31	   20.62	     152	0	S	
09:31	   20.67	      51	0	B	
09:31	   20.63	      16	0	B	
09:31	   20.67	      30	0	S	
09:31	   20.76	      66	0	B	
09:31	   20.67	      54	0	S	
09:31	   20.75	      89	0	B	
09:31	   20.67	       6	0	S	
09:31	   20.67	      16	0	S	
09:31	   20.70	      84	0	B	
09:31	   20.60	      34	0	S	
09:31	   20.59	      12	0	S	
09:31	   20.64	     105	0	B	
09:31	   20.64	      33	0	B	
09:31	   20.64	      31	0	B	
09:31	   20.66	      18	0	B	
09:31	   20.69	      35	0	B	
09:31	   20.69	      26	0	S	
09:31	   20.70	      24	0	B	
09:32	   20.74	     104	0	B	
09:32	   20.74	      37	0	S	
09:32	   20.74	      16	0	S	
09:32	   20.73	     112	0	S	
09:32	   20.73	      16	0	B	
09:32	   20.70	      95	0	S	
09:32	   20.69	     152	0	S	
09:32	   20.70	      99	0	B	
09:32	   20.73	       3	0	S	
09:32	   20.70	       1	0	B	
09:32	   20.73	      76	0	B	
09:32	   20.73	      52	0	S	
09:32	   20.73	       8	0	S	
09:32	   20.73	      86	0	B	
09:32	   20.74	      50	0	B	
09:32	   20.70	      75	0	S	
09:32	   20.78	     248	0	B	
09:32	   20.79	       3	0	B	
09:32	   20.75	     242	0	S	
