                  20250529 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   20.78	       0	0	
09:15	   20.76	       0	0	
09:15	   20.66	       0	0	
09:15	   21.00	       0	0	
09:16	   20.66	       0	0	
09:17	   20.66	       0	0	
09:17	   20.66	       0	0	
09:18	   19.60	       0	0	
09:18	   19.60	       0	0	
09:18	   20.75	       0	0	
09:18	   20.88	       0	0	
09:18	   20.66	       0	0	
09:19	   20.60	       0	0	
09:20	   20.58	       0	0	
09:22	   20.58	       0	0	
09:22	   20.29	       0	0	
09:22	   20.41	       0	0	
09:22	   20.41	       0	0	
09:23	   20.41	       0	0	
09:23	   20.41	       0	0	
09:23	   20.41	       0	0	
09:23	   20.41	       0	0	
09:24	   20.41	       0	0	
09:24	   20.41	       0	0	
09:24	   20.41	       0	0	
09:24	   20.40	       0	0	
09:24	   20.40	       0	0	
09:24	   20.40	       0	0	
09:24	   20.40	       0	0	
09:24	   20.40	       0	0	
09:24	   20.40	       0	0	
09:25	   20.39	     169	0	
09:30	   20.15	      41	0	S	
09:30	   20.38	     111	0	B	
09:30	   20.28	      11	0	B	
09:30	   20.28	      15	0	B	
09:30	   20.27	      10	0	B	
09:30	   20.25	       1	0	B	
09:30	   20.27	       7	0	B	
09:30	   20.24	       7	0	B	
09:30	   20.20	       8	0	S	
09:30	   20.20	      10	0	B	
09:30	   20.24	      78	0	B	
09:30	   20.26	       3	0	B	
09:30	   20.20	       9	0	S	
09:30	   20.20	      59	0	S	
09:30	   20.20	       2	0	B	
09:31	   20.22	       2	0	S	
09:31	   20.27	      11	0	B	
09:31	   20.22	      30	0	S	
09:31	   20.22	      68	0	B	
09:31	   20.22	       4	0	B	
09:31	   20.22	      47	0	S	
09:31	   20.22	      52	0	S	
09:31	   20.22	      31	0	S	
09:31	   20.21	      24	0	S	
09:31	   20.22	      30	0	B	
09:31	   20.21	      15	0	S	
09:31	   20.22	      23	0	B	
09:31	   20.22	      94	0	B	
09:31	   20.22	      61	0	S	
09:31	   20.22	       4	0	S	
09:31	   20.22	      66	0	S	
09:32	   20.18	      34	0	S	
09:32	   20.18	       5	0	S	
09:32	   20.18	       6	0	S	
09:32	   20.17	       6	0	S	
09:32	   20.17	       3	0	S	
09:32	   20.17	      15	0	S	
09:32	   20.17	      73	0	S	
09:32	   20.16	      27	0	B	
09:32	   20.17	       4	0	B	
09:32	   20.20	       9	0	S	
09:32	   20.16	       6	0	S	
09:32	   20.16	      80	0	S	
09:32	   20.15	       5	0	S	
09:32	   20.15	      58	0	S	
09:32	   20.15	       7	0	B	
09:33	   20.21	      14	0	S	
09:33	   20.21	      56	0	S	
09:33	   20.20	      51	0	S	
