                  20250530 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   20.91	       0	0	
09:15	   20.84	       0	0	
09:15	   20.85	       0	0	
09:18	   20.99	       0	0	
09:18	   20.99	       0	0	
09:18	   21.00	       0	0	
09:19	   21.00	       0	0	
09:19	   21.00	       0	0	
09:19	   21.08	       0	0	
09:20	   21.08	       0	0	
09:20	   21.08	       0	0	
09:21	   21.07	       0	0	
09:21	   21.07	       0	0	
09:21	   21.07	       0	0	
09:22	   21.00	       0	0	
09:22	   20.99	       0	0	
09:22	   20.92	       0	0	
09:22	   20.91	       0	0	
09:22	   20.91	       0	0	
09:22	   20.91	       0	0	
09:23	   20.91	       0	0	
09:23	   20.95	       0	0	
09:23	   20.92	       0	0	
09:23	   20.91	       0	0	
09:23	   20.91	       0	0	
09:23	   20.91	       0	0	
09:23	   20.91	       0	0	
09:23	   20.91	       0	0	
09:23	   20.91	       0	0	
09:24	   20.90	       0	0	
09:24	   20.90	       0	0	
09:24	   20.89	       0	0	
09:24	   20.89	       0	0	
09:24	   20.83	       0	0	
09:24	   20.83	       0	0	
09:24	   20.81	       0	0	
09:24	   20.80	       0	0	
09:25	   20.80	     156	0	
09:30	   20.80	      97	0	B	
09:30	   20.83	     132	0	B	
09:30	   20.75	      25	0	S	
09:30	   20.79	      10	0	B	
09:30	   20.80	      27	0	B	
09:30	   20.80	       4	0	S	
09:30	   20.75	       1	0	B	
09:31	   20.75	       2	0	B	
09:31	   20.74	      10	0	S	
09:31	   20.74	       7	0	S	
09:31	   20.80	      54	0	B	
09:31	   20.80	      11	0	S	
09:31	   20.80	       9	0	S	
09:31	   20.84	       3	0	B	
09:31	   20.87	      19	0	B	
09:31	   20.87	      12	0	S	
09:31	   20.88	      72	0	B	
09:31	   20.87	      16	0	S	
09:31	   20.87	      56	0	B	
09:31	   20.89	      63	0	B	
09:31	   20.84	      27	0	S	
09:31	   20.84	      46	0	B	
09:31	   20.83	       5	0	S	
09:32	   20.84	      20	0	B	
09:32	   20.83	      42	0	B	
09:32	   20.83	      51	0	S	
09:32	   20.83	      70	0	B	
09:32	   20.83	      12	0	S	
09:32	   20.83	       7	0	S	
09:32	   20.84	      42	0	B	
09:32	   20.83	      56	0	S	
09:32	   20.83	       9	0	B	
09:32	   20.83	       7	0	B	
09:32	   20.81	       1	0	S	
09:32	   20.81	       2	0	S	
09:32	   20.83	      23	0	B	
09:32	   20.83	      36	0	B	
09:32	   20.83	       8	0	S	
09:32	   20.84	      48	0	B	
09:32	   20.83	       1	0	B	
09:32	   20.81	      10	0	S	
09:32	   20.81	       5	0	S	
09:33	   20.81	      17	0	B	
09:33	   20.80	      80	0	S	
09:33	   20.80	       3	0	S	
09:33	   20.77	      58	0	S	
09:33	   20.77	       1	0	S	
09:33	   20.77	       3	0	S	
09:33	   20.77	       5	0	S	
09:33	   20.77	      33	0	S	
09:33	   20.77	       1	0	S	
09:33	   20.77	      25	0	S	
09:33	   20.80	      33	0	B	
09:33	   20.81	      12	0	B	
09:33	   20.83	      69	0	B	
09:33	   20.83	      17	0	B	
09:33	   20.84	      60	0	B	
09:33	   20.83	       7	0	S	
09:33	   20.83	      10	0	S	
09:33	   20.85	       0	0	S	
09:33	   20.85	       5	0	S	
09:34	   20.85	       5	0	B	
09:34	   20.85	      37	0	S	
09:34	   20.89	       6	0	B	
09:34	   20.89	      11	0	B	
09:34	   20.89	      37	0	S	
09:34	   20.89	      13	0	B	
09:34	   20.89	      95	0	B	
09:34	   20.89	      38	0	B	
09:34	   20.88	      36	0	B	
09:34	   20.88	       2	0	B	
09:34	   20.88	      50	0	S	
09:34	   20.88	      44	0	S	
09:34	   20.89	     128	0	B	
09:34	   20.85	      43	0	S	
09:34	   20.85	      37	0	S	
09:35	   20.84	     208	0	S	
09:35	   20.84	      16	0	S	
09:35	   20.80	      11	0	S	
09:35	   20.83	       6	0	B	
09:35	   20.83	       5	0	B	
09:35	   20.83	      14	0	S	
09:35	   20.84	     132	0	B	
09:35	   20.90	      13	0	B	
09:35	   20.90	      10	0	B	
09:35	   20.83	      16	0	S	
09:35	   20.84	       1	0	B	
09:35	   20.84	      80	0	S	
09:36	   20.83	      59	0	S	
09:36	   20.84	       3	0	S	
09:36	   20.84	      10	0	S	
09:36	   20.84	      17	0	S	
09:36	   20.86	      38	0	B	
09:36	   20.86	       7	0	S	
09:36	   20.86	      18	0	S	
09:36	   20.86	      70	0	S	
09:36	   20.86	      10	0	B	
09:36	   20.84	      15	0	S	
09:36	   20.86	      30	0	B	
09:36	   20.84	       5	0	B	
09:36	   20.85	       5	0	S	
09:37	   20.85	       4	0	S	
09:37	   20.85	       2	0	S	
09:37	   20.86	      39	0	B	
09:37	   20.86	       4	0	S	
09:37	   20.86	       4	0	S	
09:37	   20.88	      50	0	B	
09:37	   20.86	     156	0	B	
