                  20250603 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   20.86	       0	0	
09:15	   20.86	       0	0	
09:16	   20.86	       0	0	
09:17	   20.80	       0	0	
09:19	   20.80	       0	0	
09:19	   20.80	       0	0	
09:19	   20.80	       0	0	
09:21	   20.80	       0	0	
09:21	   20.80	       0	0	
09:22	   20.50	       0	0	
09:22	   20.50	       0	0	
09:22	   20.50	       0	0	
09:23	   20.50	       0	0	
09:23	   20.50	       0	0	
09:23	   20.50	       0	0	
09:23	   20.50	       0	0	
09:23	   20.50	       0	0	
09:24	   20.46	       0	0	
09:24	   20.46	       0	0	
09:24	   20.46	       0	0	
09:24	   20.46	       0	0	
09:24	   20.46	       0	0	
09:24	   20.46	       0	0	
09:24	   20.40	       0	0	
09:25	   20.40	      91	0	
09:30	   20.32	      87	0	S	
09:30	   20.15	      23	0	S	
09:30	   20.23	      24	0	B	
09:30	   20.27	      18	0	B	
09:30	   20.27	      59	0	S	
09:30	   20.16	       9	0	B	
09:30	   20.16	      10	0	S	
09:30	   20.16	      12	0	S	
09:30	   20.20	      48	0	B	
09:30	   20.27	      40	0	B	
09:30	   20.27	       3	0	S	
09:30	   20.27	      36	0	S	
09:30	   20.27	      10	0	S	
09:30	   20.25	      36	0	B	
09:30	   20.25	      71	0	S	
09:30	   20.27	      24	0	B	
09:30	   20.25	      93	0	S	
09:30	   20.25	      43	0	B	
09:30	   20.25	      13	0	S	
09:31	   20.24	      80	0	S	
09:31	   20.25	     110	0	B	
09:31	   20.27	       3	0	B	
09:31	   20.33	     657	0	B	
09:31	   20.39	       8	0	B	
09:31	   20.39	       2	0	B	
09:31	   20.40	      42	0	B	
09:31	   20.45	      73	0	B	
09:31	   20.45	       7	0	B	
09:31	   20.46	      37	0	B	
09:31	   20.45	      31	0	S	
09:31	   20.46	      49	0	B	
09:31	   20.46	      50	0	S	
09:31	   20.45	      21	0	B	
09:31	   20.46	      65	0	B	
09:31	   20.46	      10	0	B	
09:31	   20.46	      18	0	S	
09:32	   20.46	       7	0	S	
09:32	   20.46	      16	0	B	
09:32	   20.46	      13	0	S	
09:32	   20.49	      37	0	B	
09:32	   20.49	      18	0	S	
09:32	   20.48	      34	0	B	
09:32	   20.48	      13	0	B	
09:32	   20.50	      24	0	B	
09:32	   20.50	     163	0	B	
09:32	   20.48	      33	0	S	
