                  20250605 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:16	   21.50	       0	0	
09:16	   21.66	       0	0	
09:16	   21.50	       0	0	
09:16	   21.50	       0	0	
09:17	   21.50	       0	0	
09:17	   21.50	       0	0	
09:17	   21.48	       0	0	
09:17	   21.50	       0	0	
09:18	   21.50	       0	0	
09:18	   21.50	       0	0	
09:18	   21.50	       0	0	
09:18	   21.50	       0	0	
09:19	   21.30	       0	0	
09:19	   21.30	       0	0	
09:20	   21.30	       0	0	
09:20	   21.22	       0	0	
09:20	   21.22	       0	0	
09:21	   21.22	       0	0	
09:21	   21.22	       0	0	
09:21	   21.00	       0	0	
09:22	   21.00	       0	0	
09:22	   21.00	       0	0	
09:22	   21.00	       0	0	
09:22	   21.00	       0	0	
09:23	   21.00	       0	0	
09:23	   21.00	       0	0	
09:23	   21.00	       0	0	
09:23	   21.00	       0	0	
09:23	   21.00	       0	0	
09:23	   21.00	       0	0	
09:23	   21.00	       0	0	
09:23	   21.00	       0	0	
09:23	   21.00	       0	0	
09:24	   21.00	       0	0	
09:24	   21.00	       0	0	
09:24	   21.00	       0	0	
09:24	   21.00	       0	0	
09:24	   21.00	       0	0	
09:24	   21.00	       0	0	
09:24	   21.00	       0	0	
09:24	   20.97	       0	0	
09:24	   20.96	       0	0	
09:24	   20.96	       0	0	
09:24	   20.90	       0	0	
09:24	   20.89	       0	0	
09:24	   20.89	       0	0	
09:25	   20.84	     195	0	
09:30	   20.80	     107	0	S	
09:30	   20.80	     237	0	B	
09:30	   20.80	       6	0	B	
09:30	   20.72	      10	0	S	
09:30	   20.72	      10	0	S	
09:30	   20.72	      43	0	S	
09:30	   20.74	       1	0	S	
09:30	   20.74	       1	0	S	
09:30	   20.71	      26	0	S	
09:31	   20.70	      30	0	S	
09:31	   20.71	      60	0	B	
09:31	   20.70	     280	0	S	
09:31	   20.70	      93	0	S	
09:31	   20.70	      39	0	B	
09:31	   20.70	     138	0	B	
09:31	   20.70	      56	0	B	
09:31	   20.70	       4	0	S	
09:31	   20.71	      51	0	B	
09:31	   20.80	      23	0	B	
09:31	   20.81	      16	0	B	
09:31	   20.81	       7	0	S	
09:31	   20.70	     102	0	S	
09:31	   20.70	       4	0	B	
09:31	   20.81	      11	0	B	
09:31	   20.80	       9	0	B	
09:31	   20.80	       1	0	B	
09:32	   20.80	       3	0	S	
09:32	   20.81	      59	0	B	
09:32	   20.81	      68	0	B	
09:32	   20.81	      59	0	B	
09:32	   20.81	      59	0	B	
09:32	   20.81	      10	0	B	
09:32	   20.87	      10	0	B	
09:32	   20.88	      61	0	B	
09:32	   20.90	      10	0	B	
09:32	   20.86	      56	0	S	
09:32	   20.86	     101	0	B	
09:32	   20.86	      54	0	B	
09:32	   20.89	       4	0	B	
09:32	   20.90	      13	0	B	
09:32	   20.89	      24	0	S	
09:32	   20.89	      42	0	S	
09:32	   20.89	      35	0	B	
09:32	   20.89	      28	0	B	
09:33	   20.87	      42	0	B	
09:33	   20.89	       3	0	B	
09:33	   20.89	      54	0	B	
09:33	   20.90	      40	0	B	
09:33	   20.90	      77	0	S	
09:33	   20.91	      18	0	B	
09:33	   20.91	      25	0	S	
09:33	   20.93	      38	0	B	
09:33	   20.90	      30	0	B	
09:33	   20.93	      27	0	B	
09:33	   20.91	      78	0	B	
09:33	   20.92	      26	0	B	
09:33	   20.93	       3	0	S	
09:33	   20.94	      48	0	B	
09:33	   20.94	      17	0	B	
09:33	   20.95	      12	0	B	
09:33	   20.95	      56	0	B	
09:33	   20.95	      11	0	B	
09:33	   20.96	      15	0	B	
09:34	   20.96	      50	0	B	
09:34	   20.97	      17	0	B	
09:34	   20.98	      10	0	B	
09:34	   20.98	      42	0	B	
09:34	   20.97	      72	0	S	
09:34	   20.97	     252	0	B	
09:34	   20.98	     125	0	B	
09:34	   20.95	      93	0	S	
09:34	   20.95	       9	0	S	
09:34	   20.95	      45	0	S	
09:34	   20.95	      49	0	S	
09:34	   20.97	      51	0	B	
09:34	   20.98	       6	0	
09:34	   20.97	       6	0	S	
09:34	   20.98	      74	0	B	
09:34	   20.96	     120	0	S	
09:34	   20.97	      57	0	B	
09:34	   20.94	      16	0	S	
09:34	   20.93	       3	0	S	
09:35	   20.92	       3	0	S	
09:35	   20.90	      50	0	S	
09:35	   20.90	      31	0	S	
09:35	   20.82	      14	0	S	
09:35	   20.82	      24	0	B	
09:35	   20.75	      31	0	S	
09:35	   20.71	     305	0	S	
09:35	   20.82	      14	0	B	
09:35	   20.82	      20	0	B	
09:35	   20.82	      17	0	B	
09:35	   20.72	      30	0	S	
09:35	   20.72	       5	0	B	
09:35	   20.81	       4	0	B	
09:35	   20.82	      24	0	B	
09:35	   20.82	       3	0	B	
09:36	   20.82	       5	0	S	
09:36	   20.81	       5	0	B	
09:36	   20.80	       5	0	S	
09:36	   20.80	      16	0	S	
09:37	   20.80	      15	0	S	
09:37	   20.79	      33	0	B	
09:37	   20.75	      33	0	S	
09:37	   20.72	     108	0	S	
09:37	   20.71	     104	0	S	
09:37	   20.72	      55	0	B	
09:37	   20.72	       5	0	S	
09:37	   20.70	      27	0	S	
09:37	   20.70	      23	0	S	
09:37	   20.70	       7	0	B	
09:37	   20.71	      28	0	B	
09:37	   20.70	      20	0	S	
09:37	   20.71	       2	0	B	
09:38	   20.69	     194	0	S	
09:38	   20.72	      40	0	B	
09:38	   20.68	       5	0	S	
09:38	   20.68	       5	0	B	
09:38	   20.68	       8	0	B	
09:38	   20.68	       5	0	B	
09:38	   20.61	      29	0	S	
09:38	   20.68	      24	0	B	
09:38	   20.68	      33	0	S	
09:38	   20.68	      14	0	S	
09:38	   20.68	     132	0	S	
09:38	   20.68	      24	0	B	
09:38	   20.67	       6	0	S	
09:38	   20.67	       8	0	S	
09:39	   20.67	       3	0	B	
09:39	   20.67	       3	0	B	
09:39	   20.67	       6	0	S	
09:39	   20.67	      23	0	S	
09:39	   20.67	      10	0	S	
09:39	   20.67	      14	0	S	
09:39	   20.68	      10	0	B	
09:39	   20.68	      12	0	S	
09:39	   20.67	      22	0	S	
09:39	   20.65	       1	0	S	
09:39	   20.65	      17	0	S	
09:40	   20.64	      61	0	S	
09:40	   20.63	      14	0	S	
09:40	   20.63	      23	0	S	
09:40	   20.63	       2	0	S	
09:40	   20.62	      12	0	S	
09:40	   20.62	      35	0	S	
09:40	   20.62	      40	0	S	
09:40	   20.62	      32	0	S	
09:40	   20.61	      24	0	S	
09:40	   20.61	      82	0	S	
09:40	   20.61	      19	0	S	
09:40	   20.60	      20	0	S	
09:40	   20.60	       4	0	S	
09:40	   20.61	      89	0	B	
09:40	   20.60	      60	0	S	
09:40	   20.59	       7	0	S	
09:40	   20.57	      11	0	S	
09:40	   20.57	      10	0	S	
09:40	   20.52	      73	0	S	
09:41	   20.55	       4	0	B	
09:41	   20.52	      59	0	S	
09:41	   20.55	      32	0	B	
09:41	   20.55	      12	0	B	
09:41	   20.60	      20	0	B	
09:41	   20.60	       8	0	B	
09:41	   20.55	      78	0	S	
09:41	   20.60	       1	0	B	
09:41	   20.60	       2	0	B	
09:41	   20.60	       5	0	B	
09:42	   20.62	       3	0	B	
09:42	   20.62	       2	0	B	
09:42	   20.62	       3	0	B	
09:42	   20.62	       7	0	S	
09:42	   20.60	      18	0	S	
09:42	   20.61	      40	0	B	
09:42	   20.62	       4	0	S	
09:42	   20.62	      20	0	B	
09:42	   20.63	       1	0	B	
09:43	   20.63	       1	0	B	
09:43	   20.63	       2	0	S	
09:43	   20.62	      14	0	S	
09:43	   20.62	      12	0	B	
09:43	   20.62	      15	0	S	
09:43	   20.64	      14	0	B	
09:44	   20.66	      31	0	B	
09:44	   20.68	      34	0	S	
09:44	   20.68	       1	0	S	
09:44	   20.68	      10	0	B	
09:44	   20.70	      20	0	B	
09:44	   20.68	       5	0	S	
09:44	   20.69	      10	0	S	
09:45	   20.69	       1	0	B	
09:45	   20.69	       0	0	B	
09:45	   20.69	      14	0	S	
09:45	   20.69	      22	0	B	
09:45	   20.69	       7	0	B	
09:46	   20.68	      20	0	B	
09:46	   20.66	      30	0	S	
09:46	   20.68	      28	0	B	
09:46	   20.68	      19	0	B	
09:46	   20.69	      20	0	B	
09:46	   20.69	      35	0	B	
09:46	   20.69	       4	0	B	
09:47	   20.68	       0	0	B	
09:47	   20.68	       7	0	B	
09:47	   20.68	       3	0	S	
09:47	   20.69	       5	0	B	
09:47	   20.69	      70	0	S	
09:48	   20.76	       5	0	B	
09:48	   20.76	       9	0	S	
09:48	   20.75	       7	0	B	
09:48	   20.75	      16	0	B	
09:48	   20.75	      15	0	B	
09:48	   20.74	       0	0	B	
09:49	   20.72	       1	0	S	
09:49	   20.72	      11	0	S	
09:49	   20.71	      22	0	S	
09:49	   20.70	       3	0	S	
09:49	   20.71	       1	0	S	
09:49	   20.71	       8	0	S	
09:49	   20.70	      73	0	S	
09:49	   20.69	       3	0	S	
09:49	   20.71	      12	0	B	
09:50	   20.69	      11	0	S	
09:50	   20.69	       9	0	S	
09:50	   20.71	      34	0	B	
09:50	   20.71	       4	0	S	
09:50	   20.69	       7	0	S	
09:50	   20.69	      16	0	S	
09:50	   20.64	      10	0	S	
09:51	   20.65	       2	0	B	
09:51	   20.63	      37	0	S	
09:51	   20.67	       5	0	B	
09:51	   20.67	      13	0	S	
09:51	   20.69	       1	0	B	
09:52	   20.69	       1	0	B	
09:52	   20.70	      19	0	S	
09:52	   20.70	       7	0	B	
09:52	   20.70	       3	0	S	
09:52	   20.69	       7	0	B	
09:52	   20.71	      20	0	B	
09:53	   20.71	      20	0	B	
09:53	   20.71	     116	0	B	
09:53	   20.72	      10	0	B	
09:53	   20.73	       2	0	B	
09:53	   20.73	      30	0	S	
09:53	   20.77	      15	0	B	
09:53	   20.77	      18	0	S	
09:53	   20.80	      81	0	B	
09:53	   20.79	      13	0	S	
09:53	   20.80	       8	0	B	
09:53	   20.82	      70	0	B	
09:54	   20.82	       7	0	B	
09:54	   20.83	      35	0	S	
09:54	   20.84	      23	0	B	
09:54	   20.84	       1	0	B	
09:54	   20.84	      18	0	B	
09:54	   20.80	      15	0	S	
09:54	   20.80	      59	0	S	
09:54	   20.81	       3	0	S	
09:54	   20.80	       2	0	S	
09:54	   20.83	      18	0	B	
09:54	   20.83	      71	0	B	
09:54	   20.83	      34	0	S	
09:54	   20.84	       2	0	B	
09:54	   20.84	     227	0	B	
09:55	   20.85	      35	0	B	
09:55	   20.69	      14	0	S	
09:55	   20.85	      24	0	B	
09:55	   20.85	      20	0	S	
09:55	   20.84	       3	0	S	
09:55	   20.84	      15	0	B	
09:55	   20.84	      48	0	B	
09:55	   20.84	      24	0	S	
09:55	   20.84	       8	0	S	
09:56	   20.79	      20	0	S	
09:56	   20.80	      15	0	B	
09:56	   20.80	       1	0	B	
09:56	   20.71	      28	0	S	
09:56	   20.79	       6	0	B	
09:56	   20.79	       7	0	B	
09:56	   20.79	       9	0	S	
09:57	   20.80	       6	0	B	
09:57	   20.79	      45	0	S	
09:57	   20.79	      10	0	S	
09:57	   20.74	       3	0	S	
09:57	   20.71	      22	0	S	
09:57	   20.70	      21	0	S	
09:57	   20.69	      14	0	S	
09:57	   20.70	       3	0	B	
09:58	   20.70	       6	0	B	
09:58	   20.71	       5	0	B	
09:58	   20.70	      47	0	S	
09:58	   20.70	      32	0	S	
09:59	   20.75	      10	0	B	
09:59	   20.75	       3	0	S	
09:59	   20.71	     103	0	S	
09:59	   20.78	       2	0	B	
09:59	   20.78	       9	0	B	
09:59	   20.78	     130	0	B	
10:00	   20.76	       1	0	B	
10:00	   20.78	     100	0	B	
10:00	   20.78	      10	0	B	
10:00	   20.78	      11	0	B	
10:00	   20.78	       2	0	B	
10:00	   20.79	      11	0	B	
10:01	   20.78	      12	0	B	
10:01	   20.74	      25	0	S	
10:01	   20.74	      16	0	B	
10:01	   20.74	      16	0	B	
10:01	   20.74	      91	0	S	
10:01	   20.80	      12	0	B	
10:02	   20.79	       7	0	B	
10:02	   20.74	       5	0	S	
10:03	   20.75	       5	0	S	
10:03	   20.77	       4	0	B	
10:03	   20.75	      28	0	S	
10:04	   20.75	       7	0	B	
10:04	   20.74	      10	0	S	
10:04	   20.75	      30	0	B	
10:04	   20.75	      13	0	B	
10:05	   20.75	       8	0	S	
10:05	   20.75	      10	0	S	
10:05	   20.77	       6	0	B	
10:05	   20.75	      24	0	S	
10:05	   20.75	       1	0	S	
10:05	   20.74	       6	0	S	
10:06	   20.74	       7	0	S	
10:06	   20.76	       1	0	B	
10:06	   20.76	      10	0	B	
10:06	   20.76	       3	0	B	
10:06	   20.76	       8	0	S	
10:06	   20.76	       3	0	S	
10:07	   20.75	      46	0	S	
10:07	   20.76	      18	0	B	
10:07	   20.76	       7	0	B	
10:07	   20.76	       5	0	B	
10:08	   20.75	      10	0	S	
10:08	   20.75	       9	0	S	
10:08	   20.75	      19	0	S	
10:08	   20.75	       1	0	S	
10:08	   20.76	      51	0	B	
10:09	   20.77	      41	0	B	
10:09	   20.78	      14	0	B	
10:09	   20.78	       0	0	B	
10:10	   20.79	       5	0	B	
10:10	   20.80	      30	0	B	
10:10	   20.80	       7	0	B	
10:10	   20.80	       4	0	B	
10:10	   20.80	      20	0	B	
10:11	   20.80	      10	0	B	
10:11	   20.79	       8	0	S	
10:11	   20.80	       5	0	B	
10:11	   20.82	       3	0	B	
10:11	   20.82	       9	0	B	
10:11	   20.82	       4	0	B	
10:11	   20.83	      10	0	B	
10:12	   20.82	      55	0	B	
10:12	   20.81	      30	0	B	
10:12	   20.80	       4	0	S	
10:12	   20.80	       2	0	S	
10:12	   20.80	       1	0	S	
10:12	   20.79	      29	0	S	
10:12	   20.79	      28	0	S	
10:12	   20.78	       7	0	S	
10:13	   20.80	      34	0	B	
10:13	   20.81	      12	0	S	
10:13	   20.81	       1	0	S	
10:13	   20.80	       6	0	B	
10:14	   20.80	      12	0	B	
10:15	   20.82	      20	0	B	
10:15	   20.80	       6	0	S	
10:15	   20.82	       2	0	B	
10:15	   20.82	       9	0	B	
10:15	   20.81	       5	0	S	
10:15	   20.82	       3	0	S	
10:15	   20.83	      56	0	B	
10:15	   20.81	      10	0	B	
10:15	   20.82	       1	0	S	
10:16	   20.83	      28	0	B	
10:16	   20.83	       5	0	S	
10:16	   20.82	      19	0	S	
10:16	   20.79	      95	0	S	
10:16	   20.79	      16	0	S	
10:16	   20.78	      14	0	S	
10:16	   20.78	      94	0	S	
10:16	   20.78	       7	0	S	
10:16	   20.77	       5	0	S	
10:16	   20.76	      15	0	S	
10:16	   20.76	      36	0	S	
10:16	   20.76	       5	0	S	
10:17	   20.73	      10	0	S	
10:17	   20.73	      10	0	S	
10:18	   20.76	      10	0	B	
10:19	   20.76	       4	0	S	
10:19	   20.75	       8	0	S	
10:19	   20.75	      14	0	B	
10:19	   20.75	       5	0	B	
10:19	   20.75	      20	0	B	
10:20	   20.75	       1	0	B	
10:20	   20.75	       2	0	B	
10:20	   20.75	       4	0	S	
10:21	   20.74	       2	0	S	
10:21	   20.73	       7	0	S	
10:21	   20.72	      65	0	S	
10:21	   20.71	      71	0	S	
10:21	   20.71	       7	0	S	
10:21	   20.72	      50	0	B	
10:22	   20.70	      73	0	S	
10:22	   20.68	      22	0	S	
10:22	   20.69	      54	0	B	
10:22	   20.66	      80	0	S	
10:22	   20.69	      19	0	S	
10:22	   20.68	      11	0	B	
10:22	   20.69	      50	0	B	
10:22	   20.66	      20	0	S	
10:23	   20.67	       6	0	S	
10:23	   20.66	      14	0	S	
10:23	   20.67	      50	0	B	
10:23	   20.67	      36	0	B	
10:23	   20.69	       1	0	B	
