                  20250606 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   23.70	       0	0	
09:15	   22.60	       0	0	
09:15	   22.01	       0	0	
09:15	   21.97	       0	0	
09:15	   21.96	       0	0	
09:15	   25.00	       0	0	
09:16	   24.66	       0	0	
09:16	   24.66	       0	0	
09:16	   24.88	       0	0	
09:16	   24.66	       0	0	
09:16	   25.00	       0	0	
09:16	   21.01	       0	0	
09:17	   21.01	       0	0	
09:17	   21.97	       0	0	
09:17	   22.66	       0	0	
09:17	   23.66	       0	0	
09:18	   22.60	       0	0	
09:18	   22.60	       0	0	
09:18	   21.97	       0	0	
09:18	   22.01	       0	0	
09:19	   22.01	       0	0	
09:19	   22.01	       0	0	
09:19	   22.00	       0	0	
09:20	   22.01	       0	0	
09:20	   22.01	       0	0	
09:21	   22.01	       0	0	
09:21	   22.01	       0	0	
09:21	   22.01	       0	0	
09:21	   22.01	       0	0	
09:22	   22.01	       0	0	
09:22	   22.01	       0	0	
09:22	   22.01	       0	0	
09:22	   22.01	       0	0	
09:22	   22.01	       0	0	
09:22	   22.01	       0	0	
09:22	   22.01	       0	0	
09:22	   22.01	       0	0	
09:22	   22.01	       0	0	
09:23	   22.02	       0	0	
09:23	   22.01	       0	0	
09:23	   22.01	       0	0	
09:23	   22.01	       0	0	
09:23	   21.76	       0	0	
09:23	   22.00	       0	0	
09:23	   22.00	       0	0	
09:23	   22.00	       0	0	
09:23	   22.00	       0	0	
09:23	   22.00	       0	0	
09:23	   22.00	       0	0	
09:23	   22.00	       0	0	
09:24	   22.00	       0	0	
09:24	   22.00	       0	0	
09:24	   22.00	       0	0	
09:24	   22.00	       0	0	
09:24	   21.90	       0	0	
09:24	   21.98	       0	0	
09:24	   21.95	       0	0	
09:24	   21.90	       0	0	
09:24	   21.76	       0	0	
09:24	   21.76	       0	0	
09:24	   21.70	       0	0	
09:24	   21.76	       0	0	
09:24	   21.70	       0	0	
09:24	   21.69	       0	0	
09:24	   21.68	       0	0	
09:24	   21.66	       0	0	
09:24	   21.65	       0	0	
09:24	   21.60	       0	0	
09:25	   21.60	     609	0	
09:30	   21.58	     465	0	S	
09:30	   21.51	     329	0	S	
09:30	   21.50	      94	0	S	
09:30	   21.50	      34	0	S	
09:30	   21.44	      21	0	S	
09:30	   21.43	      63	0	S	
09:30	   21.45	      57	0	B	
09:30	   21.43	      47	0	S	
09:30	   21.43	      48	0	S	
09:30	   21.44	     121	0	B	
09:30	   21.44	     135	0	B	
09:30	   21.46	      89	0	B	
09:30	   21.44	      46	0	S	
09:30	   21.53	      16	0	B	
09:30	   21.54	      97	0	B	
09:30	   21.55	      12	0	B	
09:30	   21.57	      48	0	B	
09:30	   21.57	      24	0	B	
09:30	   21.60	     137	0	B	
09:30	   21.65	       5	0	B	
09:31	   21.63	      29	0	B	
09:31	   21.65	       9	0	B	
09:31	   21.66	      99	0	B	
09:31	   21.68	       2	0	B	
09:31	   21.68	     146	0	S	
09:31	   21.69	      63	0	B	
09:31	   21.70	      18	0	B	
09:31	   21.70	      33	0	S	
09:31	   21.74	       5	0	S	
09:31	   21.76	     121	0	B	
09:31	   21.73	     383	0	S	
09:31	   21.73	     283	0	S	
09:31	   21.73	     168	0	B	
09:31	   21.68	      71	0	S	
09:31	   21.67	      22	0	S	
09:31	   21.66	      11	0	S	
09:31	   21.62	     111	0	S	
09:31	   21.67	     162	0	B	
09:31	   21.62	       9	0	S	
09:32	   21.69	       5	0	B	
09:32	   21.73	     109	0	B	
09:32	   21.67	      22	0	B	
09:32	   21.63	      11	0	S	
09:32	   21.63	      46	0	S	
09:32	   21.67	      25	0	S	
09:32	   21.67	      69	0	B	
09:32	   21.66	      89	0	B	
09:32	   21.67	      37	0	B	
09:32	   21.67	      32	0	S	
09:32	   21.67	      37	0	S	
09:32	   21.56	      14	0	S	
09:32	   21.60	      34	0	S	
09:32	   21.55	      46	0	S	
09:32	   21.60	      48	0	B	
09:32	   21.59	      29	0	B	
09:32	   21.60	      14	0	B	
09:32	   21.60	       7	0	B	
09:32	   21.60	      26	0	S	
09:33	   21.59	       3	0	B	
09:33	   21.55	      32	0	S	
09:33	   21.56	      33	0	B	
09:33	   21.54	      57	0	S	
