                  20250609 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   22.50	       0	0	
09:15	   22.50	       0	0	
09:15	   22.50	       0	0	
09:16	   22.50	       0	0	
09:18	   22.47	       0	0	
09:20	   22.47	       0	0	
09:20	   22.47	       0	0	
09:21	   22.47	       0	0	
09:21	   22.47	       0	0	
09:21	   22.47	       0	0	
09:21	   22.47	       0	0	
09:21	   22.47	       0	0	
09:22	   22.46	       0	0	
09:22	   22.30	       0	0	
09:22	   22.30	       0	0	
09:23	   22.30	       0	0	
09:23	   22.30	       0	0	
09:23	   22.28	       0	0	
09:23	   22.28	       0	0	
09:23	   22.30	       0	0	
09:23	   22.30	       0	0	
09:23	   22.28	       0	0	
09:24	   22.28	       0	0	
09:24	   22.27	       0	0	
09:24	   22.27	       0	0	
09:24	   22.27	       0	0	
09:24	   22.27	       0	0	
09:24	   22.27	       0	0	
09:24	   22.27	       0	0	
09:24	   22.27	       0	0	
09:24	   22.27	       0	0	
09:24	   22.27	       0	0	
09:24	   22.27	       0	0	
09:24	   22.27	       0	0	
09:24	   22.27	       0	0	
09:25	   22.30	     428	0	
09:30	   22.41	     147	0	B	
09:30	   22.30	     378	0	S	
09:30	   22.40	      34	0	B	
09:30	   22.34	      29	0	S	
09:30	   22.34	       3	0	B	
09:30	   22.32	     142	0	S	
09:30	   22.33	      39	0	B	
09:30	   22.39	       9	0	B	
09:30	   22.33	      31	0	S	
09:30	   22.40	      22	0	B	
09:30	   22.40	      32	0	S	
09:30	   22.45	      10	0	B	
09:30	   22.46	      50	0	B	
09:30	   22.49	      63	0	B	
09:30	   22.50	      86	0	B	
09:31	   22.55	      14	0	B	
09:31	   22.55	      31	0	B	
09:31	   22.55	      91	0	S	
09:31	   22.59	     203	0	B	
09:31	   22.68	      60	0	B	
09:31	   22.59	      68	0	S	
09:31	   22.58	     253	0	S	
09:31	   22.75	      84	0	B	
09:31	   22.63	      25	0	S	
09:31	   22.61	      28	0	S	
09:31	   22.65	      14	0	B	
09:31	   22.68	      22	0	B	
09:31	   22.65	      51	0	S	
09:31	   22.75	      15	0	B	
09:31	   22.67	      21	0	S	
09:31	   22.75	      31	0	B	
09:31	   22.75	      70	0	B	
09:31	   22.70	      21	0	S	
09:31	   22.65	     189	0	S	
09:32	   22.65	     121	0	S	
09:32	   22.63	     234	0	S	
09:32	   22.58	     145	0	S	
09:32	   22.57	     112	0	S	
09:32	   22.55	     156	0	S	
09:32	   22.49	      67	0	S	
09:32	   22.49	       8	0	B	
09:32	   22.39	     151	0	S	
09:32	   22.50	      54	0	B	
09:32	   22.39	     102	0	S	
09:32	   22.49	      57	0	B	
09:32	   22.40	      27	0	S	
09:32	   22.50	       0	0	S	
09:32	   22.52	      57	0	S	
09:32	   22.49	      11	0	B	
09:32	   22.42	       5	0	S	
09:32	   22.49	      49	0	B	
09:32	   22.50	       1	0	B	
09:33	   22.49	      15	0	S	
09:33	   22.50	      15	0	B	
09:33	   22.50	     107	0	B	
09:33	   22.52	      62	0	B	
09:33	   22.52	       6	0	B	
09:33	   22.54	      43	0	B	
09:33	   22.57	      38	0	B	
09:33	   22.54	      43	0	S	
09:33	   22.64	       8	0	B	
09:33	   22.64	       2	0	B	
09:33	   22.69	       3	0	B	
09:33	   22.69	      70	0	S	
09:33	   22.69	      19	0	B	
09:33	   22.70	      25	0	S	
09:33	   22.70	      61	0	S	
09:33	   22.70	       5	0	B	
09:33	   22.70	      27	0	B	
09:33	   22.70	      19	0	B	
09:33	   22.70	     124	0	B	
09:33	   22.71	       5	0	S	
09:34	   22.75	      17	0	B	
09:34	   22.75	      34	0	S	
09:34	   22.77	      46	0	B	
09:34	   22.77	      49	0	S	
09:34	   22.79	       9	0	B	
09:34	   22.80	      49	0	B	
09:34	   22.84	      13	0	B	
09:34	   22.81	      10	0	S	
09:34	   22.84	      28	0	S	
09:34	   22.85	      92	0	B	
09:34	   22.81	      69	0	S	
09:34	   22.84	     107	0	B	
09:34	   22.84	     209	0	S	
09:34	   22.85	      63	0	S	
09:34	   22.83	      37	0	S	
09:34	   22.83	      39	0	B	
09:34	   22.89	     347	0	B	
09:34	   22.85	     138	0	S	
09:34	   22.89	      37	0	B	
09:34	   22.85	       6	0	S	
09:35	   22.99	     109	0	B	
09:35	   22.83	      41	0	S	
09:35	   23.00	     112	0	B	
09:35	   22.99	      53	0	B	
09:35	   22.96	      16	0	B	
09:35	   22.96	      53	0	B	
09:35	   22.96	      30	0	B	
09:35	   22.85	     239	0	S	
09:35	   22.78	     101	0	S	
09:35	   22.78	     298	0	B	
09:35	   22.78	      25	0	B	
09:35	   22.77	      18	0	S	
09:35	   22.78	      72	0	B	
09:35	   22.78	      71	0	S	
09:35	   22.78	      42	0	S	
09:35	   22.78	      36	0	S	
09:35	   22.78	      74	0	S	
09:35	   22.82	      13	0	B	
