                  20250611 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   22.10	       0	0	
09:15	   22.10	       0	0	
09:15	   22.10	       0	0	
09:15	   22.66	       0	0	
09:16	   22.88	       0	0	
09:16	   23.93	       0	0	
09:16	   25.00	       0	0	
09:16	   25.00	       0	0	
09:16	   24.97	       0	0	
09:16	   24.97	       0	0	
09:16	   24.97	       0	0	
09:17	   24.97	       0	0	
09:17	   24.97	       0	0	
09:17	   24.97	       0	0	
09:17	   24.97	       0	0	
09:17	   23.94	       0	0	
09:17	   23.94	       0	0	
09:17	   23.94	       0	0	
09:17	   22.66	       0	0	
09:17	   22.66	       0	0	
09:17	   22.88	       0	0	
09:18	   22.66	       0	0	
09:19	   22.66	       0	0	
09:19	   22.66	       0	0	
09:19	   22.66	       0	0	
09:20	   22.56	       0	0	
09:20	   22.10	       0	0	
09:21	   22.10	       0	0	
09:21	   22.09	       0	0	
09:21	   21.68	       0	0	
09:21	   21.68	       0	0	
09:21	   21.68	       0	0	
09:22	   21.68	       0	0	
09:22	   21.68	       0	0	
09:22	   21.68	       0	0	
09:22	   21.68	       0	0	
09:22	   21.68	       0	0	
09:23	   21.68	       0	0	
09:23	   21.68	       0	0	
09:23	   21.68	       0	0	
09:23	   21.66	       0	0	
09:23	   21.68	       0	0	
09:23	   21.68	       0	0	
09:23	   21.68	       0	0	
09:23	   21.68	       0	0	
09:23	   21.68	       0	0	
09:23	   21.68	       0	0	
09:23	   21.68	       0	0	
09:24	   21.68	       0	0	
09:24	   21.68	       0	0	
09:24	   21.68	       0	0	
09:24	   21.68	       0	0	
09:24	   21.68	       0	0	
09:24	   21.69	       0	0	
09:24	   21.69	       0	0	
09:24	   21.69	       0	0	
09:24	   21.72	       0	0	
09:24	   21.75	       0	0	
09:24	   21.75	       0	0	
09:24	   21.66	       0	0	
09:25	   21.68	     599	0	
09:30	   21.72	     245	0	B	
09:30	   21.75	      33	0	S	
09:30	   21.98	      86	0	B	
09:30	   21.73	       4	0	S	
09:30	   21.88	      15	0	B	
09:30	   21.95	      15	0	B	
09:30	   21.75	       1	0	S	
09:30	   21.75	      26	0	S	
09:30	   21.75	     119	0	S	
09:30	   21.73	     112	0	S	
09:30	   21.99	     200	0	B	
09:30	   21.84	      25	0	B	
09:30	   21.84	       5	0	B	
09:30	   21.80	      10	0	B	
09:30	   22.01	     200	0	B	
09:30	   21.79	      11	0	B	
09:30	   21.79	      22	0	S	
09:30	   21.81	       7	0	S	
09:31	   22.09	     351	0	B	
09:31	   21.90	      18	0	B	
09:31	   21.76	      58	0	S	
09:31	   21.76	      73	0	B	
09:31	   21.90	      25	0	B	
09:31	   22.10	     127	0	B	
09:31	   22.10	       9	0	B	
09:31	   22.10	       1	0	B	
09:31	   22.15	       4	0	B	
09:31	   22.15	       0	0	B	
09:31	   22.20	      16	0	B	
09:31	   22.25	      40	0	B	
09:31	   22.29	      84	0	S	
09:31	   22.25	      42	0	S	
09:31	   22.47	     113	0	B	
09:31	   22.25	     174	0	S	
09:31	   22.28	       7	0	S	
09:31	   22.27	      80	0	S	
09:32	   22.47	     139	0	B	
09:32	   22.28	     362	0	S	
09:32	   22.33	      46	0	B	
09:32	   22.29	      48	0	S	
09:32	   22.30	      11	0	B	
09:32	   22.00	      87	0	S	
09:32	   22.20	      43	0	B	
09:32	   22.20	       0	0	B	
09:32	   22.01	       1	0	S	
09:32	   22.01	       6	0	S	
09:32	   22.01	       3	0	B	
09:32	   22.03	       4	0	S	
09:32	   22.00	      81	0	S	
09:32	   22.04	       4	0	S	
09:32	   22.03	      16	0	S	
09:33	   22.03	      14	0	S	
09:33	   22.03	      37	0	S	
09:33	   22.00	      41	0	S	
09:33	   21.98	      24	0	S	
09:33	   21.98	      45	0	B	
09:33	   21.95	       4	0	B	
09:33	   21.76	      73	0	S	
09:33	   21.85	       6	0	B	
09:33	   21.84	      21	0	B	
09:33	   21.76	      28	0	S	
09:33	   21.86	      39	0	B	
09:33	   21.85	      10	0	B	
09:33	   21.95	       1	0	B	
09:33	   21.95	       2	0	S	
09:33	   21.85	      20	0	S	
09:33	   21.99	      11	0	B	
09:33	   21.99	       7	0	S	
09:33	   21.99	       6	0	S	
09:34	   21.99	      17	0	S	
09:34	   22.00	      20	0	B	
09:34	   21.95	      32	0	S	
09:34	   21.95	      76	0	B	
09:34	   21.90	      69	0	B	
09:34	   21.86	      57	0	S	
09:34	   21.86	      57	0	B	
09:34	   21.86	       8	0	S	
09:34	   21.87	      37	0	B	
09:34	   21.87	      16	0	B	
09:34	   21.86	       2	0	B	
09:34	   21.85	     114	0	S	
09:34	   21.85	      60	0	B	
09:34	   21.85	      66	0	B	
09:34	   21.80	      76	0	S	
09:34	   21.85	       3	0	S	
09:34	   21.85	       4	0	S	
09:35	   21.85	      22	0	S	
09:35	   21.85	      37	0	B	
09:35	   21.87	       0	0	B	
09:35	   21.83	      48	0	S	
09:35	   21.83	       7	0	S	
09:35	   21.85	      22	0	B	
09:35	   21.85	      27	0	B	
09:35	   21.85	      55	0	B	
09:35	   21.81	      14	0	S	
09:35	   21.81	       3	0	S	
09:35	   21.83	       8	0	S	
09:35	   21.85	       1	0	B	
09:35	   21.83	       1	0	S	
09:35	   21.85	      15	0	B	
09:35	   21.85	      39	0	B	
09:35	   21.85	      38	0	B	
09:35	   21.85	      26	0	B	
09:35	   21.83	      60	0	S	
09:35	   21.83	      16	0	B	
09:35	   21.83	      10	0	B	
09:36	   21.83	      58	0	B	
09:36	   21.85	      46	0	B	
09:36	   21.85	       0	0	B	
09:36	   21.86	      12	0	B	
09:36	   21.87	      10	0	B	
09:36	   21.87	      18	0	S	
