                  20250613 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   22.38	       0	0	
09:18	   22.89	       0	0	
09:18	   22.38	       0	0	
09:19	   22.38	       0	0	
09:20	   22.38	       0	0	
09:21	   22.36	       0	0	
09:22	   22.36	       0	0	
09:22	   22.23	       0	0	
09:22	   22.22	       0	0	
09:22	   22.22	       0	0	
09:23	   22.18	       0	0	
09:23	   22.15	       0	0	
09:23	   22.15	       0	0	
09:23	   22.15	       0	0	
09:23	   22.08	       0	0	
09:23	   22.02	       0	0	
09:24	   22.02	       0	0	
09:24	   22.00	       0	0	
09:24	   21.98	       0	0	
09:24	   21.98	       0	0	
09:25	   21.98	      13	0	
09:30	   21.79	      55	0	S	
09:30	   21.79	      16	0	B	
09:30	   21.79	       8	0	B	
09:30	   21.80	      21	0	B	
09:30	   21.90	      24	0	B	
09:30	   21.89	       6	0	B	
09:30	   21.89	      16	0	S	
09:30	   21.90	       4	0	B	
09:30	   21.80	      23	0	S	
09:30	   21.95	      23	0	B	
09:30	   21.95	      12	0	S	
09:30	   21.93	       4	0	B	
09:30	   21.93	      22	0	S	
09:30	   21.93	       2	0	S	
09:30	   21.93	      49	0	S	
09:30	   21.93	      55	0	B	
09:30	   21.93	      30	0	B	
09:31	   21.93	       9	0	S	
09:31	   21.92	       5	0	S	
09:31	   21.93	      15	0	B	
09:31	   21.92	      19	0	S	
09:31	   21.93	       0	0	S	
09:31	   21.92	       3	0	B	
09:31	   21.92	       6	0	S	
09:31	   21.80	      25	0	S	
09:31	   21.93	      59	0	B	
09:31	   21.72	      86	0	S	
09:31	   21.72	      66	0	B	
09:31	   21.83	       8	0	B	
09:31	   21.83	       3	0	S	
09:31	   21.83	      44	0	S	
09:31	   21.70	     294	0	S	
09:31	   21.73	      26	0	B	
09:31	   21.73	      30	0	B	
09:32	   21.73	      58	0	S	
09:32	   21.73	      50	0	S	
09:32	   21.73	      19	0	S	
09:32	   21.63	      75	0	S	
09:32	   21.73	       8	0	B	
09:32	   21.96	       6	0	B	
09:32	   21.70	      15	0	S	
09:32	   21.67	     100	0	S	
09:32	   21.70	       3	0	S	
09:32	   21.63	     152	0	S	
09:32	   21.63	      48	0	B	
09:32	   21.63	      14	0	S	
09:32	   21.53	     172	0	S	
09:32	   21.64	      40	0	B	
09:33	   21.53	     393	0	S	
09:33	   21.58	      17	0	S	
09:33	   21.65	       3	0	S	
09:33	   21.65	      25	0	S	
09:33	   21.65	      33	0	S	
09:33	   21.62	       5	0	S	
09:33	   21.65	      16	0	B	
09:33	   21.62	      45	0	S	
09:33	   21.62	      50	0	S	
09:33	   21.65	      42	0	B	
09:33	   21.63	      16	0	S	
09:33	   21.63	     114	0	B	
09:34	   21.80	      74	0	B	
09:34	   21.70	      25	0	S	
09:34	   21.80	      29	0	B	
09:34	   21.81	     127	0	B	
09:34	   21.81	       3	0	B	
09:34	   21.81	       3	0	B	
09:34	   21.81	      18	0	B	
09:34	   21.81	      13	0	S	
09:34	   21.70	      80	0	S	
09:34	   21.80	      10	0	B	
09:34	   21.71	       5	0	S	
09:35	   21.70	      18	0	S	
09:35	   21.74	      10	0	B	
09:35	   21.70	      22	0	S	
09:35	   21.70	      33	0	S	
09:35	   21.67	      48	0	S	
09:35	   21.67	      10	0	B	
09:35	   21.70	      24	0	B	
09:35	   21.63	     300	0	S	
09:35	   21.63	      73	0	S	
09:35	   21.63	       5	0	B	
09:36	   21.63	      18	0	B	
09:36	   21.63	     154	0	B	
09:36	   21.58	     240	0	S	
09:36	   21.58	      60	0	B	
09:36	   21.70	       2	0	B	
09:36	   21.70	       1	0	S	
09:36	   21.53	     500	0	S	
09:36	   21.57	     145	0	S	
09:36	   21.57	      57	0	B	
09:36	   21.63	       3	0	S	
09:36	   21.58	       7	0	S	
09:36	   21.51	     300	0	S	
09:36	   21.63	       2	0	S	
09:36	   21.49	     128	0	S	
09:36	   21.49	     504	0	B	
09:37	   21.56	      10	0	S	
09:37	   21.55	      28	0	S	
09:37	   21.55	      25	0	B	
09:37	   21.55	      20	0	B	
09:37	   21.55	       9	0	B	
09:37	   21.53	      73	0	S	
09:37	   21.52	      15	0	S	
09:37	   21.53	      80	0	B	
09:37	   21.53	      15	0	B	
09:37	   21.51	      11	0	S	
09:37	   21.53	      18	0	B	
09:37	   21.51	       5	0	S	
09:37	   21.53	      14	0	S	
09:37	   21.53	      64	0	B	
09:37	   21.53	      13	0	S	
09:37	   21.52	      70	0	S	
09:38	   21.52	       4	0	B	
09:38	   21.56	       3	0	B	
09:38	   21.55	       7	0	S	
09:38	   21.52	      10	0	S	
09:38	   21.55	       1	0	B	
09:38	   21.52	       5	0	S	
09:38	   21.56	       1	0	B	
09:38	   21.55	       2	0	B	
09:38	   21.55	       5	0	B	
09:38	   21.55	       7	0	B	
09:38	   21.55	       1	0	B	
09:38	   21.56	       1	0	B	
09:38	   21.56	       6	0	S	
09:38	   21.64	       7	0	B	
09:38	   21.56	       5	0	S	
09:38	   21.56	       4	0	S	
09:38	   21.56	       4	0	B	
09:38	   21.56	      57	0	B	
09:39	   21.56	      65	0	B	
09:39	   21.56	      73	0	B	
09:39	   21.56	      31	0	S	
