                  20250616 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   21.28	       0	0	
09:15	   21.14	       0	0	
09:22	   21.14	       0	0	
09:23	   21.13	       0	0	
09:23	   21.11	       0	0	
09:23	   21.11	       0	0	
09:23	   21.10	       0	0	
09:23	   21.00	       0	0	
09:24	   21.00	       0	0	
09:24	   20.98	       0	0	
09:24	   20.98	       0	0	
09:24	   20.98	       0	0	
09:24	   20.98	       0	0	
09:24	   20.98	       0	0	
09:24	   20.98	       0	0	
09:25	   20.98	     102	0	
09:30	   20.81	      20	0	S	
09:30	   20.81	      30	0	S	
09:30	   20.81	      18	0	B	
09:30	   20.81	      38	0	B	
09:30	   20.80	       2	0	B	
09:30	   20.71	      37	0	S	
09:30	   20.73	       2	0	S	
09:30	   20.79	      11	0	B	
09:30	   20.80	      41	0	B	
09:30	   20.80	       3	0	S	
09:30	   20.80	       1	0	S	
09:30	   20.80	     123	0	B	
09:30	   20.80	       3	0	S	
09:30	   20.75	       5	0	S	
09:30	   20.80	      11	0	B	
09:30	   20.80	      13	0	B	
09:31	   20.80	      20	0	S	
09:31	   20.80	      32	0	S	
09:31	   20.86	       6	0	B	
09:31	   20.85	      12	0	B	
09:31	   20.81	      16	0	S	
09:31	   20.86	       5	0	B	
09:31	   20.85	       5	0	S	
09:31	   20.85	       5	0	B	
09:32	   20.83	       3	0	S	
09:32	   20.81	       7	0	S	
09:32	   20.81	       9	0	S	
09:32	   20.80	      18	0	S	
09:32	   20.80	      15	0	S	
09:32	   20.77	       3	0	S	
09:32	   20.77	       5	0	S	
09:32	   20.77	       4	0	S	
09:32	   20.77	       4	0	S	
09:32	   20.76	      14	0	S	
09:33	   20.72	     285	0	S	
09:33	   20.72	      13	0	B	
09:33	   20.76	     122	0	B	
09:33	   20.76	       1	0	B	
09:33	   20.71	       5	0	S	
09:33	   20.71	      50	0	S	
09:33	   20.76	      24	0	B	
09:33	   20.71	      31	0	S	
09:34	   20.71	      28	0	S	
09:34	   20.76	       1	0	B	
09:34	   20.75	       7	0	B	
09:34	   20.75	       4	0	B	
09:34	   20.76	      15	0	B	
09:35	   20.76	      10	0	S	
09:35	   20.76	       2	0	S	
09:35	   20.78	       7	0	B	
09:35	   20.78	      93	0	S	
09:35	   20.75	      28	0	S	
09:35	   20.75	       5	0	S	
09:35	   20.75	       7	0	S	
09:35	   20.75	       1	0	S	
09:35	   20.75	       2	0	S	
09:36	   20.76	     105	0	B	
09:36	   20.76	       7	0	B	
09:36	   20.76	     102	0	S	
09:36	   20.78	       1	0	B	
09:36	   20.73	      32	0	S	
09:36	   20.73	      14	0	B	
09:36	   20.73	      20	0	B	
09:36	   20.72	       6	0	S	
09:36	   20.72	       5	0	S	
09:36	   20.73	      54	0	B	
09:36	   20.72	      39	0	S	
09:37	   20.76	      10	0	B	
09:37	   20.78	      58	0	B	
09:37	   20.78	      12	0	B	
09:37	   20.78	       1	0	B	
09:37	   20.78	      11	0	S	
09:37	   20.78	       5	0	B	
09:37	   20.78	       2	0	B	
09:37	   20.76	      32	0	S	
09:37	   20.75	       8	0	S	
09:38	   20.73	       1	0	S	
09:38	   20.73	      42	0	S	
09:38	   20.72	      95	0	S	
09:38	   20.71	     183	0	S	
09:38	   20.70	      12	0	S	
09:38	   20.70	      13	0	S	
09:38	   20.68	       1	0	S	
09:38	   20.70	       7	0	B	
09:38	   20.70	       5	0	S	
09:38	   20.70	      71	0	S	
09:38	   20.70	      20	0	B	
09:38	   20.70	       1	0	B	
09:39	   20.76	      19	0	B	
09:39	   20.70	      13	0	S	
09:39	   20.77	      33	0	B	
09:39	   20.77	      18	0	B	
09:39	   20.75	      75	0	S	
09:39	   20.75	      14	0	B	
09:39	   20.75	      41	0	B	
09:39	   20.77	      30	0	B	
09:39	   20.78	      35	0	B	
09:39	   20.80	      28	0	B	
09:39	   20.80	       0	0	B	
09:39	   20.87	      20	0	B	
09:39	   20.92	     104	0	B	
09:39	   20.92	      23	0	B	
09:39	   20.92	       3	0	B	
09:39	   20.97	       5	0	B	
09:40	   20.94	       4	0	S	
09:40	   20.94	      15	0	S	
09:40	   20.86	       9	0	B	
09:40	   20.86	      13	0	B	
09:40	   20.86	      40	0	S	
09:40	   20.85	      14	0	B	
09:40	   20.85	      33	0	B	
09:40	   20.85	      12	0	B	
09:40	   20.88	      80	0	B	
09:40	   20.88	      29	0	S	
09:40	   20.88	      10	0	B	
09:40	   20.88	      19	0	B	
09:41	   20.88	      23	0	B	
09:41	   20.88	      93	0	B	
09:41	   20.88	       4	0	S	
09:41	   20.88	      19	0	S	
09:41	   20.88	       4	0	S	
09:41	   20.83	      16	0	B	
09:41	   20.88	       3	0	B	
09:41	   20.88	      37	0	B	
09:42	   20.83	      30	0	S	
09:42	   20.88	      12	0	B	
09:42	   20.93	      30	0	B	
09:42	   20.85	       3	0	S	
09:42	   20.88	      42	0	B	
09:42	   20.88	       8	0	S	
09:42	   20.85	       6	0	S	
09:42	   20.85	       2	0	B	
09:42	   20.93	      58	0	B	
09:42	   20.93	      46	0	S	
09:42	   20.86	      48	0	S	
09:43	   20.89	       2	0	B	
09:43	   20.91	       2	0	B	
09:43	   20.86	      63	0	S	
09:43	   20.85	       3	0	S	
09:43	   20.85	       8	0	S	
09:43	   20.85	      18	0	B	
09:43	   20.83	      49	0	S	
09:44	   20.84	      85	0	B	
09:44	   20.84	      14	0	B	
09:44	   20.83	       2	0	S	
09:44	   20.83	       5	0	S	
09:44	   20.87	       1	0	S	
09:44	   20.86	      50	0	S	
09:44	   20.86	      23	0	B	
09:45	   20.86	      21	0	B	
09:45	   20.87	       2	0	B	
09:45	   20.86	       4	0	S	
09:45	   20.85	       2	0	B	
09:45	   20.84	       5	0	S	
09:45	   20.84	      11	0	S	
09:45	   20.89	       3	0	B	
09:45	   20.84	       1	0	S	
09:45	   20.89	      10	0	B	
09:45	   20.89	       5	0	B	
09:46	   20.85	       1	0	S	
09:47	   20.88	      30	0	B	
09:47	   20.84	       1	0	S	
09:47	   20.84	       1	0	S	
09:47	   20.89	       3	0	B	
09:47	   20.89	      10	0	S	
09:48	   20.89	       6	0	S	
09:48	   20.85	       1	0	S	
09:48	   20.84	      14	0	S	
09:48	   20.84	     120	0	S	
09:48	   20.84	       6	0	S	
09:48	   20.84	      22	0	S	
09:48	   20.83	      17	0	S	
09:48	   20.84	     101	0	B	
09:48	   20.81	      87	0	S	
09:48	   20.81	      11	0	S	
09:48	   20.81	      10	0	S	
09:48	   20.81	      16	0	S	
09:48	   20.81	       1	0	S	
09:49	   20.84	       2	0	B	
09:49	   20.81	      21	0	S	
09:49	   20.81	       1	0	S	
09:49	   20.81	       6	0	S	
09:49	   20.81	       2	0	S	
09:50	   20.84	      10	0	B	
09:51	   20.88	       3	0	B	
09:51	   20.84	      33	0	S	
09:51	   20.84	       1	0	B	
09:51	   20.84	       8	0	B	
09:51	   20.86	       1	0	B	
09:52	   20.91	      10	0	B	
09:52	   20.88	       1	0	S	
09:52	   20.88	       4	0	S	
09:52	   20.89	      13	0	B	
09:53	   20.89	       0	0	B	
09:53	   20.88	       1	0	S	
09:53	   20.88	       2	0	S	
09:53	   20.88	       1	0	S	
09:53	   20.84	       1	0	S	
09:54	   20.84	      10	0	S	
09:54	   20.83	      10	0	S	
09:54	   20.83	      32	0	S	
09:54	   20.82	      33	0	S	
09:54	   20.82	       6	0	S	
09:54	   20.82	       3	0	S	
09:54	   20.82	       2	0	S	
09:54	   20.81	       6	0	S	
09:54	   20.82	       0	0	S	
09:54	   20.82	       1	0	S	
09:54	   20.81	      29	0	S	
09:54	   20.81	      22	0	S	
09:54	   20.81	       5	0	S	
09:54	   20.81	      10	0	S	
09:55	   20.80	      59	0	S	
09:55	   20.78	      57	0	S	
09:55	   20.81	      50	0	B	
09:55	   20.81	       2	0	B	
09:56	   20.81	       2	0	B	
09:56	   20.89	     180	0	B	
09:56	   20.89	       1	0	S	
09:56	   20.83	      15	0	S	
09:57	   20.84	      10	0	B	
09:58	   20.87	       1	0	B	
09:58	   20.86	       3	0	S	
09:58	   20.88	       1	0	B	
09:58	   20.88	       1	0	B	
09:58	   20.91	      50	0	B	
09:58	   20.90	      19	0	B	
09:58	   20.90	       1	0	B	
09:59	   20.92	       7	0	B	
09:59	   20.93	      12	0	B	
09:59	   20.93	      49	0	B	
09:59	   20.92	       3	0	S	
09:59	   20.92	       1	0	B	
09:59	   20.92	       9	0	B	
09:59	   20.94	      20	0	B	
09:59	   20.94	      20	0	S	
09:59	   20.94	       2	0	S	
09:59	   20.91	      44	0	S	
10:00	   20.91	      10	0	B	
10:00	   20.89	       3	0	B	
10:00	   20.91	      10	0	B	
10:00	   20.91	      30	0	B	
10:00	   20.91	       2	0	S	
10:00	   20.94	       2	0	B	
10:00	   20.95	       7	0	B	
10:00	   20.94	       3	0	S	
10:00	   20.94	       4	0	B	
10:01	   20.96	      90	0	B	
10:01	   20.94	       6	0	S	
10:01	   20.95	      16	0	B	
10:01	   20.95	      10	0	B	
10:01	   20.94	       2	0	S	
10:01	   20.94	       5	0	S	
10:01	   20.91	      24	0	S	
10:01	   20.91	       1	0	S	
10:01	   20.91	       7	0	S	
10:02	   20.92	      15	0	B	
10:02	   20.92	       2	0	S	
10:02	   20.92	      27	0	S	
10:02	   20.92	       5	0	S	
10:02	   20.92	       1	0	S	
10:02	   20.90	       2	0	B	
10:02	   20.91	       1	0	S	
10:03	   20.90	      18	0	S	
10:03	   20.88	      10	0	S	
10:03	   20.90	       3	0	B	
10:03	   20.88	       1	0	S	
10:03	   20.88	      12	0	S	
10:03	   20.88	      20	0	B	
10:03	   20.87	      30	0	S	
10:03	   20.88	       7	0	B	
10:03	   20.87	      18	0	S	
10:03	   20.87	       5	0	S	
10:04	   20.87	      16	0	B	
10:04	   20.87	       8	0	B	
10:04	   20.87	       4	0	S	
10:04	   20.87	      25	0	S	
10:04	   20.90	       6	0	B	
10:04	   20.90	       1	0	S	
10:04	   20.90	       1	0	S	
10:04	   20.92	       1	0	B	
10:04	   20.92	       7	0	B	
10:04	   20.90	       3	0	S	
10:05	   20.92	       3	0	B	
10:05	   20.90	       1	0	S	
10:06	   20.93	      30	0	B	
10:06	   20.90	       1	0	S	
