                  20250620 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:24	   20.02	       0	0	
09:24	   19.96	       0	0	
09:24	   19.96	       0	0	
09:24	   19.96	       0	0	
09:24	   20.02	       0	0	
09:25	   20.02	      58	0	
09:30	   20.03	       4	0	B	
09:30	   19.97	       6	0	B	
09:30	   20.01	       8	0	B	
09:30	   20.01	       2	0	B	
09:30	   20.02	       5	0	B	
09:31	   20.14	      42	0	B	
09:31	   20.14	       5	0	S	
09:31	   20.14	      21	0	S	
09:31	   20.14	      37	0	B	
09:31	   20.13	      10	0	B	
09:32	   20.12	       3	0	B	
09:32	   20.13	       4	0	B	
09:32	   20.17	       8	0	B	
09:32	   20.17	       5	0	B	
09:32	   20.17	      10	0	S	
09:33	   20.17	       8	0	S	
09:33	   20.17	      57	0	S	
09:33	   20.12	      24	0	S	
09:33	   20.12	       2	0	S	
09:33	   20.10	       8	0	S	
09:33	   20.11	       6	0	B	
09:33	   20.11	       1	0	S	
09:33	   20.11	       4	0	B	
09:34	   20.17	      60	0	B	
09:34	   20.16	       3	0	B	
09:34	   20.16	       5	0	S	
09:34	   20.15	       2	0	B	
09:34	   20.15	       3	0	B	
09:34	   20.08	      15	0	S	
09:34	   20.08	      16	0	B	
09:34	   20.15	       7	0	B	
09:34	   20.17	      50	0	B	
09:34	   20.15	       5	0	S	
09:34	   20.15	      10	0	S	
09:34	   20.15	      14	0	S	
09:35	   20.10	       4	0	S	
09:36	   20.15	      19	0	B	
09:36	   20.17	      80	0	B	
09:36	   20.17	      12	0	B	
09:36	   20.18	      40	0	B	
09:36	   20.22	      18	0	B	
09:36	   20.23	      21	0	B	
09:36	   20.31	       5	0	B	
09:36	   20.31	      20	0	S	
09:36	   20.31	       9	0	B	
09:36	   20.31	      33	0	S	
09:36	   20.31	      22	0	S	
09:37	   20.31	      12	0	B	
09:37	   20.23	      15	0	S	
09:37	   20.30	      12	0	B	
09:37	   20.31	     146	0	B	
09:37	   20.31	      54	0	S	
09:37	   20.31	      40	0	B	
09:37	   20.19	       1	0	S	
09:37	   20.19	       4	0	B	
09:37	   20.19	       2	0	S	
09:37	   20.22	       5	0	S	
09:37	   20.28	       2	0	B	
09:37	   20.29	      10	0	B	
09:37	   20.28	       1	0	S	
09:37	   20.29	       1	0	B	
09:38	   20.28	      60	0	S	
09:38	   20.28	       9	0	S	
09:38	   20.28	      14	0	S	
09:38	   20.28	      11	0	S	
09:38	   20.28	      10	0	B	
09:38	   20.28	      17	0	B	
09:38	   20.28	      16	0	S	
09:38	   20.26	      11	0	S	
09:38	   20.24	      16	0	S	
09:38	   20.23	      10	0	S	
09:38	   20.23	      19	0	S	
09:39	   20.24	      30	0	B	
09:39	   20.23	       6	0	S	
09:39	   20.24	       4	0	B	
09:39	   20.23	      40	0	S	
09:39	   20.23	      53	0	S	
09:39	   20.18	      10	0	S	
09:39	   20.14	      18	0	S	
09:39	   20.14	      17	0	B	
09:40	   20.23	      22	0	B	
09:40	   20.24	       4	0	B	
09:40	   20.23	       3	0	S	
09:40	   20.24	       3	0	B	
09:40	   20.24	      10	0	B	
09:40	   20.23	       5	0	S	
09:40	   20.24	      76	0	B	
09:41	   20.24	      10	0	S	
09:41	   20.24	      40	0	S	
09:41	   20.24	      12	0	S	
09:41	   20.24	       8	0	S	
09:41	   20.24	      17	0	S	
09:41	   20.23	       8	0	S	
09:41	   20.22	       2	0	S	
09:41	   20.21	       6	0	S	
09:41	   20.21	       0	0	S	
09:42	   20.21	      15	0	B	
09:42	   20.17	       5	0	S	
