                  20250623 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   22.53	       0	0	
09:15	   20.86	       0	0	
09:16	   20.86	       0	0	
09:16	   20.86	       0	0	
09:17	   20.86	       0	0	
09:19	   20.86	       0	0	
09:20	   20.86	       0	0	
09:20	   20.86	       0	0	
09:20	   20.86	       0	0	
09:20	   20.86	       0	0	
09:21	   20.86	       0	0	
09:21	   20.85	       0	0	
09:21	   20.79	       0	0	
09:22	   20.79	       0	0	
09:22	   20.79	       0	0	
09:22	   20.79	       0	0	
09:22	   20.79	       0	0	
09:23	   20.79	       0	0	
09:23	   20.71	       0	0	
09:23	   20.70	       0	0	
09:23	   20.70	       0	0	
09:23	   20.65	       0	0	
09:23	   20.65	       0	0	
09:23	   20.64	       0	0	
09:24	   20.55	       0	0	
09:24	   20.50	       0	0	
09:24	   20.50	       0	0	
09:24	   20.50	       0	0	
09:24	   20.50	       0	0	
09:24	   20.37	       0	0	
09:24	   20.30	       0	0	
09:24	   20.30	       0	0	
09:25	   20.27	     111	0	
09:30	   20.27	      30	0	B	
09:30	   20.23	     100	0	B	
09:30	   20.19	       5	0	B	
09:30	   20.04	      13	0	S	
09:30	   20.04	      21	0	B	
09:30	   20.16	      22	0	B	
09:30	   20.16	      11	0	B	
09:30	   20.04	      95	0	S	
09:30	   20.12	       3	0	B	
09:30	   20.05	      10	0	S	
09:31	   20.05	       1	0	S	
09:31	   20.05	       1	0	B	
09:31	   20.04	      10	0	S	
09:31	   20.13	      25	0	B	
09:31	   20.13	      48	0	S	
09:31	   20.13	      13	0	B	
09:31	   20.13	      95	0	B	
09:31	   20.15	       6	0	B	
09:31	   20.15	      34	0	S	
09:31	   20.11	       3	0	S	
09:31	   20.10	       3	0	S	
09:32	   20.07	      11	0	S	
09:32	   20.07	       1	0	S	
09:32	   20.06	      10	0	S	
09:32	   20.05	      25	0	S	
09:32	   20.06	       8	0	S	
09:32	   20.10	       6	0	B	
09:32	   20.10	       1	0	B	
09:33	   20.06	       2	0	S	
09:33	   20.10	       2	0	B	
09:33	   20.06	       1	0	S	
09:33	   20.06	      15	0	S	
09:33	   20.06	       1	0	S	
09:33	   20.07	       2	0	S	
09:33	   20.07	       1	0	S	
09:34	   20.06	      10	0	S	
09:34	   20.05	      10	0	S	
09:34	   20.05	      27	0	S	
09:34	   20.05	      51	0	S	
09:34	   20.04	      12	0	S	
09:34	   20.04	       7	0	S	
09:34	   20.04	      17	0	S	
09:34	   20.04	       2	0	S	
09:34	   20.04	      27	0	S	
09:34	   20.03	     110	0	S	
09:34	   20.00	      12	0	S	
09:34	   20.03	      55	0	B	
09:34	   19.91	       4	0	S	
09:34	   19.91	       6	0	S	
09:34	   19.99	      20	0	S	
09:35	   19.99	      18	0	B	
09:35	   19.92	      11	0	S	
09:35	   19.98	       3	0	S	
09:35	   19.98	       8	0	B	
09:35	   19.93	      20	0	S	
09:35	   19.98	      18	0	B	
09:35	   19.98	      19	0	B	
09:35	   19.98	       7	0	B	
09:35	   19.95	       6	0	S	
09:35	   19.93	      49	0	B	
09:36	   19.98	       1	0	B	
09:36	   20.03	      16	0	B	
09:36	   20.04	      30	0	B	
09:36	   20.04	       6	0	S	
09:36	   20.06	       1	0	S	
09:36	   20.06	      22	0	S	
09:36	   20.06	      12	0	B	
09:37	   20.06	      10	0	B	
09:37	   20.07	       3	0	B	
09:37	   20.05	      15	0	S	
09:37	   20.05	       1	0	B	
09:37	   19.99	      50	0	S	
09:37	   19.99	       5	0	S	
09:37	   19.99	      15	0	S	
09:37	   19.98	       3	0	S	
09:37	   19.98	      36	0	S	
09:38	   20.03	       1	0	B	
09:38	   20.03	       2	0	B	
09:38	   20.08	      20	0	B	
09:39	   20.19	       7	0	B	
09:39	   20.08	      10	0	S	
09:39	   20.09	      26	0	B	
09:39	   20.10	      11	0	S	
09:39	   20.10	      35	0	S	
09:39	   20.09	     206	0	S	
09:39	   20.09	       7	0	B	
09:39	   20.08	       5	0	B	
09:40	   20.08	       1	0	B	
09:40	   20.08	      30	0	B	
09:40	   20.08	       3	0	B	
09:40	   20.04	      45	0	S	
09:41	   20.04	       1	0	B	
09:41	   20.00	      40	0	S	
09:41	   20.00	      14	0	B	
09:41	   20.00	      16	0	B	
09:41	   19.97	      64	0	S	
09:41	   20.02	       2	0	S	
09:41	   19.97	      50	0	S	
09:42	   20.08	      19	0	B	
09:42	   19.96	      56	0	S	
09:42	   20.11	      16	0	B	
09:42	   20.11	      12	0	S	
09:42	   20.03	      10	0	S	
09:43	   20.13	      50	0	B	
09:43	   20.13	      26	0	B	
09:43	   20.18	      23	0	B	
09:43	   20.18	      17	0	S	
09:43	   20.19	      52	0	B	
09:43	   20.03	     241	0	S	
09:43	   20.17	      20	0	B	
09:44	   20.17	       5	0	S	
09:44	   20.18	      71	0	B	
09:44	   20.17	       8	0	S	
09:44	   20.17	      33	0	B	
09:44	   20.17	      13	0	B	
09:44	   20.17	       2	0	B	
09:44	   20.19	       5	0	B	
09:44	   20.19	      94	0	B	
09:44	   20.20	      79	0	B	
09:45	   20.20	      37	0	B	
09:45	   20.20	       3	0	B	
09:45	   20.24	      31	0	B	
09:45	   20.27	     170	0	B	
09:45	   20.29	       4	0	B	
09:45	   20.37	       4	0	B	
09:45	   20.37	       3	0	B	
09:45	   20.37	      46	0	B	
09:45	   20.36	       8	0	B	
09:45	   20.40	       2	0	B	
09:45	   20.38	       1	0	B	
09:45	   20.37	       7	0	S	
09:45	   20.37	      18	0	S	
09:45	   20.37	      15	0	B	
09:45	   20.37	      10	0	B	
09:46	   20.36	      20	0	B	
09:46	   20.36	      51	0	S	
09:46	   20.21	       2	0	B	
09:46	   20.21	       5	0	B	
09:46	   20.33	      15	0	B	
09:47	   20.31	       3	0	B	
09:47	   20.15	       4	0	S	
09:47	   20.20	       2	0	B	
09:48	   20.24	       5	0	B	
09:49	   20.24	       3	0	B	
09:49	   20.24	      38	0	S	
09:49	   20.24	      20	0	B	
09:49	   20.24	       5	0	B	
09:50	   20.19	      13	0	S	
