                  20250624 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   20.70	       0	0	
09:15	   20.79	       0	0	
09:20	   20.88	       0	0	
09:21	   20.88	       0	0	
09:22	   20.88	       0	0	
09:22	   20.88	       0	0	
09:23	   20.88	       0	0	
09:23	   20.88	       0	0	
09:23	   20.88	       0	0	
09:23	   20.88	       0	0	
09:24	   20.88	       0	0	
09:24	   20.88	       0	0	
09:24	   20.87	       0	0	
09:24	   20.79	       0	0	
09:24	   20.77	       0	0	
09:24	   20.74	       0	0	
09:24	   20.45	       0	0	
09:25	   20.45	      49	0	
09:30	   20.45	      36	0	B	
09:30	   20.60	      51	0	B	
09:30	   20.62	       1	0	B	
09:30	   20.62	       9	0	S	
09:30	   20.70	       5	0	B	
09:30	   20.70	       5	0	S	
09:31	   20.65	       8	0	B	
09:31	   20.63	       5	0	S	
09:31	   20.63	       2	0	S	
09:31	   20.63	       4	0	S	
09:31	   20.62	       7	0	S	
09:31	   20.62	      59	0	S	
09:31	   20.60	      18	0	S	
09:31	   20.60	      59	0	S	
09:31	   20.60	      30	0	B	
09:31	   20.59	       7	0	B	
09:31	   20.62	      13	0	B	
09:31	   20.61	      30	0	S	
09:31	   20.65	       3	0	B	
09:31	   20.65	       0	0	B	
09:31	   20.62	      19	0	S	
09:32	   20.60	      94	0	S	
09:32	   20.74	      20	0	B	
09:32	   20.61	       4	0	S	
09:32	   20.61	      18	0	B	
09:32	   20.61	      20	0	B	
09:32	   20.61	      38	0	B	
09:32	   20.61	       4	0	B	
09:32	   20.67	       2	0	B	
09:32	   20.61	       7	0	S	
09:33	   20.67	       4	0	B	
09:33	   20.61	      11	0	S	
09:33	   20.61	      48	0	S	
09:33	   20.61	       3	0	S	
09:33	   20.61	       3	0	S	
09:33	   20.63	      13	0	B	
09:34	   20.63	      31	0	S	
09:34	   20.67	       9	0	B	
09:34	   20.63	      28	0	S	
09:35	   20.64	      11	0	S	
09:35	   20.68	      10	0	B	
09:35	   20.68	       3	0	B	
09:35	   20.72	      23	0	B	
09:35	   20.72	       4	0	S	
09:35	   20.70	      13	0	B	
09:35	   20.70	       2	0	B	
09:35	   20.78	      60	0	B	
09:36	   20.73	       3	0	B	
09:36	   20.73	      13	0	B	
09:36	   20.68	      31	0	S	
09:36	   20.68	      32	0	B	
09:36	   20.68	      66	0	B	
09:36	   20.72	       4	0	S	
09:37	   20.70	       6	0	S	
09:37	   20.70	       3	0	B	
09:37	   20.70	       1	0	B	
09:37	   20.70	       3	0	B	
09:37	   20.70	       2	0	B	
09:37	   20.70	       0	0	B	
09:37	   20.71	      10	0	S	
09:37	   20.71	       1	0	S	
09:38	   20.71	     168	0	B	
09:38	   20.71	      40	0	S	
09:38	   20.71	       8	0	S	
09:38	   20.71	      16	0	S	
09:38	   20.71	      48	0	S	
09:38	   20.70	       3	0	B	
09:38	   20.70	       7	0	S	
09:39	   20.70	     100	0	B	
09:39	   20.70	     101	0	B	
09:39	   20.70	      70	0	B	
09:39	   20.72	      20	0	B	
09:39	   20.72	      24	0	B	
09:39	   20.73	      67	0	B	
09:39	   20.73	       6	0	B	
09:39	   20.75	       5	0	S	
09:39	   20.75	       9	0	B	
09:39	   20.75	       5	0	B	
09:40	   20.75	      12	0	B	
09:40	   20.77	       1	0	S	
09:40	   20.79	      53	0	B	
09:40	   20.76	      12	0	B	
09:40	   20.76	       1	0	B	
09:40	   20.73	       7	0	S	
09:40	   20.74	      22	0	B	
09:40	   20.74	       1	0	B	
09:40	   20.74	       4	0	S	
09:41	   20.73	       3	0	B	
09:41	   20.74	       3	0	B	
09:41	   20.73	       2	0	S	
09:41	   20.73	       9	0	B	
09:41	   20.73	       1	0	B	
09:41	   20.74	      10	0	B	
09:41	   20.73	       9	0	S	
09:42	   20.74	      17	0	B	
09:42	   20.74	      18	0	S	
09:42	   20.74	       5	0	B	
09:42	   20.74	       6	0	B	
09:42	   20.74	       2	0	B	
09:43	   20.74	       8	0	S	
09:43	   20.71	      20	0	S	
09:43	   20.70	      25	0	S	
09:43	   20.74	      58	0	B	
09:43	   20.71	      10	0	B	
09:43	   20.71	      10	0	B	
09:43	   20.70	      11	0	S	
09:44	   20.70	      15	0	S	
09:44	   20.70	      53	0	S	
09:44	   20.70	       2	0	B	
09:44	   20.68	      21	0	S	
09:44	   20.67	      16	0	S	
09:44	   20.68	      20	0	B	
09:44	   20.68	      11	0	B	
09:45	   20.71	      57	0	B	
09:45	   20.68	      42	0	S	
09:45	   20.68	       3	0	B	
09:45	   20.68	       2	0	B	
09:45	   20.67	      35	0	S	
09:45	   20.67	       2	0	B	
09:45	   20.67	      10	0	B	
09:45	   20.68	       4	0	B	
09:45	   20.68	      11	0	B	
09:46	   20.68	       6	0	S	
09:46	   20.68	      20	0	B	
09:46	   20.68	      22	0	B	
09:46	   20.68	       4	0	B	
09:46	   20.68	      39	0	B	
09:46	   20.68	      13	0	B	
09:46	   20.68	      14	0	S	
09:46	   20.71	       4	0	B	
09:46	   20.71	      40	0	S	
09:47	   20.71	      33	0	S	
09:47	   20.74	      27	0	B	
09:47	   20.74	       1	0	B	
09:47	   20.74	      23	0	B	
09:47	   20.77	      25	0	B	
09:47	   20.74	     125	0	S	
09:47	   20.74	      94	0	B	
09:47	   20.74	      14	0	B	
09:47	   20.74	     157	0	B	
09:47	   20.74	      17	0	S	
09:48	   20.74	       9	0	S	
09:48	   20.77	      36	0	B	
09:48	   20.74	       3	0	S	
09:48	   20.75	       5	0	S	
09:48	   20.77	      42	0	B	
09:48	   20.77	      25	0	B	
09:48	   20.77	       3	0	B	
09:48	   20.75	      10	0	S	
09:49	   20.75	       4	0	S	
09:49	   20.75	       7	0	S	
