                  20250625 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   21.22	       0	0	
09:22	   21.28	       0	0	
09:22	   21.28	       0	0	
09:22	   21.28	       0	0	
09:22	   21.47	       0	0	
09:22	   21.47	       0	0	
09:23	   21.47	       0	0	
09:23	   21.50	       0	0	
09:23	   21.50	       0	0	
09:23	   21.50	       0	0	
09:24	   21.50	       0	0	
09:24	   21.50	       0	0	
09:24	   21.49	       0	0	
09:24	   21.49	       0	0	
09:24	   21.48	       0	0	
09:24	   21.41	       0	0	
09:24	   21.36	       0	0	
09:24	   21.34	       0	0	
09:25	   21.34	      32	0	
09:30	   21.29	     142	0	S	
09:30	   21.29	      19	0	B	
09:30	   21.14	      12	0	S	
09:30	   21.17	       2	0	S	
09:30	   21.14	       3	0	S	
09:30	   21.16	      27	0	B	
09:30	   21.07	       2	0	S	
09:30	   21.00	     125	0	S	
09:30	   21.08	       2	0	
09:30	   21.08	       1	0	B	
09:30	   21.09	       4	0	S	
09:30	   21.08	      27	0	S	
09:31	   21.06	       4	0	S	
09:31	   21.06	       8	0	S	
09:31	   21.08	       2	0	B	
09:31	   21.08	       1	0	B	
09:31	   21.08	      28	0	B	
09:31	   21.09	       2	0	B	
09:31	   21.09	       3	0	S	
09:31	   21.09	       1	0	B	
09:31	   21.10	       5	0	B	
09:31	   21.16	       4	0	B	
09:32	   21.09	      30	0	S	
09:32	   21.16	       4	0	B	
09:32	   21.16	       6	0	S	
09:32	   21.10	      15	0	S	
09:32	   21.16	       6	0	B	
09:33	   21.15	       9	0	B	
09:33	   21.16	       1	0	S	
09:33	   21.10	      20	0	S	
09:33	   21.10	      20	0	B	
09:33	   21.09	       5	0	S	
09:33	   21.08	     180	0	S	
09:33	   21.07	       7	0	S	
09:33	   21.10	      55	0	B	
09:33	   21.10	       7	0	S	
09:33	   21.10	      31	0	S	
09:34	   21.03	     150	0	S	
09:34	   21.10	       1	0	B	
09:34	   21.09	       5	0	B	
09:34	   21.04	       2	0	S	
09:34	   21.02	     281	0	S	
09:34	   21.02	      21	0	S	
09:34	   21.01	       9	0	S	
09:34	   21.00	       2	0	S	
09:34	   21.00	       1	0	S	
09:34	   21.02	       5	0	B	
09:35	   21.01	       8	0	S	
09:35	   21.01	      49	0	S	
09:35	   21.08	       1	0	B	
09:35	   21.08	       5	0	B	
09:35	   21.09	       2	0	B	
09:35	   21.05	       2	0	S	
09:35	   21.05	       2	0	S	
09:35	   21.09	      15	0	B	
09:35	   21.09	      15	0	S	
09:36	   21.07	      10	0	S	
09:36	   21.07	       8	0	B	
09:36	   21.07	      10	0	B	
09:36	   21.05	      22	0	S	
