                  20250626 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:16	   21.28	       0	0	
09:21	   21.28	       0	0	
09:22	   21.28	       0	0	
09:23	   21.28	       0	0	
09:24	   21.28	       0	0	
09:24	   21.28	       0	0	
09:24	   21.40	       0	0	
09:24	   21.39	       0	0	
09:24	   21.37	       0	0	
09:24	   21.28	       0	0	
09:25	   21.28	     105	0	
09:30	   21.28	       7	0	S	
09:30	   21.25	      54	0	S	
09:30	   21.20	      24	0	S	
09:30	   21.12	       3	0	S	
09:30	   21.06	      16	0	S	
09:30	   21.11	       3	0	S	
09:30	   21.09	       3	0	B	
09:30	   21.20	      23	0	B	
09:30	   21.20	      23	0	B	
09:30	   21.20	      79	0	B	
09:30	   21.28	      23	0	B	
09:30	   21.28	       2	0	B	
09:30	   21.28	       6	0	S	
09:30	   21.34	       3	0	B	
09:30	   21.28	      23	0	S	
09:31	   21.28	      19	0	B	
09:31	   21.28	       4	0	S	
09:31	   21.27	      10	0	B	
09:31	   21.27	       5	0	S	
09:31	   21.25	       8	0	S	
09:31	   21.20	       5	0	S	
09:31	   21.20	       7	0	S	
09:31	   21.20	      21	0	S	
09:31	   21.13	       5	0	S	
09:31	   21.20	       5	0	B	
09:32	   21.13	       1	0	S	
09:32	   21.15	       2	0	S	
09:32	   21.15	       1	0	S	
09:32	   21.13	      15	0	S	
09:32	   21.11	      11	0	S	
09:32	   21.08	      20	0	S	
09:32	   21.08	       1	0	S	
09:32	   21.11	       5	0	B	
09:32	   21.11	      32	0	B	
09:33	   21.11	      71	0	S	
09:33	   21.11	       4	0	S	
09:33	   21.13	       3	0	S	
09:33	   21.19	      21	0	B	
09:33	   21.19	      19	0	S	
09:33	   21.19	      19	0	S	
09:34	   21.19	      20	0	S	
09:34	   21.13	       6	0	S	
09:34	   21.12	       3	0	
09:34	   21.11	      25	0	S	
09:34	   21.09	       6	0	S	
09:34	   21.12	       9	0	B	
09:34	   21.12	       9	0	S	
09:34	   21.12	       1	0	S	
09:34	   21.12	       9	0	S	
09:34	   21.12	     129	0	S	
09:34	   21.09	       5	0	S	
09:34	   21.08	       6	0	S	
09:34	   21.09	      39	0	S	
09:34	   21.09	       1	0	S	
09:34	   21.09	       2	0	S	
09:35	   21.09	      45	0	S	
09:35	   21.09	      20	0	B	
09:35	   21.08	      10	0	S	
09:35	   21.08	      18	0	S	
09:35	   21.08	      12	0	B	
09:35	   21.08	      17	0	B	
09:35	   21.07	      50	0	S	
09:36	   21.07	      11	0	S	
09:36	   21.16	       7	0	B	
09:36	   21.16	      10	0	S	
09:36	   21.19	       4	0	B	
09:37	   21.08	       2	0	S	
09:37	   21.07	      25	0	S	
09:37	   21.10	      30	0	B	
09:37	   21.08	      38	0	S	
09:37	   21.08	       1	0	S	
09:37	   21.08	       1	0	S	
09:38	   21.11	      20	0	S	
09:38	   21.10	      80	0	B	
09:39	   21.09	      17	0	S	
09:39	   21.10	       4	0	S	
09:39	   21.09	       6	0	S	
09:39	   21.09	       1	0	S	
09:39	   21.09	      21	0	S	
09:39	   21.18	       4	0	B	
09:40	   21.18	      25	0	B	
09:40	   21.10	       2	0	S	
09:40	   21.10	       1	0	S	
09:40	   21.17	       3	0	B	
09:41	   21.10	       4	0	S	
09:41	   21.10	       1	0	S	
09:41	   21.10	       1	0	S	
09:42	   21.10	       1	0	S	
09:42	   21.10	      31	0	S	
09:42	   21.09	      96	0	S	
09:42	   21.08	      29	0	S	
09:42	   21.08	      83	0	S	
09:42	   21.07	       1	0	S	
09:42	   21.06	     323	0	S	
09:42	   21.01	      14	0	S	
09:42	   21.01	       2	0	S	
09:42	   21.01	       2	0	S	
09:43	   21.02	      10	0	S	
09:43	   21.02	     102	0	B	
09:43	   21.02	      83	0	S	
09:44	   21.02	      27	0	B	
09:44	   21.02	       1	0	S	
09:44	   21.02	     100	0	S	
09:44	   21.05	       5	0	B	
09:45	   21.02	      97	0	S	
09:45	   21.02	      13	0	B	
09:45	   21.05	      32	0	B	
09:45	   21.05	     163	0	B	
09:45	   21.10	      19	0	B	
09:46	   21.10	       2	0	B	
09:46	   21.13	       4	0	B	
09:46	   21.16	       2	0	B	
09:47	   21.13	      80	0	S	
09:47	   21.13	      64	0	B	
09:47	   21.16	       4	0	B	
09:47	   21.16	       3	0	B	
09:47	   21.16	       1	0	B	
09:47	   21.19	      56	0	B	
09:47	   21.19	      60	0	B	
09:47	   21.20	      30	0	B	
09:47	   21.25	       5	0	B	
09:47	   21.26	      12	0	B	
09:47	   21.27	      24	0	B	
09:47	   21.28	      58	0	B	
09:47	   21.28	     114	0	B	
09:47	   21.29	     137	0	B	
09:47	   21.33	      39	0	B	
09:47	   21.33	      46	0	B	
09:47	   21.30	      58	0	S	
09:47	   21.35	      14	0	B	
09:47	   21.35	       3	0	B	
09:48	   21.35	      10	0	S	
09:48	   21.35	     104	0	S	
09:48	   21.30	      53	0	S	
09:48	   21.29	      22	0	S	
09:48	   21.35	     111	0	B	
09:48	   21.35	      29	0	S	
09:48	   21.35	       6	0	S	
09:48	   21.35	     118	0	S	
09:48	   21.35	       9	0	B	
09:48	   21.30	      46	0	S	
09:48	   21.35	     110	0	B	
09:48	   21.15	       2	0	S	
09:48	   21.29	       5	0	B	
09:48	   21.20	       1	0	B	
09:49	   21.29	      45	0	B	
09:49	   21.34	       4	0	B	
09:49	   21.34	       2	0	B	
09:49	   21.33	       1	0	B	
09:49	   21.31	      17	0	S	
09:49	   21.32	       1	0	S	
09:49	   21.31	       5	0	B	
09:49	   21.31	      10	0	S	
09:49	   21.31	      50	0	S	
09:49	   21.32	      37	0	B	
09:49	   21.32	       0	0	B	
09:49	   21.32	      87	0	S	
09:50	   21.33	       2	0	B	
09:50	   21.31	      60	0	S	
09:50	   21.33	       9	0	B	
09:50	   21.33	       6	0	S	
09:50	   21.33	      13	0	S	
09:50	   21.33	       1	0	B	
09:50	   21.31	      39	0	S	
09:50	   21.31	       3	0	S	
09:50	   21.31	      14	0	B	
09:50	   21.30	       5	0	B	
09:50	   21.31	      20	0	B	
09:51	   21.33	      16	0	B	
09:51	   21.33	     123	0	B	
09:51	   21.34	      62	0	B	
09:51	   21.34	     105	0	B	
09:51	   21.35	      14	0	B	
09:51	   21.35	       7	0	B	
09:51	   21.35	      19	0	B	
09:51	   21.34	      20	0	S	
09:51	   21.34	       0	0	S	
09:51	   21.35	      20	0	B	
09:51	   21.35	       9	0	S	
09:52	   21.26	       2	0	S	
09:52	   21.33	       9	0	B	
09:52	   21.33	       3	0	S	
09:52	   21.33	       8	0	S	
09:52	   21.33	      46	0	B	
09:52	   21.33	       5	0	B	
09:52	   21.26	      11	0	S	
09:52	   21.27	      30	0	B	
09:52	   21.29	       0	0	B	
09:52	   21.27	      19	0	B	
09:53	   21.30	      41	0	B	
09:53	   21.30	       8	0	S	
09:53	   21.31	      17	0	S	
09:53	   21.31	       9	0	S	
09:53	   21.31	       1	0	B	
09:53	   21.31	      16	0	S	
09:53	   21.31	      36	0	S	
09:53	   21.32	       6	0	B	
09:53	   21.33	       7	0	B	
09:53	   21.33	      43	0	B	
09:53	   21.33	      23	0	B	
09:53	   21.32	      24	0	S	
09:53	   21.33	      25	0	B	
09:54	   21.34	      64	0	B	
09:54	   21.38	     135	0	B	
