                  20250703 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   20.36	       0	0	
09:15	   20.30	       0	0	
09:16	   20.02	       0	0	
09:16	   20.31	       0	0	
09:17	   20.31	       0	0	
09:17	   20.60	       0	0	
09:17	   20.60	       0	0	
09:21	   20.62	       0	0	
09:22	   20.62	       0	0	
09:23	   20.62	       0	0	
09:23	   20.62	       0	0	
09:24	   20.62	       0	0	
09:24	   20.61	       0	0	
09:24	   20.61	       0	0	
09:24	   20.61	       0	0	
09:24	   20.62	       0	0	
09:25	   20.65	     143	0	
09:30	   20.67	       3	0	S	
09:30	   20.72	       3	0	S	
09:30	   20.72	       4	0	B	
09:30	   20.82	      20	0	B	
09:31	   20.72	       5	0	B	
09:31	   20.72	       4	0	S	
09:31	   20.72	       1	0	S	
09:31	   20.70	       1	0	S	
09:32	   20.79	      10	0	B	
09:32	   20.78	      10	0	B	
09:32	   20.70	      75	0	S	
09:32	   20.70	       0	0	S	
09:33	   20.81	      12	0	B	
09:33	   20.70	     100	0	S	
09:34	   20.77	       5	0	B	
09:34	   20.77	       5	0	S	
09:34	   20.77	      16	0	B	
09:34	   20.80	       1	0	B	
09:34	   20.66	      59	0	S	
09:35	   20.75	       3	0	B	
09:35	   20.68	      59	0	S	
09:35	   20.68	       1	0	B	
09:35	   20.75	       3	0	B	
09:36	   20.68	       4	0	S	
09:36	   20.69	       1	0	S	
09:36	   20.69	      19	0	S	
09:36	   20.69	       5	0	B	
09:37	   20.75	       1	0	B	
09:38	   20.74	      15	0	B	
09:38	   20.69	       1	0	S	
09:38	   20.68	      10	0	S	
09:39	   20.68	       8	0	B	
09:39	   20.68	       3	0	B	
09:39	   20.68	       8	0	B	
09:39	   20.69	       1	0	B	
09:39	   20.69	       3	0	B	
09:39	   20.67	       1	0	S	
09:39	   20.69	      90	0	B	
09:39	   20.69	       3	0	S	
09:39	   20.69	      57	0	S	
09:40	   20.70	      15	0	S	
09:40	   20.74	       1	0	B	
09:42	   20.74	       4	0	B	
09:42	   20.72	       8	0	S	
09:42	   20.71	       1	0	
09:42	   20.69	      48	0	S	
09:42	   20.70	       2	0	S	
09:42	   20.69	     158	0	S	
09:43	   20.66	       8	0	S	
09:43	   20.66	      16	0	S	
09:43	   20.66	       2	0	B	
09:43	   20.65	       2	0	S	
09:44	   20.65	      61	0	S	
09:44	   20.64	      57	0	S	
09:44	   20.64	      38	0	S	
09:44	   20.63	      85	0	S	
09:44	   20.60	      18	0	S	
09:44	   20.56	       1	0	S	
09:44	   20.56	       1	0	S	
09:44	   20.56	       2	0	B	
09:44	   20.55	      29	0	S	
09:45	   20.60	      15	0	B	
09:45	   20.60	       5	0	S	
09:45	   20.60	       2	0	S	
09:45	   20.65	       8	0	B	
09:45	   20.65	      63	0	B	
09:46	   20.63	      32	0	B	
09:46	   20.65	       9	0	B	
09:46	   20.63	       3	0	S	
09:47	   20.63	       3	0	S	
09:47	   20.63	       1	0	S	
09:47	   20.60	       4	0	S	
09:47	   20.60	      17	0	S	
09:47	   20.60	       5	0	B	
09:47	   20.57	      18	0	S	
09:48	   20.57	       1	0	S	
09:48	   20.57	       2	0	B	
09:48	   20.60	       1	0	B	
09:48	   20.57	       1	0	B	
09:48	   20.57	       2	0	B	
