                  20250704 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   21.66	       0	0	
09:15	   21.08	       0	0	
09:15	   21.25	       0	0	
09:16	   20.80	       0	0	
09:17	   20.51	       0	0	
09:17	   20.03	       0	0	
09:18	   20.00	       0	0	
09:18	   20.04	       0	0	
09:18	   20.03	       0	0	
09:18	   21.49	       0	0	
09:18	   20.03	       0	0	
09:19	   20.03	       0	0	
09:19	   20.03	       0	0	
09:19	   20.05	       0	0	
09:19	   20.05	       0	0	
09:19	   20.05	       0	0	
09:19	   20.03	       0	0	
09:19	   20.03	       0	0	
09:20	   21.25	       0	0	
09:20	   21.49	       0	0	
09:20	   21.49	       0	0	
09:20	   21.49	       0	0	
09:20	   21.49	       0	0	
09:20	   21.49	       0	0	
09:20	   21.49	       0	0	
09:20	   21.49	       0	0	
09:21	   21.48	       0	0	
09:21	   21.48	       0	0	
09:21	   21.48	       0	0	
09:22	   21.40	       0	0	
09:22	   21.35	       0	0	
09:22	   21.30	       0	0	
09:22	   21.30	       0	0	
09:23	   21.30	       0	0	
09:23	   21.28	       0	0	
09:23	   21.00	       0	0	
09:23	   21.00	       0	0	
09:23	   21.00	       0	0	
09:23	   21.00	       0	0	
09:24	   21.00	       0	0	
09:24	   21.25	       0	0	
09:24	   21.02	       0	0	
09:24	   21.02	       0	0	
09:24	   21.02	       0	0	
09:25	   21.29	     160	0	
09:30	   21.27	      88	0	S	
09:30	   21.25	      29	0	B	
09:30	   21.10	      52	0	S	
09:30	   21.08	       1	0	B	
09:30	   21.10	     105	0	B	
09:30	   21.24	      21	0	B	
09:30	   21.05	       7	0	S	
09:30	   21.05	      43	0	B	
09:30	   21.22	       5	0	B	
09:30	   21.22	      27	0	B	
09:30	   21.20	      25	0	B	
09:30	   21.21	      10	0	B	
09:30	   21.21	     100	0	B	
09:31	   21.21	      46	0	S	
09:31	   21.21	      11	0	B	
09:31	   21.22	     133	0	B	
09:31	   21.22	      70	0	B	
09:31	   21.23	      30	0	B	
09:31	   21.23	      27	0	B	
09:31	   21.23	      10	0	S	
09:31	   21.23	      94	0	S	
09:31	   21.23	      72	0	B	
09:31	   21.23	      72	0	B	
09:31	   21.23	      72	0	B	
09:31	   21.23	      72	0	B	
09:31	   21.23	      30	0	B	
09:31	   21.25	     162	0	B	
09:31	   21.29	     357	0	B	
09:31	   21.30	     193	0	B	
09:31	   21.35	      64	0	B	
09:31	   21.36	      25	0	B	
09:31	   21.45	     133	0	B	
09:31	   21.45	      32	0	S	
09:32	   21.47	      23	0	B	
09:32	   21.47	      83	0	B	
09:32	   21.48	      34	0	B	
09:32	   21.47	     241	0	S	
09:32	   21.49	     270	0	B	
09:32	   21.47	     164	0	S	
09:32	   21.47	      45	0	B	
09:32	   21.29	     371	0	S	
09:32	   21.26	      74	0	S	
09:32	   21.44	      13	0	B	
09:32	   21.30	      29	0	S	
09:32	   21.30	      36	0	B	
09:32	   21.42	       5	0	B	
09:32	   21.30	      20	0	S	
09:32	   21.31	      75	0	S	
09:32	   21.30	      80	0	S	
09:32	   21.30	       7	0	B	
09:33	   21.27	      23	0	S	
09:33	   21.30	      15	0	B	
09:33	   21.30	       8	0	B	
09:33	   21.24	      96	0	S	
09:33	   21.31	      41	0	B	
09:33	   21.34	      19	0	B	
09:33	   21.28	      65	0	S	
09:33	   21.27	      22	0	B	
09:33	   21.34	      25	0	B	
09:33	   21.34	       4	0	B	
09:33	   21.33	       4	0	S	
09:33	   21.34	      75	0	B	
09:33	   21.33	      10	0	B	
09:33	   21.22	      49	0	S	
09:34	   21.19	     117	0	S	
09:34	   21.30	       2	0	B	
09:34	   21.27	      20	0	B	
09:34	   21.22	       4	0	S	
09:34	   21.22	      72	0	B	
09:34	   21.19	      34	0	S	
09:34	   21.17	      23	0	S	
09:35	   21.17	       4	0	S	
09:35	   21.16	      33	0	S	
09:35	   21.13	      20	0	S	
09:35	   21.13	       2	0	B	
09:35	   21.10	      21	0	S	
09:35	   21.10	      21	0	S	
09:35	   21.10	      39	0	B	
09:35	   21.10	       5	0	S	
09:35	   21.10	     154	0	S	
09:35	   21.10	      42	0	B	
09:35	   21.17	       9	0	B	
09:36	   21.17	      53	0	B	
09:36	   21.11	      58	0	B	
09:36	   21.11	      40	0	B	
09:36	   21.17	       5	0	B	
09:36	   21.20	      39	0	B	
09:36	   21.17	      16	0	S	
09:36	   21.11	      18	0	S	
09:36	   21.11	      20	0	B	
09:36	   21.10	      24	0	S	
09:37	   21.10	      45	0	S	
09:37	   21.14	      67	0	B	
09:37	   21.15	      71	0	B	
09:37	   21.15	     121	0	B	
09:37	   21.17	      64	0	B	
09:37	   21.20	      20	0	B	
09:37	   21.20	       2	0	B	
09:37	   21.20	      45	0	B	
09:37	   21.20	       2	0	B	
09:38	   21.19	      10	0	B	
09:38	   21.18	       3	0	S	
09:38	   21.17	       5	0	S	
09:38	   21.16	       5	0	S	
09:38	   21.15	      33	0	S	
09:38	   21.14	       5	0	B	
09:38	   21.10	       9	0	S	
09:38	   21.10	      39	0	S	
09:39	   21.11	       1	0	B	
09:39	   21.10	      10	0	S	
09:39	   21.10	       1	0	B	
09:39	   21.09	      68	0	S	
09:39	   21.07	      12	0	S	
09:39	   21.07	      21	0	S	
09:39	   21.07	       1	0	B	
09:39	   21.07	       1	0	B	
09:39	   21.06	      17	0	S	
09:40	   21.06	       5	0	B	
09:40	   21.06	      36	0	B	
09:40	   21.04	       0	0	B	
09:40	   21.06	      85	0	B	
09:40	   21.10	       5	0	B	
09:40	   21.10	       1	0	B	
09:40	   21.10	       1	0	B	
09:41	   21.08	      10	0	S	
09:41	   21.08	       6	0	B	
09:41	   21.10	      10	0	B	
09:41	   21.10	      58	0	S	
09:42	   21.10	      20	0	S	
09:42	   21.10	      60	0	S	
09:42	   21.14	       3	0	B	
09:42	   21.14	       7	0	S	
09:42	   21.12	       3	0	S	
09:42	   21.12	       5	0	S	
09:43	   21.10	      24	0	S	
09:43	   21.10	     319	0	S	
09:43	   21.10	      16	0	S	
09:43	   21.08	      30	0	S	
09:43	   21.07	      36	0	S	
09:43	   21.06	      21	0	S	
09:43	   21.05	      53	0	S	
