                  20250707 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   26.71	       0	0	
09:16	   26.71	       0	0	
09:16	   26.71	       0	0	
09:16	   26.69	       0	0	
09:16	   26.69	       0	0	
09:16	   26.69	       0	0	
09:16	   26.69	       0	0	
09:16	   26.69	       0	0	
09:16	   26.68	       0	0	
09:16	   26.62	       0	0	
09:16	   26.62	       0	0	
09:17	   26.60	       0	0	
09:17	   20.98	       0	0	
09:18	   20.98	       0	0	
09:18	   20.98	       0	0	
09:18	   20.98	       0	0	
09:19	   20.98	       0	0	
09:20	   20.99	       0	0	
09:20	   20.98	       0	0	
09:20	   20.98	       0	0	
09:20	   20.98	       0	0	
09:22	   20.98	       0	0	
09:22	   20.99	       0	0	
09:22	   20.98	       0	0	
09:22	   20.98	       0	0	
09:22	   20.99	       0	0	
09:22	   20.99	       0	0	
09:22	   21.00	       0	0	
09:22	   21.08	       0	0	
09:23	   21.08	       0	0	
09:23	   21.05	       0	0	
09:23	   21.05	       0	0	
09:23	   21.07	       0	0	
09:23	   21.00	       0	0	
09:23	   21.00	       0	0	
09:23	   21.00	       0	0	
09:24	   21.00	       0	0	
09:24	   21.00	       0	0	
09:24	   20.99	       0	0	
09:24	   20.99	       0	0	
09:24	   20.99	       0	0	
09:24	   20.99	       0	0	
09:24	   20.99	       0	0	
09:24	   20.99	       0	0	
09:24	   20.99	       0	0	
09:24	   20.99	       0	0	
09:24	   20.99	       0	0	
09:24	   20.98	       0	0	
09:24	   20.97	       0	0	
09:24	   20.90	       0	0	
09:25	   20.90	     376	0	
09:30	   20.95	    1207	0	B	
09:30	   20.90	     130	0	S	
09:30	   20.94	      17	0	S	
09:30	   21.00	      94	0	B	
09:30	   21.05	      82	0	B	
09:30	   21.10	      54	0	B	
09:30	   21.10	      68	0	S	
09:30	   21.30	     158	0	B	
09:30	   21.23	      66	0	S	
09:30	   21.30	      65	0	B	
09:30	   21.30	      35	0	S	
09:30	   21.45	      98	0	B	
09:30	   21.20	     671	0	S	
09:30	   21.30	     259	0	B	
09:30	   21.20	      43	0	S	
09:30	   21.20	     293	0	S	
09:30	   21.20	     238	0	B	
09:30	   21.30	      62	0	B	
09:30	   21.17	     134	0	S	
09:30	   21.17	     232	0	S	
09:31	   21.17	     146	0	B	
09:31	   21.23	      70	0	B	
09:31	   21.30	      64	0	B	
09:31	   21.32	      73	0	B	
09:31	   21.35	     211	0	B	
09:31	   21.33	      79	0	S	
09:31	   21.36	      28	0	
09:31	   21.36	      39	0	B	
09:31	   21.40	      58	0	B	
09:31	   21.38	      64	0	S	
09:31	   21.45	      52	0	B	
09:31	   21.35	     602	0	S	
09:31	   21.35	     109	0	B	
09:31	   21.35	     160	0	B	
09:31	   21.35	     121	0	B	
09:31	   21.33	     141	0	B	
09:31	   21.35	      13	0	B	
09:31	   21.33	     112	0	S	
09:31	   21.34	     119	0	B	
09:31	   21.33	     129	0	S	
09:32	   21.33	      89	0	S	
09:32	   21.36	     179	0	B	
09:32	   21.38	     139	0	B	
09:32	   21.39	     106	0	
09:32	   21.30	     161	0	S	
09:32	   21.30	      44	0	B	
09:32	   21.30	      49	0	B	
09:32	   21.22	      52	0	S	
09:32	   21.22	      60	0	B	
09:32	   21.26	       5	0	B	
09:32	   21.26	      25	0	S	
09:32	   21.30	     196	0	B	
09:32	   21.30	      63	0	B	
09:32	   21.30	     112	0	B	
09:32	   21.30	      23	0	S	
09:32	   21.30	     136	0	S	
09:32	   21.30	      28	0	B	
09:32	   21.30	      24	0	B	
09:32	   21.38	      23	0	B	
09:32	   21.38	       0	0	B	
09:33	   21.38	      23	0	B	
09:33	   21.31	     123	0	S	
09:33	   21.38	      50	0	B	
09:33	   21.38	      55	0	B	
09:33	   21.38	      24	0	B	
09:33	   21.38	      23	0	B	
09:33	   21.31	      53	0	S	
09:33	   21.36	      37	0	B	
09:33	   21.36	      37	0	B	
09:33	   21.37	     222	0	B	
09:33	   21.37	      32	0	S	
09:33	   21.39	     144	0	B	
09:33	   21.39	     108	0	B	
09:33	   21.39	     174	0	B	
09:33	   21.39	     153	0	S	
09:33	   21.42	     257	0	B	
09:33	   21.45	     325	0	B	
09:33	   21.42	      36	0	S	
09:33	   21.45	     100	0	B	
09:33	   21.45	      43	0	B	
09:34	   21.45	      71	0	B	
09:34	   21.48	     123	0	B	
09:34	   21.48	      88	0	B	
09:34	   21.46	      90	0	S	
09:34	   21.48	     352	0	B	
09:34	   21.48	      84	0	S	
09:34	   21.47	      13	0	
09:34	   21.46	      60	0	S	
09:34	   21.45	     310	0	S	
09:34	   21.43	      27	0	S	
09:34	   21.43	      13	0	B	
09:34	   21.43	      20	0	B	
09:34	   21.35	     440	0	S	
09:34	   21.32	      54	0	S	
09:34	   21.35	      20	0	B	
09:34	   21.35	       5	0	B	
09:34	   21.32	       9	0	S	
09:34	   21.35	      34	0	B	
09:35	   21.32	     168	0	S	
09:35	   21.35	      66	0	B	
09:35	   21.34	      30	0	B	
09:35	   21.34	       5	0	S	
09:35	   21.35	      34	0	B	
09:35	   21.35	      78	0	B	
09:35	   21.35	     182	0	B	
09:35	   21.42	      11	0	B	
09:35	   21.45	     170	0	B	
09:35	   21.42	      32	0	S	
09:35	   21.44	       7	0	B	
09:35	   21.46	      78	0	B	
09:35	   21.44	     102	0	B	
09:35	   21.44	      82	0	S	
09:35	   21.42	      15	0	S	
09:35	   21.43	      79	0	B	
09:36	   21.43	      33	0	S	
09:36	   21.43	      18	0	B	
09:36	   21.43	      22	0	B	
09:36	   21.44	     274	0	B	
09:36	   21.44	      13	0	S	
09:36	   21.44	     155	0	S	
09:36	   21.47	      20	0	B	
09:36	   21.46	       1	0	S	
09:36	   21.47	      16	0	B	
09:36	   21.48	     328	0	B	
09:36	   21.47	      69	0	S	
09:36	   21.49	      41	0	B	
09:36	   21.49	     133	0	B	
09:36	   21.50	     118	0	B	
09:36	   21.50	      89	0	B	
09:36	   21.50	     157	0	B	
09:36	   21.50	     167	0	B	
09:36	   21.50	      37	0	S	
09:36	   21.58	      31	0	B	
09:37	   21.58	      46	0	B	
09:37	   21.59	      76	0	B	
09:37	   21.59	      89	0	B	
09:37	   21.63	       4	0	B	
09:37	   21.68	      49	0	B	
09:37	   21.70	     113	0	B	
09:37	   21.70	       4	0	B	
09:37	   21.68	      34	0	S	
09:37	   21.68	      13	0	S	
09:37	   21.70	     171	0	B	
09:37	   21.69	     163	0	S	
09:37	   21.70	      20	0	B	
09:37	   21.70	     121	0	B	
09:37	   21.70	     116	0	S	
09:37	   21.70	     219	0	B	
09:37	   21.71	      96	0	
09:37	   21.70	     107	0	S	
09:37	   21.71	     253	0	B	
09:37	   21.70	     807	0	S	
09:37	   21.70	     143	0	S	
09:38	   21.70	      54	0	B	
09:38	   21.70	      28	0	B	
09:38	   21.67	      34	0	S	
09:38	   21.67	      52	0	B	
09:38	   21.63	      15	0	S	
09:38	   21.60	       3	0	B	
09:38	   21.60	      51	0	B	
09:38	   21.59	      21	0	S	
09:38	   21.58	      79	0	S	
09:38	   21.60	      10	0	B	
09:38	   21.59	      28	0	B	
09:38	   21.58	      83	0	S	
09:38	   21.56	      58	0	S	
09:38	   21.59	      18	0	B	
09:38	   21.58	      34	0	B	
09:38	   21.55	       9	0	S	
09:38	   21.55	       3	0	B	
09:38	   21.55	      39	0	B	
09:39	   21.60	     113	0	B	
09:39	   21.60	     169	0	S	
09:39	   21.60	     145	0	S	
09:39	   21.60	      12	0	B	
09:39	   21.60	       2	0	S	
09:39	   21.60	      11	0	S	
09:39	   21.63	      60	0	B	
09:39	   21.65	      15	0	B	
09:39	   21.66	      74	0	B	
09:39	   21.64	      62	0	
09:39	   21.70	     175	0	B	
09:39	   21.70	       2	0	S	
09:39	   21.72	      32	0	B	
09:39	   21.72	      64	0	S	
09:39	   21.72	     116	0	S	
09:39	   21.73	      67	0	S	
09:39	   21.73	      35	0	S	
09:39	   21.75	      10	0	B	
09:39	   21.77	     113	0	B	
09:40	   21.74	      56	0	
09:40	   21.75	      76	0	S	
09:40	   21.73	     166	0	S	
09:40	   21.75	      97	0	B	
09:40	   21.69	      61	0	S	
09:40	   21.69	      24	0	B	
09:40	   21.73	     140	0	B	
09:40	   21.75	      34	0	B	
09:40	   21.73	      39	0	S	
09:40	   21.69	      54	0	S	
09:40	   21.73	     130	0	B	
09:40	   21.64	      22	0	S	
09:40	   21.69	      73	0	S	
09:40	   21.73	      27	0	B	
09:40	   21.73	      33	0	B	
09:40	   21.72	      43	0	B	
09:40	   21.75	     174	0	B	
09:40	   21.69	      13	0	B	
09:40	   21.72	      16	0	B	
09:41	   21.72	      33	0	S	
09:41	   21.72	       8	0	S	
09:41	   21.69	      13	0	S	
09:41	   21.71	      82	0	B	
09:41	   21.69	       2	0	B	
09:41	   21.65	      25	0	S	
09:41	   21.71	      14	0	S	
09:41	   21.72	     173	0	B	
09:41	   21.72	     119	0	S	
09:41	   21.72	      76	0	S	
09:41	   21.74	     102	0	B	
09:41	   21.72	     217	0	S	
09:41	   21.74	      94	0	B	
09:41	   21.74	      10	0	S	
09:41	   21.74	      27	0	S	
09:41	   21.75	      84	0	B	
09:41	   21.75	      87	0	B	
09:42	   21.75	      28	0	S	
09:42	   21.77	      13	0	B	
09:42	   21.79	     119	0	B	
09:42	   21.79	      99	0	B	
09:42	   21.80	     171	0	B	
09:42	   21.84	     222	0	B	
09:42	   21.80	     117	0	S	
09:42	   21.86	      79	0	B	
09:42	   21.88	     107	0	B	
09:42	   21.88	     182	0	B	
09:42	   21.95	     178	0	B	
09:42	   21.91	      10	0	S	
09:42	   21.93	     382	0	
09:42	   21.97	      85	0	B	
09:42	   21.99	     137	0	B	
09:42	   21.98	     398	0	S	
09:42	   21.96	     154	0	S	
09:42	   22.18	     361	0	B	
09:42	   22.10	      58	0	S	
09:42	   22.38	     107	0	B	
09:43	   22.39	      73	0	B	
09:43	   22.28	      53	0	S	
09:43	   22.40	     131	0	B	
09:43	   22.46	      90	0	S	
09:43	   22.38	     105	0	S	
09:43	   22.28	     217	0	S	
09:43	   22.46	     225	0	B	
09:43	   22.41	     192	0	S	
09:43	   22.45	     261	0	B	
09:43	   22.44	     200	0	S	
09:43	   22.41	      29	0	B	
09:43	   22.41	      60	0	B	
09:43	   22.41	     151	0	B	
09:43	   22.38	      23	0	S	
09:43	   22.44	     103	0	B	
