                  20250710 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   22.88	       0	0	
09:15	   23.60	       0	0	
09:15	   23.60	       0	0	
09:15	   23.60	       0	0	
09:16	   23.60	       0	0	
09:17	   23.60	       0	0	
09:17	   23.60	       0	0	
09:17	   23.60	       0	0	
09:17	   23.60	       0	0	
09:18	   22.86	       0	0	
09:18	   22.86	       0	0	
09:19	   22.86	       0	0	
09:19	   22.31	       0	0	
09:19	   22.31	       0	0	
09:19	   22.31	       0	0	
09:20	   22.31	       0	0	
09:20	   22.33	       0	0	
09:20	   22.33	       0	0	
09:21	   22.33	       0	0	
09:21	   22.33	       0	0	
09:21	   22.33	       0	0	
09:21	   22.33	       0	0	
09:22	   22.33	       0	0	
09:22	   22.33	       0	0	
09:22	   22.34	       0	0	
09:22	   22.66	       0	0	
09:22	   22.60	       0	0	
09:22	   22.50	       0	0	
09:22	   22.34	       0	0	
09:23	   22.50	       0	0	
09:23	   22.52	       0	0	
09:23	   22.50	       0	0	
09:23	   22.50	       0	0	
09:23	   22.43	       0	0	
09:23	   22.45	       0	0	
09:23	   22.43	       0	0	
09:24	   22.43	       0	0	
09:24	   22.43	       0	0	
09:24	   22.43	       0	0	
09:24	   22.43	       0	0	
09:24	   22.43	       0	0	
09:24	   22.40	       0	0	
09:24	   22.40	       0	0	
09:24	   22.34	       0	0	
09:24	   22.34	       0	0	
09:24	   22.34	       0	0	
09:24	   22.39	       0	0	
09:24	   22.40	       0	0	
09:24	   22.40	       0	0	
09:24	   22.36	       0	0	
09:24	   22.40	       0	0	
09:24	   22.36	       0	0	
09:25	   22.36	     530	0	
09:30	   22.38	     472	0	B	
09:30	   22.47	      88	0	B	
09:30	   22.38	      36	0	S	
09:30	   22.45	      21	0	S	
09:30	   22.37	       4	0	S	
09:30	   22.36	       7	0	S	
09:30	   22.35	      41	0	S	
09:30	   22.36	      77	0	B	
09:30	   22.29	      40	0	S	
09:30	   22.28	      48	0	S	
09:30	   22.23	      98	0	S	
09:30	   22.25	      44	0	B	
09:30	   22.23	      23	0	S	
09:30	   22.22	      66	0	S	
09:30	   22.23	      37	0	B	
09:30	   22.22	      28	0	
09:30	   22.22	      27	0	S	
09:30	   22.22	      55	0	S	
09:30	   22.22	       5	0	S	
09:30	   22.22	      16	0	B	
09:31	   22.22	      10	0	B	
09:31	   22.22	      55	0	B	
09:31	   22.23	      45	0	S	
09:31	   22.22	     185	0	S	
09:31	   22.22	      32	0	S	
09:31	   22.22	      86	0	S	
09:31	   22.22	     116	0	B	
09:31	   22.20	     231	0	S	
09:31	   22.16	      13	0	S	
09:31	   22.11	      81	0	S	
09:31	   22.11	      16	0	B	
09:31	   22.08	     109	0	S	
09:31	   22.10	     200	0	B	
09:31	   22.11	      19	0	S	
09:31	   22.11	      92	0	S	
09:31	   22.10	      44	0	S	
09:31	   22.19	       3	0	B	
09:31	   22.19	      48	0	B	
09:31	   22.13	      36	0	S	
09:32	   22.19	      77	0	B	
09:32	   22.19	      20	0	B	
09:32	   22.19	      70	0	B	
09:32	   22.12	       4	0	S	
09:32	   22.12	      63	0	S	
09:32	   22.12	      42	0	B	
09:32	   22.10	      57	0	S	
09:32	   22.09	      48	0	S	
09:32	   22.08	      13	0	S	
09:32	   22.02	     128	0	S	
09:32	   22.00	     397	0	S	
09:32	   22.00	      54	0	B	
09:32	   21.91	     112	0	S	
09:32	   21.91	      28	0	B	
09:32	   21.91	     218	0	B	
09:32	   21.86	      31	0	S	
09:32	   21.90	      96	0	B	
09:32	   21.86	     103	0	B	
09:32	   21.91	     253	0	B	
09:32	   21.91	     120	0	S	
09:33	   22.00	     165	0	B	
09:33	   21.99	     145	0	S	
09:33	   22.00	     171	0	B	
09:33	   22.06	      36	0	B	
09:33	   22.09	      18	0	B	
09:33	   22.29	      13	0	B	
09:33	   22.10	       7	0	S	
09:33	   22.27	      10	0	B	
09:33	   22.23	      84	0	B	
09:33	   22.12	     123	0	S	
09:33	   22.06	      15	0	S	
09:33	   22.06	      24	0	B	
09:33	   22.05	       8	0	B	
09:33	   22.10	      42	0	B	
09:33	   22.10	      54	0	S	
09:33	   22.10	     113	0	S	
09:33	   22.06	      20	0	S	
09:33	   22.06	     124	0	B	
09:33	   22.03	      48	0	B	
09:33	   22.00	      83	0	S	
09:34	   22.00	     183	0	B	
09:34	   21.98	      48	0	
09:34	   21.91	      14	0	S	
09:34	   21.91	      98	0	B	
09:34	   21.91	     171	0	S	
09:34	   21.90	      50	0	S	
09:34	   21.90	      78	0	B	
09:34	   21.88	      71	0	S	
09:34	   21.89	     215	0	B	
09:34	   21.83	     236	0	S	
09:34	   21.86	      52	0	S	
09:34	   21.86	       1	0	B	
09:34	   21.86	     175	0	B	
09:34	   21.85	     181	0	B	
09:34	   21.86	      29	0	B	
09:34	   21.86	     178	0	B	
09:34	   21.90	      23	0	B	
09:34	   21.91	      10	0	S	
09:34	   21.95	      12	0	B	
09:35	   21.92	      38	0	S	
09:35	   21.98	      86	0	B	
09:35	   22.05	      18	0	S	
09:35	   22.05	      10	0	S	
09:35	   22.05	       3	0	B	
09:35	   22.18	      57	0	B	
09:35	   21.99	      19	0	S	
09:35	   22.00	       1	0	S	
09:35	   22.02	      40	0	B	
09:35	   22.02	      32	0	B	
09:35	   22.02	     283	0	B	
09:35	   22.02	      45	0	B	
09:35	   22.02	      49	0	B	
09:35	   22.02	      50	0	B	
09:35	   22.00	      17	0	S	
09:35	   22.01	      80	0	S	
09:35	   21.99	     280	0	S	
09:36	   21.99	      10	0	B	
09:36	   22.02	      29	0	B	
09:36	   21.99	       7	0	S	
09:36	   22.02	     130	0	B	
09:36	   22.02	      53	0	B	
09:36	   22.02	      16	0	B	
09:36	   22.00	       5	0	S	
09:36	   22.02	      80	0	B	
09:36	   22.16	      28	0	B	
09:36	   22.16	      12	0	S	
09:36	   22.16	       1	0	B	
09:36	   22.16	      19	0	B	
09:36	   22.16	       6	0	B	
09:36	   22.03	     121	0	S	
09:36	   22.16	     258	0	B	
09:36	   22.15	      20	0	B	
09:36	   22.03	      64	0	S	
09:37	   22.15	     196	0	B	
09:37	   22.04	      45	0	S	
09:37	   22.04	      24	0	S	
09:37	   22.15	     192	0	B	
09:37	   22.12	       3	0	S	
09:37	   22.12	       2	0	S	
09:37	   22.12	      43	0	B	
09:37	   22.12	      16	0	B	
09:37	   22.12	      35	0	B	
09:37	   22.12	      26	0	B	
09:37	   22.12	       5	0	S	
09:37	   22.10	      12	0	S	
09:37	   22.10	      72	0	B	
09:37	   22.08	      99	0	S	
09:37	   22.08	      32	0	B	
09:37	   22.06	       6	0	S	
09:38	   22.08	      29	0	B	
09:38	   22.05	      24	0	S	
09:38	   22.06	      38	0	S	
09:38	   22.06	       2	0	S	
09:38	   22.06	       3	0	S	
09:38	   22.06	       6	0	B	
09:38	   22.06	       3	0	B	
09:38	   22.06	      22	0	B	
09:38	   22.03	     501	0	S	
09:38	   22.05	      86	0	B	
09:38	   22.08	      14	0	B	
09:38	   22.05	       7	0	S	
09:38	   22.05	      28	0	S	
09:38	   22.05	      10	0	B	
09:38	   22.03	      12	0	S	
09:38	   22.01	      12	0	S	
09:38	   22.00	      20	0	S	
09:38	   22.00	      26	0	S	
09:38	   22.00	     295	0	S	
09:38	   21.98	     212	0	S	
09:39	   21.96	      86	0	S	
09:39	   21.95	      38	0	S	
09:39	   21.93	     138	0	S	
09:39	   21.93	      69	0	B	
09:39	   21.91	       5	0	S	
09:39	   21.91	      18	0	S	
09:39	   21.90	      34	0	S	
09:39	   21.91	      10	0	B	
09:39	   21.90	       6	0	S	
09:39	   21.90	     108	0	S	
09:39	   21.93	      24	0	B	
09:39	   21.93	      16	0	S	
09:39	   21.93	       5	0	S	
09:39	   21.93	     135	0	S	
09:39	   21.94	       6	0	S	
09:39	   21.94	      69	0	B	
09:39	   21.94	       1	0	S	
09:40	   21.94	      14	0	S	
09:40	   21.94	       1	0	S	
09:40	   21.94	      12	0	S	
09:40	   21.99	       7	0	B	
09:40	   21.93	      78	0	S	
09:40	   21.93	      10	0	S	
09:40	   21.91	     165	0	S	
09:40	   21.94	      20	0	B	
09:40	   21.93	       6	0	S	
09:40	   21.94	       1	0	B	
09:40	   21.93	      83	0	S	
09:40	   21.94	     224	0	B	
09:40	   21.94	      12	0	S	
09:40	   21.93	      81	0	S	
09:40	   21.94	      61	0	S	
09:40	   21.93	      50	0	S	
09:40	   21.94	      14	0	B	
09:40	   22.00	       9	0	B	
09:40	   21.94	     137	0	S	
09:40	   21.99	      15	0	B	
09:41	   21.99	      23	0	S	
09:41	   21.95	      13	0	S	
09:41	   22.01	      11	0	B	
09:41	   21.99	       4	0	S	
09:41	   22.00	      21	0	B	
09:41	   21.99	      18	0	B	
09:41	   22.00	       4	0	B	
09:41	   21.95	       4	0	S	
09:41	   21.95	      66	0	S	
09:41	   21.94	     126	0	S	
09:41	   21.93	      68	0	S	
09:41	   21.89	     328	0	S	
09:41	   21.88	     137	0	S	
09:41	   21.87	      81	0	S	
09:41	   21.85	     281	0	S	
09:41	   21.86	      54	0	B	
09:41	   21.85	     109	0	S	
09:42	   21.84	      63	0	S	
09:42	   21.84	      56	0	B	
09:42	   21.84	     196	0	S	
09:42	   21.84	       8	0	B	
09:42	   21.84	      15	0	B	
09:42	   21.83	      86	0	S	
09:42	   21.92	       5	0	B	
09:42	   21.84	     279	0	S	
09:42	   21.92	      50	0	B	
09:42	   21.92	      19	0	S	
09:42	   21.92	      15	0	S	
09:42	   21.87	       6	0	S	
09:42	   21.87	      10	0	S	
09:43	   21.94	     100	0	B	
09:43	   21.94	       9	0	B	
