                  20250711 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   22.21	       0	0	
09:15	   22.21	       0	0	
09:15	   23.18	       0	0	
09:15	   22.99	       0	0	
09:16	   22.21	       0	0	
09:16	   22.21	       0	0	
09:17	   22.21	       0	0	
09:21	   22.21	       0	0	
09:22	   22.21	       0	0	
09:22	   22.28	       0	0	
09:22	   22.21	       0	0	
09:23	   22.21	       0	0	
09:23	   22.23	       0	0	
09:23	   22.25	       0	0	
09:23	   22.28	       0	0	
09:23	   22.28	       0	0	
09:24	   22.28	       0	0	
09:24	   22.28	       0	0	
09:24	   22.28	       0	0	
09:24	   22.28	       0	0	
09:24	   22.28	       0	0	
09:24	   22.28	       0	0	
09:24	   22.29	       0	0	
09:24	   22.32	       0	0	
09:24	   22.35	       0	0	
09:24	   22.50	       0	0	
09:25	   22.50	     122	0	
09:30	   22.55	      25	0	B	
09:30	   22.55	      63	0	S	
09:30	   22.74	      58	0	B	
09:30	   22.55	       8	0	S	
09:30	   22.55	      24	0	S	
09:30	   22.57	       8	0	B	
09:30	   22.55	      84	0	S	
09:30	   22.51	      49	0	S	
09:30	   22.58	      87	0	S	
09:30	   22.50	      12	0	S	
09:30	   22.60	      35	0	B	
09:30	   22.53	      11	0	S	
09:30	   22.59	      45	0	B	
09:30	   22.49	      10	0	S	
09:30	   22.58	      10	0	B	
09:30	   22.55	      42	0	S	
09:30	   22.58	       3	0	B	
09:30	   22.59	      15	0	B	
09:31	   22.60	       7	0	B	
09:31	   22.59	      14	0	S	
09:31	   22.59	      26	0	S	
09:31	   22.55	      66	0	S	
09:31	   22.59	      24	0	B	
09:31	   22.59	     144	0	B	
09:31	   22.54	      15	0	S	
09:31	   22.51	      44	0	S	
09:31	   22.51	      16	0	B	
09:31	   22.53	      18	0	S	
09:31	   22.49	      13	0	S	
09:31	   22.50	      42	0	S	
09:31	   22.49	      78	0	S	
09:31	   22.44	       5	0	S	
09:31	   22.40	       3	0	S	
09:31	   22.40	      19	0	S	
09:31	   22.40	      19	0	S	
