                  20250714 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   22.11	       0	0	
09:15	   22.11	       0	0	
09:15	   22.11	       0	0	
09:16	   22.11	       0	0	
09:16	   22.11	       0	0	
09:16	   21.90	       0	0	
09:17	   22.11	       0	0	
09:17	   22.11	       0	0	
09:17	   22.11	       0	0	
09:18	   22.11	       0	0	
09:18	   21.80	       0	0	
09:18	   21.80	       0	0	
09:18	   21.80	       0	0	
09:19	   22.10	       0	0	
09:20	   22.11	       0	0	
09:21	   22.11	       0	0	
09:22	   22.11	       0	0	
09:22	   22.11	       0	0	
09:22	   22.11	       0	0	
09:22	   22.11	       0	0	
09:23	   22.11	       0	0	
09:23	   22.11	       0	0	
09:23	   22.11	       0	0	
09:24	   22.11	       0	0	
09:24	   22.11	       0	0	
09:24	   22.10	       0	0	
09:24	   22.10	       0	0	
09:24	   21.90	       0	0	
09:24	   21.90	       0	0	
09:24	   21.90	       0	0	
09:24	   21.90	       0	0	
09:24	   21.98	       0	0	
09:24	   22.04	       0	0	
09:25	   22.04	     224	0	
09:30	   22.03	     409	0	S	
09:30	   22.03	      70	0	B	
09:30	   22.03	      44	0	B	
09:30	   22.04	      89	0	B	
09:30	   22.04	     259	0	B	
09:30	   22.04	      11	0	B	
09:30	   22.04	      87	0	S	
09:30	   22.11	      19	0	B	
09:30	   22.16	       5	0	B	
09:30	   22.27	       3	0	B	
09:30	   22.27	      26	0	B	
09:30	   22.27	      18	0	S	
09:30	   22.27	       1	0	S	
09:30	   22.26	      10	0	B	
09:30	   22.26	      22	0	B	
09:30	   22.26	      22	0	B	
09:30	   22.03	      27	0	S	
09:30	   22.03	      14	0	S	
09:31	   22.25	       4	0	B	
09:31	   22.25	       5	0	B	
09:31	   22.07	       6	0	S	
09:31	   22.22	       1	0	B	
09:31	   22.24	      43	0	B	
09:31	   22.25	      62	0	B	
09:31	   22.22	      22	0	B	
09:31	   22.25	      27	0	B	
09:31	   22.11	      90	0	S	
09:31	   22.11	      33	0	S	
09:31	   22.22	      14	0	B	
09:31	   22.23	      20	0	B	
09:31	   22.22	      32	0	S	
09:31	   22.22	       2	0	B	
09:31	   22.22	      16	0	B	
09:31	   22.24	      28	0	B	
09:31	   22.24	      22	0	B	
09:31	   22.22	      57	0	S	
09:31	   22.20	      45	0	B	
09:32	   22.22	      49	0	B	
09:32	   22.26	       9	0	B	
09:32	   22.24	      38	0	S	
09:32	   22.26	      33	0	B	
09:32	   22.26	     127	0	B	
09:32	   22.28	      16	0	B	
09:32	   22.28	      46	0	B	
09:32	   22.32	      12	0	B	
09:32	   22.32	       7	0	B	
09:32	   22.35	      12	0	B	
09:32	   22.32	       4	0	S	
09:32	   22.40	      19	0	B	
09:32	   22.40	      24	0	S	
09:32	   22.40	       7	0	S	
09:32	   22.38	       5	0	S	
09:32	   22.38	       1	0	S	
09:33	   22.44	     151	0	B	
09:33	   22.38	      41	0	B	
09:33	   22.23	       9	0	S	
09:33	   22.28	      10	0	S	
09:33	   22.32	       5	0	B	
09:33	   22.28	       2	0	S	
09:33	   22.24	       1	0	S	
09:33	   22.23	       8	0	S	
09:33	   22.21	      50	0	S	
09:33	   22.20	      21	0	S	
09:33	   22.23	       2	0	B	
09:34	   22.16	       7	0	S	
09:34	   22.16	       3	0	S	
09:34	   22.16	      23	0	B	
09:34	   22.16	       1	0	B	
09:34	   22.16	       9	0	B	
09:34	   22.16	       5	0	B	
09:34	   22.13	      47	0	S	
09:34	   22.16	      13	0	B	
09:34	   22.16	       7	0	B	
09:34	   22.15	      15	0	B	
09:34	   22.15	      12	0	B	
09:34	   22.13	       9	0	S	
09:34	   22.11	     100	0	S	
09:34	   22.13	      16	0	
09:34	   22.11	     123	0	S	
09:34	   22.06	      54	0	S	
09:35	   22.06	      61	0	B	
09:35	   22.13	      29	0	B	
09:35	   22.13	      11	0	B	
09:35	   22.13	       1	0	B	
09:35	   22.10	      10	0	S	
09:35	   22.13	     117	0	B	
09:35	   22.16	      63	0	B	
09:35	   22.16	      82	0	B	
09:35	   22.22	      18	0	B	
09:35	   22.22	       9	0	B	
09:35	   22.16	      42	0	B	
09:35	   22.28	       2	0	B	
09:35	   22.16	      87	0	S	
09:35	   22.16	     138	0	B	
09:36	   22.16	       0	0	B	
09:36	   22.16	       6	0	S	
09:36	   22.26	       2	0	B	
09:36	   22.26	      10	0	B	
09:36	   22.16	      19	0	S	
09:36	   22.17	      18	0	S	
09:36	   22.17	      11	0	B	
09:36	   22.17	     147	0	B	
09:36	   22.17	      45	0	B	
09:36	   22.28	      40	0	B	
09:36	   22.25	      15	0	B	
09:37	   22.23	       7	0	B	
09:37	   22.17	       2	0	S	
09:37	   22.17	      46	0	B	
09:37	   22.17	      26	0	S	
