                  20250715 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:18	   21.01	       0	0	
09:18	   21.01	       0	0	
09:18	   21.01	       0	0	
09:18	   21.01	       0	0	
09:18	   21.01	       0	0	
09:18	   21.77	       0	0	
09:18	   21.67	       0	0	
09:19	   21.68	       0	0	
09:19	   21.68	       0	0	
09:19	   21.68	       0	0	
09:19	   21.68	       0	0	
09:19	   21.68	       0	0	
09:19	   21.68	       0	0	
09:20	   21.68	       0	0	
09:20	   21.68	       0	0	
09:20	   21.68	       0	0	
09:20	   21.68	       0	0	
09:21	   21.68	       0	0	
09:21	   21.68	       0	0	
09:21	   21.69	       0	0	
09:22	   21.68	       0	0	
09:22	   21.68	       0	0	
09:22	   21.68	       0	0	
09:22	   21.69	       0	0	
09:23	   21.69	       0	0	
09:23	   21.69	       0	0	
09:23	   21.69	       0	0	
09:23	   21.69	       0	0	
09:23	   21.69	       0	0	
09:23	   21.69	       0	0	
09:24	   21.69	       0	0	
09:24	   21.69	       0	0	
09:24	   21.70	       0	0	
09:24	   21.71	       0	0	
09:24	   21.71	       0	0	
09:24	   21.71	       0	0	
09:24	   21.71	       0	0	
09:24	   21.71	       0	0	
09:24	   21.72	       0	0	
09:24	   21.72	       0	0	
09:24	   21.72	       0	0	
09:24	   21.73	       0	0	
09:25	   21.81	     212	0	
09:30	   21.85	      72	0	B	
09:30	   21.81	     124	0	S	
09:30	   21.86	       2	0	B	
09:30	   21.86	       3	0	B	
09:30	   21.81	     162	0	S	
09:30	   21.81	      45	0	S	
09:30	   21.86	       6	0	S	
09:30	   21.81	      49	0	S	
09:30	   21.81	      30	0	B	
09:30	   21.81	      20	0	S	
09:30	   21.77	      29	0	S	
09:30	   21.85	      26	0	B	
09:30	   21.77	       9	0	S	
09:31	   21.85	      42	0	B	
09:31	   21.76	      23	0	S	
09:31	   21.78	       5	0	B	
09:31	   21.78	       7	0	B	
09:31	   21.78	       4	0	B	
09:31	   21.73	      47	0	S	
09:31	   21.73	     230	0	B	
09:31	   21.73	      19	0	S	
09:31	   21.73	      10	0	S	
09:31	   21.73	      21	0	S	
09:32	   21.74	      20	0	S	
09:32	   21.80	      62	0	B	
09:32	   21.80	       5	0	B	
09:32	   21.80	       4	0	B	
09:32	   21.80	      31	0	S	
09:32	   21.77	       2	0	S	
09:32	   21.73	     317	0	S	
09:32	   21.73	     124	0	S	
09:33	   21.75	       2	0	B	
09:33	   21.75	       1	0	S	
09:33	   21.75	       6	0	S	
09:33	   21.75	      15	0	S	
09:33	   21.75	       6	0	S	
09:33	   21.75	      11	0	B	
09:33	   21.74	       9	0	S	
09:33	   21.74	       5	0	S	
09:33	   21.74	       5	0	S	
09:33	   21.74	      30	0	B	
09:33	   21.74	       7	0	B	
09:33	   21.75	      44	0	B	
09:33	   21.75	       1	0	S	
09:33	   21.77	      10	0	B	
09:33	   21.77	       6	0	B	
09:33	   21.77	       2	0	B	
09:34	   21.77	       4	0	B	
09:34	   21.80	      52	0	B	
09:34	   21.75	      36	0	S	
09:34	   21.75	       3	0	B	
09:34	   21.85	      13	0	B	
09:34	   21.75	      28	0	S	
09:34	   21.73	     132	0	S	
09:35	   21.73	      30	0	S	
09:35	   21.73	      14	0	S	
