                  20250716 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   21.46	       0	0	
09:15	   21.51	       0	0	
09:15	   22.06	       0	0	
09:16	   22.07	       0	0	
09:16	   22.10	       0	0	
09:17	   22.07	       0	0	
09:17	   22.06	       0	0	
09:17	   22.06	       0	0	
09:18	   22.06	       0	0	
09:18	   21.51	       0	0	
09:19	   21.51	       0	0	
09:20	   21.51	       0	0	
09:20	   21.51	       0	0	
09:22	   21.51	       0	0	
09:22	   21.51	       0	0	
09:23	   21.53	       0	0	
09:23	   21.53	       0	0	
09:23	   21.54	       0	0	
09:23	   21.68	       0	0	
09:24	   21.68	       0	0	
09:24	   21.68	       0	0	
09:24	   21.68	       0	0	
09:24	   21.69	       0	0	
09:24	   21.70	       0	0	
09:24	   21.86	       0	0	
09:25	   21.86	      29	0	
09:30	   21.88	      73	0	B	
09:30	   21.82	      65	0	S	
09:30	   21.80	       5	0	B	
09:30	   21.80	      23	0	B	
09:30	   21.80	      38	0	B	
09:30	   21.88	      54	0	B	
09:30	   21.88	      19	0	B	
09:30	   21.88	      11	0	S	
09:30	   21.85	      15	0	S	
09:30	   21.88	       3	0	B	
09:30	   21.88	       1	0	S	
09:30	   21.88	      20	0	S	
09:30	   21.82	       8	0	S	
09:30	   21.82	      77	0	B	
09:31	   21.82	      17	0	B	
09:31	   21.87	      12	0	B	
09:31	   21.87	     121	0	S	
09:31	   21.90	      40	0	B	
09:31	   21.88	      30	0	S	
09:31	   21.88	      72	0	S	
09:31	   21.88	       8	0	S	
09:31	   21.84	      12	0	S	
09:31	   21.87	      11	0	S	
09:31	   21.88	      56	0	S	
09:31	   21.90	       1	0	S	
09:31	   21.90	      14	0	S	
09:32	   21.87	       1	0	S	
09:32	   21.90	      10	0	B	
09:32	   21.90	      17	0	B	
09:32	   21.87	      97	0	S	
09:32	   21.87	       5	0	B	
09:32	   21.86	      21	0	S	
09:32	   21.90	      16	0	B	
09:32	   21.90	       6	0	B	
09:32	   21.85	       9	0	S	
09:32	   21.86	       6	0	S	
09:32	   21.86	       1	0	S	
09:33	   21.84	      29	0	S	
09:33	   21.83	       1	0	S	
09:33	   21.84	      13	0	B	
09:33	   21.83	      12	0	S	
09:33	   21.83	      26	0	B	
09:33	   21.83	      26	0	S	
09:33	   21.83	       1	0	S	
09:33	   21.84	       6	0	S	
09:33	   21.84	       3	0	S	
09:34	   21.84	       7	0	S	
09:34	   21.84	       2	0	S	
09:34	   21.86	       2	0	B	
09:34	   21.88	       6	0	B	
09:34	   21.81	      25	0	S	
09:34	   21.81	       1	0	S	
09:34	   21.81	       1	0	S	
09:35	   21.81	      26	0	S	
09:35	   21.81	       8	0	S	
09:35	   21.81	       5	0	S	
09:35	   21.80	       8	0	S	
09:35	   21.80	      21	0	S	
09:35	   21.80	      33	0	S	
09:35	   21.80	      10	0	S	
09:35	   21.78	      29	0	S	
09:35	   21.80	      11	0	B	
09:35	   21.78	       5	0	S	
09:35	   21.78	      71	0	S	
09:35	   21.78	      41	0	B	
09:35	   21.75	       1	0	S	
09:35	   21.75	       1	0	S	
09:35	   21.75	       1	0	S	
09:35	   21.75	       1	0	S	
09:35	   21.72	      56	0	S	
09:36	   21.72	       1	0	B	
09:36	   21.69	       3	0	S	
09:36	   21.72	       5	0	S	
09:36	   21.71	       2	0	B	
09:36	   21.70	      14	0	S	
09:36	   21.78	       4	0	B	
09:36	   21.78	       7	0	S	
09:36	   21.78	       8	0	B	
09:36	   21.79	     356	0	B	
09:36	   21.80	      39	0	B	
09:36	   21.80	      57	0	B	
