                  20250717 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   21.68	       0	0	
09:15	   21.42	       0	0	
09:15	   21.68	       0	0	
09:15	   23.40	       0	0	
09:15	   23.40	       0	0	
09:15	   23.50	       0	0	
09:15	   23.57	       0	0	
09:16	   23.50	       0	0	
09:16	   23.50	       0	0	
09:16	   23.50	       0	0	
09:16	   23.49	       0	0	
09:16	   23.50	       0	0	
09:16	   23.50	       0	0	
09:16	   23.49	       0	0	
09:16	   23.50	       0	0	
09:16	   23.50	       0	0	
09:17	   23.50	       0	0	
09:17	   23.50	       0	0	
09:17	   23.50	       0	0	
09:17	   21.78	       0	0	
09:17	   21.78	       0	0	
09:18	   21.98	       0	0	
09:18	   21.78	       0	0	
09:19	   21.78	       0	0	
09:20	   21.78	       0	0	
09:20	   21.78	       0	0	
09:21	   21.78	       0	0	
09:21	   21.78	       0	0	
09:21	   21.78	       0	0	
09:22	   21.78	       0	0	
09:23	   21.78	       0	0	
09:24	   21.78	       0	0	
09:24	   21.78	       0	0	
09:24	   21.78	       0	0	
09:24	   21.76	       0	0	
09:24	   21.78	       0	0	
09:24	   21.78	       0	0	
09:24	   21.78	       0	0	
09:24	   21.78	       0	0	
09:24	   21.78	       0	0	
09:24	   21.78	       0	0	
09:24	   21.78	       0	0	
09:24	   21.78	       0	0	
09:24	   21.78	       0	0	
09:24	   21.77	       0	0	
09:25	   21.76	     200	0	
09:30	   21.75	     105	0	B	
09:30	   21.75	       6	0	B	
09:30	   21.70	       5	0	B	
09:30	   21.69	       2	0	B	
09:30	   21.69	       6	0	S	
09:30	   21.70	      18	0	B	
09:30	   21.69	      33	0	B	
09:30	   21.69	       2	0	B	
09:30	   21.70	       5	0	B	
09:30	   21.70	      80	0	B	
09:30	   21.75	      26	0	B	
09:30	   21.75	      31	0	B	
09:30	   21.75	      41	0	B	
09:30	   21.75	      35	0	B	
09:30	   21.76	      16	0	B	
09:30	   21.78	      51	0	B	
09:30	   21.80	     211	0	B	
09:30	   21.80	      71	0	S	
09:31	   21.78	     106	0	S	
09:31	   21.80	      27	0	B	
09:31	   21.88	      69	0	B	
09:31	   21.78	     101	0	S	
09:31	   21.76	     235	0	S	
09:31	   21.78	     255	0	B	
09:31	   21.80	     118	0	B	
09:31	   21.80	      32	0	S	
09:31	   21.85	      59	0	B	
09:31	   21.85	      25	0	B	
09:31	   21.78	       3	0	S	
09:31	   21.85	      42	0	B	
09:31	   21.78	      43	0	S	
09:31	   21.85	      91	0	B	
09:31	   21.80	      24	0	B	
09:31	   21.80	       2	0	B	
09:31	   21.80	       7	0	S	
09:31	   21.84	      24	0	B	
09:31	   21.85	      64	0	B	
09:32	   21.86	      22	0	B	
09:32	   21.86	      65	0	B	
09:32	   21.89	      11	0	B	
09:32	   21.88	      69	0	S	
09:32	   21.88	      41	0	B	
09:32	   21.88	      48	0	S	
09:32	   21.90	     173	0	B	
09:32	   21.91	     101	0	B	
09:32	   21.92	      13	0	B	
09:32	   21.93	      88	0	B	
09:32	   21.93	      23	0	S	
09:32	   21.90	      37	0	S	
09:32	   21.90	       2	0	S	
09:32	   21.90	     237	0	S	
09:32	   21.92	       5	0	S	
09:32	   21.87	       5	0	B	
09:32	   21.87	      37	0	S	
09:32	   21.87	       2	0	B	
09:33	   21.89	      40	0	B	
09:33	   21.89	      12	0	S	
09:33	   21.89	       0	0	S	
09:33	   21.89	      32	0	B	
09:33	   21.89	      66	0	B	
09:33	   21.82	      72	0	S	
09:33	   21.88	      22	0	B	
09:33	   21.88	      24	0	B	
09:33	   21.88	      20	0	B	
09:33	   21.88	     100	0	S	
09:33	   21.88	       6	0	S	
09:33	   21.89	      46	0	B	
09:33	   21.89	      51	0	S	
09:33	   21.91	      17	0	B	
09:33	   21.92	      40	0	B	
09:33	   21.92	      50	0	S	
09:33	   21.94	      23	0	B	
09:33	   21.92	      99	0	S	
09:33	   21.93	      22	0	B	
09:34	   21.92	       2	0	S	
09:34	   21.93	       7	0	B	
09:34	   21.93	       7	0	B	
09:34	   21.90	      11	0	S	
09:34	   21.90	      26	0	S	
09:34	   21.89	      44	0	S	
09:34	   21.84	       9	0	S	
09:34	   21.84	      25	0	B	
09:34	   21.84	       7	0	B	
09:34	   21.74	      50	0	S	
09:34	   21.75	      25	0	S	
09:35	   21.75	       5	0	S	
09:35	   21.75	      11	0	B	
09:35	   21.75	      18	0	S	
09:35	   21.75	      10	0	B	
09:35	   21.75	      10	0	B	
09:35	   21.75	       8	0	B	
09:35	   21.75	       5	0	B	
09:36	   21.76	       7	0	S	
09:36	   21.75	       2	0	B	
09:36	   21.75	       7	0	B	
09:37	   21.76	       1	0	B	
09:37	   21.75	      37	0	S	
09:37	   21.74	       5	0	S	
09:37	   21.71	      42	0	S	
09:37	   21.71	       1	0	S	
09:37	   21.73	       3	0	S	
09:37	   21.72	       1	0	S	
09:37	   21.71	      21	0	S	
09:38	   21.71	      38	0	S	
09:38	   21.75	      21	0	B	
09:38	   21.70	       6	0	S	
09:38	   21.66	       6	0	S	
09:38	   21.70	       5	0	B	
09:38	   21.70	      15	0	B	
09:38	   21.75	      60	0	B	
09:38	   21.75	       1	0	B	
09:38	   21.74	       4	0	B	
09:39	   21.74	       1	0	B	
09:39	   21.75	      38	0	B	
09:39	   21.75	      19	0	B	
09:39	   21.79	      33	0	B	
09:39	   21.83	      29	0	B	
09:39	   21.83	      22	0	S	
09:39	   21.79	      63	0	S	
09:39	   21.84	      43	0	B	
09:39	   21.84	      33	0	S	
09:40	   21.84	      12	0	S	
09:40	   21.80	      27	0	S	
09:40	   21.75	       1	0	S	
09:41	   21.75	      14	0	S	
09:41	   21.75	       8	0	B	
09:41	   21.75	     110	0	S	
09:41	   21.75	      98	0	S	
09:41	   21.75	       2	0	B	
09:41	   21.75	       3	0	S	
09:41	   21.75	       5	0	B	
09:42	   21.75	       5	0	B	
09:42	   21.75	       7	0	B	
09:42	   21.76	       9	0	S	
09:42	   21.79	      21	0	B	
09:42	   21.75	       5	0	S	
09:42	   21.74	       5	0	B	
09:43	   21.74	      23	0	B	
09:43	   21.74	      10	0	S	
09:43	   21.74	      27	0	S	
09:43	   21.74	      40	0	S	
09:43	   21.72	      50	0	S	
09:44	   21.71	       5	0	S	
09:44	   21.72	      10	0	B	
09:44	   21.72	      30	0	B	
09:44	   21.72	      12	0	B	
09:44	   21.71	      20	0	S	
09:44	   21.72	      10	0	S	
09:44	   21.74	       6	0	B	
09:46	   21.74	      56	0	S	
09:46	   21.73	       1	0	S	
09:46	   21.73	      19	0	S	
09:47	   21.71	       6	0	S	
09:47	   21.71	      22	0	S	
09:47	   21.71	      29	0	S	
09:47	   21.70	      21	0	S	
09:47	   21.70	     116	0	S	
09:47	   21.70	      53	0	S	
09:47	   21.70	       2	0	S	
09:47	   21.69	       8	0	B	
09:47	   21.69	       2	0	S	
09:47	   21.69	       5	0	S	
09:48	   21.69	      12	0	S	
09:48	   21.66	       2	0	S	
09:48	   21.65	      74	0	S	
09:48	   21.65	       3	0	B	
09:48	   21.62	       5	0	S	
09:48	   21.65	       2	0	B	
09:48	   21.62	       9	0	S	
09:48	   21.65	      41	0	B	
09:48	   21.65	       4	0	S	
09:48	   21.63	       5	0	S	
09:49	   21.65	      20	0	B	
09:49	   21.65	      28	0	B	
09:49	   21.64	      45	0	S	
09:49	   21.69	      20	0	B	
09:49	   21.69	      10	0	S	
09:50	   21.73	      13	0	B	
09:50	   21.67	       2	0	S	
09:50	   21.67	       4	0	B	
09:50	   21.67	       4	0	B	
09:50	   21.67	       2	0	B	
09:50	   21.66	       6	0	S	
09:50	   21.67	      13	0	B	
09:50	   21.67	       7	0	B	
09:50	   21.67	       5	0	B	
09:50	   21.67	       9	0	S	
09:51	   21.73	       1	0	B	
09:51	   21.73	       8	0	S	
09:51	   21.75	      27	0	B	
09:51	   21.76	       3	0	S	
09:52	   21.76	      17	0	B	
09:52	   21.76	      33	0	S	
09:52	   21.76	      30	0	B	
09:52	   21.75	       5	0	B	
09:53	   21.78	      42	0	B	
09:53	   21.79	      50	0	B	
09:53	   21.75	       6	0	B	
09:53	   21.77	      10	0	B	
09:54	   21.77	      19	0	B	
09:54	   21.72	      71	0	S	
09:54	   21.72	      11	0	B	
09:54	   21.72	      34	0	B	
09:54	   21.72	      11	0	B	
09:54	   21.72	      23	0	B	
09:54	   21.77	       1	0	B	
09:54	   21.73	      10	0	S	
09:54	   21.73	      21	0	S	
09:54	   21.73	       1	0	B	
09:54	   21.71	      28	0	S	
09:54	   21.71	       1	0	B	
09:54	   21.71	       5	0	B	
09:55	   21.69	      12	0	S	
09:55	   21.69	       3	0	B	
09:55	   21.68	      14	0	S	
09:55	   21.68	      46	0	S	
09:55	   21.68	      23	0	B	
09:55	   21.68	       2	0	B	
09:55	   21.67	       9	0	S	
09:55	   21.68	       9	0	B	
09:55	   21.69	      31	0	B	
09:56	   21.69	       5	0	B	
09:56	   21.68	      38	0	S	
09:56	   21.69	       8	0	S	
09:56	   21.69	       9	0	B	
09:56	   21.69	       6	0	B	
09:57	   21.69	       5	0	B	
09:57	   21.69	      10	0	B	
09:57	   21.68	       5	0	S	
09:57	   21.69	       0	0	S	
09:57	   21.71	      11	0	B	
09:57	   21.70	      39	0	
09:57	   21.71	      11	0	B	
09:57	   21.71	      23	0	B	
09:57	   21.73	      51	0	B	
09:57	   21.73	       4	0	B	
09:58	   21.73	       3	0	S	
09:58	   21.71	       4	0	S	
09:58	   21.71	      48	0	S	
09:58	   21.71	       0	0	S	
09:59	   21.71	      15	0	B	
09:59	   21.71	      12	0	B	
09:59	   21.71	       2	0	B	
09:59	   21.73	       1	0	B	
09:59	   21.73	      21	0	B	
09:59	   21.73	       8	0	B	
09:59	   21.73	       1	0	B	
10:00	   21.73	       8	0	B	
10:00	   21.73	       2	0	B	
10:00	   21.73	      13	0	B	
10:00	   21.73	       3	0	B	
10:00	   21.73	       8	0	B	
10:00	   21.77	       1	0	B	
10:00	   21.74	       2	0	S	
10:00	   21.74	      11	0	B	
10:00	   21.74	       3	0	B	
10:00	   21.74	       7	0	B	
10:00	   21.74	       3	0	S	
10:01	   21.74	       4	0	B	
10:01	   21.74	       1	0	B	
10:01	   21.74	       2	0	B	
10:01	   21.73	      10	0	S	
10:01	   21.72	       8	0	S	
10:01	   21.70	      42	0	S	
10:02	   21.70	       4	0	B	
10:02	   21.70	       2	0	B	
10:02	   21.68	      46	0	S	
10:02	   21.68	       2	0	B	
10:02	   21.67	      10	0	S	
10:02	   21.68	       1	0	B	
10:02	   21.67	      38	0	S	
10:02	   21.70	       2	0	B	
10:02	   21.68	       3	0	S	
10:03	   21.68	       7	0	B	
10:05	   21.69	      10	0	S	
10:05	   21.70	       1	0	B	
10:06	   21.68	      72	0	S	
10:06	   21.72	      15	0	B	
10:07	   21.73	       5	0	B	
10:07	   21.72	      55	0	B	
10:07	   21.73	       9	0	B	
10:07	   21.72	     150	0	S	
10:07	   21.73	      51	0	B	
10:07	   21.73	      37	0	B	
10:07	   21.72	      86	0	S	
10:07	   21.72	      41	0	S	
10:07	   21.72	      15	0	B	
10:07	   21.72	      11	0	B	
10:08	   21.69	      35	0	S	
10:09	   21.68	     103	0	S	
10:10	   21.69	      22	0	S	
10:10	   21.69	       4	0	B	
10:10	   21.69	      15	0	B	
10:10	   21.70	       4	0	S	
10:10	   21.69	      14	0	S	
10:10	   21.69	       4	0	S	
10:10	   21.69	      25	0	B	
10:10	   21.70	      57	0	B	
10:11	   21.70	      17	0	B	
10:11	   21.70	      36	0	B	
10:11	   21.70	       3	0	B	
10:11	   21.70	       8	0	S	
10:11	   21.72	      17	0	B	
10:11	   21.70	       1	0	S	
10:11	   21.70	       1	0	B	
10:11	   21.71	       3	0	S	
10:12	   21.71	       8	0	B	
10:12	   21.71	       1	0	B	
10:12	   21.69	      22	0	S	
10:12	   21.71	       1	0	B	
10:13	   21.69	      38	0	S	
10:13	   21.69	       2	0	B	
10:13	   21.71	       1	0	B	
10:14	   21.71	      15	0	B	
10:14	   21.71	      14	0	B	
10:14	   21.68	      24	0	S	
10:15	   21.68	      14	0	B	
10:16	   21.75	     111	0	B	
10:16	   21.75	      15	0	S	
10:16	   21.75	      45	0	S	
10:17	   21.75	       4	0	S	
10:17	   21.75	       2	0	B	
10:17	   21.69	      29	0	S	
10:17	   21.74	       2	0	B	
10:18	   21.74	       1	0	B	
10:19	   21.74	       4	0	B	
10:20	   21.72	      50	0	S	
10:20	   21.72	       5	0	B	
10:20	   21.70	      17	0	S	
10:21	   21.71	       2	0	S	
10:21	   21.69	      31	0	S	
10:21	   21.68	      30	0	S	
10:21	   21.67	      44	0	S	
10:21	   21.67	      35	0	S	
10:21	   21.67	      19	0	S	
10:21	   21.66	      31	0	S	
10:22	   21.67	       2	0	S	
10:22	   21.67	       8	0	B	
10:23	   21.67	       6	0	S	
10:23	   21.71	       0	0	S	
10:23	   21.71	      11	0	S	
10:24	   21.66	     129	0	S	
10:26	   21.66	       1	0	S	
10:26	   21.65	      20	0	S	
10:27	   21.64	       7	0	S	
10:27	   21.63	      20	0	S	
10:27	   21.63	      10	0	S	
10:27	   21.63	      30	0	B	
10:27	   21.60	      52	0	S	
10:27	   21.60	      12	0	S	
10:27	   21.58	      81	0	S	
10:28	   21.58	       3	0	S	
10:28	   21.58	      43	0	S	
10:28	   21.58	       5	0	S	
10:28	   21.58	       3	0	B	
10:28	   21.50	     168	0	S	
10:28	   21.50	      17	0	S	
10:28	   21.50	       4	0	B	
10:28	   21.52	      12	0	S	
10:28	   21.52	      18	0	B	
10:29	   21.63	      10	0	B	
10:29	   21.63	       3	0	B	
10:29	   21.54	      22	0	S	
10:29	   21.63	       3	0	B	
10:29	   21.63	      24	0	S	
10:30	   21.63	       5	0	S	
10:30	   21.63	      39	0	S	
10:30	   21.63	      15	0	B	
10:32	   21.63	       5	0	B	
10:32	   21.58	      10	0	S	
10:33	   21.58	      26	0	S	
10:33	   21.58	      26	0	S	
10:33	   21.57	      20	0	S	
10:34	   21.57	       6	0	B	
10:34	   21.56	      35	0	S	
10:34	   21.56	      29	0	S	
10:34	   21.57	       2	0	B	
10:34	   21.57	       1	0	B	
10:34	   21.56	      44	0	S	
10:34	   21.57	       2	0	B	
10:34	   21.57	      10	0	B	
10:35	   21.57	      10	0	B	
10:35	   21.57	       1	0	B	
10:35	   21.56	       7	0	S	
10:36	   21.56	      11	0	B	
10:36	   21.56	      27	0	B	
10:36	   21.57	       0	0	B	
10:36	   21.62	       4	0	S	
10:36	   21.63	      10	0	B	
10:36	   21.63	       1	0	B	
10:37	   21.58	       2	0	S	
10:38	   21.57	       3	0	S	
