                  20250722 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   22.30	       0	0	
09:15	   26.29	       0	0	
09:16	   26.24	       0	0	
09:16	   26.10	       0	0	
09:16	   26.10	       0	0	
09:16	   26.00	       0	0	
09:17	   26.00	       0	0	
09:17	   22.30	       0	0	
09:17	   22.49	       0	0	
09:17	   22.49	       0	0	
09:18	   22.49	       0	0	
09:19	   22.49	       0	0	
09:19	   22.49	       0	0	
09:22	   22.49	       0	0	
09:22	   22.49	       0	0	
09:23	   22.49	       0	0	
09:24	   22.49	       0	0	
09:24	   22.49	       0	0	
09:24	   22.49	       0	0	
09:24	   22.49	       0	0	
09:24	   22.49	       0	0	
09:24	   22.49	       0	0	
09:24	   22.45	       0	0	
09:24	   22.45	       0	0	
09:24	   22.45	       0	0	
09:24	   22.28	       0	0	
09:25	   22.28	      81	0	
09:30	   22.29	      38	0	B	
09:30	   22.23	       1	0	S	
09:30	   22.23	      12	0	B	
09:30	   22.21	       7	0	S	
09:30	   22.23	      65	0	B	
09:30	   22.23	      19	0	B	
09:30	   22.28	      25	0	B	
09:30	   22.29	       0	0	B	
09:30	   22.37	      14	0	B	
09:30	   22.38	       8	0	B	
09:30	   22.38	      63	0	B	
09:30	   22.37	      49	0	S	
09:30	   22.43	      36	0	B	
09:30	   22.43	      40	0	S	
09:30	   22.37	       5	0	S	
09:30	   22.41	       1	0	B	
09:30	   22.37	       7	0	B	
09:31	   22.37	       6	0	B	
09:31	   22.36	      10	0	B	
09:31	   22.32	      41	0	S	
09:31	   22.32	      22	0	B	
09:31	   22.32	      25	0	S	
09:31	   22.32	      11	0	S	
09:31	   22.37	      20	0	B	
09:31	   22.30	      43	0	S	
09:31	   22.30	      37	0	B	
09:31	   22.32	       1	0	S	
09:31	   22.10	      56	0	S	
09:32	   22.23	       4	0	S	
09:32	   22.23	      15	0	S	
09:32	   22.23	       2	0	S	
09:32	   22.23	       2	0	B	
09:32	   22.23	       2	0	B	
09:32	   22.23	       8	0	S	
09:32	   22.36	      76	0	B	
09:32	   22.23	       5	0	S	
09:33	   22.24	       6	0	S	
09:33	   22.24	      27	0	S	
09:33	   22.23	       9	0	S	
09:33	   22.23	      17	0	S	
09:33	   22.17	       6	0	S	
09:33	   22.23	       4	0	B	
09:33	   22.23	      72	0	B	
09:33	   22.23	      11	0	B	
09:34	   22.23	      16	0	S	
09:34	   22.23	       8	0	B	
09:34	   22.24	       4	0	S	
09:34	   22.24	      20	0	S	
09:34	   22.24	      13	0	S	
09:34	   22.24	      22	0	B	
09:34	   22.24	      22	0	B	
09:34	   22.24	      27	0	B	
09:34	   22.24	     105	0	B	
09:34	   22.24	       5	0	S	
09:34	   22.31	       8	0	B	
09:35	   22.30	       8	0	B	
09:35	   22.30	      30	0	B	
09:35	   22.30	      25	0	B	
09:35	   22.31	       1	0	B	
09:35	   22.30	      26	0	S	
09:35	   22.30	       7	0	B	
09:35	   22.30	      22	0	B	
09:35	   22.30	      48	0	B	
09:35	   22.30	      22	0	B	
09:35	   22.25	       4	0	S	
09:35	   22.30	       5	0	B	
09:35	   22.30	      20	0	S	
09:35	   22.30	      12	0	S	
09:35	   22.33	       7	0	B	
09:35	   22.33	       5	0	S	
09:35	   22.33	       5	0	B	
09:35	   22.33	       5	0	S	
09:36	   22.33	      14	0	B	
09:36	   22.32	       2	0	B	
09:36	   22.30	      20	0	B	
09:36	   22.24	      34	0	S	
09:36	   22.24	      65	0	B	
09:37	   22.24	      29	0	B	
09:37	   22.22	      31	0	B	
09:37	   22.22	      23	0	B	
09:37	   22.30	      14	0	B	
09:37	   22.30	      20	0	S	
09:37	   22.30	      10	0	B	
09:37	   22.30	      20	0	B	
09:38	   22.30	       9	0	B	
09:38	   22.23	      26	0	S	
09:38	   22.23	      17	0	S	
09:39	   22.24	       6	0	S	
09:39	   22.24	      15	0	S	
09:39	   22.25	      26	0	S	
09:40	   22.24	      51	0	S	
09:40	   22.22	       5	0	S	
09:40	   22.22	      28	0	S	
09:40	   22.22	       1	0	S	
09:40	   22.22	      21	0	S	
09:40	   22.21	      11	0	S	
09:40	   22.21	       2	0	S	
09:40	   22.20	      23	0	S	
09:40	   22.19	      50	0	S	
09:40	   22.19	       4	0	S	
09:40	   22.18	      45	0	S	
09:40	   22.19	       2	0	S	
09:41	   22.19	      10	0	S	
09:41	   22.19	       4	0	S	
09:41	   22.19	      11	0	S	
09:41	   22.19	       4	0	S	
09:41	   22.20	       5	0	B	
09:41	   22.19	       7	0	S	
09:41	   22.19	       3	0	B	
09:41	   22.19	       5	0	S	
09:41	   22.19	      15	0	S	
09:41	   22.19	      17	0	B	
09:41	   22.19	       4	0	B	
09:42	   22.20	       3	0	S	
09:42	   22.22	       5	0	B	
