                  20250723 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   15.46	       0	0	
09:15	   17.00	       0	0	
09:15	   17.00	       0	0	
09:15	   15.46	       0	0	
09:15	   15.46	       0	0	
09:15	   15.46	       0	0	
09:15	   15.46	       0	0	
09:15	   15.46	       0	0	
09:15	   15.46	       0	0	
09:16	   15.46	       0	0	
09:16	   17.00	       0	0	
09:16	   15.50	       0	0	
09:16	   17.00	       0	0	
09:16	   17.00	       0	0	
09:16	   17.00	       0	0	
09:16	   17.00	       0	0	
09:16	   17.00	       0	0	
09:16	   17.00	       0	0	
09:16	   17.00	       0	0	
09:17	   17.00	       0	0	
09:17	   17.00	       0	0	
09:17	   17.00	       0	0	
09:17	   17.00	       0	0	
09:17	   17.00	       0	0	
09:17	   17.00	       0	0	
09:17	   17.00	       0	0	
09:17	   17.00	       0	0	
09:17	   17.00	       0	0	
09:18	   17.02	       0	0	
09:18	   17.02	       0	0	
09:20	   22.16	       0	0	
09:20	   22.16	       0	0	
09:21	   22.16	       0	0	
09:21	   22.16	       0	0	
09:23	   22.16	       0	0	
09:24	   22.16	       0	0	
09:24	   22.16	       0	0	
09:24	   22.16	       0	0	
09:24	   22.14	       0	0	
09:24	   22.16	       0	0	
09:24	   22.16	       0	0	
09:24	   22.16	       0	0	
09:24	   22.14	       0	0	
09:24	   22.13	       0	0	
09:25	   22.13	      87	0	
09:30	   22.13	      13	0	B	
09:30	   22.03	       5	0	S	
09:30	   22.01	       5	0	B	
09:30	   22.03	      27	0	B	
09:30	   22.03	       2	0	B	
09:30	   22.01	      23	0	S	
09:30	   21.99	      24	0	B	
09:30	   22.01	       2	0	B	
09:30	   22.01	      51	0	S	
09:30	   22.02	       2	0	S	
09:31	   22.09	      57	0	B	
09:31	   22.09	     342	0	S	
09:31	   21.98	      19	0	S	
09:31	   22.08	       5	0	B	
09:31	   21.98	      34	0	S	
09:31	   22.08	       1	0	B	
09:31	   21.98	       1	0	S	
09:31	   21.98	       6	0	S	
09:31	   21.98	       7	0	S	
09:31	   21.99	      83	0	S	
09:32	   21.95	      18	0	S	
09:32	   21.92	       5	0	S	
09:32	   21.92	       2	0	S	
09:32	   21.92	       3	0	S	
09:32	   21.92	       7	0	S	
09:32	   21.92	       2	0	S	
09:32	   21.92	      15	0	S	
09:32	   21.90	      31	0	S	
09:32	   21.92	       7	0	B	
09:32	   21.90	       1	0	S	
09:32	   21.92	       3	0	B	
09:33	   21.92	       9	0	S	
09:33	   21.90	      34	0	S	
09:33	   21.90	       6	0	S	
09:33	   21.90	       1	0	B	
09:33	   21.88	       3	0	S	
09:33	   21.88	       1	0	S	
09:33	   21.88	       9	0	S	
09:33	   21.88	       3	0	B	
09:33	   21.85	      25	0	S	
09:33	   21.85	       8	0	B	
09:33	   21.84	      33	0	S	
09:33	   21.84	       3	0	S	
09:33	   21.82	     107	0	S	
09:33	   21.82	       7	0	S	
09:34	   21.81	     262	0	S	
09:34	   21.81	       6	0	B	
09:34	   21.84	      75	0	B	
09:34	   21.78	     101	0	S	
09:34	   21.84	      15	0	B	
09:34	   21.82	       8	0	B	
09:34	   21.82	       2	0	B	
09:34	   21.81	     167	0	S	
09:34	   21.81	     277	0	B	
09:34	   21.84	      19	0	B	
09:34	   21.88	      19	0	B	
09:34	   21.92	       2	0	B	
09:34	   22.00	      10	0	B	
09:34	   22.00	       2	0	S	
09:34	   21.95	      10	0	B	
09:34	   21.95	       9	0	B	
09:34	   21.83	      15	0	S	
09:35	   22.00	       5	0	B	
09:35	   21.95	      10	0	S	
09:35	   21.89	      81	0	B	
09:35	   21.89	      33	0	B	
09:35	   21.89	       1	0	B	
09:35	   21.89	      21	0	S	
09:36	   21.94	       2	0	S	
09:36	   21.98	      13	0	B	
09:36	   21.98	       8	0	B	
09:36	   21.98	       7	0	S	
09:36	   21.98	      26	0	S	
09:36	   21.98	       4	0	B	
09:36	   21.98	      12	0	B	
09:36	   21.98	       1	0	B	
09:37	   21.98	       0	0	B	
09:37	   21.90	      29	0	S	
09:37	   21.90	      29	0	S	
09:38	   21.87	       5	0	S	
09:38	   21.87	       9	0	S	
09:38	   21.86	       5	0	S	
09:38	   21.86	       5	0	S	
09:38	   21.81	     231	0	S	
09:39	   21.81	       5	0	B	
09:39	   21.81	      79	0	B	
09:39	   21.81	     161	0	B	
09:39	   21.87	       0	0	B	
09:39	   21.87	      17	0	S	
09:39	   21.87	       5	0	S	
09:39	   21.87	       2	0	B	
09:39	   21.87	       3	0	S	
09:39	   21.87	       3	0	B	
09:39	   21.87	      39	0	B	
09:40	   21.87	      43	0	S	
09:40	   21.87	       3	0	S	
09:40	   21.87	       1	0	B	
09:40	   21.89	       2	0	S	
09:40	   21.85	      24	0	S	
09:40	   21.85	       5	0	S	
09:41	   21.85	       1	0	S	
09:41	   21.82	      26	0	S	
09:41	   21.85	       2	0	B	
09:41	   21.82	      13	0	S	
09:41	   21.85	       1	0	B	
09:41	   21.82	      14	0	S	
09:41	   21.81	     108	0	S	
09:41	   21.81	      23	0	S	
09:41	   21.81	     268	0	B	
09:41	   21.80	      50	0	B	
09:41	   21.80	       6	0	B	
09:41	   21.77	     226	0	S	
09:41	   21.77	       7	0	S	
09:41	   21.78	     155	0	B	
09:42	   21.72	      28	0	S	
09:42	   21.77	      13	0	B	
09:42	   21.77	       5	0	B	
09:42	   21.78	       2	0	B	
09:42	   21.73	      24	0	S	
09:42	   21.77	       3	0	S	
09:42	   21.77	       1	0	B	
09:42	   21.73	      29	0	S	
09:42	   21.77	       2	0	B	
09:42	   21.77	       3	0	B	
09:42	   21.73	      43	0	S	
09:43	   21.77	       7	0	B	
09:43	   21.77	      70	0	B	
09:43	   21.78	       9	0	B	
09:43	   21.78	      49	0	B	
09:43	   21.82	      89	0	B	
09:43	   21.85	       3	0	B	
09:43	   21.85	       4	0	B	
09:43	   21.82	       5	0	B	
09:43	   21.79	       2	0	S	
09:43	   21.79	      42	0	B	
09:44	   21.81	      13	0	B	
09:44	   21.79	       8	0	B	
09:44	   21.79	      19	0	B	
09:44	   21.81	       2	0	B	
09:44	   21.81	       5	0	B	
09:44	   21.82	       4	0	B	
09:44	   21.85	      19	0	B	
09:44	   21.85	      16	0	S	
09:45	   21.87	       2	0	S	
09:45	   21.87	      61	0	B	
09:45	   21.85	       2	0	B	
09:45	   21.87	       4	0	B	
09:45	   21.81	      14	0	S	
09:45	   21.90	      45	0	B	
09:45	   21.90	       1	0	B	
09:46	   21.83	      15	0	S	
09:46	   21.83	      20	0	B	
09:46	   21.83	      29	0	B	
09:46	   21.83	       4	0	S	
09:47	   21.90	       6	0	B	
09:47	   21.90	       7	0	S	
09:47	   21.82	      48	0	S	
09:47	   21.90	       3	0	B	
09:47	   21.82	      19	0	S	
09:48	   21.82	       4	0	B	
09:48	   21.81	      13	0	S	
09:48	   21.83	       5	0	B	
09:49	   21.82	      91	0	S	
09:49	   21.81	      14	0	S	
09:49	   21.81	      35	0	B	
09:49	   21.80	      18	0	S	
09:49	   21.80	       6	0	S	
09:49	   21.80	      23	0	S	
09:49	   21.80	       2	0	S	
09:49	   21.80	       5	0	S	
09:49	   21.81	      12	0	B	
09:49	   21.78	      50	0	S	
09:49	   21.81	       7	0	B	
09:49	   21.81	       3	0	S	
09:50	   21.80	       3	0	B	
09:50	   21.80	      19	0	B	
09:50	   21.78	      38	0	S	
09:50	   21.77	      50	0	S	
09:50	   21.76	      49	0	S	
09:50	   21.76	      24	0	S	
09:50	   21.77	       3	0	B	
09:50	   21.73	      50	0	S	
09:50	   21.77	      43	0	B	
09:50	   21.77	       1	0	B	
09:50	   21.91	       4	0	B	
09:51	   21.91	       8	0	B	
09:51	   21.78	      13	0	S	
09:51	   21.78	       5	0	B	
09:51	   21.83	      13	0	B	
09:51	   21.78	       3	0	S	
09:52	   21.83	       5	0	B	
09:52	   21.80	       1	0	S	
09:52	   21.80	       7	0	B	
09:52	   21.80	       4	0	S	
09:53	   21.77	      38	0	S	
09:53	   21.80	      30	0	B	
09:54	   21.80	      12	0	B	
09:54	   21.80	       3	0	B	
09:54	   21.80	       1	0	B	
09:54	   21.78	      15	0	S	
09:54	   21.80	       9	0	B	
09:54	   21.80	       4	0	B	
09:54	   21.80	       2	0	B	
09:54	   21.80	       1	0	B	
09:54	   21.80	       0	0	B	
09:54	   21.89	       9	0	B	
09:55	   21.89	      14	0	B	
09:55	   21.80	      25	0	S	
09:55	   21.80	      20	0	S	
09:55	   21.80	      24	0	S	
09:56	   21.80	      40	0	S	
09:57	   21.88	       5	0	B	
09:58	   21.86	       2	0	B	
09:59	   21.81	      47	0	S	
09:59	   21.80	      69	0	S	
09:59	   21.80	      14	0	B	
09:59	   21.80	      16	0	B	
09:59	   21.80	      20	0	B	
10:00	   21.79	       9	0	S	
10:00	   21.80	      10	0	B	
10:00	   21.80	      23	0	B	
10:00	   21.79	       6	0	S	
10:00	   21.79	       1	0	S	
10:00	   21.79	      50	0	S	
10:00	   21.78	      80	0	S	
10:00	   21.78	       5	0	B	
10:00	   21.80	      38	0	B	
10:00	   21.80	      29	0	S	
10:01	   21.80	      13	0	S	
10:01	   21.81	       6	0	B	
10:01	   21.81	       4	0	S	
10:01	   21.81	       5	0	S	
10:01	   21.81	       2	0	S	
10:02	   21.86	       6	0	B	
10:02	   21.85	      20	0	B	
10:02	   21.85	       3	0	B	
10:03	   21.81	       9	0	S	
10:03	   21.85	      10	0	B	
10:03	   21.85	      91	0	B	
10:03	   21.81	      22	0	S	
10:03	   21.81	      11	0	S	
10:03	   21.81	     113	0	B	
10:03	   21.81	       1	0	B	
10:04	   21.81	       4	0	B	
10:04	   21.86	      13	0	B	
10:04	   21.81	      14	0	S	
10:04	   21.86	      13	0	B	
10:04	   21.86	      14	0	B	
10:04	   21.85	      10	0	B	
10:04	   21.86	       0	0	B	
10:04	   21.87	      28	0	B	
10:04	   21.85	      47	0	S	
10:05	   21.88	      25	0	B	
10:05	   21.88	      35	0	B	
10:05	   21.89	      65	0	B	
10:05	   21.90	       2	0	B	
10:05	   21.90	       3	0	B	
10:05	   21.89	       6	0	S	
10:05	   21.88	       1	0	B	
10:05	   21.88	       3	0	B	
10:05	   21.89	       2	0	B	
10:05	   21.89	      25	0	B	
10:05	   21.90	       1	0	B	
10:06	   21.82	      14	0	S	
10:06	   21.90	       2	0	B	
10:06	   21.82	       3	0	S	
10:06	   21.89	       1	0	B	
10:06	   21.89	      10	0	B	
10:07	   21.90	     126	0	B	
10:07	   21.90	       5	0	B	
10:07	   21.91	       6	0	B	
10:07	   21.91	       1	0	B	
10:07	   21.94	      67	0	B	
10:07	   21.96	       3	0	B	
10:07	   21.95	       1	0	B	
10:08	   21.95	       9	0	B	
10:08	   21.91	       6	0	S	
10:08	   21.96	     131	0	B	
10:08	   21.96	       8	0	S	
10:08	   21.98	       7	0	B	
10:08	   21.98	      10	0	B	
10:08	   21.98	       4	0	B	
10:08	   22.00	       1	0	B	
10:08	   21.96	       2	0	S	
10:08	   21.98	      10	0	B	
10:09	   21.98	       1	0	B	
10:09	   21.97	       5	0	B	
10:09	   21.96	      10	0	S	
10:09	   21.96	      20	0	S	
10:09	   21.96	      34	0	S	
10:09	   21.96	       8	0	S	
10:09	   21.97	      70	0	B	
10:09	   21.98	      10	0	B	
10:09	   21.97	       6	0	S	
10:09	   21.98	       1	0	B	
10:09	   21.97	       2	0	S	
10:10	   21.97	       1	0	B	
10:10	   21.93	       5	0	S	
10:10	   21.93	       1	0	B	
10:11	   21.93	       8	0	S	
10:11	   21.93	      11	0	S	
10:11	   21.92	       4	0	S	
10:11	   21.91	       3	0	S	
10:11	   21.91	       0	0	S	
10:12	   21.90	       5	0	S	
10:12	   21.89	     780	0	S	
10:12	   21.89	      33	0	B	
10:12	   21.89	      46	0	B	
10:12	   21.89	       4	0	B	
10:13	   21.87	       1	0	S	
10:13	   21.86	       1	0	S	
10:13	   21.83	      12	0	S	
10:13	   21.83	       1	0	B	
10:13	   21.86	       6	0	B	
10:13	   21.87	       4	0	B	
