                  20250725 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   22.53	       0	0	
09:15	   21.35	       0	0	
09:15	   21.87	       0	0	
09:15	   21.35	       0	0	
09:16	   15.75	       0	0	
09:16	   15.75	       0	0	
09:16	   15.75	       0	0	
09:16	   15.75	       0	0	
09:16	   15.75	       0	0	
09:16	   15.75	       0	0	
09:16	   15.75	       0	0	
09:16	   15.75	       0	0	
09:16	   15.75	       0	0	
09:16	   15.75	       0	0	
09:16	   15.75	       0	0	
09:16	   15.78	       0	0	
09:17	   21.33	       0	0	
09:17	   21.60	       0	0	
09:17	   22.53	       0	0	
09:18	   23.45	       0	0	
09:18	   23.45	       0	0	
09:18	   22.53	       0	0	
09:19	   22.53	       0	0	
09:20	   22.54	       0	0	
09:20	   22.50	       0	0	
09:20	   22.50	       0	0	
09:21	   22.50	       0	0	
09:21	   22.46	       0	0	
09:21	   22.46	       0	0	
09:21	   22.46	       0	0	
09:22	   22.46	       0	0	
09:22	   22.46	       0	0	
09:23	   22.46	       0	0	
09:23	   22.46	       0	0	
09:23	   22.40	       0	0	
09:23	   22.40	       0	0	
09:23	   22.40	       0	0	
09:23	   22.40	       0	0	
09:24	   22.22	       0	0	
09:24	   22.22	       0	0	
09:24	   22.21	       0	0	
09:24	   22.21	       0	0	
09:24	   22.21	       0	0	
09:24	   22.21	       0	0	
09:24	   22.21	       0	0	
09:24	   22.23	       0	0	
09:24	   22.46	       0	0	
09:25	   22.46	     207	0	
09:30	   22.40	      97	0	S	
09:30	   22.37	      21	0	S	
09:30	   22.33	       5	0	S	
09:30	   22.33	      49	0	S	
09:30	   22.33	       5	0	B	
09:30	   22.28	       3	0	S	
09:30	   22.28	      13	0	B	
09:30	   22.28	      30	0	S	
09:30	   22.33	      58	0	B	
09:30	   22.21	     134	0	S	
09:30	   22.21	     190	0	B	
09:30	   22.27	      38	0	B	
09:30	   22.27	       1	0	S	
09:30	   22.28	      49	0	B	
09:30	   22.28	       9	0	S	
09:30	   22.28	      24	0	S	
09:30	   22.33	       4	0	B	
09:30	   22.40	       5	0	B	
09:30	   22.33	       6	0	S	
09:31	   22.33	      23	0	S	
09:31	   22.39	      61	0	B	
09:31	   22.39	       3	0	B	
09:31	   22.23	      16	0	S	
09:31	   22.23	       7	0	B	
09:31	   22.24	       2	0	S	
09:31	   22.25	      23	0	S	
09:31	   22.25	      27	0	B	
09:31	   22.25	      12	0	S	
09:31	   22.25	      11	0	S	
09:31	   22.39	       5	0	S	
09:32	   22.37	      15	0	B	
09:32	   22.37	      10	0	B	
09:32	   22.26	      12	0	S	
09:32	   22.34	      10	0	S	
09:32	   22.26	      63	0	S	
09:32	   22.26	      31	0	B	
09:32	   22.24	      81	0	S	
09:32	   22.26	      16	0	B	
09:32	   22.26	      18	0	B	
09:32	   22.26	     239	0	B	
09:32	   22.30	      12	0	B	
09:32	   22.23	      10	0	S	
09:32	   22.23	       2	0	B	
09:32	   22.25	      40	0	B	
