                  20250805 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   22.62	       0	0	
09:15	   22.26	       0	0	
09:17	   22.26	       0	0	
09:18	   22.26	       0	0	
09:18	   22.75	       0	0	
09:18	   22.26	       0	0	
09:20	   22.68	       0	0	
09:21	   22.68	       0	0	
09:22	   22.68	       0	0	
09:22	   22.68	       0	0	
09:22	   22.68	       0	0	
09:22	   22.68	       0	0	
09:23	   22.68	       0	0	
09:23	   22.62	       0	0	
09:23	   22.62	       0	0	
09:23	   22.62	       0	0	
09:23	   22.62	       0	0	
09:23	   22.68	       0	0	
09:23	   22.62	       0	0	
09:24	   22.57	       0	0	
09:24	   22.55	       0	0	
09:24	   22.51	       0	0	
09:24	   22.47	       0	0	
09:24	   22.51	       0	0	
09:24	   22.47	       0	0	
09:24	   22.47	       0	0	
09:24	   22.45	       0	0	
09:24	   22.35	       0	0	
09:25	   22.29	      56	0	
09:30	   21.97	      38	0	S	
09:30	   21.97	      68	0	B	
09:30	   22.19	      50	0	S	
09:30	   22.20	      69	0	B	
09:30	   21.89	      16	0	S	
09:30	   22.00	       2	0	S	
09:30	   22.00	      29	0	B	
09:30	   22.00	      27	0	S	
09:30	   22.00	      28	0	S	
09:30	   22.19	      16	0	B	
09:30	   22.17	       9	0	B	
09:30	   22.18	       6	0	S	
09:31	   22.17	       4	0	B	
09:31	   22.15	       5	0	B	
09:31	   22.04	      12	0	S	
09:31	   22.04	      10	0	B	
09:31	   22.04	       4	0	S	
09:31	   22.04	       1	0	B	
09:31	   22.04	      23	0	S	
09:31	   22.04	      33	0	B	
09:31	   22.04	      65	0	B	
09:31	   22.12	       7	0	B	
09:32	   22.04	      45	0	B	
09:32	   22.10	       3	0	B	
09:32	   22.12	      23	0	B	
09:32	   22.14	      45	0	B	
09:32	   22.17	      42	0	B	
09:32	   22.20	      10	0	B	
09:32	   22.20	      83	0	B	
09:32	   22.26	     133	0	B	
09:32	   22.30	       8	0	B	
09:32	   22.33	       6	0	S	
09:32	   22.35	      20	0	B	
09:32	   22.35	      16	0	S	
09:32	   22.28	       6	0	S	
09:32	   22.27	       5	0	B	
09:32	   22.22	       1	0	S	
09:32	   22.20	       5	0	B	
09:32	   22.14	      35	0	S	
09:32	   22.20	      20	0	B	
09:33	   22.19	      24	0	
09:33	   22.20	       4	0	B	
09:33	   22.20	      41	0	S	
09:33	   22.20	      24	0	S	
09:33	   22.17	      50	0	S	
09:33	   22.15	      11	0	S	
09:33	   22.13	       2	0	S	
09:33	   22.06	      18	0	S	
09:33	   22.03	      30	0	S	
09:33	   22.03	       5	0	B	
09:33	   22.06	       5	0	S	
09:33	   22.03	       2	0	S	
09:33	   22.03	       1	0	S	
09:33	   22.04	      14	0	S	
09:33	   22.12	      16	0	B	
09:34	   22.04	      17	0	S	
09:34	   22.11	       2	0	S	
09:34	   22.13	       2	0	B	
09:34	   22.17	       4	0	S	
09:35	   22.17	       2	0	S	
09:35	   22.13	      12	0	S	
09:35	   22.13	       1	0	S	
09:35	   22.13	       1	0	S	
09:35	   22.13	      28	0	S	
09:35	   22.13	      61	0	S	
09:35	   22.11	       7	0	S	
09:35	   22.07	       4	0	S	
09:35	   22.07	      55	0	S	
09:35	   22.08	      10	0	S	
09:35	   22.12	      14	0	B	
09:36	   22.11	      22	0	S	
09:36	   22.07	       1	0	S	
09:36	   22.11	      22	0	B	
09:36	   22.12	       5	0	B	
09:36	   22.18	       2	0	B	
09:36	   22.08	       9	0	S	
09:36	   22.10	       1	0	S	
09:36	   22.08	      12	0	B	
09:36	   22.07	       4	0	S	
09:36	   22.08	       2	0	S	
09:37	   22.08	       5	0	S	
09:37	   22.09	      20	0	S	
09:37	   22.09	      13	0	B	
09:37	   22.13	       3	0	S	
09:37	   22.09	      20	0	S	
09:37	   22.07	     220	0	S	
09:37	   22.07	      15	0	B	
09:37	   22.06	      27	0	S	
09:37	   22.06	       6	0	B	
09:38	   22.06	       7	0	B	
09:38	   22.06	       2	0	B	
09:38	   22.06	       9	0	B	
09:38	   22.05	      77	0	S	
09:38	   22.05	      71	0	B	
09:38	   22.05	      24	0	B	
09:38	   22.06	     200	0	B	
09:38	   22.18	      25	0	B	
09:38	   22.19	       6	0	S	
09:38	   22.26	       2	0	B	
09:38	   22.20	      12	0	B	
09:39	   22.08	       1	0	S	
09:39	   22.07	       6	0	S	
09:39	   22.07	       3	0	S	
09:39	   22.07	       7	0	S	
09:39	   22.17	      38	0	B	
09:39	   22.08	      24	0	S	
09:39	   22.13	       9	0	B	
09:40	   22.13	      20	0	B	
