                  20250806 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:23	   21.95	       0	0	
09:24	   21.95	       0	0	
09:24	   22.09	       0	0	
09:25	   22.09	      25	0	
09:30	   21.90	      46	0	S	
09:30	   22.00	      26	0	B	
09:30	   22.00	       8	0	S	
09:30	   21.98	       3	0	B	
09:30	   22.00	       4	0	B	
09:30	   21.99	       6	0	B	
09:30	   21.98	      14	0	B	
09:30	   21.98	      34	0	S	
09:30	   21.93	       2	0	S	
09:30	   21.93	      65	0	S	
09:30	   21.99	      20	0	B	
09:30	   21.88	       1	0	S	
09:30	   21.93	      15	0	B	
09:30	   21.93	       1	0	S	
09:30	   21.99	       7	0	B	
09:31	   21.99	       7	0	B	
09:31	   21.99	       4	0	B	
09:31	   21.98	       4	0	S	
09:31	   21.98	       8	0	S	
09:31	   21.98	       5	0	B	
09:31	   21.98	       1	0	B	
09:31	   21.97	      12	0	S	
09:31	   21.99	       1	0	B	
09:31	   21.97	       8	0	S	
09:32	   21.97	       7	0	B	
09:32	   21.97	       2	0	B	
09:32	   21.99	       1	0	B	
09:32	   21.99	       1	0	B	
09:32	   21.97	       5	0	S	
09:32	   21.97	       7	0	S	
09:33	   21.97	       2	0	B	
09:33	   21.95	       1	0	S	
09:34	   21.92	       3	0	S	
09:34	   21.95	      21	0	B	
09:34	   21.95	      10	0	S	
09:34	   21.95	      10	0	S	
09:34	   21.95	       4	0	S	
09:34	   21.95	      15	0	S	
09:34	   21.90	       4	0	S	
09:35	   21.91	       6	0	S	
09:35	   21.90	      17	0	S	
09:35	   21.92	      10	0	B	
09:35	   21.90	       1	0	S	
09:35	   21.90	       8	0	S	
09:36	   21.90	       8	0	S	
09:36	   21.90	       2	0	S	
09:36	   21.90	       1	0	B	
09:36	   21.90	       4	0	B	
09:36	   21.88	       2	0	S	
09:36	   21.88	       4	0	B	
09:36	   21.85	     145	0	S	
09:36	   21.85	       4	0	S	
09:37	   21.85	      21	0	S	
09:37	   21.85	      12	0	S	
09:37	   21.87	       8	0	B	
09:37	   21.87	      21	0	B	
09:37	   21.88	       9	0	B	
09:37	   21.89	       9	0	B	
09:37	   21.90	       6	0	B	
09:37	   21.92	       9	0	B	
09:37	   21.92	       2	0	B	
09:38	   21.92	       1	0	B	
09:38	   21.92	      14	0	B	
09:38	   21.92	       9	0	B	
09:38	   21.92	       1	0	B	
09:38	   21.92	       2	0	B	
09:39	   21.91	       1	0	B	
09:39	   21.91	       9	0	B	
09:39	   21.90	       4	0	S	
09:39	   21.91	       8	0	B	
09:39	   21.91	       1	0	B	
09:39	   21.91	       8	0	B	
09:40	   21.92	      42	0	B	
09:40	   21.92	       1	0	B	
09:40	   21.92	      11	0	B	
09:40	   21.91	       9	0	S	
09:40	   21.91	       7	0	S	
09:40	   21.90	       0	0	S	
09:40	   21.89	      14	0	S	
09:40	   21.88	      18	0	S	
09:41	   21.88	      17	0	S	
09:41	   21.87	      20	0	S	
09:41	   21.87	      20	0	S	
09:41	   21.86	      11	0	S	
09:42	   21.87	      10	0	S	
09:42	   21.87	       2	0	B	
09:42	   21.87	       5	0	B	
09:43	   21.87	      32	0	B	
09:43	   21.86	      88	0	S	
09:43	   21.86	       9	0	S	
09:43	   21.87	      10	0	S	
09:43	   21.87	      31	0	B	
09:43	   21.87	      50	0	B	
09:44	   21.87	      37	0	S	
09:45	   21.87	      16	0	S	
09:45	   21.87	      12	0	S	
09:45	   21.87	       5	0	B	
09:45	   21.87	       5	0	B	
09:45	   21.90	       2	0	B	
09:45	   21.92	       4	0	B	
09:45	   21.92	      18	0	B	
09:45	   21.92	       9	0	B	
09:46	   21.92	       4	0	B	
09:46	   21.92	       2	0	B	
09:46	   21.92	       1	0	B	
09:46	   21.92	       3	0	S	
09:46	   21.92	       6	0	S	
09:46	   21.91	       5	0	S	
09:46	   21.91	       5	0	S	
09:46	   21.92	      30	0	B	
09:47	   21.88	      13	0	S	
09:47	   21.88	       7	0	S	
09:47	   21.87	      10	0	S	
09:47	   21.87	       9	0	S	
09:47	   21.87	       5	0	S	
09:47	   21.87	       2	0	S	
09:47	   21.86	      29	0	S	
09:47	   21.86	      13	0	S	
09:47	   21.86	       1	0	S	
09:48	   21.85	     100	0	S	
09:48	   21.85	       4	0	S	
09:48	   21.85	       8	0	S	
09:48	   21.84	      17	0	S	
09:48	   21.84	      10	0	S	
09:48	   21.85	      30	0	B	
09:48	   21.84	      12	0	S	
09:48	   21.84	       1	0	S	
09:48	   21.84	       9	0	S	
