                  20250812 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   22.43	       0	0	
09:15	   16.44	       0	0	
09:15	   16.44	       0	0	
09:15	   16.44	       0	0	
09:15	   16.44	       0	0	
09:15	   16.44	       0	0	
09:15	   16.44	       0	0	
09:15	   16.44	       0	0	
09:16	   16.44	       0	0	
09:16	   16.44	       0	0	
09:16	   16.45	       0	0	
09:16	   16.50	       0	0	
09:16	   16.50	       0	0	
09:16	   16.44	       0	0	
09:16	   16.45	       0	0	
09:16	   16.45	       0	0	
09:16	   16.45	       0	0	
09:16	   16.45	       0	0	
09:17	   16.46	       0	0	
09:17	   16.50	       0	0	
09:17	   16.50	       0	0	
09:17	   16.50	       0	0	
09:17	   16.50	       0	0	
09:17	   16.50	       0	0	
09:17	   16.50	       0	0	
09:17	   16.50	       0	0	
09:17	   16.50	       0	0	
09:17	   16.50	       0	0	
09:17	   16.50	       0	0	
09:17	   16.50	       0	0	
09:17	   16.50	       0	0	
09:18	   16.50	       0	0	
09:18	   16.50	       0	0	
09:18	   16.50	       0	0	
09:18	   16.50	       0	0	
09:18	   16.50	       0	0	
09:18	   16.50	       0	0	
09:18	   16.50	       0	0	
09:18	   16.50	       0	0	
09:18	   16.50	       0	0	
09:18	   17.00	       0	0	
09:18	   17.00	       0	0	
09:18	   17.00	       0	0	
09:18	   23.03	       0	0	
09:19	   23.03	       0	0	
09:20	   23.03	       0	0	
09:20	   23.03	       0	0	
09:21	   23.03	       0	0	
09:21	   23.03	       0	0	
09:21	   23.03	       0	0	
09:21	   23.03	       0	0	
09:21	   23.03	       0	0	
09:21	   23.03	       0	0	
09:23	   23.03	       0	0	
09:24	   23.03	       0	0	
09:24	   23.01	       0	0	
09:24	   23.01	       0	0	
09:24	   22.98	       0	0	
09:24	   22.92	       0	0	
09:24	   22.92	       0	0	
09:24	   22.98	       0	0	
09:25	   22.98	     167	0	
09:30	   22.96	      65	0	S	
09:30	   22.87	      19	0	S	
09:30	   22.96	       2	0	B	
09:30	   22.86	       6	0	S	
09:30	   22.95	       3	0	B	
09:30	   22.95	      83	0	S	
09:30	   22.95	      35	0	S	
09:30	   22.96	      42	0	B	
09:30	   22.99	      60	0	B	
09:30	   23.01	      48	0	B	
09:30	   23.06	      44	0	B	
09:30	   23.06	      68	0	S	
09:30	   23.07	      50	0	B	
09:30	   23.07	      66	0	S	
09:30	   23.08	      62	0	B	
09:30	   23.08	      78	0	S	
09:30	   23.09	      67	0	B	
09:31	   23.09	      41	0	B	
09:31	   23.09	      20	0	S	
09:31	   23.10	     118	0	B	
09:31	   23.10	      33	0	B	
09:31	   23.09	      10	0	S	
09:31	   23.14	      78	0	B	
09:31	   23.14	      34	0	S	
09:31	   23.14	      12	0	B	
09:31	   23.09	      12	0	B	
09:31	   23.14	      71	0	B	
09:31	   23.14	      11	0	S	
09:31	   23.14	      10	0	S	
09:31	   23.15	      46	0	B	
09:31	   23.07	       1	0	S	
09:31	   23.07	      21	0	B	
09:31	   23.07	      13	0	B	
09:32	   23.07	      20	0	B	
09:32	   23.02	     101	0	S	
09:32	   23.12	      30	0	B	
09:32	   23.10	      10	0	B	
09:32	   23.10	       5	0	S	
09:32	   23.11	       7	0	
09:32	   23.13	      66	0	B	
09:32	   23.14	      23	0	B	
09:32	   23.14	       7	0	B	
09:32	   23.14	      13	0	S	
09:32	   23.16	     105	0	B	
09:32	   23.20	      53	0	B	
09:32	   23.20	       3	0	B	
09:32	   23.25	      21	0	B	
09:32	   23.24	      36	0	B	
09:32	   23.24	      14	0	S	
09:32	   23.30	      88	0	B	
09:33	   23.24	      37	0	S	
09:33	   23.24	      29	0	S	
09:33	   23.17	      37	0	S	
09:33	   23.15	      56	0	S	
09:33	   23.15	       1	0	B	
09:33	   23.15	     122	0	B	
09:33	   23.17	      75	0	B	
09:33	   23.19	       7	0	B	
09:33	   23.20	       2	0	S	
09:33	   23.23	      36	0	B	
09:33	   23.24	       3	0	B	
09:33	   23.24	      13	0	B	
09:33	   23.24	      26	0	B	
09:33	   23.30	     151	0	B	
09:33	   23.30	      77	0	S	
09:33	   23.35	       9	0	B	
09:33	   23.34	       2	0	B	
09:34	   23.35	     176	0	B	
09:34	   23.35	      59	0	B	
09:34	   23.35	      50	0	B	
09:34	   23.34	      59	0	B	
09:34	   23.35	      96	0	B	
09:34	   23.35	      10	0	S	
09:34	   23.48	      39	0	B	
09:34	   23.48	      20	0	B	
09:34	   23.35	      25	0	S	
09:34	   23.43	     110	0	B	
09:34	   23.35	      18	0	S	
09:34	   23.35	      10	0	B	
09:34	   23.31	     108	0	S	
09:34	   23.31	      24	0	B	
09:34	   23.31	      80	0	B	
09:34	   23.30	      43	0	S	
09:34	   23.30	      60	0	S	
09:34	   23.30	      58	0	B	
09:35	   23.28	      10	0	S	
09:35	   23.23	       2	0	S	
09:35	   23.20	      30	0	S	
09:35	   23.20	       6	0	B	
09:35	   23.18	      27	0	S	
09:35	   23.18	      31	0	S	
09:35	   23.18	      10	0	B	
09:35	   23.14	      10	0	S	
09:35	   23.11	       5	0	S	
09:35	   23.10	       2	0	S	
09:35	   23.10	       3	0	B	
09:35	   23.04	      21	0	S	
09:35	   23.04	      20	0	B	
09:36	   23.08	       2	0	B	
09:36	   23.08	       1	0	B	
09:36	   23.11	       6	0	B	
09:36	   23.18	      42	0	B	
09:36	   23.19	       3	0	B	
09:36	   23.20	       5	0	S	
09:36	   23.20	       1	0	S	
09:36	   23.20	      39	0	B	
09:36	   23.20	     221	0	S	
09:36	   23.19	      50	0	S	
09:36	   23.18	     135	0	S	
09:36	   23.18	      26	0	B	
09:36	   23.18	      50	0	B	
09:37	   23.08	      10	0	S	
09:37	   23.15	       5	0	B	
09:37	   23.08	       4	0	S	
09:37	   23.13	       6	0	B	
09:37	   23.08	      84	0	S	
09:37	   23.07	      10	0	S	
09:37	   23.05	      89	0	S	
09:37	   23.06	       8	0	B	
09:37	   23.05	       5	0	S	
09:37	   23.05	      12	0	B	
09:37	   23.05	      23	0	B	
09:37	   23.06	       3	0	S	
09:38	   23.06	       2	0	S	
09:38	   23.04	      35	0	S	
09:38	   23.04	      10	0	S	
09:38	   23.05	       5	0	S	
09:38	   23.02	      78	0	S	
09:38	   23.04	       5	0	B	
09:38	   23.02	      83	0	S	
09:38	   23.01	      38	0	S	
09:38	   23.01	      18	0	B	
09:38	   23.00	      72	0	S	
09:38	   22.98	      30	0	S	
09:38	   22.97	      53	0	B	
09:38	   22.97	       2	0	B	
09:38	   22.95	      14	0	S	
09:38	   22.96	      31	0	S	
09:39	   22.95	      17	0	S	
09:39	   23.00	      45	0	B	
09:39	   23.00	      15	0	B	
09:39	   22.97	       2	0	S	
09:39	   23.08	      10	0	B	
09:39	   23.04	       2	0	S	
09:39	   23.04	       3	0	S	
09:39	   22.98	      25	0	S	
09:40	   22.98	      26	0	B	
09:40	   22.97	       3	0	S	
09:40	   23.00	       1	0	B	
09:40	   22.97	      31	0	S	
09:40	   23.00	       2	0	B	
09:40	   23.00	       1	0	B	
09:40	   22.98	       4	0	S	
09:40	   23.00	      14	0	B	
09:40	   23.00	       1	0	S	
09:40	   23.00	      28	0	B	
09:40	   23.00	       1	0	B	
09:40	   23.00	      20	0	B	
09:41	   23.00	      34	0	B	
09:41	   23.00	      12	0	B	
09:41	   23.00	      69	0	B	
09:41	   23.00	       5	0	S	
09:41	   23.00	       0	0	S	
09:41	   23.07	      23	0	B	
09:41	   23.07	       5	0	B	
09:41	   22.97	      11	0	S	
09:41	   22.97	       3	0	S	
09:42	   23.07	       3	0	B	
09:42	   23.07	       4	0	B	
09:42	   23.07	      26	0	S	
09:43	   22.97	      17	0	S	
09:43	   23.06	       4	0	B	
09:43	   22.97	       6	0	S	
09:43	   22.97	      14	0	S	
09:43	   22.97	       6	0	B	
09:43	   22.97	       1	0	S	
09:43	   23.01	      20	0	S	
09:43	   22.97	       5	0	S	
09:43	   22.95	      16	0	S	
09:44	   22.95	      10	0	S	
09:44	   22.95	       8	0	S	
09:44	   22.93	       4	0	S	
09:44	   22.93	       4	0	S	
09:44	   22.93	      12	0	S	
09:44	   22.90	      36	0	S	
09:44	   22.90	      18	0	S	
09:44	   22.90	      41	0	S	
09:44	   22.89	       5	0	S	
09:44	   22.89	       5	0	S	
09:44	   22.88	      10	0	S	
09:44	   22.87	      33	0	S	
09:45	   22.89	      10	0	B	
09:45	   22.86	      40	0	S	
09:45	   22.85	      33	0	
09:45	   22.87	      14	0	B	
09:45	   22.87	       3	0	S	
09:45	   22.87	      26	0	S	
09:45	   22.87	      10	0	S	
09:45	   22.87	       2	0	S	
09:45	   22.86	      20	0	S	
09:45	   22.86	       1	0	S	
09:45	   22.86	       7	0	S	
09:45	   22.86	      92	0	S	
09:45	   22.86	      10	0	S	
09:45	   22.80	     166	0	S	
09:46	   22.80	      15	0	B	
09:46	   22.78	      83	0	S	
09:46	   22.76	      13	0	S	
09:46	   22.80	      70	0	B	
09:46	   22.76	      13	0	S	
09:46	   22.76	      61	0	B	
09:46	   22.80	     159	0	B	
