                  20250815 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:17	   21.88	       0	0	
09:17	   21.88	       0	0	
09:18	   21.79	       0	0	
09:18	   21.70	       0	0	
09:20	   21.88	       0	0	
09:20	   21.88	       0	0	
09:20	   21.55	       0	0	
09:20	   21.55	       0	0	
09:22	   21.55	       0	0	
09:23	   21.55	       0	0	
09:24	   21.55	       0	0	
09:24	   21.54	       0	0	
09:25	   21.54	      45	0	
09:30	   21.42	      26	0	S	
09:30	   21.51	     155	0	B	
09:30	   21.50	       3	0	S	
09:30	   21.55	       6	0	B	
09:30	   21.55	       2	0	B	
09:30	   21.53	      12	0	S	
09:30	   21.53	      13	0	S	
09:30	   21.60	       2	0	B	
09:31	   21.55	       1	0	S	
09:31	   21.54	       9	0	S	
09:31	   21.54	       1	0	S	
09:31	   21.54	       4	0	S	
09:31	   21.54	      62	0	S	
09:31	   21.53	      13	0	S	
09:31	   21.53	      41	0	S	
09:31	   21.55	       2	0	S	
09:31	   21.55	       1	0	S	
09:31	   21.55	       3	0	S	
09:32	   21.55	      14	0	S	
09:32	   21.53	       2	0	S	
09:32	   21.50	       1	0	S	
09:32	   21.50	       4	0	S	
09:32	   21.57	       1	0	B	
09:32	   21.52	       2	0	S	
09:32	   21.52	       9	0	S	
09:32	   21.52	       2	0	B	
09:33	   21.48	       9	0	S	
09:33	   21.48	      14	0	S	
09:33	   21.48	      10	0	S	
09:33	   21.48	       8	0	S	
09:33	   21.48	       1	0	B	
09:33	   21.48	       9	0	B	
09:33	   21.60	      21	0	B	
09:33	   21.60	      19	0	B	
09:34	   21.59	       9	0	B	
09:34	   21.48	      10	0	S	
09:34	   21.48	      22	0	S	
09:34	   21.58	     106	0	B	
09:34	   21.58	       5	0	S	
09:34	   21.45	      11	0	S	
09:34	   21.56	       2	0	B	
09:35	   21.57	       2	0	B	
09:35	   21.59	       4	0	B	
09:35	   21.60	      85	0	B	
09:35	   21.60	       3	0	B	
09:35	   21.60	       1	0	S	
09:35	   21.52	       5	0	S	
09:35	   21.52	       2	0	S	
09:36	   21.52	       3	0	S	
09:36	   21.52	       1	0	S	
09:36	   21.53	       3	0	S	
09:36	   21.60	      88	0	B	
09:37	   21.60	      21	0	B	
09:37	   21.62	       9	0	B	
