                  20250818 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   24.00	       0	0	
09:15	   24.00	       0	0	
09:15	   23.99	       0	0	
09:15	   23.99	       0	0	
09:15	   23.99	       0	0	
09:16	   23.99	       0	0	
09:16	   23.99	       0	0	
09:16	   23.99	       0	0	
09:16	   23.99	       0	0	
09:16	   23.99	       0	0	
09:16	   23.99	       0	0	
09:16	   23.99	       0	0	
09:16	   23.99	       0	0	
09:16	   23.97	       0	0	
09:17	   21.83	       0	0	
09:19	   21.80	       0	0	
09:20	   21.86	       0	0	
09:22	   21.86	       0	0	
09:22	   21.86	       0	0	
09:22	   21.86	       0	0	
09:22	   21.86	       0	0	
09:22	   21.86	       0	0	
09:23	   21.87	       0	0	
09:23	   21.86	       0	0	
09:24	   21.86	       0	0	
09:24	   21.87	       0	0	
09:24	   21.86	       0	0	
09:24	   21.86	       0	0	
09:24	   21.87	       0	0	
09:24	   21.86	       0	0	
09:24	   21.87	       0	0	
09:24	   21.87	       0	0	
09:24	   21.87	       0	0	
09:24	   21.87	       0	0	
09:24	   21.87	       0	0	
09:24	   21.90	       0	0	
09:25	   21.90	     210	0	
09:30	   21.98	      50	0	B	
09:30	   21.98	      53	0	B	
09:30	   22.03	       2	0	B	
09:30	   22.03	       2	0	B	
09:30	   22.03	      12	0	S	
09:30	   22.03	      50	0	S	
09:30	   22.03	      61	0	S	
09:30	   22.03	      27	0	B	
09:30	   22.03	      17	0	B	
09:30	   22.03	       4	0	S	
09:30	   22.00	      23	0	S	
09:30	   22.00	      22	0	B	
09:30	   22.00	       4	0	B	
09:30	   22.02	       7	0	B	
09:30	   22.00	      53	0	S	
09:30	   22.05	      27	0	B	
09:31	   22.05	       8	0	B	
09:31	   21.99	      13	0	S	
09:31	   22.00	       9	0	S	
09:31	   22.01	       2	0	S	
09:31	   22.00	      47	0	S	
09:31	   22.00	       3	0	B	
09:31	   21.99	       6	0	S	
09:32	   21.99	      20	0	B	
09:32	   21.99	       6	0	B	
09:32	   21.98	      70	0	S	
09:32	   22.00	       2	0	B	
09:32	   22.02	      24	0	B	
09:32	   22.06	     203	0	B	
09:32	   22.10	      11	0	B	
09:32	   22.04	      39	0	S	
09:32	   22.03	     149	0	B	
09:32	   22.08	      15	0	S	
09:32	   22.18	       7	0	B	
09:32	   22.11	       8	0	S	
09:32	   22.10	       1	0	S	
09:32	   22.10	       5	0	B	
09:33	   22.09	      19	0	B	
09:33	   22.05	      46	0	S	
09:33	   22.05	      11	0	B	
09:33	   22.09	       7	0	B	
09:33	   22.10	       4	0	S	
09:33	   22.10	      49	0	S	
09:33	   22.09	      30	0	B	
09:33	   22.05	      15	0	S	
09:33	   22.04	       4	0	S	
09:34	   22.05	       5	0	B	
09:34	   22.02	       2	0	B	
09:34	   22.02	       5	0	B	
09:34	   22.09	       9	0	B	
09:34	   22.02	      24	0	S	
09:34	   22.02	     174	0	B	
09:34	   22.09	      39	0	B	
09:34	   22.10	      25	0	B	
09:34	   22.14	       6	0	B	
09:34	   22.13	       1	0	B	
09:34	   22.13	       3	0	B	
09:34	   22.13	      20	0	B	
09:35	   22.11	       2	0	B	
09:35	   22.11	       5	0	B	
09:35	   22.11	       1	0	B	
09:35	   22.06	      14	0	S	
09:35	   22.07	      16	0	S	
09:35	   22.05	      91	0	S	
09:35	   22.05	       1	0	B	
09:35	   22.05	       4	0	B	
09:35	   22.04	      21	0	S	
09:36	   22.04	      21	0	B	
09:36	   22.04	       1	0	B	
09:36	   22.05	      43	0	B	
09:36	   22.05	      56	0	B	
09:36	   22.10	      41	0	B	
09:36	   22.12	      49	0	B	
