                  20250819 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   22.10	       0	0	
09:15	   22.10	       0	0	
09:16	   22.10	       0	0	
09:16	   21.43	       0	0	
09:16	   15.84	       0	0	
09:16	   15.84	       0	0	
09:17	   15.84	       0	0	
09:17	   15.84	       0	0	
09:17	   15.84	       0	0	
09:17	   15.84	       0	0	
09:17	   15.84	       0	0	
09:17	   15.84	       0	0	
09:17	   15.85	       0	0	
09:17	   15.85	       0	0	
09:17	   15.85	       0	0	
09:17	   16.00	       0	0	
09:18	   16.00	       0	0	
09:18	   21.41	       0	0	
09:19	   22.73	       0	0	
09:19	   22.73	       0	0	
09:20	   22.80	       0	0	
09:20	   22.73	       0	0	
09:20	   22.73	       0	0	
09:20	   22.73	       0	0	
09:22	   22.73	       0	0	
09:23	   22.73	       0	0	
09:23	   22.73	       0	0	
09:23	   22.73	       0	0	
09:23	   22.77	       0	0	
09:24	   22.73	       0	0	
09:24	   22.73	       0	0	
09:24	   22.73	       0	0	
09:24	   22.70	       0	0	
09:24	   22.69	       0	0	
09:24	   22.68	       0	0	
09:24	   22.68	       0	0	
09:24	   22.67	       0	0	
09:25	   22.67	      62	0	
09:30	   22.58	      83	0	S	
09:30	   22.50	      57	0	S	
09:30	   22.50	       5	0	B	
09:30	   22.50	      18	0	B	
09:30	   22.55	       8	0	B	
09:30	   22.58	      29	0	B	
09:30	   22.65	      38	0	B	
09:30	   22.66	      18	0	B	
09:30	   22.67	      30	0	B	
09:30	   22.67	       1	0	B	
09:30	   22.70	      94	0	B	
09:30	   22.71	     109	0	B	
09:30	   22.67	      14	0	S	
09:31	   22.67	       0	0	S	
09:31	   22.67	       6	0	S	
09:31	   22.67	      17	0	S	
09:31	   22.68	       1	0	B	
09:31	   22.56	      20	0	S	
09:31	   22.56	      28	0	S	
09:31	   22.56	      11	0	S	
09:31	   22.55	       0	0	S	
09:31	   22.52	      20	0	S	
09:31	   22.52	       2	0	B	
09:31	   22.52	       3	0	S	
09:31	   22.52	       2	0	B	
09:31	   22.52	       3	0	B	
09:31	   22.52	      22	0	B	
09:31	   22.52	      24	0	B	
09:32	   22.51	      29	0	S	
09:32	   22.65	      13	0	B	
09:32	   22.50	      30	0	S	
09:32	   22.50	       1	0	S	
09:32	   22.50	      11	0	S	
09:32	   22.50	       1	0	S	
09:32	   22.50	      85	0	S	
09:32	   22.48	       3	0	S	
09:32	   22.48	      17	0	S	
09:32	   22.48	      10	0	B	
09:32	   22.50	     176	0	B	
09:32	   22.50	      76	0	B	
09:32	   22.50	      10	0	S	
09:32	   22.50	      17	0	S	
09:33	   22.50	      18	0	S	
09:33	   22.51	     108	0	B	
09:33	   22.51	       5	0	B	
09:33	   22.41	     492	0	S	
09:33	   22.41	      32	0	B	
09:33	   22.51	       2	0	B	
09:33	   22.51	       1	0	B	
09:33	   22.51	      12	0	S	
09:33	   22.59	      10	0	B	
09:33	   22.51	     145	0	S	
09:34	   22.51	      51	0	B	
09:34	   22.59	      20	0	B	
09:34	   22.59	       3	0	B	
09:34	   22.59	      20	0	B	
09:34	   22.54	       6	0	S	
09:34	   22.54	       7	0	B	
09:34	   22.59	      17	0	B	
09:34	   22.59	      86	0	B	
09:34	   22.59	      25	0	B	
09:34	   22.58	      39	0	S	
09:34	   22.58	      44	0	B	
09:34	   22.60	      85	0	B	
09:35	   22.62	      89	0	B	
09:35	   22.60	      85	0	B	
09:35	   22.60	      14	0	S	
09:35	   22.60	       7	0	B	
09:35	   22.60	      35	0	S	
09:35	   22.60	       1	0	B	
09:35	   22.65	      80	0	B	
09:35	   22.59	     129	0	S	
09:35	   22.59	       7	0	B	
09:35	   22.62	       4	0	S	
09:35	   22.68	     501	0	B	
09:35	   22.60	      19	0	S	
09:35	   22.60	       6	0	B	
09:35	   22.61	      92	0	S	
09:35	   22.61	       5	0	B	
09:36	   22.70	      52	0	B	
09:36	   22.68	      23	0	S	
09:36	   22.69	       1	0	B	
09:36	   22.71	      33	0	B	
09:36	   22.71	      39	0	S	
09:36	   22.71	      44	0	B	
09:36	   22.70	      72	0	S	
09:36	   22.75	     239	0	B	
09:36	   22.68	     113	0	S	
09:36	   22.77	       7	0	S	
09:36	   22.74	      16	0	B	
09:36	   22.80	      40	0	B	
09:36	   22.78	      10	0	B	
09:36	   22.79	      16	0	B	
09:36	   22.79	      23	0	S	
09:36	   22.80	       2	0	S	
09:37	   22.80	      10	0	B	
09:37	   22.80	       7	0	B	
09:37	   22.81	      35	0	
09:37	   22.81	      13	0	S	
09:37	   22.80	       8	0	S	
09:37	   22.79	      15	0	S	
09:37	   22.77	       5	0	B	
09:37	   22.79	      29	0	B	
09:37	   22.74	       4	0	S	
09:37	   22.79	      24	0	B	
09:37	   22.72	      11	0	S	
09:37	   22.71	       9	0	B	
09:37	   22.70	      17	0	S	
09:37	   22.72	       3	0	B	
09:37	   22.73	      14	0	S	
09:37	   22.79	      45	0	B	
09:37	   22.79	      11	0	B	
09:38	   22.79	      22	0	S	
09:38	   22.80	      73	0	B	
09:38	   22.80	      10	0	S	
09:38	   22.80	      24	0	S	
09:38	   22.80	       6	0	B	
09:38	   22.83	     100	0	B	
09:38	   22.83	      13	0	B	
09:38	   22.83	      73	0	B	
09:38	   22.80	      37	0	S	
09:38	   22.84	       8	0	B	
09:38	   22.80	      31	0	S	
09:38	   22.85	     200	0	B	
09:38	   22.85	      46	0	B	
09:38	   22.88	     127	0	B	
09:38	   22.88	      25	0	B	
09:38	   22.88	       6	0	B	
09:38	   22.88	      55	0	B	
09:38	   22.88	      62	0	S	
09:39	   22.88	     131	0	S	
09:39	   22.80	      46	0	S	
09:39	   22.85	     119	0	B	
09:39	   22.85	      15	0	B	
09:39	   22.85	     110	0	B	
09:39	   22.85	     171	0	B	
09:39	   22.80	      14	0	S	
09:39	   22.90	     100	0	B	
09:39	   22.83	       4	0	S	
09:39	   22.80	      25	0	S	
09:39	   22.80	       1	0	S	
09:39	   22.80	       9	0	S	
09:39	   22.90	     212	0	B	
09:39	   22.90	      11	0	S	
09:39	   22.91	      14	0	B	
09:40	   22.90	      29	0	B	
09:40	   22.90	     227	0	S	
09:40	   22.91	     397	0	B	
09:40	   22.92	      79	0	B	
09:40	   22.93	      73	0	B	
09:40	   22.95	      35	0	B	
09:40	   22.94	      41	0	S	
09:40	   22.93	      19	0	B	
09:40	   22.93	      14	0	B	
09:40	   22.93	      55	0	B	
09:40	   22.93	     114	0	B	
09:40	   22.93	     119	0	S	
09:40	   22.93	      10	0	S	
09:40	   22.93	      15	0	S	
09:40	   22.94	      85	0	
09:40	   22.93	      68	0	S	
09:40	   22.95	       9	0	B	
09:41	   22.98	     139	0	B	
09:41	   22.95	       2	0	S	
09:41	   22.95	       9	0	S	
09:41	   22.93	      37	0	S	
09:41	   22.94	       5	0	
09:41	   22.98	     119	0	B	
09:41	   22.93	      14	0	S	
09:41	   22.93	       2	0	S	
09:41	   22.98	      34	0	B	
09:41	   22.93	      10	0	S	
09:41	   22.98	      52	0	B	
09:41	   22.95	     116	0	S	
09:41	   22.97	       1	0	B	
09:41	   22.98	      99	0	B	
09:41	   22.95	      26	0	S	
09:41	   22.95	       9	0	B	
09:41	   22.99	      46	0	B	
09:41	   23.00	     239	0	B	
09:41	   23.05	      40	0	B	
09:42	   23.08	      53	0	B	
09:42	   23.10	     108	0	B	
09:42	   23.14	       3	0	B	
09:42	   23.14	      43	0	S	
09:42	   23.10	      28	0	B	
09:42	   23.10	     208	0	B	
09:42	   23.09	      50	0	S	
09:42	   23.17	      21	0	B	
09:42	   23.18	     118	0	B	
09:42	   23.08	       6	0	B	
09:42	   23.09	      11	0	B	
09:42	   23.07	      12	0	S	
09:42	   23.07	      16	0	B	
09:42	   23.04	      10	0	S	
09:42	   23.07	     105	0	B	
09:43	   23.07	       5	0	S	
09:43	   23.07	       8	0	S	
09:43	   23.07	      41	0	B	
09:43	   23.06	       3	0	
09:43	   23.04	      24	0	S	
09:43	   23.03	       8	0	B	
