                  20250821 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   22.98	       0	0	
09:15	   22.00	       0	0	
09:15	   21.99	       0	0	
09:15	   21.99	       0	0	
09:15	   22.00	       0	0	
09:16	   22.00	       0	0	
09:16	   22.00	       0	0	
09:16	   22.00	       0	0	
09:16	   22.00	       0	0	
09:16	   22.00	       0	0	
09:16	   22.00	       0	0	
09:17	   22.00	       0	0	
09:17	   22.01	       0	0	
09:17	   22.98	       0	0	
09:18	   22.81	       0	0	
09:18	   22.98	       0	0	
09:18	   22.98	       0	0	
09:18	   22.98	       0	0	
09:19	   22.98	       0	0	
09:20	   22.98	       0	0	
09:20	   22.98	       0	0	
09:23	   22.98	       0	0	
09:23	   22.98	       0	0	
09:23	   22.98	       0	0	
09:24	   22.98	       0	0	
09:24	   22.98	       0	0	
09:24	   22.98	       0	0	
09:24	   22.95	       0	0	
09:24	   22.95	       0	0	
09:24	   22.95	       0	0	
09:24	   22.95	       0	0	
09:24	   22.95	       0	0	
09:24	   22.95	       0	0	
09:25	   22.93	      35	0	
09:30	   22.81	     175	0	S	
09:30	   22.80	      52	0	S	
09:30	   22.81	       2	0	S	
09:30	   22.80	       4	0	S	
09:30	   22.80	       7	0	S	
09:30	   22.80	       4	0	S	
09:30	   22.81	       5	0	B	
09:30	   22.80	      20	0	S	
09:30	   22.80	       2	0	S	
09:30	   22.80	       1	0	S	
09:30	   22.80	       5	0	S	
09:30	   22.80	      14	0	B	
09:30	   22.80	      30	0	B	
09:31	   22.80	       2	0	B	
09:31	   22.78	       4	0	S	
09:31	   22.78	      12	0	B	
09:31	   22.78	       6	0	B	
09:31	   22.80	       2	0	B	
09:31	   22.78	      10	0	S	
09:31	   22.78	      10	0	S	
09:31	   22.78	       3	0	S	
09:31	   22.78	       6	0	S	
09:31	   22.79	       6	0	S	
09:31	   22.79	       2	0	S	
09:31	   22.80	      11	0	B	
09:32	   22.79	       2	0	S	
09:32	   22.79	      21	0	S	
09:32	   22.80	      21	0	B	
09:32	   22.80	      28	0	B	
09:32	   22.80	      19	0	S	
09:32	   22.80	      10	0	S	
09:32	   22.81	       9	0	S	
09:32	   22.80	       2	0	S	
09:32	   22.81	       6	0	B	
09:32	   22.80	       1	0	S	
09:32	   22.80	       5	0	S	
09:32	   22.80	       2	0	S	
09:32	   22.80	      14	0	S	
09:32	   22.80	      27	0	B	
09:33	   22.79	      93	0	S	
09:33	   22.77	      56	0	S	
09:33	   22.74	     198	0	S	
09:33	   22.74	       2	0	B	
09:33	   22.76	       5	0	B	
09:33	   22.76	      12	0	B	
09:33	   22.80	      16	0	B	
09:33	   22.80	     175	0	B	
09:33	   22.80	      22	0	B	
09:33	   22.80	      57	0	B	
09:33	   22.81	      10	0	B	
09:33	   22.81	       5	0	B	
09:34	   22.83	       2	0	B	
09:34	   22.81	      70	0	S	
