                  20250825 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:19	   22.38	       0	0	
09:20	   22.68	       0	0	
09:20	   22.68	       0	0	
09:20	   22.68	       0	0	
09:21	   22.68	       0	0	
09:22	   22.68	       0	0	
09:22	   22.68	       0	0	
09:23	   22.68	       0	0	
09:23	   22.68	       0	0	
09:23	   22.68	       0	0	
09:23	   22.68	       0	0	
09:24	   22.68	       0	0	
09:24	   22.68	       0	0	
09:24	   22.68	       0	0	
09:24	   22.68	       0	0	
09:24	   22.67	       0	0	
09:24	   22.65	       0	0	
09:24	   22.62	       0	0	
09:24	   22.55	       0	0	
09:25	   22.51	     149	0	
09:30	   22.50	     169	0	B	
09:30	   22.49	       5	0	B	
09:30	   22.49	      15	0	B	
09:30	   22.49	       5	0	B	
09:30	   22.49	       2	0	B	
09:30	   22.49	      24	0	B	
09:30	   22.49	       0	0	B	
09:30	   22.49	       1	0	B	
09:30	   22.49	       6	0	S	
09:30	   22.49	       8	0	S	
09:30	   22.49	       5	0	B	
09:30	   22.49	       3	0	B	
09:30	   22.49	       3	0	S	
09:30	   22.49	       2	0	S	
09:30	   22.49	       3	0	B	
09:30	   22.49	       1	0	S	
09:30	   22.50	       2	0	B	
09:30	   22.50	       2	0	B	
09:30	   22.50	       2	0	B	
09:31	   22.50	       2	0	B	
09:31	   22.50	      22	0	B	
09:31	   22.50	      13	0	S	
09:31	   22.40	       3	0	S	
09:31	   22.40	       5	0	S	
09:31	   22.49	       1	0	B	
09:32	   22.38	      20	0	S	
09:32	   22.38	       3	0	S	
09:32	   22.38	       1	0	S	
09:32	   22.38	       2	0	S	
09:32	   22.38	       4	0	S	
09:32	   22.38	       8	0	S	
09:32	   22.38	       9	0	S	
09:32	   22.38	       1	0	S	
09:32	   22.22	      30	0	S	
09:32	   22.38	       0	0	S	
09:32	   22.38	       1	0	S	
09:32	   22.38	       1	0	S	
09:32	   22.38	      10	0	S	
09:32	   22.38	      71	0	S	
09:32	   22.24	       4	0	S	
09:33	   22.32	       1	0	B	
09:33	   22.24	      12	0	S	
09:33	   22.24	       8	0	B	
09:33	   22.30	       4	0	S	
09:33	   22.31	       1	0	S	
09:33	   22.30	       4	0	S	
09:33	   22.36	      23	0	B	
09:33	   22.36	       1	0	S	
09:33	   22.36	       2	0	B	
09:34	   22.31	       5	0	S	
09:34	   22.35	       3	0	B	
09:34	   22.36	       6	0	B	
09:34	   22.36	       6	0	B	
09:34	   22.36	      48	0	B	
09:34	   22.38	      79	0	B	
09:34	   22.40	      53	0	B	
09:34	   22.40	     117	0	B	
09:34	   22.49	       5	0	B	
09:34	   22.49	      18	0	B	
09:34	   22.47	       7	0	B	
09:34	   22.47	       5	0	B	
09:34	   22.47	       3	0	S	
09:34	   22.47	       1	0	S	
09:34	   22.47	       4	0	S	
09:34	   22.41	       1	0	S	
09:34	   22.47	      23	0	B	
09:34	   22.41	       1	0	S	
09:35	   22.41	       1	0	S	
09:35	   22.41	       1	0	S	
09:35	   22.40	       9	0	S	
09:35	   22.35	       5	0	S	
09:35	   22.35	       2	0	S	
09:35	   22.35	       4	0	S	
09:35	   22.35	      58	0	S	
09:35	   22.31	      41	0	S	
09:35	   22.31	     121	0	S	
09:35	   22.31	       8	0	S	
09:35	   22.30	       4	0	S	
09:35	   22.30	       2	0	S	
09:36	   22.30	       6	0	S	
09:36	   22.30	      10	0	B	
09:36	   22.29	       9	0	B	
09:36	   22.29	       1	0	B	
09:36	   22.29	       1	0	S	
09:36	   22.26	       1	0	B	
09:36	   22.25	       9	0	S	
09:36	   22.30	       1	0	B	
09:37	   22.27	       3	0	B	
09:37	   22.25	       5	0	S	
09:37	   22.24	      94	0	S	
09:37	   22.23	      50	0	S	
09:37	   22.23	      72	0	S	
09:37	   22.22	      72	0	S	
09:37	   22.22	      14	0	S	
09:37	   22.22	       6	0	B	
09:37	   22.21	       4	0	S	
09:37	   22.21	       1	0	S	
09:38	   22.22	      45	0	B	
09:38	   22.20	      98	0	S	
09:38	   22.18	      28	0	S	
09:38	   22.18	       2	0	S	
09:38	   22.15	       3	0	S	
