                  20250826 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:16	   22.88	       0	0	
09:21	   22.31	       0	0	
09:23	   22.31	       0	0	
09:24	   22.28	       0	0	
09:24	   22.28	       0	0	
09:24	   22.26	       0	0	
09:25	   22.26	       8	0	
09:30	   22.15	      61	0	S	
09:30	   22.18	       1	0	S	
09:30	   22.13	       4	0	S	
09:30	   22.12	       1	0	B	
09:30	   22.12	       4	0	B	
09:30	   22.08	       4	0	S	
09:30	   22.12	       2	0	B	
09:30	   22.13	       1	0	B	
09:30	   22.17	       4	0	B	
09:30	   22.17	      10	0	S	
09:30	   22.17	      18	0	S	
09:30	   22.17	       1	0	S	
09:31	   22.14	       3	0	B	
09:31	   22.17	       1	0	B	
09:31	   22.19	       1	0	B	
09:31	   22.17	       6	0	B	
09:31	   22.19	       1	0	B	
09:31	   22.13	      44	0	S	
09:31	   22.16	       2	0	B	
09:32	   22.16	       1	0	S	
09:32	   22.19	      12	0	B	
09:32	   22.20	      73	0	B	
09:32	   22.20	      23	0	B	
09:32	   22.20	       3	0	B	
09:32	   22.20	      47	0	B	
09:32	   22.20	      21	0	B	
09:32	   22.20	      14	0	S	
09:32	   22.24	       2	0	B	
09:32	   22.24	      14	0	B	
09:32	   22.25	      22	0	B	
09:32	   22.24	       4	0	S	
09:32	   22.25	      24	0	B	
09:32	   22.25	       1	0	B	
09:32	   22.25	      12	0	B	
09:33	   22.25	      22	0	B	
09:33	   22.25	       6	0	B	
09:33	   22.25	      46	0	B	
09:33	   22.25	       8	0	S	
09:33	   22.20	       2	0	S	
09:34	   22.16	       1	0	S	
09:34	   22.13	      11	0	S	
09:34	   22.15	       2	0	B	
09:34	   22.15	      15	0	S	
09:34	   22.13	      14	0	S	
09:34	   22.14	       5	0	B	
09:34	   22.13	      10	0	S	
09:35	   22.18	       4	0	B	
09:35	   22.19	      50	0	B	
09:35	   22.19	      17	0	B	
09:35	   22.24	      51	0	B	
09:35	   22.24	      19	0	B	
09:35	   22.26	      16	0	B	
09:35	   22.24	      29	0	S	
09:35	   22.26	      30	0	B	
09:35	   22.27	       2	0	B	
