                  20250827 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:24	   22.34	       0	0	
09:24	   22.33	       0	0	
09:24	   22.32	       0	0	
09:24	   22.32	       0	0	
09:25	   22.30	      30	0	
09:30	   22.30	       5	0	B	
09:30	   22.18	       4	0	S	
09:30	   22.18	       1	0	S	
09:30	   22.18	       1	0	S	
09:30	   22.20	       2	0	S	
09:30	   22.20	       1	0	B	
09:30	   22.18	       1	0	S	
09:30	   22.18	       3	0	S	
09:30	   22.17	       5	0	S	
09:30	   22.16	       5	0	S	
09:31	   22.15	       6	0	S	
09:31	   22.14	       2	0	S	
09:31	   22.14	       1	0	S	
09:31	   22.12	       3	0	S	
09:31	   22.15	       6	0	S	
09:31	   22.15	       5	0	S	
09:31	   22.15	       6	0	S	
09:32	   22.17	      10	0	B	
09:33	   22.17	      28	0	B	
09:33	   22.18	       1	0	B	
09:33	   22.18	      25	0	B	
09:33	   22.18	      70	0	B	
09:33	   22.18	      42	0	B	
09:33	   22.18	       6	0	S	
09:34	   22.15	      13	0	S	
09:34	   22.15	       8	0	S	
09:34	   22.15	       2	0	B	
09:34	   22.20	      20	0	S	
09:35	   22.20	       9	0	B	
09:35	   22.20	      11	0	B	
09:35	   22.19	      10	0	B	
09:36	   22.13	       7	0	S	
09:36	   22.12	      27	0	S	
09:36	   22.11	      21	0	S	
09:36	   22.11	       2	0	S	
09:36	   22.11	       3	0	S	
09:36	   22.11	       1	0	S	
09:37	   22.11	      10	0	S	
09:37	   22.11	      22	0	S	
09:38	   22.08	      53	0	S	
09:38	   22.08	      41	0	B	
09:39	   22.08	       5	0	B	
09:39	   22.16	      20	0	B	
09:40	   22.08	       2	0	S	
09:40	   22.09	       1	0	S	
09:41	   22.09	       3	0	S	
09:41	   22.14	       4	0	B	
09:41	   22.14	       3	0	S	
09:41	   22.14	      11	0	S	
09:41	   22.14	       0	0	S	
09:41	   22.09	       1	0	S	
09:41	   22.07	      68	0	S	
09:41	   22.07	      11	0	B	
09:42	   22.08	      16	0	B	
09:42	   22.08	       2	0	B	
09:42	   22.08	       5	0	S	
09:42	   22.08	      16	0	S	
09:43	   22.06	       2	0	S	
09:43	   22.06	      38	0	S	
09:43	   22.05	      58	0	S	
09:43	   22.03	      82	0	S	
