                  20250828 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   21.49	       0	0	
09:15	   21.35	       0	0	
09:15	   21.49	       0	0	
09:16	   20.72	       0	0	
09:17	   21.49	       0	0	
09:18	   21.49	       0	0	
09:19	   21.40	       0	0	
09:20	   21.40	       0	0	
09:20	   21.40	       0	0	
09:21	   21.40	       0	0	
09:21	   21.40	       0	0	
09:22	   21.40	       0	0	
09:22	   21.40	       0	0	
09:22	   21.40	       0	0	
09:23	   21.40	       0	0	
09:23	   21.40	       0	0	
09:23	   21.40	       0	0	
09:23	   21.40	       0	0	
09:23	   21.40	       0	0	
09:23	   21.40	       0	0	
09:24	   21.40	       0	0	
09:24	   21.40	       0	0	
09:24	   21.42	       0	0	
09:24	   21.42	       0	0	
09:24	   21.42	       0	0	
09:24	   21.42	       0	0	
09:24	   21.46	       0	0	
09:25	   21.59	     185	0	
09:30	   21.60	       3	0	S	
09:30	   21.58	      60	0	S	
09:30	   21.77	       5	0	B	
09:30	   21.58	       1	0	S	
09:30	   21.58	      20	0	S	
09:30	   21.59	       2	0	S	
09:30	   21.61	       2	0	S	
09:30	   21.61	      14	0	S	
09:31	   21.61	      36	0	B	
09:31	   21.62	       5	0	S	
09:31	   21.76	       5	0	B	
09:31	   21.62	      18	0	S	
09:31	   21.62	      57	0	B	
09:31	   21.74	       5	0	B	
09:31	   21.64	      11	0	S	
09:31	   21.64	      20	0	S	
09:31	   21.64	      23	0	S	
09:32	   21.64	      12	0	S	
09:32	   21.75	      10	0	B	
09:32	   21.65	       2	0	S	
09:32	   21.66	      45	0	S	
09:33	   21.73	      15	0	B	
09:33	   21.73	      10	0	S	
09:33	   21.70	      10	0	B	
09:33	   21.71	       5	0	S	
09:33	   21.70	      14	0	S	
09:33	   21.70	       1	0	B	
09:33	   21.70	      31	0	B	
09:33	   21.70	       2	0	B	
09:33	   21.67	       6	0	S	
09:34	   21.71	       1	0	B	
09:34	   21.71	       5	0	S	
09:34	   21.71	       3	0	S	
09:34	   21.72	      14	0	S	
09:34	   21.71	       5	0	B	
09:34	   21.70	      20	0	S	
09:34	   21.71	       3	0	B	
09:34	   21.72	       4	0	B	
09:34	   21.76	      14	0	B	
09:35	   21.75	       5	0	B	
09:35	   21.76	      23	0	B	
09:35	   21.76	      13	0	S	
09:35	   21.77	       3	0	B	
09:35	   21.76	      48	0	S	
09:35	   21.79	      24	0	B	
09:35	   21.80	      35	0	B	
09:35	   21.80	      46	0	B	
09:35	   21.80	      25	0	B	
09:35	   21.80	      25	0	S	
09:35	   21.79	      16	0	S	
09:35	   21.77	      63	0	S	
09:36	   21.75	       6	0	B	
09:36	   21.76	       8	0	B	
09:36	   21.76	       9	0	S	
09:36	   21.76	       1	0	B	
09:36	   21.74	       4	0	S	
09:37	   21.74	       9	0	S	
09:37	   21.72	      52	0	S	
09:38	   21.71	      72	0	S	
09:38	   21.70	     356	0	S	
09:38	   21.67	      58	0	S	
09:38	   21.66	      40	0	S	
09:38	   21.64	       4	0	S	
09:38	   21.64	       0	0	S	
09:38	   21.64	      17	0	B	
09:38	   21.63	      18	0	S	
09:38	   21.67	       2	0	B	
09:38	   21.66	      20	0	B	
09:39	   21.64	      15	0	S	
09:39	   21.67	      55	0	B	
09:39	   21.67	      39	0	S	
09:39	   21.67	      38	0	S	
09:39	   21.63	      18	0	S	
09:39	   21.63	      20	0	S	
09:39	   21.63	      82	0	S	
09:39	   21.63	       8	0	S	
09:39	   21.63	      69	0	S	
09:40	   21.64	      69	0	S	
09:40	   21.64	      40	0	S	
09:40	   21.63	      19	0	S	
09:40	   21.63	      40	0	S	
09:40	   21.62	     180	0	S	
09:40	   21.62	      52	0	S	
09:40	   21.61	       7	0	S	
09:40	   21.60	      11	0	S	
09:40	   21.60	      14	0	S	
09:40	   21.59	       1	0	S	
09:40	   21.59	      30	0	S	
09:40	   21.60	       7	0	B	
09:40	   21.62	       4	0	B	
09:40	   21.62	       4	0	B	
09:41	   21.62	       8	0	B	
09:41	   21.60	       5	0	S	
09:41	   21.61	      12	0	S	
09:41	   21.61	      28	0	S	
09:41	   21.62	       5	0	B	
09:41	   21.63	       5	0	S	
09:42	   21.74	       9	0	B	
09:42	   21.73	       6	0	B	
09:42	   21.73	       6	0	S	
09:42	   21.63	      30	0	S	
09:42	   21.73	      98	0	B	
09:42	   21.73	      75	0	B	
09:42	   21.73	      15	0	S	
09:42	   21.74	      13	0	B	
09:42	   21.76	      43	0	B	
09:42	   21.74	       8	0	S	
09:43	   21.77	      10	0	B	
09:43	   21.78	      42	0	B	
09:43	   21.77	      39	0	B	
09:43	   21.77	      31	0	B	
09:43	   21.78	      46	0	B	
09:43	   21.80	     246	0	B	
09:43	   21.88	      16	0	B	
09:43	   21.91	      48	0	B	
09:43	   21.90	      17	0	S	
09:44	   21.92	       8	0	S	
09:44	   21.92	       3	0	S	
09:45	   21.87	      10	0	B	
09:45	   21.86	       5	0	B	
09:45	   21.72	      15	0	S	
09:45	   21.72	      27	0	B	
09:45	   21.76	       1	0	B	
09:45	   21.76	       4	0	S	
09:46	   21.76	       7	0	S	
09:46	   21.78	       9	0	S	
09:46	   21.78	      10	0	S	
09:46	   21.77	       3	0	S	
09:46	   21.79	       5	0	S	
09:47	   21.72	       6	0	S	
09:47	   21.72	       5	0	S	
09:47	   21.74	       7	0	B	
09:48	   21.73	       7	0	S	
09:48	   21.73	       5	0	S	
09:48	   21.73	      15	0	S	
09:48	   21.73	      18	0	B	
09:48	   21.73	      19	0	B	
09:48	   21.73	       3	0	B	
09:49	   21.75	      11	0	B	
09:49	   21.75	       3	0	S	
09:50	   21.72	      66	0	S	
09:50	   21.72	      12	0	S	
09:51	   21.72	       6	0	S	
09:51	   21.71	       6	0	S	
09:51	   21.71	       5	0	S	
09:51	   21.71	      21	0	S	
09:51	   21.71	      18	0	S	
09:51	   21.71	       5	0	S	
09:51	   21.71	       0	0	S	
09:51	   21.71	       7	0	S	
09:51	   21.71	     103	0	S	
09:51	   21.70	      49	0	S	
09:51	   21.70	      16	0	S	
09:52	   21.69	      61	0	S	
09:52	   21.69	      15	0	S	
09:52	   21.69	       2	0	S	
09:52	   21.69	       1	0	S	
09:52	   21.66	      13	0	S	
09:52	   21.66	       7	0	S	
09:52	   21.65	      25	0	S	
09:52	   21.65	      38	0	S	
09:52	   21.65	      45	0	S	
09:52	   21.66	       5	0	B	
09:52	   21.66	      30	0	S	
09:52	   21.66	      65	0	S	
09:52	   21.65	      40	0	S	
09:52	   21.65	      60	0	S	
09:52	   21.65	      42	0	S	
09:52	   21.65	      44	0	B	
09:52	   21.64	      20	0	B	
09:52	   21.62	      42	0	S	
09:53	   21.64	      11	0	B	
09:53	   21.64	       2	0	B	
09:53	   21.68	       3	0	B	
09:54	   21.68	       6	0	B	
09:54	   21.66	       5	0	S	
09:55	   21.66	       6	0	S	
09:55	   21.66	       5	0	S	
09:55	   21.66	       4	0	S	
09:55	   21.66	       5	0	S	
09:55	   21.67	       5	0	S	
09:56	   21.67	       2	0	S	
09:56	   21.67	       3	0	S	
09:56	   21.66	      13	0	S	
09:56	   21.66	       2	0	S	
09:56	   21.66	      39	0	S	
09:56	   21.65	     101	0	S	
09:56	   21.64	      46	0	S	
09:56	   21.64	      38	0	S	
09:56	   21.64	      38	0	S	
09:56	   21.63	      86	0	S	
09:56	   21.64	      54	0	B	
09:56	   21.63	      27	0	S	
09:56	   21.61	      47	0	S	
09:56	   21.63	      50	0	B	
09:57	   21.63	      23	0	S	
09:57	   21.63	      76	0	S	
09:57	   21.61	       6	0	S	
09:57	   21.61	      19	0	S	
09:57	   21.60	      73	0	S	
09:57	   21.60	      28	0	S	
09:57	   21.61	      28	0	B	
09:57	   21.58	     334	0	S	
09:57	   21.61	      23	0	
09:57	   21.61	      64	0	S	
09:57	   21.61	      23	0	S	
09:57	   21.61	      23	0	S	
09:57	   21.61	       7	0	S	
09:57	   21.61	      24	0	S	
09:58	   21.58	       5	0	S	
09:58	   21.58	       2	0	S	
09:58	   21.52	       6	0	S	
09:58	   21.55	       2	0	B	
09:58	   21.53	       5	0	S	
09:59	   21.55	       6	0	S	
10:00	   21.57	      20	0	S	
10:01	   21.67	       1	0	B	
10:03	   21.63	       1	0	S	
10:03	   21.63	       2	0	B	
10:03	   21.60	      23	0	S	
10:03	   21.60	      23	0	S	
10:03	   21.60	      32	0	S	
10:03	   21.63	       2	0	S	
10:03	   21.60	       6	0	S	
10:03	   21.58	      23	0	S	
10:03	   21.58	       6	0	S	
10:03	   21.60	      27	0	B	
10:03	   21.57	       2	0	S	
10:03	   21.57	      90	0	S	
10:03	   21.57	       9	0	S	
10:03	   21.56	      12	0	S	
10:04	   21.55	       7	0	S	
10:04	   21.55	      41	0	S	
10:04	   21.53	      23	0	S	
10:04	   21.53	      23	0	S	
10:04	   21.53	      35	0	S	
10:04	   21.54	       2	0	B	
10:04	   21.56	       1	0	B	
10:04	   21.53	      18	0	S	
10:05	   21.53	       3	0	S	
10:05	   21.53	       2	0	B	
10:05	   21.54	      23	0	S	
10:05	   21.54	       5	0	B	
10:05	   21.53	      10	0	S	
10:05	   21.52	      24	0	S	
10:05	   21.52	       4	0	S	
10:05	   21.52	       4	0	S	
10:05	   21.52	       6	0	S	
10:06	   21.53	       9	0	B	
10:06	   21.51	      23	0	S	
10:06	   21.52	       1	0	S	
10:06	   21.51	      32	0	S	
10:06	   21.51	      40	0	B	
10:06	   21.51	       7	0	S	
10:06	   21.50	      23	0	S	
10:06	   21.50	      17	0	S	
10:07	   21.50	       1	0	S	
10:07	   21.50	       4	0	S	
10:07	   21.50	      27	0	S	
10:07	   21.50	       1	0	S	
10:07	   21.50	      50	0	S	
10:07	   21.50	      24	0	S	
10:07	   21.49	       3	0	S	
10:07	   21.49	      16	0	S	
10:07	   21.48	       1	0	S	
10:07	   21.48	      25	0	S	
10:07	   21.48	      11	0	S	
10:07	   21.51	       0	0	S	
10:07	   21.51	      10	0	S	
10:08	   21.50	      14	0	B	
10:08	   21.53	      52	0	B	
10:08	   21.51	      33	0	B	
10:08	   21.48	      66	0	S	
10:08	   21.48	      52	0	B	
10:09	   21.56	      25	0	B	
10:09	   21.56	      37	0	B	
10:10	   21.65	       4	0	B	
10:10	   21.65	       6	0	S	
10:12	   21.59	       4	0	S	
10:13	   21.59	       1	0	S	
10:15	   21.60	       1	0	S	
10:16	   21.60	       8	0	B	
10:16	   21.59	      19	0	S	
10:16	   21.59	       1	0	S	
10:16	   21.57	      14	0	S	
10:16	   21.56	       9	0	S	
10:16	   21.56	       4	0	S	
10:16	   21.55	       6	0	B	
10:17	   21.55	      39	0	B	
10:17	   21.55	     128	0	B	
10:17	   21.55	     183	0	B	
10:17	   21.55	     126	0	B	
10:18	   21.52	      24	0	S	
10:18	   21.52	      88	0	S	
10:18	   21.51	       4	0	S	
10:19	   21.50	       6	0	S	
10:19	   21.51	       6	0	S	
10:20	   21.51	       1	0	S	
10:20	   21.52	      38	0	S	
10:20	   21.52	      10	0	S	
10:20	   21.52	       2	0	S	
10:20	   21.52	       9	0	S	
10:20	   21.51	      38	0	S	
10:20	   21.51	      61	0	S	
10:21	   21.50	      50	0	S	
10:21	   21.50	       3	0	S	
10:21	   21.50	       1	0	S	
10:21	   21.50	       3	0	S	
10:21	   21.49	      20	0	S	
10:21	   21.49	      30	0	B	
10:22	   21.49	      29	0	S	
10:22	   21.52	      20	0	B	
10:23	   21.49	       3	0	S	
10:23	   21.49	      29	0	S	
10:23	   21.49	       2	0	S	
10:23	   21.48	      36	0	S	
10:23	   21.47	       1	0	S	
10:23	   21.46	      50	0	S	
10:23	   21.45	      41	0	S	
10:24	   21.42	      30	0	S	
10:24	   21.42	       5	0	B	
10:24	   21.42	      10	0	B	
10:24	   21.42	       5	0	B	
10:24	   21.42	       1	0	S	
10:25	   21.43	       2	0	S	
10:25	   21.43	      12	0	S	
10:25	   21.43	       7	0	B	
10:25	   21.43	       2	0	B	
10:26	   21.43	      12	0	S	
10:26	   21.47	       4	0	B	
10:27	   21.47	      57	0	B	
10:27	   21.47	      35	0	B	
10:27	   21.47	      71	0	B	
10:27	   21.47	      24	0	S	
10:27	   21.47	      15	0	B	
10:27	   21.47	      61	0	B	
10:28	   21.55	       1	0	S	
10:28	   21.55	      17	0	S	
10:29	   21.48	       2	0	S	
10:31	   21.50	       6	0	S	
10:31	   21.58	       1	0	B	
10:32	   21.59	      10	0	B	
10:32	   21.59	      30	0	B	
10:32	   21.58	       2	0	B	
10:32	   21.58	       3	0	S	
10:33	   21.54	      10	0	S	
10:33	   21.54	      23	0	B	
10:33	   21.54	      17	0	B	
10:34	   21.59	      15	0	B	
10:34	   21.59	      20	0	B	
10:35	   21.59	      56	0	B	
10:35	   21.56	      11	0	S	
10:35	   21.54	       2	0	S	
10:35	   21.54	       9	0	S	
10:36	   21.54	      16	0	B	
10:36	   21.54	      19	0	B	
10:36	   21.54	      12	0	S	
10:36	   21.53	       3	0	S	
10:39	   21.55	       1	0	S	
10:39	   21.54	       6	0	S	
10:39	   21.53	       5	0	S	
10:39	   21.53	       4	0	S	
10:39	   21.53	      25	0	S	
10:39	   21.52	      10	0	S	
10:39	   21.55	       6	0	B	
10:40	   21.54	       4	0	B	
10:40	   21.54	       8	0	S	
10:40	   21.50	       3	0	S	
10:42	   21.51	      25	0	S	
10:42	   21.54	       4	0	B	
10:43	   21.58	       2	0	B	
10:43	   21.51	      44	0	S	
10:43	   21.50	      62	0	S	
10:43	   21.51	      60	0	B	
10:43	   21.51	      53	0	B	
10:45	   21.51	       3	0	S	
10:46	   21.50	       0	0	S	
10:46	   21.51	      13	0	B	
10:47	   21.51	       9	0	S	
10:49	   21.57	       5	0	B	
10:49	   21.51	       6	0	S	
10:49	   21.51	       0	0	S	
10:49	   21.58	      22	0	B	
10:49	   21.51	       1	0	S	
10:50	   21.55	       2	0	S	
10:50	   21.53	       6	0	B	
10:51	   21.52	       5	0	S	
10:53	   21.51	      33	0	S	
10:53	   21.50	       2	0	S	
10:54	   21.50	      14	0	S	
10:54	   21.50	      10	0	S	
10:54	   21.50	      17	0	S	
10:55	   21.49	      23	0	S	
10:55	   21.49	      15	0	S	
10:55	   21.48	      50	0	S	
10:55	   21.47	      19	0	S	
10:55	   21.45	      23	0	S	
10:55	   21.45	       4	0	S	
10:55	   21.44	       2	0	S	
10:55	   21.45	      10	0	B	
10:55	   21.43	      34	0	S	
10:56	   21.43	      17	0	S	
10:56	   21.42	      25	0	S	
10:56	   21.43	       2	0	S	
10:57	   21.43	       9	0	S	
10:57	   21.43	      13	0	S	
10:58	   21.43	      15	0	S	
10:58	   21.44	       5	0	S	
10:58	   21.44	       5	0	S	
10:58	   21.44	      24	0	S	
10:59	   21.47	      14	0	B	
10:59	   21.47	       1	0	S	
10:59	   21.44	       2	0	S	
11:00	   21.47	       5	0	B	
11:00	   21.47	      10	0	S	
11:00	   21.44	      40	0	S	
11:01	   21.44	       4	0	S	
11:01	   21.44	      20	0	S	
11:02	   21.45	       7	0	S	
11:02	   21.52	      23	0	B	
11:02	   21.52	      17	0	S	
11:02	   21.44	     100	0	S	
11:03	   21.44	       9	0	S	
11:03	   21.44	      76	0	S	
11:03	   21.43	      37	0	S	
11:03	   21.42	      41	0	S	
11:04	   21.42	      20	0	S	
11:04	   21.42	      14	0	S	
11:04	   21.41	      10	0	S	
11:04	   21.41	      21	0	S	
11:04	   21.40	      82	0	S	
11:04	   21.38	       2	0	S	
11:04	   21.38	      27	0	S	
11:05	   21.37	       4	0	S	
11:05	   21.36	       2	0	S	
11:05	   21.36	       5	0	S	
11:05	   21.35	      18	0	S	
11:05	   21.36	      13	0	B	
11:05	   21.35	       4	0	S	
11:05	   21.35	       2	0	B	
11:05	   21.33	      50	0	S	
11:05	   21.36	       2	0	B	
