                  20250901 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   15.20	       0	0	
09:15	   27.00	       0	0	
09:15	   25.65	       0	0	
09:15	   25.65	       0	0	
09:15	   25.65	       0	0	
09:15	   25.65	       0	0	
09:16	   26.65	       0	0	
09:16	   26.65	       0	0	
09:16	   26.65	       0	0	
09:16	   26.00	       0	0	
09:16	   26.00	       0	0	
09:17	   26.00	       0	0	
09:17	   26.00	       0	0	
09:17	   26.00	       0	0	
09:17	   26.00	       0	0	
09:17	   25.90	       0	0	
09:17	   25.90	       0	0	
09:17	   25.90	       0	0	
09:18	   25.90	       0	0	
09:18	   25.90	       0	0	
09:18	   22.18	       0	0	
09:18	   22.18	       0	0	
09:18	   22.02	       0	0	
09:22	   21.77	       0	0	
09:23	   21.77	       0	0	
09:24	   21.77	       0	0	
09:24	   21.76	       0	0	
09:24	   21.75	       0	0	
09:25	   21.75	       6	0	
09:30	   21.80	      87	0	B	
09:30	   21.68	     192	0	S	
09:30	   21.76	      15	0	S	
09:30	   21.80	       5	0	B	
09:30	   21.81	       2	0	
09:30	   21.85	       3	0	B	
09:30	   21.85	       7	0	S	
09:30	   21.85	       7	0	S	
09:30	   21.85	      25	0	S	
09:30	   21.85	      55	0	S	
09:30	   21.85	      33	0	S	
09:30	   21.85	      22	0	S	
09:30	   21.80	      24	0	S	
09:30	   21.77	      14	0	S	
09:31	   21.78	      28	0	S	
09:31	   21.75	      15	0	S	
09:31	   21.75	      49	0	S	
09:31	   21.76	       8	0	S	
09:31	   21.76	      20	0	B	
09:31	   21.76	      14	0	S	
09:31	   21.77	      12	0	B	
09:31	   21.77	      32	0	B	
09:32	   21.76	       5	0	S	
09:32	   21.77	       4	0	B	
09:32	   21.77	       5	0	S	
09:32	   21.77	       9	0	S	
09:32	   21.77	       5	0	S	
09:32	   21.76	      14	0	S	
09:32	   21.75	       3	0	B	
09:33	   21.71	       4	0	S	
09:33	   21.70	       3	0	S	
09:33	   21.70	      61	0	S	
09:33	   21.70	      19	0	S	
09:33	   21.68	      20	0	S	
09:33	   21.68	       4	0	S	
09:33	   21.68	      16	0	S	
09:33	   21.66	       1	0	S	
09:33	   21.65	      46	0	S	
09:33	   21.65	       8	0	S	
09:33	   21.65	       2	0	S	
09:33	   21.65	      33	0	S	
09:33	   21.66	       1	0	S	
09:33	   21.66	       1	0	S	
09:34	   21.63	       7	0	S	
09:34	   21.63	       1	0	S	
09:34	   21.63	       4	0	S	
09:34	   21.63	       8	0	S	
09:34	   21.63	       5	0	S	
09:35	   21.64	       2	0	S	
09:35	   21.63	       4	0	S	
09:35	   21.63	      12	0	S	
09:35	   21.63	       8	0	S	
09:35	   21.62	       1	0	S	
09:35	   21.62	       7	0	S	
09:35	   21.62	       5	0	S	
09:35	   21.62	       6	0	S	
09:35	   21.61	      57	0	S	
09:35	   21.60	      12	0	S	
09:36	   21.60	       7	0	S	
09:36	   21.60	       4	0	S	
09:36	   21.61	       9	0	B	
09:36	   21.61	       9	0	B	
09:36	   21.53	      22	0	S	
09:36	   21.53	     178	0	B	
09:36	   21.66	       3	0	B	
09:36	   21.66	      12	0	B	
09:36	   21.64	       5	0	S	
09:36	   21.63	       3	0	S	
09:36	   21.63	       5	0	S	
09:36	   21.63	      11	0	S	
09:36	   21.63	       7	0	S	
09:37	   21.54	       4	0	S	
09:38	   21.60	      10	0	B	
09:38	   21.60	       6	0	B	
09:38	   21.60	       5	0	B	
09:38	   21.60	       3	0	B	
09:38	   21.64	       8	0	B	
09:38	   21.64	       0	0	B	
09:38	   21.64	      17	0	S	
09:38	   21.70	       2	0	B	
09:38	   21.70	       1	0	B	
09:38	   21.62	       1	0	S	
09:39	   21.70	      15	0	B	
09:39	   21.70	       2	0	S	
09:39	   21.71	       1	0	B	
09:39	   21.71	       7	0	B	
09:39	   21.71	      10	0	S	
09:39	   21.75	      10	0	S	
09:39	   21.70	      10	0	S	
09:39	   21.71	       2	0	B	
09:40	   21.63	       2	0	S	
09:40	   21.63	       5	0	S	
09:41	   21.65	       4	0	S	
09:41	   21.65	      65	0	B	
09:41	   21.71	      40	0	B	
09:41	   21.71	       7	0	B	
09:41	   21.71	       6	0	B	
09:41	   21.71	       7	0	S	
09:41	   21.73	       5	0	S	
09:41	   21.72	       3	0	S	
09:42	   21.72	       2	0	S	
09:42	   21.71	       2	0	S	
09:42	   21.68	       3	0	S	
09:42	   21.68	       3	0	S	
09:42	   21.66	       5	0	S	
09:42	   21.66	       5	0	B	
09:42	   21.68	      27	0	B	
09:42	   21.70	       4	0	S	
09:42	   21.63	      41	0	S	
09:42	   21.60	      24	0	S	
09:42	   21.64	      26	0	B	
09:42	   21.64	      50	0	B	
09:43	   21.59	       2	0	S	
