                  20250903 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   24.56	       0	0	
09:15	   24.56	       0	0	
09:15	   24.56	       0	0	
09:15	   24.56	       0	0	
09:15	   24.55	       0	0	
09:16	   24.54	       0	0	
09:16	   24.56	       0	0	
09:16	   24.56	       0	0	
09:16	   24.54	       0	0	
09:16	   24.54	       0	0	
09:16	   24.50	       0	0	
09:17	   24.50	       0	0	
09:17	   24.50	       0	0	
09:17	   24.50	       0	0	
09:17	   22.00	       0	0	
09:21	   22.00	       0	0	
09:23	   22.44	       0	0	
09:23	   22.44	       0	0	
09:23	   22.44	       0	0	
09:23	   22.44	       0	0	
09:24	   22.44	       0	0	
09:24	   22.39	       0	0	
09:24	   22.39	       0	0	
09:24	   22.38	       0	0	
09:24	   22.02	       0	0	
09:24	   22.05	       0	0	
09:24	   22.10	       0	0	
09:24	   22.05	       0	0	
09:24	   22.11	       0	0	
09:25	   22.11	      80	0	
09:30	   22.10	      75	0	S	
09:30	   22.10	      22	0	B	
09:30	   22.10	       1	0	B	
09:30	   22.09	       1	0	B	
09:30	   22.10	      15	0	B	
09:30	   22.05	      34	0	S	
09:30	   22.05	      46	0	S	
09:30	   22.05	      26	0	S	
09:30	   22.02	       2	0	S	
09:30	   22.05	       3	0	B	
09:30	   22.09	       0	0	B	
09:30	   22.03	      35	0	S	
09:30	   22.02	       8	0	S	
09:31	   22.02	      33	0	S	
09:31	   22.02	       8	0	B	
09:31	   22.02	      20	0	B	
09:31	   22.02	       2	0	B	
09:32	   22.00	      13	0	S	
09:32	   22.00	       2	0	S	
09:32	   22.01	      16	0	B	
09:32	   22.01	      18	0	S	
09:33	   22.00	       2	0	S	
09:33	   22.00	       5	0	S	
09:33	   22.00	       1	0	B	
09:33	   21.98	       3	0	S	
09:33	   22.02	      66	0	B	
09:33	   22.02	      55	0	B	
09:34	   22.03	      89	0	B	
09:34	   22.03	      28	0	B	
09:34	   22.10	     143	0	B	
09:34	   22.10	      21	0	B	
09:34	   22.19	      15	0	B	
09:34	   22.20	       6	0	B	
09:34	   22.20	       3	0	B	
09:34	   22.06	      22	0	S	
09:34	   22.12	       7	0	B	
09:34	   22.18	       5	0	B	
09:34	   22.12	      49	0	S	
09:35	   22.16	       1	0	B	
09:35	   22.16	      13	0	B	
09:35	   22.15	      18	0	S	
09:35	   22.14	       9	0	S	
09:35	   22.15	      12	0	B	
09:35	   22.15	       1	0	B	
09:35	   22.15	       3	0	B	
09:35	   22.15	      16	0	B	
09:35	   22.16	       8	0	B	
09:35	   22.16	      40	0	B	
09:35	   22.13	      34	0	S	
09:36	   22.15	      43	0	B	
09:36	   22.15	      50	0	S	
09:36	   22.16	      69	0	B	
09:36	   22.15	      72	0	S	
09:36	   22.17	      38	0	B	
09:36	   22.20	      87	0	B	
09:36	   22.20	     229	0	B	
09:36	   22.21	     132	0	B	
09:36	   22.23	      71	0	B	
09:36	   22.28	     157	0	B	
09:36	   22.28	       6	0	B	
09:36	   22.28	      31	0	S	
09:36	   22.28	       1	0	B	
09:36	   22.25	      10	0	B	
09:36	   22.26	      42	0	B	
09:37	   22.10	      43	0	S	
09:37	   22.20	      19	0	B	
09:37	   22.20	       2	0	S	
09:37	   22.12	      36	0	S	
09:37	   22.11	      10	0	S	
09:37	   22.11	      21	0	S	
09:37	   22.10	       1	0	S	
09:38	   22.10	       7	0	S	
09:38	   22.10	      89	0	S	
09:38	   22.07	      38	0	S	
09:38	   22.09	      12	0	B	
09:38	   22.02	      20	0	S	
09:38	   22.00	       8	0	S	
09:38	   21.96	      11	0	S	
09:38	   22.00	       8	0	B	
09:38	   22.00	      14	0	B	
09:38	   22.00	      97	0	B	
09:38	   22.00	       3	0	S	
09:38	   22.00	      34	0	S	
09:39	   22.00	      21	0	B	
09:39	   22.00	      41	0	B	
09:39	   22.02	       1	0	B	
09:39	   22.03	      21	0	B	
09:39	   22.03	       8	0	S	
09:39	   22.03	       6	0	S	
09:39	   22.03	      16	0	B	
09:39	   22.10	      32	0	B	
09:39	   22.09	      25	0	S	
09:39	   22.03	       1	0	B	
09:39	   22.03	       2	0	S	
09:40	   22.09	      24	0	B	
09:40	   22.19	       2	0	B	
09:40	   22.09	      66	0	S	
09:40	   22.09	       2	0	B	
09:40	   22.09	      94	0	S	
09:40	   22.15	       2	0	B	
09:40	   22.11	       5	0	S	
09:40	   22.11	       2	0	S	
09:40	   22.10	       1	0	B	
09:41	   22.11	      10	0	B	
09:41	   22.10	      34	0	S	
09:41	   22.11	       5	0	B	
09:41	   22.11	       4	0	B	
09:41	   22.11	       6	0	B	
09:41	   22.11	       2	0	B	
09:41	   22.11	       1	0	B	
09:42	   22.13	       9	0	B	
09:42	   22.14	       2	0	B	
09:42	   22.11	      11	0	S	
09:42	   22.13	      27	0	B	
09:42	   22.13	       2	0	S	
09:42	   22.14	      11	0	B	
09:42	   22.12	       1	0	S	
09:42	   22.16	      20	0	B	
09:42	   22.15	       2	0	B	
09:43	   22.12	       7	0	S	
09:43	   22.14	      15	0	B	
09:43	   22.11	       4	0	S	
09:43	   22.10	       1	0	S	
09:43	   22.10	      26	0	S	
09:43	   22.08	       1	0	S	
09:43	   22.09	       4	0	S	
09:44	   22.09	       2	0	
09:44	   22.08	       3	0	S	
09:44	   22.08	      10	0	S	
09:44	   22.01	       1	0	S	
09:44	   22.08	      15	0	B	
09:44	   22.02	      13	0	S	
09:44	   22.01	       1	0	S	
09:44	   22.01	       3	0	S	
09:45	   22.01	      36	0	S	
09:45	   22.00	      17	0	S	
09:45	   22.01	       2	0	B	
09:45	   22.00	      92	0	S	
09:45	   22.00	       2	0	S	
09:45	   21.98	      37	0	S	
09:45	   21.98	       3	0	S	
09:45	   21.94	       6	0	S	
09:45	   21.97	       4	0	B	
09:45	   21.97	      10	0	S	
09:45	   21.95	       1	0	S	
09:46	   21.98	       5	0	B	
