                  20250908 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   24.78	       0	0	
09:15	   23.99	       0	0	
09:15	   23.86	       0	0	
09:15	   23.82	       0	0	
09:16	   23.82	       0	0	
09:16	   23.80	       0	0	
09:16	   23.80	       0	0	
09:17	   23.80	       0	0	
09:17	   23.22	       0	0	
09:17	   23.25	       0	0	
09:17	   23.90	       0	0	
09:17	   23.90	       0	0	
09:18	   23.90	       0	0	
09:18	   23.99	       0	0	
09:18	   24.01	       0	0	
09:18	   23.99	       0	0	
09:19	   24.10	       0	0	
09:19	   24.01	       0	0	
09:20	   24.00	       0	0	
09:20	   24.02	       0	0	
09:20	   24.02	       0	0	
09:20	   24.10	       0	0	
09:20	   24.10	       0	0	
09:20	   24.10	       0	0	
09:21	   24.10	       0	0	
09:21	   24.10	       0	0	
09:21	   24.12	       0	0	
09:21	   24.10	       0	0	
09:21	   24.10	       0	0	
09:22	   24.10	       0	0	
09:22	   24.10	       0	0	
09:22	   24.10	       0	0	
09:22	   24.10	       0	0	
09:22	   24.10	       0	0	
09:22	   24.10	       0	0	
09:22	   24.10	       0	0	
09:22	   24.10	       0	0	
09:23	   24.10	       0	0	
09:23	   24.12	       0	0	
09:23	   24.12	       0	0	
09:23	   24.12	       0	0	
09:23	   24.12	       0	0	
09:23	   24.12	       0	0	
09:23	   24.12	       0	0	
09:23	   24.14	       0	0	
09:24	   24.14	       0	0	
09:24	   24.14	       0	0	
09:24	   24.15	       0	0	
09:24	   24.14	       0	0	
09:24	   24.14	       0	0	
09:24	   24.14	       0	0	
09:24	   24.14	       0	0	
09:24	   24.50	       0	0	
09:24	   24.50	       0	0	
09:24	   24.50	       0	0	
09:24	   24.50	       0	0	
09:24	   24.50	       0	0	
09:24	   24.50	       0	0	
09:24	   24.50	       0	0	
09:24	   24.50	       0	0	
09:24	   24.50	       0	0	
09:24	   24.50	       0	0	
09:24	   24.50	       0	0	
09:25	   24.50	     720	0	
09:30	   24.59	     342	0	B	
09:30	   24.58	     260	0	S	
09:30	   24.52	     244	0	S	
09:30	   24.57	      28	0	B	
09:30	   24.78	      51	0	B	
09:30	   24.57	      60	0	S	
09:30	   24.78	      98	0	B	
09:30	   24.59	     111	0	S	
09:30	   24.60	      23	0	B	
09:30	   24.76	      46	0	B	
09:30	   24.72	      69	0	S	
09:30	   24.59	     132	0	S	
09:30	   24.59	      72	0	B	
09:30	   24.57	      28	0	S	
09:30	   24.52	     130	0	S	
09:30	   24.57	      11	0	B	
09:30	   24.50	     681	0	S	
09:30	   24.50	     276	0	S	
09:30	   24.47	      56	0	S	
09:30	   24.41	      12	0	S	
09:31	   24.38	      97	0	S	
09:31	   24.40	      65	0	B	
09:31	   24.30	      38	0	S	
09:31	   24.30	      29	0	S	
09:31	   24.29	     100	0	S	
09:31	   24.25	     210	0	S	
09:31	   24.33	       3	0	B	
09:31	   24.25	      26	0	S	
09:31	   24.27	       7	0	B	
09:31	   24.24	     119	0	S	
09:31	   24.24	     111	0	B	
09:31	   24.40	      15	0	B	
09:31	   24.30	      18	0	S	
09:31	   24.40	       1	0	B	
09:31	   24.30	      79	0	S	
09:31	   24.30	     125	0	S	
09:31	   24.30	     260	0	B	
09:31	   24.30	       9	0	S	
09:31	   24.30	     145	0	S	
09:31	   24.32	       5	0	S	
09:32	   24.35	      78	0	B	
09:32	   24.32	       6	0	S	
09:32	   24.35	      80	0	B	
09:32	   24.35	      53	0	S	
09:32	   24.35	       4	0	B	
09:32	   24.35	      41	0	B	
09:32	   24.35	      12	0	S	
09:32	   24.35	      66	0	B	
09:32	   24.35	      15	0	B	
09:32	   24.35	      37	0	B	
09:32	   24.35	     131	0	B	
09:32	   24.35	     142	0	S	
09:32	   24.38	      16	0	B	
09:32	   24.35	      96	0	S	
09:32	   24.39	       8	0	B	
09:32	   24.38	      44	0	B	
09:33	   24.36	      16	0	S	
09:33	   24.36	     176	0	S	
09:33	   24.32	     165	0	S	
09:33	   24.30	      42	0	S	
09:33	   24.26	     120	0	S	
09:33	   24.25	      28	0	S	
09:33	   24.25	     162	0	S	
09:33	   24.22	      20	0	S	
09:33	   24.25	      68	0	B	
09:33	   24.20	      82	0	S	
09:33	   24.19	     157	0	S	
09:33	   24.14	     270	0	S	
09:33	   24.20	      18	0	B	
09:33	   24.12	     164	0	S	
09:33	   24.15	     254	0	B	
09:33	   24.14	      65	0	B	
09:33	   24.18	      32	0	B	
09:33	   24.14	      96	0	S	
09:33	   24.13	      13	0	B	
09:33	   24.13	      54	0	B	
09:34	   24.13	     430	0	B	
09:34	   24.13	      91	0	B	
09:34	   24.05	      79	0	S	
09:34	   24.09	       7	0	B	
