                  20250911 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   26.00	       0	0	
09:15	   25.88	       0	0	
09:15	   24.26	       0	0	
09:15	   24.20	       0	0	
09:16	   24.20	       0	0	
09:16	   26.00	       0	0	
09:16	   26.04	       0	0	
09:16	   26.04	       0	0	
09:16	   26.04	       0	0	
09:16	   26.04	       0	0	
09:16	   26.04	       0	0	
09:16	   26.04	       0	0	
09:16	   26.04	       0	0	
09:17	   26.04	       0	0	
09:17	   26.04	       0	0	
09:17	   26.04	       0	0	
09:17	   26.04	       0	0	
09:17	   23.50	       0	0	
09:17	   22.01	       0	0	
09:17	   26.00	       0	0	
09:17	   26.00	       0	0	
09:17	   26.00	       0	0	
09:17	   26.00	       0	0	
09:18	   26.04	       0	0	
09:18	   26.04	       0	0	
09:18	   26.04	       0	0	
09:18	   26.04	       0	0	
09:18	   26.04	       0	0	
09:18	   26.04	       0	0	
09:18	   26.04	       0	0	
09:18	   26.04	       0	0	
09:19	   26.04	       0	0	
09:19	   26.04	       0	0	
09:19	   23.40	       0	0	
09:20	   23.40	       0	0	
09:20	   23.40	       0	0	
09:20	   23.40	       0	0	
09:20	   23.40	       0	0	
09:21	   23.40	       0	0	
09:22	   23.40	       0	0	
09:22	   23.40	       0	0	
09:23	   23.40	       0	0	
09:23	   23.40	       0	0	
09:23	   23.40	       0	0	
09:23	   23.40	       0	0	
09:23	   23.40	       0	0	
09:23	   23.40	       0	0	
09:23	   23.40	       0	0	
09:23	   23.40	       0	0	
09:23	   23.40	       0	0	
09:24	   23.40	       0	0	
09:24	   23.40	       0	0	
09:24	   23.40	       0	0	
09:24	   23.40	       0	0	
09:24	   23.40	       0	0	
09:24	   23.40	       0	0	
09:24	   23.40	       0	0	
09:24	   23.40	       0	0	
09:24	   23.40	       0	0	
09:24	   23.23	       0	0	
09:24	   23.23	       0	0	
09:24	   23.23	       0	0	
09:25	   23.23	     291	0	
09:30	   23.15	     329	0	S	
09:30	   23.15	      96	0	S	
09:30	   23.13	      39	0	B	
09:30	   23.04	      61	0	S	
09:30	   23.13	       4	0	B	
09:30	   23.02	       5	0	S	
09:30	   23.04	     160	0	B	
09:30	   23.02	      39	0	S	
09:30	   23.11	      14	0	B	
09:30	   23.11	       1	0	B	
09:30	   23.12	      54	0	B	
09:30	   23.11	      11	0	S	
09:30	   23.04	       9	0	S	
09:30	   23.04	      67	0	S	
09:30	   23.03	      12	0	S	
09:30	   23.02	      57	0	S	
09:30	   23.02	      50	0	S	
09:30	   23.00	     115	0	S	
09:31	   22.97	      92	0	S	
09:31	   23.00	      37	0	B	
09:31	   23.01	      30	0	B	
09:31	   22.97	       8	0	B	
09:31	   22.92	      27	0	S	
09:31	   22.93	      43	0	S	
09:31	   22.93	      10	0	S	
09:31	   22.93	       8	0	S	
09:31	   23.00	      10	0	B	
09:31	   23.00	      25	0	B	
09:31	   23.00	      20	0	B	
09:31	   22.93	      22	0	S	
09:31	   22.93	      28	0	S	
09:32	   22.98	      10	0	B	
09:32	   22.93	       1	0	S	
09:32	   22.88	     166	0	S	
09:32	   22.87	       5	0	S	
09:32	   22.87	       1	0	B	
09:32	   22.86	      23	0	S	
09:32	   22.84	      57	0	S	
09:32	   22.84	      15	0	B	
09:32	   22.84	      10	0	S	
09:32	   22.86	       5	0	B	
09:32	   22.84	       9	0	S	
09:32	   22.84	      51	0	S	
09:32	   22.87	      24	0	B	
09:32	   22.86	      20	0	S	
09:32	   22.86	      51	0	S	
09:32	   22.86	      20	0	S	
09:33	   22.80	      98	0	S	
09:33	   22.85	       3	0	B	
09:33	   22.80	      13	0	S	
09:33	   22.80	      48	0	S	
09:33	   22.80	      30	0	S	
09:33	   22.81	      10	0	S	
09:33	   22.77	      57	0	S	
09:33	   22.75	      29	0	S	
09:33	   22.76	      19	0	S	
09:33	   22.78	       7	0	B	
09:33	   22.84	       3	0	B	
09:33	   22.85	       4	0	
09:33	   22.86	      41	0	B	
