                  20250917 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   22.48	       0	0	
09:15	   22.48	       0	0	
09:15	   22.50	       0	0	
09:15	   22.51	       0	0	
09:15	   16.98	       0	0	
09:15	   22.48	       0	0	
09:16	   23.58	       0	0	
09:16	   25.80	       0	0	
09:16	   25.80	       0	0	
09:16	   25.80	       0	0	
09:16	   25.80	       0	0	
09:17	   25.80	       0	0	
09:17	   25.80	       0	0	
09:17	   25.80	       0	0	
09:17	   25.80	       0	0	
09:17	   25.00	       0	0	
09:17	   24.97	       0	0	
09:18	   24.97	       0	0	
09:18	   24.00	       0	0	
09:18	   24.00	       0	0	
09:18	   24.03	       0	0	
09:18	   24.03	       0	0	
09:19	   24.03	       0	0	
09:19	   23.68	       0	0	
09:19	   23.68	       0	0	
09:19	   23.68	       0	0	
09:20	   23.60	       0	0	
09:20	   23.60	       0	0	
09:20	   23.68	       0	0	
09:21	   23.68	       0	0	
09:21	   23.68	       0	0	
09:21	   23.68	       0	0	
09:21	   23.68	       0	0	
09:21	   23.68	       0	0	
09:21	   23.68	       0	0	
09:21	   23.68	       0	0	
09:22	   23.68	       0	0	
09:22	   23.68	       0	0	
09:22	   23.68	       0	0	
09:22	   23.68	       0	0	
09:22	   23.68	       0	0	
09:22	   23.68	       0	0	
09:22	   23.68	       0	0	
09:22	   23.68	       0	0	
09:22	   23.60	       0	0	
09:22	   23.60	       0	0	
09:22	   23.58	       0	0	
09:23	   23.00	       0	0	
09:23	   23.00	       0	0	
09:23	   23.05	       0	0	
09:23	   23.05	       0	0	
09:24	   23.08	       0	0	
09:24	   23.08	       0	0	
09:24	   23.07	       0	0	
09:24	   23.08	       0	0	
09:24	   23.07	       0	0	
09:24	   23.08	       0	0	
09:24	   23.08	       0	0	
09:25	   23.08	     290	0	
09:30	   23.08	     105	0	S	
09:30	   23.13	      92	0	B	
09:30	   23.13	      30	0	B	
09:30	   23.20	       2	0	B	
09:30	   23.20	       6	0	S	
09:30	   23.21	      12	0	B	
09:30	   23.21	      13	0	S	
09:30	   23.24	      22	0	B	
09:30	   23.21	      74	0	S	
09:30	   23.21	      24	0	S	
09:30	   23.25	      51	0	B	
09:30	   23.15	      13	0	S	
09:30	   23.23	      27	0	B	
09:30	   23.23	       4	0	B	
09:30	   23.16	      13	0	S	
09:30	   23.13	      37	0	S	
09:30	   23.13	      15	0	S	
09:30	   23.16	       5	0	S	
09:31	   23.16	      30	0	S	
09:31	   23.16	      38	0	S	
09:31	   23.16	      11	0	B	
09:31	   23.22	     148	0	B	
09:31	   23.14	      10	0	S	
09:31	   23.13	       3	0	S	
09:31	   23.10	       7	0	S	
09:31	   23.09	      71	0	S	
09:31	   23.10	       5	0	B	
09:31	   23.01	      10	0	S	
09:31	   23.01	       3	0	S	
09:31	   23.10	       7	0	B	
09:31	   23.08	      15	0	B	
09:31	   23.10	       6	0	B	
09:32	   23.10	       1	0	S	
09:32	   23.10	       6	0	S	
09:32	   23.02	      43	0	S	
09:32	   23.02	       2	0	S	
09:32	   23.01	       6	0	S	
09:32	   23.14	       5	0	B	
09:32	   23.14	       2	0	B	
09:32	   23.15	      50	0	B	
09:32	   23.15	       7	0	B	
09:32	   23.16	      21	0	B	
09:32	   23.16	      33	0	B	
09:32	   23.16	      74	0	B	
09:33	   23.16	      89	0	B	
09:33	   23.20	      10	0	B	
09:33	   23.20	       3	0	S	
09:33	   23.21	      12	0	B	
09:33	   23.21	       9	0	B	
09:33	   23.20	      15	0	S	
09:33	   23.20	       8	0	B	
09:33	   23.21	      13	0	S	
09:33	   23.18	      11	0	S	
09:33	   23.21	       1	0	B	
09:33	   23.18	       1	0	S	
09:33	   23.21	      30	0	B	
09:33	   23.20	      11	0	B	
09:33	   23.21	      87	0	B	
09:33	   23.18	       3	0	S	
09:33	   23.21	      17	0	B	
09:34	   23.21	      15	0	B	
09:34	   23.21	      80	0	S	
09:34	   23.23	     106	0	B	
09:34	   23.25	      76	0	B	
09:34	   23.28	       9	0	B	
09:34	   23.29	       2	0	B	
09:34	   23.23	      28	0	S	
09:34	   23.30	       4	0	B	
09:34	   23.30	       3	0	B	
09:34	   23.29	      50	0	B	
09:34	   23.30	      42	0	B	
09:34	   23.31	      40	0	B	
09:34	   23.30	      32	0	S	
09:34	   23.30	      13	0	S	
09:34	   23.31	      10	0	S	
09:34	   23.30	      30	0	S	
09:34	   23.30	      50	0	S	
09:34	   23.29	      51	0	S	
09:35	   23.30	      12	0	B	
09:35	   23.21	       2	0	S	
09:35	   23.21	      27	0	S	
09:35	   23.30	      51	0	B	
09:35	   23.28	       2	0	S	
09:35	   23.30	       8	0	B	
09:35	   23.36	     194	0	B	
09:35	   23.30	       5	0	S	
09:35	   23.28	      10	0	S	
09:35	   23.30	       5	0	B	
09:35	   23.36	     100	0	B	
09:35	   23.36	       8	0	B	
09:35	   23.36	      81	0	B	
09:35	   23.38	      72	0	B	
09:36	   23.39	      42	0	B	
09:36	   23.39	      51	0	B	
09:36	   23.40	     174	0	B	
09:36	   23.39	      59	0	S	
09:36	   23.39	       1	0	S	
09:36	   23.38	      27	0	S	
09:36	   23.45	      17	0	B	
09:36	   23.45	      50	0	S	
09:36	   23.40	       3	0	
09:36	   23.40	       7	0	S	
09:36	   23.41	      43	0	B	
09:36	   23.41	      38	0	S	
09:36	   23.41	      32	0	S	
09:36	   23.41	      80	0	B	
09:36	   23.44	      72	0	B	
09:36	   23.41	      20	0	B	
09:36	   23.33	       2	0	S	
09:36	   23.40	      35	0	B	
09:36	   23.33	       6	0	S	
09:37	   23.31	      70	0	S	
09:37	   23.39	       5	0	B	
09:37	   23.39	      16	0	B	
09:37	   23.39	      23	0	B	
09:37	   23.39	      24	0	B	
09:37	   23.40	      78	0	B	
09:37	   23.40	     198	0	B	
09:37	   23.40	      66	0	B	
09:37	   23.40	      19	0	B	
09:37	   23.36	      10	0	B	
09:37	   23.40	      31	0	B	
09:37	   23.40	      35	0	S	
09:37	   23.40	      21	0	S	
09:37	   23.40	      11	0	S	
09:37	   23.33	      26	0	S	
09:37	   23.40	       3	0	B	
09:37	   23.40	       2	0	S	
09:38	   23.33	       3	0	S	
09:38	   23.34	      28	0	S	
09:38	   23.34	       1	0	S	
09:38	   23.38	      25	0	B	
09:38	   23.38	      71	0	S	
09:38	   23.38	      24	0	S	
09:38	   23.38	      18	0	S	
09:38	   23.38	      20	0	S	
09:38	   23.40	      85	0	B	
09:38	   23.39	       4	0	S	
09:38	   23.38	      43	0	S	
09:38	   23.38	      20	0	S	
09:38	   23.33	      80	0	S	
09:38	   23.31	      18	0	S	
09:38	   23.33	      10	0	S	
09:38	   23.31	      66	0	S	
09:38	   23.33	      52	0	B	
09:39	   23.31	     182	0	S	
09:39	   23.33	      25	0	B	
09:39	   23.30	     277	0	S	
09:39	   23.30	       5	0	B	
09:39	   23.23	      52	0	B	
09:39	   23.21	       5	0	S	
09:39	   23.20	      15	0	S	
09:39	   23.18	     154	0	S	
09:39	   23.18	       4	0	S	
09:39	   23.18	       8	0	B	
09:40	   23.16	       6	0	S	
09:40	   23.16	      14	0	S	
09:40	   23.15	      46	0	S	
09:40	   23.15	       8	0	S	
09:40	   23.15	      25	0	B	
09:40	   23.15	       7	0	B	
09:40	   23.15	      57	0	B	
09:40	   23.15	     216	0	B	
09:40	   23.15	       7	0	B	
09:40	   23.17	       9	0	B	
09:40	   23.17	       1	0	B	
09:40	   23.18	      36	0	B	
09:40	   23.17	       9	0	S	
09:40	   23.16	      17	0	B	
09:41	   23.20	       1	0	B	
09:41	   23.16	       9	0	S	
09:41	   23.16	       0	0	S	
09:41	   23.16	      29	0	B	
09:41	   23.14	      21	0	S	
09:41	   23.13	     100	0	S	
09:41	   23.11	       5	0	S	
09:41	   23.11	       8	0	S	
09:41	   23.11	      10	0	B	
09:41	   23.10	      10	0	S	
09:41	   23.11	       5	0	B	
09:41	   23.10	      15	0	S	
09:41	   23.10	      15	0	B	
09:41	   23.10	      60	0	B	
09:41	   23.08	      51	0	S	
09:42	   23.08	       7	0	B	
09:42	   23.10	     211	0	B	
09:42	   23.11	       9	0	B	
09:42	   23.11	      12	0	B	
09:42	   23.11	      20	0	S	
09:43	   23.20	       1	0	B	
09:43	   23.20	       1	0	B	
09:43	   23.14	       6	0	S	
09:43	   23.13	       2	0	S	
09:43	   23.14	       2	0	S	
09:43	   23.14	      18	0	B	
09:44	   23.19	       1	0	B	
09:44	   23.19	       4	0	B	
09:44	   23.19	      20	0	S	
09:44	   23.19	      63	0	S	
09:44	   23.14	       5	0	S	
09:44	   23.12	       3	0	S	
09:44	   23.19	      31	0	B	
09:44	   23.12	      18	0	S	
09:45	   23.12	       1	0	S	
09:45	   23.12	      36	0	S	
09:45	   23.12	       3	0	B	
09:45	   23.14	       4	0	B	
09:45	   23.14	       3	0	S	
09:45	   23.12	       2	0	S	
09:45	   23.12	       5	0	S	
09:45	   23.12	       2	0	S	
09:46	   23.12	       6	0	S	
09:46	   23.12	      13	0	S	
09:46	   23.11	      11	0	S	
09:46	   23.11	      17	0	S	
09:46	   23.14	      16	0	B	
09:46	   23.10	     116	0	S	
09:46	   23.09	      40	0	S	
09:46	   23.09	       4	0	S	
09:46	   23.09	      16	0	S	
09:46	   23.07	     143	0	S	
09:46	   23.07	      11	0	S	
09:46	   23.06	       6	0	S	
09:46	   23.05	      11	0	S	
09:47	   23.04	      75	0	S	
09:47	   23.03	      26	0	S	
09:47	   23.03	      20	0	S	
09:47	   23.03	       6	0	S	
09:47	   23.04	      70	0	S	
09:47	   23.04	      10	0	B	
09:47	   23.04	      26	0	B	
09:48	   23.06	       5	0	S	
09:48	   23.06	       5	0	S	
09:49	   23.05	      36	0	S	
09:49	   23.05	      12	0	S	
09:49	   23.05	       5	0	B	
09:49	   23.04	      36	0	S	
09:49	   23.03	      21	0	S	
09:49	   23.03	       1	0	S	
09:49	   23.03	      30	0	S	
09:49	   23.02	      40	0	S	
09:49	   23.02	      57	0	S	
09:49	   23.02	     146	0	S	
09:49	   23.00	      45	0	S	
09:49	   23.00	      48	0	S	
09:49	   22.98	      64	0	S	
09:49	   22.99	       3	0	
09:49	   22.99	      19	0	S	
09:50	   22.99	       9	0	S	
09:50	   22.99	       1	0	S	
09:50	   22.99	      13	0	S	
09:50	   22.98	      31	0	S	
09:50	   22.98	       9	0	B	
09:50	   22.98	       4	0	B	
09:50	   22.98	       6	0	B	
09:50	   22.98	       8	0	B	
09:50	   22.99	       4	0	B	
09:50	   22.98	      32	0	S	
09:50	   22.98	       2	0	B	
09:50	   22.98	       5	0	B	
09:50	   22.96	      10	0	S	
09:50	   22.96	       5	0	B	
09:50	   22.96	       1	0	S	
09:51	   22.98	      15	0	B	
09:51	   22.99	      10	0	B	
09:51	   23.00	      17	0	B	
09:51	   23.03	      16	0	B	
09:51	   23.03	      42	0	B	
09:51	   23.03	       2	0	B	
09:51	   23.03	      22	0	B	
09:51	   23.03	      20	0	B	
09:51	   23.03	      11	0	B	
09:51	   23.03	       2	0	B	
09:51	   23.03	       2	0	B	
09:52	   22.99	       9	0	S	
09:52	   22.99	       1	0	B	
09:52	   23.00	       6	0	S	
09:52	   22.99	       4	0	S	
09:52	   22.99	       2	0	B	
09:52	   22.98	       9	0	S	
09:52	   22.98	      48	0	S	
09:52	   22.96	       1	0	S	
09:52	   22.90	     258	0	S	
09:52	   22.90	      20	0	B	
09:52	   22.90	      30	0	B	
09:52	   22.89	      14	0	S	
09:53	   22.89	       5	0	B	
09:53	   22.91	      30	0	S	
09:53	   22.91	      21	0	B	
09:53	   22.90	      10	0	S	
09:53	   22.91	       5	0	S	
09:53	   22.91	      20	0	S	
09:53	   22.93	       8	0	S	
09:53	   22.92	       4	0	S	
09:53	   22.93	       2	0	B	
09:53	   22.93	       4	0	S	
09:54	   22.93	      30	0	B	
09:54	   22.92	      23	0	S	
09:54	   22.92	      16	0	S	
09:54	   22.91	      21	0	S	
09:54	   22.91	       7	0	S	
09:54	   22.91	      14	0	S	
09:54	   22.91	       1	0	S	
09:54	   22.91	      44	0	S	
09:54	   22.91	       1	0	S	
09:54	   22.90	     140	0	S	
09:54	   22.90	      49	0	S	
09:54	   22.90	       3	0	S	
09:54	   22.90	      12	0	S	
09:55	   22.90	       6	0	S	
09:55	   22.90	      16	0	S	
