                  20250919 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   22.56	       0	0	
09:15	   16.18	       0	0	
09:15	   21.88	       0	0	
09:15	   21.92	       0	0	
09:16	   21.92	       0	0	
09:16	   22.01	       0	0	
09:17	   22.01	       0	0	
09:17	   22.01	       0	0	
09:17	   22.01	       0	0	
09:17	   17.00	       0	0	
09:17	   17.00	       0	0	
09:17	   17.00	       0	0	
09:17	   17.00	       0	0	
09:17	   17.00	       0	0	
09:18	   17.00	       0	0	
09:18	   22.01	       0	0	
09:18	   22.01	       0	0	
09:19	   22.01	       0	0	
09:19	   22.90	       0	0	
09:19	   23.01	       0	0	
09:19	   23.01	       0	0	
09:20	   23.01	       0	0	
09:21	   23.01	       0	0	
09:22	   23.00	       0	0	
09:24	   22.98	       0	0	
09:24	   22.98	       0	0	
09:24	   22.97	       0	0	
09:24	   22.95	       0	0	
09:24	   22.97	       0	0	
09:24	   22.95	       0	0	
09:24	   22.93	       0	0	
09:24	   22.93	       0	0	
09:25	   22.93	      36	0	
09:30	   22.90	     133	0	S	
09:30	   22.88	       2	0	B	
09:30	   22.88	      50	0	B	
09:30	   22.87	      37	0	S	
09:30	   22.85	       7	0	S	
09:30	   22.83	       3	0	S	
09:30	   22.83	      11	0	S	
09:30	   22.80	      18	0	S	
09:30	   22.77	       5	0	S	
09:30	   22.76	       9	0	S	
09:30	   22.80	      16	0	B	
09:30	   22.76	      30	0	S	
09:30	   22.76	       6	0	B	
09:30	   22.77	       3	0	S	
09:31	   22.77	      10	0	S	
09:31	   22.77	       6	0	S	
09:31	   22.78	      16	0	B	
09:31	   22.77	      18	0	S	
09:31	   22.77	      22	0	S	
09:31	   22.76	       2	0	S	
09:31	   22.76	      27	0	S	
09:31	   22.76	       5	0	B	
09:31	   22.72	      10	0	S	
09:31	   22.72	      28	0	B	
09:31	   22.71	      32	0	S	
09:31	   22.71	      48	0	S	
09:32	   22.71	      18	0	S	
09:32	   22.71	      23	0	S	
09:32	   22.71	      11	0	S	
09:32	   22.72	       1	0	B	
09:32	   22.72	       3	0	B	
09:32	   22.74	       3	0	B	
09:32	   22.72	       8	0	S	
09:32	   22.72	       6	0	B	
09:32	   22.72	      46	0	B	
09:32	   22.69	      11	0	S	
09:33	   22.72	       3	0	S	
09:33	   22.69	      33	0	S	
09:33	   22.72	       1	0	S	
09:33	   22.72	       4	0	B	
09:33	   22.69	       5	0	S	
09:33	   22.69	      25	0	S	
09:33	   22.69	       7	0	S	
09:33	   22.69	      16	0	S	
09:33	   22.72	      78	0	B	
09:34	   22.72	       2	0	B	
09:34	   22.67	       3	0	S	
09:34	   22.67	       6	0	S	
09:34	   22.67	      13	0	S	
09:34	   22.69	      89	0	B	
09:34	   22.72	      40	0	B	
09:34	   22.68	       6	0	S	
09:34	   22.80	      12	0	B	
09:36	   22.80	       1	0	B	
09:36	   22.80	       7	0	S	
09:36	   22.71	       1	0	S	
09:36	   22.71	       7	0	S	
09:36	   22.71	       4	0	B	
09:36	   22.70	      35	0	S	
09:36	   22.70	       2	0	S	
09:37	   22.70	       1	0	S	
09:37	   22.77	       5	0	B	
09:38	   22.77	       3	0	B	
09:38	   22.70	       1	0	S	
09:38	   22.70	       5	0	S	
09:38	   22.77	       2	0	B	
09:38	   22.77	      31	0	S	
09:38	   22.70	       1	0	S	
09:38	   22.70	      22	0	S	
09:38	   22.69	      16	0	S	
09:38	   22.69	      65	0	S	
09:38	   22.68	      49	0	S	
09:38	   22.67	      76	0	S	
09:38	   22.66	     214	0	S	
09:38	   22.61	      60	0	S	
09:38	   22.59	      47	0	S	
09:38	   22.58	       7	0	S	
09:39	   22.56	       6	0	S	
09:39	   22.61	       5	0	B	
09:39	   22.56	      54	0	S	
09:39	   22.58	       3	0	S	
09:39	   22.65	       3	0	B	
09:39	   22.65	       3	0	B	
09:39	   22.66	       8	0	S	
09:40	   22.64	       9	0	B	
09:40	   22.64	       6	0	B	
09:40	   22.64	       1	0	B	
09:40	   22.64	       1	0	B	
09:40	   22.60	       3	0	S	
09:40	   22.60	      32	0	S	
09:40	   22.64	      40	0	B	
09:40	   22.59	      24	0	S	
09:41	   22.60	      10	0	S	
09:41	   22.64	       5	0	B	
09:41	   22.64	       5	0	B	
09:42	   22.60	      23	0	S	
09:42	   22.60	      22	0	S	
09:42	   22.60	      22	0	S	
09:42	   22.60	      36	0	S	
09:42	   22.60	       6	0	S	
09:42	   22.60	     104	0	S	
09:42	   22.59	      95	0	S	
09:42	   22.58	      28	0	S	
09:42	   22.56	      20	0	S	
09:42	   22.56	      14	0	S	
09:42	   22.56	       1	0	S	
09:42	   22.55	       5	0	S	
09:43	   22.56	       4	0	B	
09:43	   22.56	      82	0	S	
09:43	   22.55	      17	0	S	
09:43	   22.53	       5	0	S	
09:43	   22.53	       6	0	B	
09:43	   22.53	       1	0	B	
09:43	   22.53	       5	0	B	
09:43	   22.53	      15	0	B	
09:43	   22.50	     350	0	S	
09:43	   22.50	      30	0	S	
09:43	   22.50	       5	0	S	
09:44	   22.41	      53	0	S	
09:44	   22.48	       8	0	B	
09:44	   22.41	      25	0	S	
09:44	   22.40	     181	0	S	
09:44	   22.40	      69	0	B	
09:44	   22.40	     159	0	S	
09:44	   22.41	       3	0	S	
09:44	   22.41	       4	0	S	
09:45	   22.50	      17	0	B	
09:45	   22.56	      83	0	B	
09:45	   22.59	      13	0	B	
09:45	   22.56	       2	0	B	
09:45	   22.56	      56	0	B	
09:45	   22.49	       6	0	B	
09:45	   22.50	       5	0	S	
09:45	   22.56	      10	0	B	
09:46	   22.58	       3	0	B	
09:46	   22.59	       3	0	B	
09:46	   22.59	       3	0	B	
09:47	   22.55	       2	0	B	
09:47	   22.55	       2	0	B	
09:47	   22.55	       1	0	B	
09:47	   22.59	       5	0	B	
09:47	   22.55	      25	0	S	
09:47	   22.60	       1	0	B	
09:47	   22.55	      28	0	S	
09:47	   22.59	       2	0	B	
09:48	   22.55	       9	0	S	
09:48	   22.55	      10	0	S	
09:48	   22.55	       1	0	B	
09:48	   22.53	      36	0	S	
09:48	   22.53	       0	0	S	
09:48	   22.55	       2	0	B	
09:48	   22.53	     163	0	S	
09:48	   22.55	       8	0	B	
09:48	   22.55	       1	0	B	
09:49	   22.53	       1	0	B	
09:49	   22.51	     161	0	S	
09:49	   22.53	       6	0	B	
09:49	   22.55	       7	0	B	
09:49	   22.55	      33	0	B	
09:49	   22.55	      43	0	B	
09:49	   22.59	       6	0	B	
09:49	   22.59	      33	0	B	
09:49	   22.60	      23	0	B	
09:49	   22.60	     101	0	B	
09:49	   22.64	      34	0	B	
09:49	   22.64	       2	0	B	
09:49	   22.64	      53	0	B	
09:49	   22.67	       8	0	B	
09:50	   22.67	       2	0	B	
09:50	   22.65	       2	0	S	
09:50	   22.61	       5	0	S	
09:50	   22.49	      51	0	S	
09:51	   22.61	       3	0	B	
09:51	   22.60	       1	0	B	
09:52	   22.60	       1	0	B	
09:52	   22.52	       2	0	S	
09:53	   22.52	       5	0	B	
09:53	   22.59	       1	0	B	
09:53	   22.52	      10	0	S	
09:54	   22.58	       1	0	B	
09:54	   22.53	      11	0	S	
09:54	   22.58	       2	0	B	
09:54	   22.58	       8	0	S	
09:55	   22.58	       1	0	B	
09:55	   22.58	       1	0	B	
09:55	   22.58	       3	0	B	
09:55	   22.57	      10	0	S	
09:55	   22.55	       5	0	S	
09:55	   22.55	       6	0	S	
09:55	   22.55	      19	0	S	
09:56	   22.58	       1	0	B	
09:56	   22.58	       5	0	B	
09:57	   22.61	      20	0	B	
09:57	   22.58	      50	0	S	
09:57	   22.58	      30	0	B	
09:57	   22.56	       2	0	S	
09:57	   22.52	     134	0	S	
09:57	   22.51	      17	0	S	
09:57	   22.51	       6	0	S	
09:57	   22.52	     134	0	B	
09:57	   22.50	      59	0	S	
09:58	   22.50	      16	0	S	
09:58	   22.50	      29	0	B	
09:58	   22.50	      55	0	B	
09:58	   22.52	      44	0	B	
09:58	   22.52	      75	0	B	
09:58	   22.58	       3	0	B	
09:58	   22.58	       3	0	S	
09:58	   22.58	      45	0	S	
09:58	   22.61	      13	0	B	
09:58	   22.58	       2	0	B	
09:59	   22.52	       2	0	S	
10:00	   22.52	      70	0	S	
10:00	   22.49	      43	0	S	
10:01	   22.49	       2	0	S	
10:01	   22.49	       8	0	S	
10:01	   22.48	      37	0	S	
10:01	   22.48	      37	0	S	
10:01	   22.48	       1	0	S	
10:01	   22.45	     149	0	S	
10:01	   22.45	       0	0	S	
10:01	   22.42	      64	0	S	
10:02	   22.42	      10	0	B	
10:02	   22.41	      76	0	S	
10:02	   22.45	     169	0	B	
10:02	   22.40	     241	0	S	
10:02	   22.51	      10	0	B	
10:02	   22.51	       4	0	S	
10:02	   22.43	       2	0	S	
10:02	   22.43	       1	0	B	
10:02	   22.50	      30	0	B	
10:02	   22.50	      35	0	B	
10:02	   22.50	      47	0	B	
10:02	   22.50	      73	0	S	
10:02	   22.51	      39	0	B	
10:03	   22.52	       4	0	B	
10:03	   22.54	       8	0	B	
10:03	   22.58	      80	0	B	
10:03	   22.61	      47	0	B	
10:03	   22.61	      29	0	B	
10:03	   22.66	      19	0	B	
10:03	   22.67	       0	0	B	
10:03	   22.67	       8	0	S	
10:04	   22.57	       6	0	S	
10:05	   22.50	      15	0	S	
10:06	   22.50	      29	0	S	
10:06	   22.50	       1	0	S	
10:06	   22.50	       4	0	B	
10:06	   22.50	       1	0	S	
10:06	   22.48	       0	0	S	
10:06	   22.50	      29	0	B	
10:06	   22.45	      10	0	S	
10:06	   22.45	       2	0	B	
10:07	   22.45	       7	0	S	
10:07	   22.45	       6	0	S	
10:07	   22.44	      23	0	S	
10:07	   22.44	       0	0	S	
10:07	   22.45	       8	0	B	
10:07	   22.45	      10	0	S	
10:07	   22.45	     117	0	S	
10:07	   22.44	       2	0	S	
10:07	   22.45	       1	0	B	
10:07	   22.45	      21	0	S	
10:08	   22.45	       1	0	S	
10:08	   22.45	       7	0	S	
10:08	   22.48	       8	0	S	
10:08	   22.49	       5	0	B	
10:08	   22.49	       8	0	S	
10:09	   22.45	       6	0	S	
10:09	   22.46	       2	0	S	
10:09	   22.45	      99	0	S	
10:09	   22.45	      11	0	S	
10:10	   22.44	      23	0	S	
10:10	   22.44	      19	0	B	
10:10	   22.43	      33	0	S	
10:10	   22.49	       8	0	B	
10:10	   22.49	       6	0	S	
10:11	   22.43	      32	0	S	
10:11	   22.43	       1	0	B	
10:11	   22.44	      27	0	S	
10:11	   22.44	      33	0	S	
10:12	   22.45	       5	0	S	
10:12	   22.45	      15	0	B	
10:12	   22.49	       8	0	B	
10:12	   22.49	      14	0	S	
10:13	   22.49	       4	0	B	
10:13	   22.50	      26	0	B	
10:13	   22.50	      81	0	B	
10:13	   22.50	      34	0	B	
10:13	   22.54	       5	0	B	
10:13	   22.54	      19	0	B	
10:13	   22.54	       2	0	B	
10:13	   22.54	       1	0	B	
10:13	   22.50	       4	0	S	
10:13	   22.50	       4	0	B	
10:13	   22.54	       2	0	B	
10:14	   22.54	      10	0	S	
10:14	   22.54	       0	0	S	
10:15	   22.59	      10	0	B	
10:16	   22.53	      12	0	S	
10:16	   22.54	       3	0	B	
10:16	   22.48	      25	0	S	
10:17	   22.53	       0	0	S	
10:17	   22.59	      23	0	B	
10:18	   22.53	       2	0	S	
10:18	   22.59	      10	0	B	
10:19	   22.53	      13	0	S	
10:19	   22.50	       1	0	S	
10:19	   22.58	       5	0	B	
10:19	   22.58	      11	0	S	
10:19	   22.58	      23	0	S	
10:19	   22.58	       1	0	S	
10:19	   22.58	       1	0	S	
10:19	   22.58	       4	0	S	
10:20	   22.50	       1	0	S	
10:20	   22.50	       2	0	S	
10:21	   22.52	       2	0	S	
10:21	   22.50	      11	0	S	
10:21	   22.58	       1	0	B	
10:22	   22.53	       1	0	S	
10:23	   22.53	       4	0	S	
10:23	   22.58	       2	0	B	
10:23	   22.58	      26	0	S	
10:24	   22.58	      57	0	B	
10:24	   22.53	       5	0	S	
10:24	   22.54	       0	0	S	
10:26	   22.55	      21	0	S	
10:26	   22.54	       9	0	S	
10:26	   22.55	       3	0	B	
10:27	   22.55	       3	0	B	
10:27	   22.55	      12	0	B	
10:28	   22.55	       1	0	S	
10:29	   22.56	      30	0	S	
10:29	   22.56	      13	0	B	
10:29	   22.56	       7	0	B	
10:30	   22.57	       6	0	S	
10:30	   22.57	       2	0	S	
10:30	   22.55	      78	0	S	
10:31	   22.55	       2	0	B	
10:32	   22.58	       4	0	B	
10:32	   22.56	      31	0	S	
10:32	   22.55	      19	0	S	
10:32	   22.55	      19	0	S	
10:32	   22.55	      22	0	S	
10:32	   22.54	      15	0	S	
10:32	   22.54	       8	0	S	
10:32	   22.54	      16	0	S	
10:32	   22.53	      37	0	S	
10:33	   22.53	      22	0	S	
10:33	   22.53	       5	0	S	
10:33	   22.50	      51	0	S	
10:33	   22.48	      20	0	S	
10:33	   22.48	       8	0	S	
10:34	   22.50	      39	0	B	
10:37	   22.50	      15	0	S	
10:37	   22.50	      17	0	B	
10:38	   22.49	       2	0	S	
10:38	   22.49	       8	0	S	
10:38	   22.48	      12	0	S	
10:38	   22.47	      13	0	S	
10:38	   22.46	       8	0	S	
10:39	   22.47	      46	0	B	
10:39	   22.46	      12	0	S	
10:39	   22.46	       7	0	B	
10:39	   22.46	       1	0	B	
10:39	   22.46	      22	0	B	
10:39	   22.47	       1	0	B	
10:40	   22.47	      11	0	S	
10:40	   22.47	      15	0	B	
10:40	   22.47	       4	0	B	
10:41	   22.46	      16	0	S	
10:41	   22.47	      21	0	B	
10:41	   22.47	       3	0	B	
10:41	   22.47	       2	0	B	
10:42	   22.47	       4	0	S	
10:43	   22.49	       3	0	S	
10:43	   22.49	       7	0	B	
10:43	   22.49	       3	0	B	
10:45	   22.49	       5	0	B	
10:45	   22.48	       9	0	S	
10:47	   22.48	      17	0	B	
10:47	   22.48	      15	0	B	
10:47	   22.48	      19	0	B	
10:48	   22.48	      22	0	S	
10:48	   22.48	       1	0	S	
10:48	   22.48	      11	0	B	
10:49	   22.47	       2	0	S	
10:49	   22.47	      19	0	S	
10:49	   22.47	      20	0	S	
10:49	   22.47	       1	0	S	
10:49	   22.47	      10	0	S	
10:49	   22.47	       7	0	S	
10:50	   22.46	      25	0	S	
10:50	   22.46	       2	0	S	
10:50	   22.47	      10	0	B	
10:51	   22.47	       1	0	B	
10:51	   22.48	      55	0	B	
10:52	   22.46	       1	0	S	
10:52	   22.46	       9	0	S	
10:53	   22.47	       7	0	B	
10:53	   22.46	       2	0	S	
10:53	   22.46	      10	0	S	
10:53	   22.46	      18	0	S	
10:53	   22.46	      18	0	S	
10:53	   22.46	      17	0	S	
10:54	   22.46	       2	0	S	
10:54	   22.45	       3	0	S	
10:54	   22.44	     136	0	S	
10:54	   22.43	      21	0	S	
10:54	   22.43	       1	0	S	
10:54	   22.43	       8	0	S	
10:54	   22.42	      53	0	S	
10:54	   22.42	       3	0	S	
10:55	   22.47	       1	0	B	
10:56	   22.43	      15	0	S	
10:57	   22.42	       3	0	S	
10:58	   22.43	       1	0	S	
10:58	   22.41	     140	0	S	
10:58	   22.42	      21	0	S	
10:59	   22.42	      10	0	B	
10:59	   22.42	       8	0	S	
10:59	   22.45	       4	0	S	
11:00	   22.46	       2	0	B	
11:00	   22.46	       1	0	B	
11:00	   22.47	       2	0	B	
11:00	   22.48	      48	0	S	
11:00	   22.48	       1	0	B	
11:00	   22.48	       1	0	B	
11:01	   22.48	       8	0	S	
11:01	   22.48	       0	0	S	
11:02	   22.46	       1	0	B	
11:05	   22.44	      18	0	S	
11:05	   22.44	      12	0	B	
11:05	   22.44	       0	0	B	
11:05	   22.42	      40	0	S	
11:06	   22.42	      27	0	S	
11:06	   22.42	      17	0	S	
11:06	   22.41	      23	0	S	
11:06	   22.42	       1	0	B	
11:07	   22.50	       4	0	B	
11:07	   22.42	       3	0	S	
11:07	   22.50	      29	0	B	
11:08	   22.50	      12	0	S	
11:08	   22.50	       9	0	S	
11:08	   22.54	       3	0	B	
11:14	   22.44	      71	0	S	
11:16	   22.45	      12	0	S	
11:20	   22.45	       2	0	S	
11:22	   22.45	      10	0	S	
11:22	   22.45	      19	0	S	
11:24	   22.52	      20	0	B	
11:24	   22.51	       2	0	B	
11:24	   22.51	       1	0	B	
11:24	   22.45	       1	0	S	
11:25	   22.53	       1	0	S	
11:28	   22.53	      11	0	B	
13:02	   22.50	       5	0	S	
13:02	   22.50	      15	0	S	
13:02	   22.50	      15	0	B	
13:02	   22.52	       6	0	B	
13:02	   22.50	       5	0	B	
13:03	   22.50	       6	0	B	
13:03	   22.49	       4	0	B	
13:03	   22.50	      20	0	B	
13:03	   22.50	       5	0	B	
13:03	   22.50	      11	0	B	
13:04	   22.54	       3	0	B	
13:04	   22.54	       3	0	B	
13:05	   22.54	      10	0	S	
13:05	   22.54	       1	0	B	
13:05	   22.50	       0	0	B	
13:05	   22.50	      10	0	S	
13:05	   22.50	       1	0	B	
13:06	   22.49	       4	0	S	
13:06	   22.50	       2	0	B	
13:06	   22.49	      52	0	S	
13:06	   22.50	      14	0	B	
13:06	   22.50	       1	0	B	
13:07	   22.50	       1	0	B	
13:07	   22.49	       3	0	S	
13:07	   22.48	      26	0	S	
13:07	   22.50	       2	0	B	
13:07	   22.49	       1	0	S	
13:07	   22.50	       8	0	B	
13:08	   22.54	       1	0	B	
13:08	   22.54	       5	0	B	
13:08	   22.53	      12	0	B	
13:09	   22.54	      10	0	B	
13:09	   22.53	       5	0	S	
13:09	   22.53	      12	0	S	
13:09	   22.54	       1	0	B	
13:10	   22.50	      50	0	S	
13:12	   22.51	      18	0	S	
13:12	   22.54	       1	0	B	
13:14	   22.54	       1	0	B	
13:15	   22.50	      20	0	S	
13:17	   22.51	       5	0	S	
13:17	   22.51	       1	0	B	
13:17	   22.51	      50	0	B	
13:18	   22.51	       2	0	B	
13:18	   22.51	       1	0	B	
13:19	   22.51	       2	0	B	
13:20	   22.50	       2	0	S	
13:20	   22.50	      53	0	S	
13:20	   22.50	      16	0	S	
13:20	   22.50	      28	0	S	
13:20	   22.50	      27	0	S	
13:20	   22.50	       2	0	S	
13:20	   22.50	       1	0	S	
13:20	   22.50	       6	0	S	
13:20	   22.48	       5	0	S	
13:21	   22.48	       5	0	S	
13:21	   22.48	       1	0	S	
13:21	   22.48	       7	0	S	
13:21	   22.48	       8	0	S	
13:22	   22.46	      21	0	S	
13:22	   22.46	      28	0	B	
13:22	   22.46	       1	0	S	
13:22	   22.45	       3	0	S	
13:23	   22.44	      58	0	S	
13:23	   22.44	       2	0	S	
13:24	   22.44	       3	0	S	
13:24	   22.44	      40	0	S	
13:24	   22.44	      10	0	S	
13:24	   22.44	      38	0	S	
13:24	   22.44	      21	0	B	
13:25	   22.44	       7	0	S	
13:26	   22.44	       2	0	B	
13:26	   22.44	       3	0	S	
13:27	   22.44	      12	0	S	
13:27	   22.44	       2	0	S	
13:28	   22.44	       1	0	S	
13:28	   22.46	       2	0	S	
13:29	   22.46	       1	0	S	
13:29	   22.46	       2	0	S	
13:29	   22.46	       3	0	B	
13:29	   22.46	       1	0	S	
13:30	   22.46	       1	0	S	
13:30	   22.46	       4	0	S	
13:30	   22.47	       1	0	B	
13:31	   22.45	      50	0	S	
13:31	   22.45	       2	0	S	
13:32	   22.45	       9	0	S	
13:33	   22.44	       4	0	S	
13:34	   22.44	       1	0	S	
13:34	   22.43	      29	0	S	
13:34	   22.43	       1	0	S	
13:34	   22.43	      11	0	S	
13:34	   22.43	      36	0	S	
13:34	   22.43	      82	0	S	
13:34	   22.42	      18	0	S	
13:34	   22.42	      83	0	S	
13:34	   22.42	       1	0	S	
13:34	   22.43	      10	0	B	
13:35	   22.41	      18	0	S	
13:35	   22.41	      17	0	S	
13:36	   22.41	      30	0	S	
13:36	   22.41	      50	0	S	
13:36	   22.40	     348	0	S	
13:37	   22.41	       8	0	
13:37	   22.41	       3	0	S	
13:37	   22.41	      19	0	S	
13:37	   22.41	       2	0	B	
13:37	   22.40	      47	0	S	
13:37	   22.40	      36	0	S	
13:37	   22.40	      12	0	S	
13:38	   22.40	      21	0	S	
13:38	   22.40	      16	0	S	
13:38	   22.39	      87	0	S	
13:38	   22.39	      13	0	S	
13:38	   22.40	       3	0	B	
13:39	   22.40	      54	0	B	
13:39	   22.39	       5	0	B	
13:39	   22.38	      10	0	S	
13:39	   22.38	      27	0	S	
13:39	   22.38	      15	0	S	
13:39	   22.38	      20	0	S	
13:39	   22.38	      22	0	S	
13:39	   22.38	       5	0	S	
13:39	   22.38	      18	0	S	
13:39	   22.39	      10	0	B	
13:40	   22.39	      10	0	S	
13:40	   22.37	       7	0	S	
13:41	   22.37	       3	0	B	
13:41	   22.36	       2	0	S	
13:41	   22.37	      12	0	B	
13:41	   22.48	     100	0	B	
13:41	   22.36	      17	0	S	
13:42	   22.37	       9	0	S	
13:42	   22.37	      14	0	S	
13:42	   22.37	      20	0	B	
13:44	   22.38	       7	0	S	
13:44	   22.50	      66	0	B	
13:44	   22.50	      34	0	S	
13:44	   22.38	       4	0	S	
13:45	   22.38	      13	0	S	
13:45	   22.38	      12	0	S	
13:46	   22.46	     100	0	B	
13:48	   22.44	     165	0	B	
13:48	   22.44	     200	0	B	
13:49	   22.44	      10	0	B	
13:49	   22.44	       7	0	S	
13:49	   22.46	       2	0	B	
13:49	   22.41	       7	0	S	
13:49	   22.40	      11	0	B	
13:50	   22.41	       3	0	S	
13:50	   22.40	     124	0	S	
13:51	   22.41	      22	0	S	
13:52	   22.40	       9	0	S	
13:52	   22.40	       1	0	B	
13:52	   22.45	      63	0	B	
13:52	   22.45	      34	0	S	
13:52	   22.45	       1	0	S	
13:52	   22.45	       2	0	S	
13:53	   22.40	       2	0	S	
13:53	   22.40	       7	0	S	
13:54	   22.40	       2	0	B	
13:54	   22.39	       2	0	S	
13:55	   22.40	       8	0	S	
13:55	   22.40	      13	0	B	
13:55	   22.40	      12	0	B	
13:55	   22.40	       3	0	B	
13:55	   22.40	      45	0	B	
13:56	   22.40	       3	0	B	
13:56	   22.39	      32	0	S	
13:57	   22.40	       5	0	B	
