                  20250923 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   22.86	       0	0	
09:16	   22.86	       0	0	
09:16	   22.80	       0	0	
09:16	   22.78	       0	0	
09:16	   23.05	       0	0	
09:17	   23.05	       0	0	
09:17	   23.05	       0	0	
09:17	   23.35	       0	0	
09:18	   23.35	       0	0	
09:18	   23.35	       0	0	
09:18	   23.35	       0	0	
09:19	   23.05	       0	0	
09:19	   22.37	       0	0	
09:21	   22.07	       0	0	
09:22	   22.07	       0	0	
09:24	   22.07	       0	0	
09:24	   22.07	       0	0	
09:24	   22.07	       0	0	
09:24	   22.02	       0	0	
09:24	   22.02	       0	0	
09:24	   22.05	       0	0	
09:24	   22.07	       0	0	
09:25	   22.07	      88	0	
09:30	   22.19	      42	0	B	
09:30	   22.19	       9	0	S	
09:30	   22.19	      11	0	S	
09:31	   22.10	       4	0	S	
09:31	   22.10	       8	0	S	
09:31	   22.12	       6	0	S	
09:31	   22.15	      82	0	B	
09:31	   22.11	       1	0	S	
09:32	   22.11	       6	0	S	
09:32	   22.10	       5	0	S	
09:32	   22.12	       1	0	B	
09:32	   22.12	       1	0	S	
09:32	   22.10	       1	0	S	
09:33	   22.10	      48	0	S	
09:33	   22.10	       9	0	S	
09:33	   22.11	      43	0	S	
09:33	   22.11	      75	0	S	
09:33	   22.11	       0	0	S	
09:33	   22.11	      22	0	B	
09:33	   22.09	       2	0	S	
09:33	   22.07	      69	0	S	
09:33	   22.06	       5	0	S	
09:33	   22.05	      22	0	S	
09:33	   22.03	      10	0	S	
09:33	   22.03	      12	0	S	
09:33	   22.04	       8	0	B	
09:34	   22.14	      17	0	B	
09:34	   22.13	       2	0	B	
09:34	   22.03	      45	0	S	
09:36	   22.01	      69	0	S	
09:36	   22.03	       2	0	B	
09:36	   22.03	       1	0	B	
09:36	   22.03	       4	0	B	
09:36	   22.03	       1	0	B	
09:36	   22.08	      22	0	B	
09:37	   22.08	      18	0	B	
09:37	   22.10	       2	0	S	
09:37	   22.03	      13	0	S	
09:37	   22.03	       1	0	S	
09:37	   22.01	      73	0	S	
09:37	   21.99	      18	0	S	
09:37	   21.98	       2	0	S	
09:37	   21.91	      23	0	S	
09:38	   21.93	      10	0	S	
09:38	   21.93	      11	0	S	
09:38	   21.93	       9	0	S	
09:38	   21.92	       2	0	S	
09:38	   21.91	      16	0	S	
09:38	   21.91	       0	0	S	
09:38	   21.90	      12	0	S	
09:38	   21.88	       3	0	S	
09:38	   21.88	       7	0	B	
09:38	   21.86	      23	0	B	
09:38	   21.86	       6	0	B	
09:38	   21.83	     116	0	S	
09:39	   21.88	      11	0	B	
09:39	   21.91	      35	0	B	
09:39	   21.93	      53	0	B	
09:39	   21.93	     592	0	B	
09:39	   21.93	     186	0	B	
09:39	   21.93	      16	0	B	
09:39	   22.13	      42	0	B	
09:39	   21.99	      18	0	S	
09:39	   21.94	      26	0	S	
09:39	   21.94	      39	0	B	
09:40	   21.91	       5	0	S	
09:40	   21.90	      10	0	S	
09:40	   21.94	       5	0	B	
09:40	   21.88	      10	0	S	
09:40	   21.94	      18	0	B	
09:40	   21.88	       5	0	S	
09:41	   21.94	      10	0	B	
09:41	   21.91	      11	0	S	
09:41	   21.94	       3	0	B	
09:41	   21.95	       1	0	S	
09:41	   21.94	       2	0	S	
09:41	   21.93	      12	0	S	
09:41	   21.90	       5	0	S	
09:41	   21.89	       5	0	S	
09:42	   21.88	       7	0	S	
09:42	   21.85	       3	0	S	
09:42	   21.85	      20	0	S	
09:42	   21.85	       1	0	S	
09:42	   21.83	      23	0	S	
09:42	   21.85	       3	0	S	
09:43	   21.83	      10	0	S	
09:43	   21.84	      14	0	S	
09:43	   21.85	      10	0	S	
09:44	   21.85	      45	0	S	
09:44	   21.88	      25	0	B	
09:44	   21.88	      56	0	B	
09:44	   21.88	      15	0	S	
09:45	   21.88	      20	0	S	
09:45	   21.88	       9	0	S	
09:45	   21.88	       7	0	B	
09:45	   21.83	     399	0	S	
09:45	   21.83	     148	0	S	
09:45	   21.83	      46	0	S	
09:45	   21.83	     101	0	S	
09:45	   21.83	      94	0	B	
09:45	   21.84	      92	0	S	
09:45	   21.84	      41	0	S	
09:46	   21.83	      30	0	S	
09:46	   21.84	       1	0	S	
09:47	   21.84	      10	0	B	
09:47	   21.84	      31	0	B	
09:47	   21.84	      84	0	B	
09:47	   21.87	       9	0	B	
09:47	   21.87	      40	0	B	
09:47	   21.87	      22	0	B	
09:47	   21.87	       4	0	B	
09:47	   21.93	       4	0	B	
09:47	   22.01	      10	0	S	
09:48	   21.89	       5	0	S	
09:48	   21.85	      20	0	S	
09:48	   21.84	      27	0	S	
09:48	   21.85	      25	0	S	
09:48	   21.84	       3	0	S	
09:48	   21.83	      42	0	S	
09:48	   21.84	      22	0	
09:48	   21.85	       1	0	B	
09:48	   21.84	       5	0	
09:49	   21.84	       4	0	S	
09:49	   21.85	       3	0	B	
09:49	   21.85	       1	0	B	
09:49	   21.84	       8	0	S	
09:49	   21.85	       5	0	B	
09:49	   21.84	       1	0	S	
09:49	   21.84	       8	0	S	
09:49	   21.84	       4	0	S	
09:49	   21.85	       2	0	B	
09:50	   21.85	       1	0	B	
09:50	   21.85	       2	0	B	
09:50	   21.85	       2	0	B	
09:50	   21.84	       4	0	S	
09:50	   21.85	       9	0	B	
09:50	   21.90	       8	0	S	
09:50	   21.84	      29	0	S	
09:50	   21.84	      16	0	S	
09:51	   21.83	      16	0	S	
09:51	   21.84	      35	0	B	
09:51	   21.83	      49	0	S	
