                  20250926 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   15.41	       0	0	
09:15	   15.41	       0	0	
09:15	   20.90	       0	0	
09:15	   21.36	       0	0	
09:16	   15.58	       0	0	
09:16	   15.58	       0	0	
09:17	   15.58	       0	0	
09:17	   15.58	       0	0	
09:17	   15.58	       0	0	
09:17	   15.58	       0	0	
09:17	   15.58	       0	0	
09:17	   15.58	       0	0	
09:17	   15.58	       0	0	
09:17	   15.58	       0	0	
09:18	   15.58	       0	0	
09:18	   15.58	       0	0	
09:18	   15.58	       0	0	
09:18	   15.58	       0	0	
09:18	   15.58	       0	0	
09:18	   15.58	       0	0	
09:18	   15.58	       0	0	
09:18	   15.58	       0	0	
09:18	   15.58	       0	0	
09:19	   15.58	       0	0	
09:19	   15.58	       0	0	
09:19	   15.58	       0	0	
09:19	   21.94	       0	0	
09:23	   21.94	       0	0	
09:24	   21.94	       0	0	
09:24	   21.90	       0	0	
09:24	   21.90	       0	0	
09:24	   21.90	       0	0	
09:24	   21.90	       0	0	
09:24	   21.90	       0	0	
09:25	   21.90	      80	0	
09:30	   21.80	      59	0	S	
09:30	   21.80	       9	0	B	
09:30	   21.80	       8	0	B	
09:30	   21.82	       0	0	B	
09:30	   21.82	       2	0	S	
09:30	   21.82	       0	0	S	
09:31	   21.81	       4	0	S	
09:31	   21.83	       1	0	S	
09:31	   21.82	       3	0	S	
09:31	   21.80	      15	0	S	
09:31	   21.80	       1	0	S	
09:31	   21.81	      10	0	S	
09:31	   21.81	       5	0	S	
09:31	   21.86	       1	0	S	
09:31	   21.87	      27	0	B	
09:32	   21.87	       2	0	S	
09:32	   21.88	       1	0	B	
09:32	   21.89	       2	0	B	
09:32	   21.89	      12	0	S	
09:32	   21.87	      19	0	S	
09:32	   21.87	      16	0	S	
09:32	   21.83	       9	0	S	
09:32	   21.83	       1	0	S	
09:32	   21.83	      20	0	S	
09:32	   21.83	      11	0	S	
09:32	   21.82	      27	0	S	
09:32	   21.81	      88	0	S	
09:32	   21.80	      15	0	S	
09:32	   21.78	      37	0	S	
09:33	   21.78	      11	0	S	
09:33	   21.76	       5	0	S	
09:33	   21.78	       7	0	B	
09:33	   21.78	       1	0	B	
09:33	   21.78	       4	0	S	
09:33	   21.78	      20	0	B	
09:33	   21.77	       3	0	B	
09:34	   21.77	       2	0	S	
09:34	   21.77	       5	0	B	
09:34	   21.71	      59	0	S	
09:34	   21.71	      11	0	S	
09:34	   21.70	      10	0	S	
09:34	   21.70	      32	0	S	
09:34	   21.69	      46	0	S	
09:34	   21.68	     164	0	S	
09:35	   21.68	      28	0	S	
09:35	   21.68	      82	0	B	
09:35	   21.66	      24	0	S	
09:35	   21.61	      59	0	S	
09:35	   21.71	       9	0	B	
09:35	   21.61	      44	0	S	
09:35	   21.61	      67	0	B	
09:35	   21.71	      52	0	B	
09:35	   21.71	       3	0	B	
09:35	   21.71	      18	0	B	
09:35	   21.71	       3	0	B	
09:35	   21.76	       1	0	B	
09:35	   21.64	      13	0	S	
09:36	   21.65	       4	0	S	
09:36	   21.63	      25	0	S	
09:36	   21.63	      75	0	B	
09:36	   21.63	      44	0	S	
09:36	   21.63	      88	0	B	
09:36	   21.65	       2	0	S	
09:36	   21.65	      13	0	B	
09:36	   21.65	      11	0	B	
09:36	   21.63	      35	0	S	
09:36	   21.63	     177	0	B	
09:36	   21.65	      11	0	B	
09:36	   21.65	      63	0	B	
09:37	   21.75	      30	0	B	
09:37	   21.72	       3	0	B	
09:38	   21.73	       2	0	B	
09:38	   21.73	       2	0	S	
09:38	   21.68	       2	0	S	
