                  20250930 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   20.50	       0	0	
09:15	   20.50	       0	0	
09:15	   20.82	       0	0	
09:16	   21.38	       0	0	
09:17	   22.00	       0	0	
09:17	   22.00	       0	0	
09:18	   22.00	       0	0	
09:19	   22.00	       0	0	
09:19	   21.35	       0	0	
09:20	   21.34	       0	0	
09:21	   20.98	       0	0	
09:22	   20.98	       0	0	
09:23	   20.98	       0	0	
09:24	   20.98	       0	0	
09:24	   20.98	       0	0	
09:24	   20.98	       0	0	
09:24	   20.98	       0	0	
09:24	   20.98	       0	0	
09:24	   20.98	       0	0	
09:24	   20.99	       0	0	
09:24	   21.15	       0	0	
09:25	   21.15	      39	0	
09:30	   21.30	      63	0	B	
09:30	   21.27	       6	0	B	
09:30	   21.15	      14	0	S	
09:30	   21.16	       2	0	S	
09:30	   21.19	       1	0	B	
09:30	   21.19	       2	0	B	
09:30	   21.19	       1	0	B	
09:30	   21.15	      26	0	S	
09:30	   21.10	       1	0	S	
09:31	   21.10	       1	0	S	
09:31	   21.14	       2	0	B	
09:31	   21.14	       1	0	B	
09:31	   21.14	       5	0	S	
09:32	   21.15	       1	0	B	
09:32	   21.14	       9	0	S	
09:32	   21.19	       1	0	B	
09:32	   21.16	       1	0	S	
09:32	   21.18	      10	0	B	
09:32	   21.19	      20	0	B	
09:32	   21.18	       1	0	S	
09:32	   21.18	       4	0	B	
09:32	   21.18	       4	0	B	
09:33	   21.18	       3	0	B	
09:33	   21.16	       3	0	S	
09:33	   21.16	       4	0	B	
09:33	   21.16	       4	0	B	
09:33	   21.17	       2	0	S	
09:33	   21.17	       1	0	S	
09:33	   21.16	       4	0	S	
09:33	   21.14	       3	0	S	
09:33	   21.14	       2	0	S	
09:34	   21.16	       2	0	B	
09:34	   21.16	       8	0	S	
09:34	   21.16	       4	0	S	
09:34	   21.15	       2	0	S	
09:34	   21.15	       1	0	S	
09:34	   21.16	      16	0	S	
