                  20251203 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:25	   17.54	       4	0	
09:30	   17.54	      49	0	B	
09:30	   17.52	       6	0	S	
09:30	   17.53	      10	0	S	
09:30	   17.53	       6	0	B	
09:30	   17.52	      16	0	S	
09:30	   17.51	       1	0	S	
09:30	   17.51	       9	0	S	
09:30	   17.50	       1	0	S	
09:30	   17.41	      15	0	S	
09:30	   17.41	      45	0	B	
09:30	   17.50	       2	0	B	
09:30	   17.53	       1	0	B	
09:30	   17.59	       7	0	B	
09:30	   17.57	      20	0	B	
09:30	   17.57	      16	0	S	
09:30	   17.57	       2	0	S	
09:30	   17.56	       1	0	S	
09:31	   17.56	      47	0	B	
09:31	   17.55	       0	0	B	
09:31	   17.55	       8	0	B	
09:31	   17.56	       5	0	B	
09:31	   17.59	      11	0	B	
09:31	   17.59	       1	0	S	
09:31	   17.61	       3	0	B	
09:32	   17.58	      12	0	S	
09:32	   17.59	      10	0	S	
09:32	   17.59	       2	0	S	
09:32	   17.57	       2	0	S	
09:32	   17.59	      10	0	B	
09:32	   17.58	       2	0	B	
09:33	   17.58	      20	0	B	
09:33	   17.56	      21	0	S	
09:33	   17.56	      27	0	B	
09:33	   17.56	      45	0	B	
09:33	   17.56	       5	0	B	
09:34	   17.58	       2	0	S	
09:34	   17.59	       4	0	S	
09:34	   17.62	      30	0	B	
09:35	   17.64	       5	0	B	
09:35	   17.61	       8	0	S	
09:35	   17.61	       4	0	S	
09:35	   17.61	       5	0	S	
09:36	   17.60	       2	0	S	
09:36	   17.56	       9	0	S	
09:37	   17.60	       1	0	B	
09:37	   17.60	       6	0	B	
09:37	   17.60	       0	0	B	
09:37	   17.61	       1	0	S	
09:37	   17.59	      14	0	S	
09:37	   17.57	       3	0	S	
09:37	   17.59	       8	0	B	
09:37	   17.59	      31	0	B	
09:38	   17.57	       2	0	S	
09:38	   17.56	      10	0	S	
09:38	   17.55	       2	0	S	
09:38	   17.55	       1	0	S	
09:38	   17.55	      30	0	S	
09:38	   17.55	      69	0	S	
09:38	   17.50	       3	0	S	
09:38	   17.55	       2	0	B	
09:38	   17.56	       1	0	B	
09:38	   17.56	      11	0	S	
09:39	   17.56	       6	0	B	
09:39	   17.56	       5	0	S	
09:39	   17.56	       4	0	B	
09:39	   17.56	       4	0	S	
09:39	   17.56	       0	0	S	
09:39	   17.55	       1	0	S	
09:39	   17.55	       1	0	S	
09:39	   17.55	       1	0	B	
09:39	   17.55	       9	0	S	
09:40	   17.55	       6	0	B	
09:40	   17.55	       3	0	B	
09:40	   17.55	       0	0	B	
09:40	   17.56	       7	0	B	
09:41	   17.62	       3	0	B	
09:41	   17.62	       1	0	B	
09:42	   17.60	       6	0	B	
09:43	   17.59	       3	0	B	
09:43	   17.59	       1	0	B	
09:43	   17.60	       2	0	B	
09:43	   17.61	      71	0	B	
09:43	   17.63	      19	0	B	
09:43	   17.69	       8	0	B	
09:43	   17.69	       8	0	B	
09:43	   17.70	       6	0	B	
09:43	   17.65	       2	0	S	
09:44	   17.66	      11	0	B	
09:44	   17.66	       5	0	B	
09:45	   17.66	       4	0	B	
09:45	   17.67	       8	0	B	
09:45	   17.66	       1	0	S	
09:45	   17.67	      37	0	B	
09:45	   17.64	       2	0	S	
09:45	   17.62	       2	0	B	
09:45	   17.60	       4	0	S	
09:45	   17.62	       1	0	S	
09:45	   17.61	       1	0	S	
09:45	   17.62	      11	0	B	
09:46	   17.60	       5	0	S	
09:46	   17.61	       1	0	
09:46	   17.61	      10	0	S	
09:47	   17.60	       1	0	S	
09:47	   17.61	       5	0	
09:47	   17.61	       6	0	S	
09:47	   17.60	       2	0	S	
09:48	   17.59	       1	0	S	
09:48	   17.60	       1	0	B	
09:50	   17.61	       1	0	B	
09:50	   17.61	      12	0	S	
09:50	   17.60	       1	0	S	
09:51	   17.60	       1	0	S	
09:51	   17.59	      14	0	S	
09:51	   17.58	       3	0	S	
09:51	   17.58	       0	0	S	
09:53	   17.61	       1	0	B	
09:53	   17.61	       6	0	S	
09:53	   17.59	      15	0	S	
09:54	   17.58	       4	0	S	
09:54	   17.58	       1	0	S	
09:55	   17.59	      12	0	S	
09:56	   17.59	       2	0	B	
09:57	   17.59	      18	0	S	
09:58	   17.58	       5	0	S	
09:58	   17.58	       7	0	S	
09:58	   17.58	       1	0	S	
09:59	   17.57	       2	0	S	
10:00	   17.57	      14	0	S	
10:01	   17.56	       3	0	S	
10:01	   17.56	       1	0	S	
10:01	   17.55	       2	0	S	
10:01	   17.55	       8	0	S	
10:01	   17.54	       9	0	S	
10:01	   17.55	       7	0	B	
10:01	   17.55	       2	0	S	
10:01	   17.55	       2	0	S	
10:05	   17.60	       2	0	B	
10:05	   17.60	       7	0	B	
10:05	   17.60	       1	0	B	
10:06	   17.58	       1	0	S	
10:06	   17.57	       2	0	S	
10:06	   17.57	       5	0	S	
10:06	   17.55	       6	0	S	
10:06	   17.54	       1	0	S	
10:06	   17.50	       2	0	S	
10:06	   17.50	       1	0	S	
10:07	   17.52	       3	0	S	
10:07	   17.52	       4	0	S	
10:07	   17.51	       2	0	S	
10:07	   17.52	       6	0	B	
10:07	   17.52	       4	0	S	
10:07	   17.52	       2	0	B	
10:07	   17.51	       1	0	S	
10:07	   17.51	       6	0	S	
10:07	   17.51	       2	0	S	
10:07	   17.51	       6	0	S	
10:07	   17.51	       3	0	S	
10:08	   17.50	      11	0	S	
10:08	   17.50	      12	0	S	
10:08	   17.49	       6	0	S	
10:08	   17.50	      15	0	B	
10:08	   17.50	      12	0	B	
10:08	   17.52	       6	0	B	
10:10	   17.53	       1	0	B	
10:10	   17.54	       2	0	S	
10:10	   17.54	       9	0	S	
10:10	   17.53	       7	0	S	
10:10	   17.53	       1	0	S	
10:10	   17.53	       5	0	S	
10:10	   17.52	       2	0	S	
10:11	   17.54	       5	0	B	
10:11	   17.51	       8	0	S	
10:14	   17.53	      15	0	S	
10:15	   17.54	       2	0	S	
10:16	   17.54	      11	0	B	
10:16	   17.53	       8	0	S	
10:16	   17.52	       3	0	S	
10:16	   17.53	      10	0	B	
10:17	   17.53	      11	0	B	
10:17	   17.53	      21	0	B	
10:17	   17.53	       2	0	B	
10:17	   17.53	       3	0	S	
10:18	   17.54	       7	0	S	
10:18	   17.53	       2	0	S	
10:19	   17.54	      20	0	B	
10:19	   17.54	       2	0	B	
10:19	   17.54	      18	0	B	
10:19	   17.54	       3	0	B	
10:19	   17.55	       6	0	S	
10:19	   17.55	       2	0	S	
10:20	   17.54	       5	0	S	
10:21	   17.55	       5	0	S	
10:21	   17.55	       4	0	S	
10:22	   17.54	       4	0	S	
10:24	   17.54	       1	0	S	
10:24	   17.55	       2	0	B	
10:24	   17.55	      15	0	B	
10:24	   17.55	       4	0	S	
10:25	   17.52	       3	0	S	
10:25	   17.52	       0	0	S	
10:26	   17.53	       3	0	B	
10:26	   17.52	       7	0	S	
10:28	   17.57	       3	0	B	
10:28	   17.53	      10	0	S	
10:28	   17.53	      11	0	S	
10:30	   17.53	       1	0	S	
10:30	   17.53	      12	0	S	
10:30	   17.52	       3	0	S	
10:30	   17.53	       7	0	B	
10:30	   17.53	       9	0	S	
10:30	   17.50	       5	0	S	
10:30	   17.49	      12	0	S	
10:31	   17.49	      20	0	S	
10:31	   17.49	       7	0	S	
10:31	   17.49	       2	0	S	
10:31	   17.50	      12	0	B	
10:32	   17.50	       3	0	B	
10:33	   17.50	       9	0	S	
10:34	   17.50	       1	0	B	
10:35	   17.49	       4	0	S	
10:36	   17.49	       6	0	S	
10:36	   17.48	      12	0	S	
10:37	   17.47	       1	0	S	
10:37	   17.47	       3	0	S	
10:37	   17.47	       0	0	S	
10:37	   17.47	       4	0	B	
10:38	   17.48	       2	0	B	
10:38	   17.48	       2	0	B	
10:39	   17.47	       6	0	S	
10:39	   17.48	       1	0	S	
10:39	   17.49	       2	0	B	
10:40	   17.48	       1	0	S	
10:40	   17.49	       4	0	B	
10:41	   17.49	      11	0	S	
10:41	   17.48	      12	0	S	
10:41	   17.48	       1	0	S	
10:42	   17.48	       3	0	S	
10:42	   17.48	       2	0	B	
10:42	   17.49	      10	0	B	
10:43	   17.49	       1	0	S	
10:43	   17.48	       1	0	S	
10:44	   17.49	       6	0	B	
10:44	   17.49	      48	0	B	
10:44	   17.50	       5	0	B	
10:44	   17.55	       5	0	B	
10:45	   17.50	       5	0	S	
10:45	   17.50	       0	0	S	
10:45	   17.49	       2	0	S	
10:45	   17.49	       0	0	S	
10:45	   17.48	       3	0	S	
10:45	   17.48	       1	0	S	
10:45	   17.47	       1	0	S	
10:46	   17.46	      50	0	S	
10:48	   17.53	       5	0	B	
10:48	   17.49	      15	0	S	
10:48	   17.49	       3	0	B	
10:50	   17.54	      11	0	B	
10:51	   17.53	      20	0	B	
10:52	   17.53	      40	0	B	
10:52	   17.54	       5	0	B	
10:52	   17.53	       1	0	B	
10:54	   17.50	       9	0	S	
10:56	   17.51	       1	0	B	
10:58	   17.50	      10	0	S	
10:58	   17.49	       8	0	S	
10:58	   17.49	       1	0	B	
10:58	   17.50	       8	0	B	
11:00	   17.47	      25	0	S	
11:00	   17.47	       2	0	S	
11:00	   17.47	       1	0	S	
11:01	   17.49	       2	0	B	
11:02	   17.47	       8	0	S	
11:02	   17.46	      25	0	S	
11:02	   17.48	       5	0	B	
11:03	   17.48	       2	0	B	
11:03	   17.49	       5	0	B	
11:03	   17.49	       5	0	B	
11:03	   17.49	       1	0	S	
11:04	   17.49	      10	0	B	
