                  20251205 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:25	   16.80	      21	0	
09:30	   16.79	       2	0	
09:30	   16.78	       1	0	S	
09:30	   16.78	       6	0	S	
09:30	   16.80	      10	0	B	
09:30	   16.80	      13	0	B	
09:30	   16.82	       1	0	S	
09:30	   16.78	      58	0	S	
09:30	   16.73	       3	0	S	
09:30	   16.78	       1	0	B	
09:30	   16.78	       2	0	B	
09:30	   16.77	       2	0	
09:31	   16.78	      17	0	B	
09:31	   16.81	       5	0	S	
09:31	   16.81	       1	0	S	
09:32	   16.84	       2	0	B	
09:32	   16.84	       5	0	B	
09:32	   16.84	      25	0	S	
09:32	   16.84	       1	0	B	
09:33	   17.00	     172	0	B	
09:33	   17.00	       6	0	S	
09:33	   17.14	      49	0	B	
09:33	   17.00	      20	0	S	
09:33	   17.00	     287	0	S	
09:33	   17.00	      11	0	B	
09:33	   17.15	     241	0	B	
09:33	   17.15	      62	0	S	
09:33	   17.15	     248	0	S	
09:33	   17.15	      20	0	B	
09:33	   17.15	     134	0	S	
09:33	   17.15	     158	0	S	
09:33	   17.15	      80	0	S	
09:33	   17.17	     294	0	B	
09:34	   17.15	      12	0	B	
09:34	   17.16	      54	0	
09:34	   17.15	       5	0	B	
09:34	   17.16	      26	0	B	
09:34	   17.15	      45	0	B	
09:34	   17.16	     147	0	B	
09:34	   17.18	     143	0	B	
09:34	   17.18	      27	0	B	
09:34	   17.18	     106	0	B	
09:34	   17.22	      26	0	B	
09:34	   17.22	     114	0	B	
09:34	   17.22	      76	0	S	
09:34	   17.18	       8	0	B	
09:34	   17.17	       5	0	S	
09:34	   17.16	      38	0	S	
09:34	   17.16	       8	0	S	
09:35	   17.14	      17	0	S	
09:35	   17.10	      30	0	S	
09:35	   17.10	      26	0	B	
09:35	   17.10	      16	0	S	
09:35	   17.10	       4	0	S	
09:35	   17.11	       6	0	S	
09:35	   17.10	       6	0	S	
09:35	   17.10	       5	0	S	
09:35	   17.09	       2	0	B	
09:36	   17.06	       5	0	B	
09:36	   17.01	       8	0	S	
09:36	   17.00	       1	0	S	
09:36	   17.00	       1	0	S	
09:37	   17.01	      12	0	B	
09:37	   17.00	       5	0	B	
09:37	   17.00	      16	0	B	
09:37	   17.01	       6	0	B	
09:37	   17.01	      18	0	B	
09:37	   17.06	       5	0	B	
09:38	   17.08	       6	0	B	
09:38	   17.01	       2	0	S	
09:38	   17.01	       6	0	S	
09:38	   17.00	      35	0	S	
09:38	   16.99	       6	0	S	
09:38	   16.98	       6	0	S	
09:38	   16.97	       6	0	S	
09:39	   16.98	       2	0	
09:39	   16.97	       5	0	S	
09:39	   16.95	      13	0	S	
09:39	   16.95	       6	0	S	
09:39	   16.96	       3	0	B	
09:39	   16.95	      18	0	S	
09:39	   16.95	       2	0	S	
09:39	   16.94	       2	0	S	
09:39	   16.94	       1	0	S	
09:39	   16.94	      10	0	S	
09:39	   16.95	       1	0	S	
09:40	   16.96	       4	0	S	
09:40	   16.96	       2	0	S	
09:40	   16.95	      34	0	S	
09:40	   16.96	       2	0	S	
09:40	   16.96	       4	0	S	
09:40	   16.99	       8	0	B	
09:40	   16.99	       1	0	B	
09:40	   17.00	      39	0	B	
09:41	   17.00	      15	0	B	
09:41	   16.98	       8	0	S	
09:41	   16.96	       7	0	S	
09:41	   17.00	       4	0	B	
09:41	   17.00	       7	0	S	
09:41	   16.97	       2	0	S	
09:41	   16.97	       1	0	S	
09:41	   16.97	       0	0	S	
09:42	   16.95	       8	0	S	
09:42	   16.95	      14	0	S	
09:42	   16.95	      10	0	S	
09:42	   16.95	      28	0	S	
09:42	   16.94	      18	0	S	
09:42	   16.93	      38	0	S	
09:42	   16.91	      29	0	S	
09:42	   16.90	       4	0	S	
09:42	   16.93	      50	0	B	
09:42	   16.90	       1	0	S	
09:42	   16.90	       3	0	S	
09:42	   16.90	      12	0	B	
09:42	   16.90	       4	0	B	
