                  20260309 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:30	   16.25	      36	0	S	
09:30	   16.25	      43	0	B	
09:30	   16.25	       6	0	B	
09:30	   16.30	      32	0	B	
09:30	   16.40	      65	0	B	
09:30	   16.40	      49	0	S	
09:30	   16.40	      44	0	B	
09:30	   16.26	      24	0	S	
09:30	   16.40	     101	0	S	
09:30	   16.40	      17	0	B	
09:30	   16.40	      28	0	S	
09:30	   16.40	      58	0	S	
09:31	   16.40	      19	0	B	
09:31	   16.39	       2	0	B	
09:31	   16.39	      16	0	S	
09:31	   16.43	      24	0	B	
09:31	   16.55	     174	0	B	
09:31	   16.43	      32	0	B	
09:31	   16.55	      91	0	B	
09:31	   16.60	     126	0	B	
09:32	   16.57	     112	0	S	
09:32	   16.45	      16	0	S	
09:32	   16.45	      41	0	B	
09:33	   16.45	       1	0	S	
09:33	   16.55	       2	0	B	
09:33	   16.55	       8	0	S	
09:33	   16.55	       6	0	B	
09:34	   16.54	       3	0	B	
09:34	   16.47	       1	0	S	
09:35	   16.45	      66	0	S	
09:35	   16.45	       6	0	B	
09:35	   16.45	       2	0	B	
09:35	   16.44	       8	0	B	
09:35	   16.44	       8	0	S	
09:35	   16.43	       6	0	S	
09:36	   16.44	       5	0	S	
09:36	   16.44	      19	0	S	
09:36	   16.36	       1	0	S	
09:36	   16.39	      18	0	B	
09:37	   16.43	       5	0	B	
09:37	   16.39	      45	0	S	
09:37	   16.39	       5	0	B	
09:37	   16.39	       4	0	S	
09:37	   16.39	     152	0	B	
09:37	   16.42	       5	0	B	
09:37	   16.47	       2	0	S	
09:37	   16.42	       1	0	S	
09:37	   16.47	       6	0	B	
09:37	   16.47	       7	0	S	
09:38	   16.46	       5	0	B	
09:39	   16.43	      11	0	S	
09:39	   16.43	      10	0	B	
09:40	   16.38	       2	0	S	
09:40	   16.38	       6	0	S	
09:40	   16.38	       8	0	B	
09:41	   16.35	      16	0	S	
09:41	   16.42	       2	0	B	
09:41	   16.35	      36	0	S	
09:42	   16.35	      16	0	S	
09:42	   16.35	      11	0	S	
09:42	   16.34	      45	0	S	
09:42	   16.35	      12	0	S	
09:42	   16.33	       9	0	S	
09:42	   16.35	       8	0	B	
09:42	   16.35	       5	0	S	
09:42	   16.35	      12	0	S	
09:42	   16.35	      11	0	S	
09:42	   16.35	      14	0	S	
09:42	   16.35	       8	0	S	
09:42	   16.35	       1	0	S	
09:43	   16.30	       5	0	S	
09:43	   16.32	      10	0	S	
09:43	   16.32	       1	0	B	
09:43	   16.32	      11	0	S	
09:43	   16.31	       5	0	B	
09:43	   16.30	      13	0	S	
09:43	   16.31	       2	0	B	
09:43	   16.31	       3	0	B	
09:44	   16.31	       4	0	S	
09:44	   16.31	       5	0	S	
09:44	   16.30	      19	0	S	
09:45	   16.30	       7	0	S	
09:45	   16.31	      10	0	B	
09:45	   16.29	       6	0	S	
09:45	   16.29	       5	0	S	
09:46	   16.29	       2	0	S	
09:46	   16.29	      70	0	S	
09:47	   16.29	      20	0	S	
09:47	   16.29	      10	0	B	
09:51	   16.31	      10	0	B	
09:52	   16.30	       9	0	S	
09:53	   16.27	       3	0	S	
09:53	   16.27	       9	0	S	
09:53	   16.26	      31	0	S	
09:53	   16.25	     100	0	S	
09:53	   16.22	       1	0	S	
09:53	   16.23	       1	0	B	
09:53	   16.22	       4	0	S	
09:54	   16.22	       3	0	S	
09:54	   16.22	       8	0	B	
09:54	   16.22	       2	0	B	
09:54	   16.21	       2	0	S	
09:54	   16.20	      56	0	S	
09:54	   16.16	      20	0	S	
09:55	   16.16	       6	0	S	
09:55	   16.11	      27	0	S	
09:55	   16.11	      26	0	B	
09:55	   16.11	      19	0	B	
09:55	   16.14	      33	0	B	
09:55	   16.16	      38	0	B	
09:55	   16.16	      12	0	
09:55	   16.15	       6	0	S	
09:55	   16.13	      12	0	S	
09:55	   16.13	       8	0	S	
09:55	   16.05	      21	0	S	
09:56	   16.05	      42	0	B	
09:56	   16.12	      12	0	B	
09:56	   16.13	       9	0	B	
09:56	   16.13	       2	0	S	
09:56	   16.13	       1	0	S	
09:58	   16.11	       2	0	S	
09:58	   16.10	      17	0	S	
09:58	   16.11	       1	0	B	
09:58	   16.12	       9	0	S	
09:58	   16.10	      17	0	S	
09:59	   16.10	      13	0	S	
09:59	   16.10	       1	0	B	
09:59	   16.08	       5	0	S	
09:59	   16.08	       5	0	S	
09:59	   16.08	      87	0	S	
09:59	   16.08	      16	0	S	
09:59	   16.10	       4	0	B	
10:00	   16.08	       6	0	S	
10:00	   16.05	      10	0	S	
10:00	   16.05	       2	0	B	
10:00	   16.05	       2	0	B	
10:01	   16.05	       3	0	S	
10:02	   16.06	       5	0	S	
