time,open,high,low,close,volume
2020-01-02,9.87,10.03,9.79,9.89,905299
2020-01-03,9.76,10.08,9.51,9.77,888193
2020-01-06,9.91,10.29,9.61,9.98,858856
2020-01-07,9.84,10.43,9.53,9.97,860842
2020-01-08,9.88,10.19,9.80,10.06,933530
2020-01-09,10.01,10.62,9.89,10.33,1118932
2020-01-10,10.16,10.61,9.86,10.57,983465
2020-01-13,10.54,11.03,10.09,10.71,923889
2020-01-14,10.59,11.04,10.48,10.91,933983
2020-01-15,10.77,11.25,10.56,11.13,956633
2020-01-16,11.20,11.43,10.80,11.17,1153685
2020-01-17,11.05,11.47,10.80,11.37,948055
2020-01-20,11.50,11.74,11.19,11.56,975818
2020-01-21,11.54,12.18,11.18,11.92,1005713
2020-01-22,11.86,12.18,11.74,11.98,1034165
2020-01-23,11.94,12.55,11.69,12.25,1122785
2020-01-24,12.27,12.87,12.06,12.51,1206657
2020-01-27,12.35,12.91,12.00,12.70,1226815
2020-01-28,12.80,13.26,12.51,13.11,1259654
2020-01-29,13.04,13.32,12.74,13.31,1160974
2020-01-30,13.14,13.94,13.11,13.48,1129494
2020-01-31,13.34,14.01,13.19,13.72,1129994
2020-02-03,13.76,14.09,13.58,13.95,1147930
2020-02-04,13.99,14.43,13.90,14.17,1092658
2020-02-05,14.02,14.42,13.70,14.21,1185212
2020-02-06,14.14,14.60,13.94,14.32,1124011
2020-02-07,14.28,14.87,14.05,14.56,1204312
2020-02-10,14.63,15.01,14.44,14.75,1188281
2020-02-11,14.76,15.02,14.44,14.86,1195221
2020-02-12,14.70,15.24,14.37,14.93,1229084
2020-02-13,15.00,15.35,14.56,14.93,1161407
2020-02-14,15.02,15.32,14.73,15.02,1175061
2020-02-17,14.84,15.38,14.60,14.94,1152924
2020-02-18,14.99,15.40,14.64,14.99,1264285
2020-02-19,15.02,15.48,14.54,14.92,1064062
2020-02-20,14.74,15.11,14.32,14.76,1111228
2020-02-21,14.60,15.00,14.28,14.61,1082490
2020-02-24,14.43,14.89,14.07,14.51,1131860
2020-02-25,14.56,14.83,14.16,14.43,1160382
2020-02-26,14.36,14.80,14.15,14.35,1153843
2020-02-27,14.29,14.69,14.02,14.19,1125526
2020-02-28,14.04,14.50,13.70,14.07,982411
2020-03-02,14.05,14.49,13.79,14.04,1020321
2020-03-03,14.15,14.49,13.70,13.93,1068678
2020-03-04,13.84,14.28,13.49,13.74,1111569
2020-03-05,13.64,13.91,13.34,13.60,1014354
2020-03-06,13.72,14.10,13.10,13.47,996390
2020-03-09,13.35,13.75,13.05,13.22,1000288
2020-03-10,13.19,13.44,12.91,13.08,1080643
2020-03-11,13.02,13.25,12.56,12.93,1023486
2020-03-12,12.81,13.05,12.44,12.61,951074
2020-03-13,12.45,12.61,11.98,12.28,957464
2020-03-16,12.31,12.51,11.98,12.14,965894
2020-03-17,12.05,12.18,11.83,11.99,1106067
2020-03-18,11.95,12.16,11.70,11.84,968062
2020-03-19,11.94,12.08,11.32,11.56,1019247
2020-03-20,11.61,11.72,11.04,11.27,1043640
2020-03-23,11.21,11.48,10.94,11.13,1067078
2020-03-24,10.97,11.22,10.58,10.88,1057191
2020-03-25,10.75,10.94,10.49,10.66,895603
2020-03-26,10.57,10.74,10.36,10.49,999863
2020-03-27,10.58,10.87,10.17,10.34,963755
2020-03-30,10.27,10.48,9.76,10.09,1025885
2020-03-31,10.17,10.51,9.78,10.07,1044015
2020-04-01,10.06,10.48,9.90,10.11,928684
2020-04-02,10.04,10.22,9.57,10.08,879228
2020-04-03,9.90,10.13,9.39,9.83,1021203
2020-04-06,9.93,10.46,9.55,9.89,921653
2020-04-07,9.93,10.25,9.66,9.97,984242
2020-04-08,10.01,10.28,9.60,10.13,1043292
2020-04-09,10.14,10.33,9.79,10.04,953260
2020-04-10,9.96,10.40,9.83,10.07,922027
2020-04-13,9.95,10.37,9.79,10.21,1051069
2020-04-14,10.19,10.49,9.76,10.24,985156
2020-04-15,10.20,10.78,10.01,10.41,932088
2020-04-16,10.44,10.86,10.27,10.55,971261
2020-04-17,10.45,10.85,10.23,10.64,939710
2020-04-20,10.68,11.01,10.35,10.92,900817
2020-04-21,11.03,11.35,10.78,11.20,1028565
2020-04-22,11.36,11.65,10.96,11.37,878511
2020-04-23,11.48,11.90,11.23,11.57,876233
2020-04-24,11.66,12.12,11.29,11.95,847543
2020-04-27,12.10,12.38,11.76,12.24,871720
2020-04-28,12.10,12.80,11.75,12.42,949959
2020-04-29,12.55,13.20,12.17,12.77,1059699
2020-04-30,12.94,13.11,12.57,13.07,1043887
2020-05-01,13.23,13.56,12.89,13.48,1009537
2020-05-04,13.52,14.01,13.37,13.81,1074708
2020-05-05,13.69,14.32,13.34,13.94,911228
2020-05-06,13.95,14.64,13.69,14.35,1120190
